ts,High,Low,Open,Amount,Volume,Close
2020-07-01 09:20:00,87.5,87.5,87.5,262.5,3,87.5
2020-07-01 09:24:00,87.6,87.6,87.6,87.6,1,87.6
2020-07-01 09:33:00,87.7,87.7,87.7,263.1,3,87.7
2020-07-01 09:34:00,87.7,87.7,87.7,350.8,4,87.7
2020-07-01 09:38:00,87.7,87.7,87.7,526.2,6,87.7
2020-07-01 09:39:00,87.7,87.7,87.7,438.5,5,87.7
2020-07-01 10:10:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 10:11:00,87.8,87.8,87.8,614.6,7,87.8
2020-07-01 10:14:00,87.7,87.7,87.7,263.1,3,87.7
2020-07-01 10:25:00,87.7,87.7,87.7,263.1,3,87.7
2020-07-01 10:32:00,87.8,87.8,87.8,87.8,1,87.8
2020-07-01 10:41:00,87.7,87.7,87.7,526.2,6,87.7
2020-07-01 10:45:00,87.7,87.7,87.7,175.4,2,87.7
2020-07-01 10:55:00,87.7,87.7,87.7,87.7,1,87.7
2020-07-01 11:00:00,87.7,87.7,87.7,175.4,2,87.7
2020-07-01 11:11:00,87.7,87.7,87.7,87.7,1,87.7
2020-07-01 11:17:00,87.7,87.7,87.7,175.4,2,87.7
2020-07-01 11:25:00,87.7,87.7,87.7,175.4,2,87.7
2020-07-01 11:34:00,87.7,87.7,87.7,87.7,1,87.7
2020-07-01 11:39:00,87.7,87.6,87.6,175.3,2,87.7
2020-07-01 11:42:00,87.7,87.7,87.7,87.7,1,87.7
2020-07-01 12:00:00,87.7,87.7,87.7,175.4,2,87.7
2020-07-01 12:04:00,87.7,87.7,87.7,263.1,3,87.7
2020-07-01 12:06:00,87.7,87.7,87.7,438.5,5,87.7
2020-07-01 12:07:00,87.7,87.7,87.7,87.7,1,87.7
2020-07-01 12:08:00,87.7,87.7,87.7,175.4,2,87.7
2020-07-01 12:15:00,87.8,87.8,87.8,526.8,6,87.8
2020-07-01 12:16:00,87.9,87.8,87.8,175.7,2,87.9
2020-07-01 12:17:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 12:18:00,88.0,88.0,88.0,176.0,2,88.0
2020-07-01 12:20:00,88.0,87.9,88.0,175.9,2,87.9
2020-07-01 12:21:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 12:22:00,88.0,88.0,88.0,88.0,1,88.0
2020-07-01 12:25:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 12:27:00,87.9,87.8,87.8,263.5,3,87.9
2020-07-01 12:28:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 12:31:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 12:32:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 12:34:00,88.0,88.0,88.0,88.0,1,88.0
2020-07-01 12:35:00,88.0,88.0,88.0,352.0,4,88.0
2020-07-01 12:37:00,88.1,88.0,88.0,968.7,11,88.1
2020-07-01 12:48:00,88.1,88.1,88.1,88.1,1,88.1
2020-07-01 12:51:00,88.1,88.1,88.1,88.1,1,88.1
2020-07-01 13:00:00,88.1,88.1,88.1,88.1,1,88.1
2020-07-01 13:01:00,88.1,88.0,88.1,352.1,4,88.0
2020-07-01 13:05:00,88.1,88.0,88.1,264.1,3,88.0
2020-07-01 13:08:00,88.0,88.0,88.0,88.0,1,88.0
2020-07-01 13:09:00,88.0,87.9,88.0,175.9,2,87.9
2020-07-01 13:14:00,87.9,87.9,87.9,351.6,4,87.9
2020-07-01 13:15:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 13:20:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 13:22:00,87.8,87.8,87.8,526.8,6,87.8
2020-07-01 13:25:00,87.8,87.8,87.8,87.8,1,87.8
2020-07-01 13:26:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 13:27:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 13:28:00,87.9,87.7,87.9,175.6,2,87.7
2020-07-01 13:29:00,87.9,87.9,87.9,87.9,1,87.9
2020-07-01 13:30:00,87.7,87.7,87.7,438.5,5,87.7
2020-07-01 13:45:00,87.9,87.9,87.9,175.8,2,87.9
2020-07-02 08:46:00,83.1,83.1,83.1,83.1,1,83.1
2020-07-02 08:47:00,83.5,83.5,83.5,83.5,1,83.5
2020-07-02 08:48:00,83.6,83.4,83.5,417.7,5,83.4
2020-07-02 08:51:00,83.7,83.5,83.5,167.2,2,83.7
2020-07-02 08:55:00,83.6,83.6,83.6,83.6,1,83.6
2020-07-02 08:56:00,83.6,83.6,83.6,83.6,1,83.6
2020-07-02 08:57:00,83.5,83.5,83.5,250.5,3,83.5
2020-07-02 08:58:00,83.5,83.5,83.5,83.5,1,83.5
2020-07-02 08:59:00,83.6,83.6,83.6,250.8,3,83.6
2020-07-02 09:00:00,83.7,83.6,83.6,250.9,3,83.7
2020-07-02 09:01:00,83.5,83.5,83.5,250.5,3,83.5
2020-07-02 09:02:00,83.8,83.7,83.7,335.0,4,83.8
2020-07-02 09:03:00,83.7,83.7,83.7,251.1,3,83.7
2020-07-02 09:04:00,83.6,83.6,83.6,167.2,2,83.6
2020-07-02 09:07:00,83.7,83.6,83.6,418.4,5,83.7
