ts,High,Low,Open,Amount,Volume,Close
2020-07-01 08:46:00,40.05,40.05,40.05,400.5,10,40.05
2020-07-01 08:47:00,40.1,40.1,40.1,240.6,6,40.1
2020-07-01 08:48:00,40.2,40.1,40.2,120.4,3,40.1
2020-07-01 08:50:00,40.1,40.1,40.1,80.2,2,40.1
2020-07-01 08:51:00,40.1,40.1,40.1,40.1,1,40.1
2020-07-01 08:52:00,40.1,40.1,40.1,80.2,2,40.1
2020-07-01 08:53:00,40.15,40.05,40.15,120.25,3,40.05
2020-07-01 08:55:00,40.05,40.05,40.05,80.1,2,40.05
2020-07-01 08:56:00,40.05,40.0,40.0,240.15,6,40.05
2020-07-01 08:57:00,40.0,40.0,40.0,80.0,2,40.0
2020-07-01 08:58:00,39.95,39.95,39.95,79.9,2,39.95
2020-07-01 09:00:00,39.95,39.95,39.95,39.95,1,39.95
2020-07-01 09:01:00,40.1,40.0,40.0,681.1,17,40.05
2020-07-01 09:02:00,40.1,40.0,40.0,440.75,11,40.05
2020-07-01 09:03:00,40.1,40.05,40.05,400.9,10,40.1
2020-07-01 09:04:00,40.1,40.1,40.1,160.4,4,40.1
2020-07-01 09:05:00,40.15,40.1,40.1,401.45,10,40.15
2020-07-01 09:06:00,40.15,40.15,40.15,160.6,4,40.15
2020-07-01 09:07:00,40.15,40.15,40.15,200.75,5,40.15
2020-07-01 09:08:00,40.2,40.15,40.15,481.85,12,40.15
2020-07-01 09:09:00,40.2,40.2,40.2,40.2,1,40.2
2020-07-01 09:11:00,40.2,40.2,40.2,562.8,14,40.2
2020-07-01 09:12:00,40.2,40.2,40.2,120.6,3,40.2
2020-07-01 09:13:00,40.2,40.2,40.2,241.2,6,40.2
2020-07-01 09:14:00,40.25,40.2,40.2,120.65,3,40.2
2020-07-01 09:15:00,40.2,40.2,40.2,160.8,4,40.2
2020-07-01 09:16:00,40.2,40.2,40.2,40.2,1,40.2
2020-07-01 09:19:00,40.2,40.2,40.2,40.2,1,40.2
2020-07-01 09:20:00,40.25,40.2,40.2,724.35,18,40.25
2020-07-01 09:22:00,40.25,40.25,40.25,201.25,5,40.25
2020-07-01 09:23:00,40.25,40.25,40.25,241.5,6,40.25
2020-07-01 09:25:00,40.25,40.25,40.25,40.25,1,40.25
2020-07-01 09:26:00,40.3,40.3,40.3,725.4,18,40.3
2020-07-01 09:28:00,40.3,40.3,40.3,40.3,1,40.3
2020-07-01 09:32:00,40.3,40.3,40.3,80.6,2,40.3
2020-07-01 09:35:00,40.3,40.3,40.3,80.6,2,40.3
2020-07-01 09:40:00,40.3,40.3,40.3,322.4,8,40.3
2020-07-01 09:42:00,40.25,40.25,40.25,40.25,1,40.25
2020-07-01 09:45:00,40.3,40.3,40.3,161.2,4,40.3
2020-07-01 09:46:00,40.3,40.3,40.3,282.1,7,40.3
2020-07-01 09:48:00,40.3,40.3,40.3,120.9,3,40.3
2020-07-01 09:50:00,40.3,40.3,40.3,120.9,3,40.3
2020-07-01 09:51:00,40.3,40.3,40.3,80.6,2,40.3
2020-07-01 09:52:00,40.3,40.3,40.3,362.7,9,40.3
2020-07-01 09:58:00,40.25,40.25,40.25,40.25,1,40.25
2020-07-01 10:03:00,40.25,40.25,40.25,40.25,1,40.25
2020-07-01 10:06:00,40.25,40.25,40.25,161.0,4,40.25
2020-07-01 10:07:00,40.25,40.25,40.25,563.5,14,40.25
2020-07-01 10:08:00,40.25,40.25,40.25,40.25,1,40.25
2020-07-01 10:10:00,40.25,40.25,40.25,40.25,1,40.25
2020-07-01 10:12:00,40.3,40.3,40.3,403.0,10,40.3
2020-07-01 10:13:00,40.3,40.3,40.3,201.5,5,40.3
2020-07-01 10:15:00,40.3,40.3,40.3,40.3,1,40.3
2020-07-01 10:18:00,40.3,40.25,40.3,120.85,3,40.25
2020-07-01 10:21:00,40.25,40.25,40.25,40.25,1,40.25
