ts,High,Low,Open,Amount,Volume,Close
2020-07-01 09:21:00,8.62,8.62,8.62,8.62,1,8.62
2020-07-01 09:24:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 09:32:00,8.61,8.61,8.61,8.61,1,8.61
2020-07-01 09:34:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 09:43:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 09:46:00,8.61,8.61,8.61,8.61,1,8.61
2020-07-01 09:47:00,8.6,8.6,8.6,51.6,6,8.6
2020-07-01 10:28:00,8.59,8.59,8.59,8.59,1,8.59
2020-07-01 10:33:00,8.59,8.59,8.59,8.59,1,8.59
2020-07-01 10:53:00,8.59,8.59,8.59,8.59,1,8.59
2020-07-01 10:56:00,8.59,8.59,8.59,25.77,3,8.59
2020-07-01 11:00:00,8.6,8.6,8.6,43.0,5,8.6
2020-07-01 11:38:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 11:46:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 11:51:00,8.61,8.61,8.61,68.88,8,8.61
2020-07-01 12:03:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:11:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:18:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:26:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:33:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:55:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:56:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 12:58:00,8.6,8.6,8.6,8.6,1,8.6
2020-07-01 13:11:00,8.6,8.6,8.6,17.2,2,8.6
2020-07-01 13:18:00,8.59,8.59,8.59,8.59,1,8.59
2020-07-01 13:20:00,8.59,8.59,8.59,85.9,10,8.59
2020-07-02 09:16:00,8.58,8.58,8.58,42.9,5,8.58
2020-07-02 09:32:00,8.61,8.61,8.61,8.61,1,8.61
2020-07-02 09:51:00,8.63,8.63,8.63,51.78,6,8.63
2020-07-02 09:52:00,8.64,8.64,8.64,8.64,1,8.64
2020-07-02 09:57:00,8.64,8.63,8.64,94.99,11,8.63
2020-07-02 09:59:00,8.63,8.63,8.63,69.04,8,8.63
2020-07-02 10:14:00,8.65,8.65,8.65,51.9,6,8.65
