ts,High,Low,Open,Amount,Volume,Close
2020-07-01 09:50:00,14.55,14.55,14.55,14.55,1,14.55
2020-07-01 09:58:00,14.5,14.5,14.5,29.0,2,14.5
2020-07-01 10:20:00,14.45,14.45,14.45,57.8,4,14.45
2020-07-01 10:35:00,14.55,14.55,14.55,29.1,2,14.55
2020-07-01 11:13:00,14.6,14.6,14.6,14.6,1,14.6
2020-07-01 12:59:00,14.65,14.65,14.65,14.65,1,14.65
2020-07-01 13:22:00,14.65,14.65,14.65,73.25,5,14.65
2020-07-02 09:37:00,14.7,14.7,14.7,14.7,1,14.7
2020-07-02 09:55:00,14.7,14.7,14.7,29.4,2,14.7
2020-07-02 10:36:00,14.7,14.7,14.7,14.7,1,14.7
2020-07-02 11:35:00,14.85,14.85,14.85,163.35,11,14.85
2020-07-02 12:06:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-02 13:18:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-03 09:02:00,15.0,15.0,15.0,30.0,2,15.0
2020-07-03 09:09:00,15.0,15.0,15.0,120.0,8,15.0
2020-07-03 09:14:00,15.1,15.1,15.1,45.3,3,15.1
2020-07-03 09:28:00,15.0,15.0,15.0,15.0,1,15.0
2020-07-03 09:39:00,15.0,15.0,15.0,75.0,5,15.0
2020-07-03 13:00:00,14.85,14.85,14.85,14.85,1,14.85
2020-07-06 09:15:00,15.0,15.0,15.0,270.0,18,15.0
2020-07-06 09:43:00,15.05,15.05,15.05,30.1,2,15.05
2020-07-06 10:41:00,15.0,15.0,15.0,75.0,5,15.0
2020-07-06 11:57:00,15.0,15.0,15.0,30.0,2,15.0
2020-07-06 12:35:00,15.0,14.95,15.0,44.95,3,14.95
2020-07-06 12:49:00,14.95,14.95,14.95,14.95,1,14.95
2020-07-06 13:15:00,15.0,15.0,15.0,75.0,5,15.0
2020-07-06 13:32:00,15.05,15.05,15.05,15.05,1,15.05
2020-07-07 09:15:00,14.9,14.9,14.9,14.9,1,14.9
2020-07-07 09:39:00,14.85,14.85,14.85,89.1,6,14.85
2020-07-07 11:44:00,14.9,14.9,14.9,14.9,1,14.9
2020-07-07 11:47:00,14.9,14.9,14.9,44.7,3,14.9
2020-07-08 09:02:00,14.95,14.95,14.95,14.95,1,14.95
2020-07-08 09:32:00,14.85,14.85,14.85,74.25,5,14.85
2020-07-09 09:00:00,14.9,14.8,14.9,44.55,3,14.8
2020-07-09 09:26:00,14.9,14.9,14.9,14.9,1,14.9
2020-07-09 09:32:00,15.0,15.0,15.0,210.0,14,15.0
2020-07-09 09:33:00,15.05,15.05,15.05,30.1,2,15.05
2020-07-09 09:34:00,15.15,15.15,15.15,15.15,1,15.15
2020-07-09 09:41:00,15.1,15.1,15.1,45.3,3,15.1
2020-07-09 09:42:00,15.15,15.15,15.15,15.15,1,15.15
2020-07-09 09:48:00,15.2,15.2,15.2,15.2,1,15.2
2020-07-09 10:14:00,15.15,15.15,15.15,30.3,2,15.15
2020-07-09 10:16:00,15.2,15.2,15.2,15.2,1,15.2
2020-07-09 11:08:00,15.0,15.0,15.0,30.0,2,15.0
2020-07-09 11:46:00,15.05,15.05,15.05,15.05,1,15.05
2020-07-09 13:03:00,15.0,15.0,15.0,15.0,1,15.0
2020-07-09 13:24:00,15.0,15.0,15.0,15.0,1,15.0
2020-07-10 09:08:00,14.9,14.9,14.9,14.9,1,14.9
2020-07-10 09:09:00,14.9,14.85,14.9,104.0,7,14.85
2020-07-10 09:17:00,14.8,14.8,14.8,29.6,2,14.8
2020-07-10 09:19:00,14.75,14.75,14.75,73.75,5,14.75
2020-07-10 09:20:00,14.7,14.7,14.7,73.5,5,14.7
2020-07-10 09:25:00,14.7,14.7,14.7,29.4,2,14.7
2020-07-10 09:32:00,14.5,14.5,14.5,101.5,7,14.5
2020-07-10 09:58:00,14.55,14.55,14.55,29.1,2,14.55
2020-07-10 12:06:00,14.6,14.6,14.6,14.6,1,14.6
2020-07-10 13:13:00,14.45,14.45,14.45,14.45,1,14.45
2020-07-13 09:35:00,14.55,14.55,14.55,14.55,1,14.55
2020-07-13 09:38:00,14.55,14.55,14.55,87.3,6,14.55
2020-07-13 13:10:00,14.7,14.7,14.7,14.7,1,14.7
2020-07-13 13:12:00,14.65,14.65,14.65,87.9,6,14.65
2020-07-13 13:21:00,14.7,14.7,14.7,14.7,1,14.7
2020-07-14 09:06:00,14.85,14.75,14.75,29.6,2,14.85
2020-07-14 09:07:00,15.05,14.8,15.05,119.4,8,14.8
2020-07-14 09:52:00,15.05,14.95,14.95,30.0,2,15.05
2020-07-14 09:54:00,15.05,15.05,15.05,15.05,1,15.05
2020-07-14 09:55:00,15.0,15.0,15.0,15.0,1,15.0
2020-07-14 10:15:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-14 10:17:00,14.8,14.8,14.8,133.2,9,14.8
2020-07-14 10:19:00,14.8,14.8,14.8,88.8,6,14.8
2020-07-14 11:09:00,14.75,14.75,14.75,14.75,1,14.75
2020-07-14 11:12:00,14.75,14.75,14.75,44.25,3,14.75
2020-07-15 09:25:00,14.65,14.65,14.65,14.65,1,14.65
2020-07-15 10:48:00,14.6,14.6,14.6,87.6,6,14.6
2020-07-15 12:04:00,14.55,14.55,14.55,72.75,5,14.55
2020-07-15 12:26:00,14.5,14.5,14.5,29.0,2,14.5
2020-07-15 13:45:00,14.65,14.65,14.65,14.65,1,14.65
2020-07-16 09:17:00,14.65,14.65,14.65,14.65,1,14.65
2020-07-16 09:20:00,14.65,14.6,14.65,29.25,2,14.6
2020-07-16 09:22:00,14.6,14.6,14.6,43.8,3,14.6
2020-07-16 10:31:00,14.65,14.65,14.65,14.65,1,14.65
2020-07-16 10:37:00,14.65,14.65,14.65,14.65,1,14.65
2020-07-16 10:44:00,14.7,14.65,14.65,323.35,22,14.7
2020-07-16 10:53:00,14.7,14.7,14.7,73.5,5,14.7
2020-07-16 11:05:00,14.7,14.7,14.7,88.2,6,14.7
2020-07-16 11:25:00,14.65,14.65,14.65,73.25,5,14.65
2020-07-16 11:26:00,14.6,14.6,14.6,43.8,3,14.6
2020-07-16 11:56:00,14.65,14.65,14.65,102.55,7,14.65
2020-07-16 12:02:00,14.8,14.8,14.8,44.4,3,14.8
2020-07-16 12:16:00,14.85,14.8,14.85,44.5,3,14.8
2020-07-16 12:17:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-16 12:27:00,14.85,14.85,14.85,29.7,2,14.85
2020-07-16 12:39:00,14.8,14.8,14.8,59.2,4,14.8
2020-07-16 13:20:00,14.75,14.75,14.75,29.5,2,14.75
2020-07-16 13:21:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-16 13:27:00,14.8,14.8,14.8,29.6,2,14.8
2020-07-16 13:31:00,14.75,14.75,14.75,44.25,3,14.75
2020-07-16 13:35:00,14.75,14.75,14.75,29.5,2,14.75
2020-07-17 09:22:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-17 09:23:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-17 09:29:00,14.85,14.85,14.85,14.85,1,14.85
2020-07-17 09:37:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-17 09:48:00,14.8,14.8,14.8,14.8,1,14.8
2020-07-17 10:25:00,14.8,14.75,14.75,44.3,3,14.8
2020-07-17 10:51:00,14.75,14.75,14.75,73.75,5,14.75
