ts,High,Low,Open,Amount,Volume,Close
2020-07-01 09:00:00,8.31,8.31,8.31,8.31,1,8.31
2020-07-01 09:23:00,8.27,8.27,8.27,24.81,3,8.27
2020-07-01 09:24:00,8.27,8.27,8.27,107.51,13,8.27
2020-07-01 11:14:00,8.29,8.29,8.29,16.58,2,8.29
2020-07-01 12:19:00,8.29,8.29,8.29,8.29,1,8.29
2020-07-01 12:54:00,8.28,8.28,8.28,41.4,5,8.28
2020-07-01 13:20:00,8.27,8.27,8.27,8.27,1,8.27
2020-07-01 13:38:00,8.28,8.28,8.28,8.28,1,8.28
2020-07-02 09:25:00,8.28,8.28,8.28,8.28,1,8.28
2020-07-02 09:51:00,8.32,8.32,8.32,83.2,10,8.32
2020-07-02 09:58:00,8.33,8.33,8.33,41.65,5,8.33
2020-07-02 10:00:00,8.34,8.34,8.34,33.36,4,8.34
2020-07-02 10:02:00,8.35,8.34,8.34,50.09,6,8.35
2020-07-02 10:20:00,8.33,8.33,8.33,41.65,5,8.33
2020-07-02 13:04:00,8.3,8.3,8.3,8.3,1,8.3
2020-07-02 13:19:00,8.32,8.32,8.32,41.6,5,8.32
2020-07-03 08:46:00,8.34,8.34,8.34,33.36,4,8.34
2020-07-03 08:57:00,8.34,8.34,8.34,8.34,1,8.34
2020-07-03 08:59:00,8.34,8.34,8.34,8.34,1,8.34
2020-07-03 09:04:00,8.35,8.35,8.35,8.35,1,8.35
2020-07-03 09:05:00,8.35,8.35,8.35,8.35,1,8.35
2020-07-03 09:06:00,8.36,8.35,8.35,75.21,9,8.36
2020-07-03 09:08:00,8.35,8.35,8.35,16.7,2,8.35
2020-07-03 09:13:00,8.33,8.33,8.33,8.33,1,8.33
2020-07-03 09:16:00,8.32,8.32,8.32,8.32,1,8.32
2020-07-03 09:26:00,8.31,8.31,8.31,8.31,1,8.31
2020-07-03 09:27:00,8.32,8.32,8.32,8.32,1,8.32
2020-07-03 10:10:00,8.3,8.3,8.3,8.3,1,8.3
2020-07-03 10:42:00,8.3,8.3,8.3,24.9,3,8.3
2020-07-03 10:46:00,8.3,8.3,8.3,8.3,1,8.3
2020-07-03 10:48:00,8.3,8.3,8.3,8.3,1,8.3
2020-07-03 11:55:00,8.3,8.3,8.3,8.3,1,8.3
2020-07-06 09:24:00,8.33,8.33,8.33,8.33,1,8.33
2020-07-06 09:28:00,8.33,8.33,8.33,41.65,5,8.33
2020-07-06 09:47:00,8.33,8.33,8.33,624.75,75,8.33
2020-07-06 09:54:00,8.36,8.36,8.36,8.36,1,8.36
2020-07-06 10:03:00,8.38,8.38,8.38,16.76,2,8.38
2020-07-06 10:08:00,8.37,8.37,8.37,16.74,2,8.37
2020-07-06 10:20:00,8.39,8.39,8.39,16.78,2,8.39
2020-07-06 10:24:00,8.37,8.37,8.37,41.85,5,8.37
2020-07-06 10:42:00,8.39,8.38,8.38,117.37,14,8.39
2020-07-06 10:47:00,8.41,8.41,8.41,25.23,3,8.41
2020-07-06 10:59:00,8.4,8.4,8.4,8.4,1,8.4
2020-07-06 11:16:00,8.4,8.4,8.4,8.4,1,8.4
2020-07-06 11:18:00,8.41,8.41,8.41,8.41,1,8.41
2020-07-06 11:28:00,8.41,8.41,8.41,42.05,5,8.41
2020-07-06 11:40:00,8.42,8.42,8.42,42.1,5,8.42
2020-07-06 11:47:00,8.42,8.42,8.42,8.42,1,8.42
2020-07-06 11:50:00,8.42,8.42,8.42,42.1,5,8.42
2020-07-06 11:51:00,8.43,8.43,8.43,16.86,2,8.43
2020-07-06 11:53:00,8.41,8.41,8.41,8.41,1,8.41
2020-07-06 11:54:00,8.42,8.42,8.42,50.52,6,8.42
2020-07-06 11:55:00,8.42,8.42,8.42,8.42,1,8.42
2020-07-06 11:57:00,8.42,8.42,8.42,8.42,1,8.42
2020-07-06 11:58:00,8.43,8.43,8.43,25.29,3,8.43
2020-07-06 12:00:00,8.44,8.44,8.44,42.2,5,8.44
2020-07-06 12:01:00,8.43,8.43,8.43,42.15,5,8.43
2020-07-06 12:08:00,8.43,8.43,8.43,92.73,11,8.43
2020-07-06 12:19:00,8.42,8.42,8.42,16.84,2,8.42
2020-07-06 12:29:00,8.41,8.41,8.41,8.41,1,8.41
2020-07-06 12:30:00,8.4,8.4,8.4,16.8,2,8.4
2020-07-06 12:32:00,8.39,8.39,8.39,16.78,2,8.39
2020-07-06 12:49:00,8.41,8.41,8.41,16.82,2,8.41
2020-07-06 12:54:00,8.41,8.41,8.41,92.51,11,8.41
2020-07-06 13:01:00,8.42,8.42,8.42,8.42,1,8.42
2020-07-06 13:25:00,8.42,8.42,8.42,42.1,5,8.42
2020-07-06 13:32:00,8.42,8.42,8.42,8.42,1,8.42
2020-07-07 09:00:00,8.49,8.49,8.49,16.98,2,8.49
2020-07-07 09:07:00,8.42,8.42,8.42,16.84,2,8.42
2020-07-07 09:15:00,8.41,8.41,8.41,8.41,1,8.41
2020-07-07 09:20:00,8.41,8.41,8.41,8.41,1,8.41
