ts,High,Low,Open,Amount,Volume,Close
2020-08-19 13:31:00,24.85,24.8,24.8,149.05,6,24.85
2020-08-19 13:32:00,24.8,24.8,24.8,24.8,1,24.8
2020-08-20 08:48:00,25.0,25.0,25.0,50.0,2,25.0
2020-08-20 08:52:00,24.8,24.8,24.8,24.8,1,24.8
2020-08-20 08:57:00,24.8,24.8,24.8,24.8,1,24.8
2020-08-20 09:01:00,24.5,24.5,24.5,24.5,1,24.5
2020-08-20 09:07:00,24.2,24.1,24.2,168.8,7,24.1
2020-08-20 09:09:00,24.2,24.2,24.2,96.8,4,24.2
2020-08-20 09:10:00,24.3,24.3,24.3,24.3,1,24.3
2020-08-20 09:11:00,24.2,24.2,24.2,24.2,1,24.2
2020-08-20 09:15:00,24.25,24.2,24.25,484.55,20,24.25
2020-08-20 09:16:00,24.2,24.1,24.2,120.75,5,24.1
2020-08-20 09:19:00,24.2,24.2,24.2,96.8,4,24.2
2020-08-20 09:20:00,24.25,24.2,24.2,121.05,5,24.25
2020-08-20 09:22:00,24.6,24.6,24.6,73.8,3,24.6
2020-08-20 09:25:00,24.0,24.0,24.0,24.0,1,24.0
2020-08-20 09:26:00,24.0,23.95,24.0,143.95,6,23.95
2020-08-20 09:27:00,23.95,23.95,23.95,23.95,1,23.95
2020-08-20 09:34:00,23.65,23.55,23.55,118.15,5,23.65
2020-08-20 09:37:00,23.9,23.9,23.9,95.6,4,23.9
2020-08-20 09:42:00,23.9,23.8,23.9,143.3,6,23.8
2020-08-20 09:46:00,23.55,23.15,23.55,117.25,5,23.15
2020-08-20 09:48:00,23.2,23.15,23.15,69.5,3,23.2
2020-08-20 09:50:00,23.15,23.15,23.15,23.15,1,23.15
2020-08-20 09:51:00,23.2,23.2,23.2,23.2,1,23.2
2020-08-20 09:59:00,23.1,23.1,23.1,115.5,5,23.1
2020-08-20 10:01:00,23.5,23.5,23.5,23.5,1,23.5
2020-08-20 10:02:00,23.45,23.45,23.45,23.45,1,23.45
2020-08-20 10:03:00,23.45,23.45,23.45,23.45,1,23.45
2020-08-20 10:06:00,23.45,23.45,23.45,23.45,1,23.45
2020-08-20 10:07:00,23.4,23.4,23.4,23.4,1,23.4
2020-08-20 10:12:00,23.35,23.35,23.35,23.35,1,23.35
2020-08-20 10:17:00,23.25,23.25,23.25,116.25,5,23.25
2020-08-20 10:23:00,23.35,23.2,23.2,396.65,17,23.35
2020-08-20 10:33:00,23.0,23.0,23.0,23.0,1,23.0
2020-08-20 10:34:00,22.85,22.85,22.85,22.85,1,22.85
2020-08-20 10:36:00,22.8,22.7,22.8,136.4,6,22.7
2020-08-20 10:37:00,22.65,22.65,22.65,22.65,1,22.65
2020-08-20 10:38:00,22.75,22.75,22.75,22.75,1,22.75
2020-08-20 10:42:00,22.35,22.35,22.35,44.7,2,22.35
2020-08-20 10:44:00,22.35,22.35,22.35,44.7,2,22.35
2020-08-20 10:45:00,22.45,22.45,22.45,44.9,2,22.45
2020-08-20 10:46:00,22.55,22.5,22.5,427.9,19,22.5
2020-08-20 10:47:00,22.55,22.55,22.55,157.85,7,22.55
2020-08-20 10:51:00,23.05,23.05,23.05,23.05,1,23.05
2020-08-20 10:54:00,23.3,23.2,23.3,93.1,4,23.2
2020-08-20 11:03:00,23.1,23.1,23.1,46.2,2,23.1
2020-08-20 11:11:00,23.2,23.2,23.2,23.2,1,23.2
2020-08-20 11:13:00,23.1,23.1,23.1,92.4,4,23.1
2020-08-20 11:29:00,23.35,23.35,23.35,93.4,4,23.35
2020-08-20 11:43:00,23.3,23.3,23.3,209.7,9,23.3
2020-08-20 11:44:00,23.35,23.35,23.35,23.35,1,23.35
2020-08-20 11:46:00,23.4,23.4,23.4,23.4,1,23.4
2020-08-20 11:55:00,23.4,23.4,23.4,70.2,3,23.4
2020-08-20 12:01:00,23.3,23.3,23.3,69.9,3,23.3
2020-08-20 12:10:00,23.25,23.25,23.25,46.5,2,23.25
2020-08-20 12:20:00,23.25,23.25,23.25,139.5,6,23.25
2020-08-20 12:32:00,23.25,23.2,23.25,92.85,4,23.2
2020-08-20 12:43:00,23.0,23.0,23.0,23.0,1,23.0
2020-08-20 13:02:00,23.0,23.0,23.0,23.0,1,23.0
2020-08-20 13:32:00,23.3,23.3,23.3,23.3,1,23.3
2020-08-21 08:49:00,23.55,23.55,23.55,23.55,1,23.55
2020-08-21 09:00:00,24.15,24.15,24.15,24.15,1,24.15
2020-08-21 09:02:00,24.1,24.1,24.1,24.1,1,24.1
2020-08-21 09:03:00,24.1,24.1,24.1,48.2,2,24.1
2020-08-21 09:04:00,24.1,24.0,24.1,72.15,3,24.05
2020-08-21 09:05:00,24.1,24.0,24.05,96.15,4,24.0
2020-08-21 09:06:00,24.2,24.05,24.05,96.5,4,24.2
2020-08-21 09:07:00,24.4,24.3,24.3,48.7,2,24.4
2020-08-21 09:12:00,24.5,24.5,24.5,24.5,1,24.5
2020-08-21 09:14:00,24.6,24.6,24.6,24.6,1,24.6
2020-08-21 09:15:00,24.65,24.65,24.65,197.2,8,24.65
2020-08-21 09:16:00,25.0,24.7,24.7,124.0,5,25.0
2020-08-21 09:17:00,25.0,25.0,25.0,100.0,4,25.0
2020-08-21 09:18:00,25.0,25.0,25.0,25.0,1,25.0
2020-08-21 09:19:00,25.05,25.05,25.05,25.05,1,25.05
2020-08-21 09:20:00,24.9,24.9,24.9,49.8,2,24.9
2020-08-21 09:26:00,24.55,24.55,24.55,49.1,2,24.55
2020-08-21 09:27:00,24.55,24.55,24.55,73.65,3,24.55
2020-08-21 09:31:00,24.8,24.8,24.8,24.8,1,24.8
2020-08-21 09:34:00,24.65,24.65,24.65,49.3,2,24.65
2020-08-21 09:42:00,24.35,24.35,24.35,48.7,2,24.35
2020-08-21 09:43:00,24.4,24.4,24.4,24.4,1,24.4
2020-08-21 09:44:00,24.45,24.4,24.45,48.85,2,24.4
2020-08-21 09:50:00,24.45,24.4,24.45,48.85,2,24.4
2020-08-21 09:57:00,24.7,24.65,24.7,49.35,2,24.65
2020-08-21 10:00:00,24.75,24.75,24.75,123.75,5,24.75
2020-08-21 10:01:00,24.95,24.95,24.95,49.9,2,24.95
2020-08-21 10:02:00,25.0,25.0,25.0,50.0,2,25.0
2020-08-21 10:03:00,25.0,24.85,25.0,49.85,2,24.85
2020-08-21 10:05:00,24.8,24.8,24.8,49.6,2,24.8
2020-08-21 10:13:00,24.8,24.8,24.8,74.4,3,24.8
2020-08-21 10:18:00,24.95,24.95,24.95,49.9,2,24.95
2020-08-21 10:19:00,24.95,24.95,24.95,24.95,1,24.95
2020-08-21 10:20:00,24.95,24.9,24.95,473.35,19,24.9
2020-08-21 10:22:00,24.85,24.85,24.85,24.85,1,24.85
2020-08-21 10:25:00,24.9,24.9,24.9,24.9,1,24.9
2020-08-21 10:26:00,25.05,25.05,25.05,175.35,7,25.05
2020-08-21 10:27:00,25.05,25.05,25.05,25.05,1,25.05
2020-08-21 10:28:00,25.1,25.05,25.05,276.05,11,25.1
2020-08-21 10:29:00,25.25,25.2,25.25,302.85,12,25.25
2020-08-21 10:30:00,25.25,25.25,25.25,328.25,13,25.25
2020-08-21 10:31:00,25.2,25.2,25.2,25.2,1,25.2
2020-08-21 10:33:00,25.2,25.2,25.2,277.2,11,25.2
2020-08-21 10:34:00,25.15,25.1,25.15,301.7,12,25.1
2020-08-21 10:37:00,25.3,25.3,25.3,25.3,1,25.3
2020-08-21 10:39:00,25.25,25.2,25.25,277.7,11,25.2
2020-08-21 10:40:00,25.25,25.2,25.25,554.45,22,25.2
2020-08-21 10:44:00,25.25,25.25,25.25,75.75,3,25.25
2020-08-21 10:46:00,25.15,25.15,25.15,25.15,1,25.15
2020-08-21 10:47:00,25.25,25.15,25.15,126.0,5,25.25
2020-08-21 10:49:00,25.25,25.25,25.25,50.5,2,25.25
2020-08-21 10:51:00,25.3,25.3,25.3,253.0,10,25.3
2020-08-21 10:53:00,25.3,25.25,25.3,75.85,3,25.3
2020-08-21 10:54:00,25.3,25.3,25.3,25.3,1,25.3
2020-08-21 10:56:00,25.25,25.25,25.25,25.25,1,25.25
2020-08-21 10:57:00,25.25,25.25,25.25,25.25,1,25.25
2020-08-21 10:58:00,25.25,25.25,25.25,50.5,2,25.25
2020-08-21 10:59:00,25.25,25.25,25.25,50.5,2,25.25
2020-08-21 11:00:00,25.2,25.15,25.2,201.25,8,25.15
2020-08-21 11:02:00,25.15,25.15,25.15,75.45,3,25.15
2020-08-21 11:03:00,25.2,25.15,25.2,50.35,2,25.15
2020-08-21 11:04:00,25.15,25.15,25.15,25.15,1,25.15
