ts,High,Low,Open,Amount,Volume,Close
2020-07-01 08:46:00,34.65,34.6,34.6,103.85,3,34.65
2020-07-01 08:49:00,34.85,34.75,34.85,104.35,3,34.75
2020-07-01 08:50:00,34.8,34.8,34.8,34.8,1,34.8
2020-07-01 08:52:00,35.2,35.0,35.0,140.5,4,35.2
2020-07-01 08:53:00,35.2,35.15,35.15,70.35,2,35.2
2020-07-01 08:54:00,35.5,35.3,35.3,247.75,7,35.35
2020-07-01 08:55:00,35.35,35.2,35.35,176.3,5,35.2
2020-07-01 08:57:00,35.1,35.0,35.1,175.1,5,35.0
2020-07-01 08:59:00,35.0,34.85,35.0,139.75,4,34.85
2020-07-01 09:00:00,35.0,34.85,35.0,139.55,4,34.85
2020-07-01 09:01:00,35.0,34.8,34.85,872.4,25,35.0
2020-07-01 09:02:00,35.0,34.95,34.95,314.9,9,35.0
2020-07-01 09:03:00,35.05,35.0,35.0,280.2,8,35.0
2020-07-01 09:04:00,35.05,34.95,34.95,525.0,15,35.05
2020-07-01 09:05:00,35.05,35.0,35.05,140.05,4,35.0
2020-07-01 09:06:00,34.95,34.8,34.95,523.5,15,34.8
2020-07-01 09:07:00,34.75,34.7,34.75,590.55,17,34.75
2020-07-01 09:08:00,34.8,34.75,34.8,139.05,4,34.75
2020-07-01 09:09:00,34.85,34.85,34.85,34.85,1,34.85
2020-07-01 09:10:00,34.9,34.85,34.9,139.55,4,34.9
2020-07-01 09:11:00,34.95,34.95,34.95,104.85,3,34.95
2020-07-01 09:13:00,35.0,34.9,35.0,139.8,4,34.9
2020-07-01 09:14:00,34.9,34.9,34.9,104.7,3,34.9
2020-07-01 09:17:00,34.9,34.85,34.9,104.6,3,34.85
2020-07-01 09:18:00,34.85,34.7,34.85,556.9,16,34.7
2020-07-01 09:19:00,34.75,34.7,34.7,173.6,5,34.7
2020-07-01 09:20:00,34.75,34.75,34.75,34.75,1,34.75
2020-07-01 09:21:00,34.7,34.65,34.7,138.65,4,34.65
2020-07-01 09:22:00,34.65,34.6,34.65,173.05,5,34.6
2020-07-01 09:23:00,34.65,34.6,34.6,103.9,3,34.65
2020-07-01 09:24:00,34.6,34.6,34.6,276.8,8,34.6
2020-07-01 09:25:00,34.65,34.65,34.65,103.95,3,34.65
2020-07-01 09:26:00,34.7,34.7,34.7,173.5,5,34.7
2020-07-01 09:27:00,34.7,34.7,34.7,138.8,4,34.7
2020-07-01 09:29:00,34.7,34.65,34.7,69.35,2,34.65
2020-07-01 09:30:00,34.7,34.7,34.7,104.1,3,34.7
2020-07-01 09:32:00,34.85,34.75,34.75,417.5,12,34.85
2020-07-01 09:33:00,34.85,34.85,34.85,139.4,4,34.85
2020-07-01 09:34:00,34.85,34.8,34.85,69.65,2,34.8
