ts,High,Low,Open,Amount,Volume,Close
2020-07-01 08:46:00,90.8,90.0,90.8,452.4,5,90.4
2020-07-01 08:47:00,89.7,89.6,89.6,358.5,4,89.7
2020-07-01 08:50:00,89.9,89.7,89.7,628.4,7,89.9
2020-07-01 08:51:00,90.2,90.2,90.2,180.4,2,90.2
2020-07-01 08:53:00,90.0,89.8,90.0,449.7,5,89.8
2020-07-01 08:54:00,90.2,89.8,89.8,360.1,4,90.2
2020-07-01 08:55:00,90.0,90.0,90.0,90.0,1,90.0
2020-07-01 08:56:00,89.8,89.8,89.8,89.8,1,89.8
2020-07-01 08:57:00,90.0,89.7,90.0,449.2,5,89.7
2020-07-01 08:58:00,89.6,89.6,89.6,89.6,1,89.6
2020-07-01 08:59:00,89.5,89.3,89.5,178.8,2,89.3
2020-07-01 09:00:00,89.8,89.5,89.5,268.9,3,89.8
2020-07-01 09:01:00,90.1,89.8,89.8,1079.7,12,90.1
2020-07-01 09:02:00,90.2,89.6,90.2,629.0,7,89.6
2020-07-01 09:03:00,89.8,89.7,89.7,448.8,5,89.8
2020-07-01 09:04:00,89.8,89.6,89.8,269.0,3,89.6
2020-07-01 09:05:00,89.6,89.5,89.6,268.7,3,89.5
2020-07-01 09:06:00,89.6,89.4,89.6,537.1,6,89.5
2020-07-01 09:09:00,89.5,89.5,89.5,537.0,6,89.5
2020-07-01 09:10:00,89.7,89.5,89.7,268.9,3,89.5
2020-07-01 09:11:00,89.6,89.6,89.6,89.6,1,89.6
2020-07-01 09:12:00,89.8,89.8,89.8,179.6,2,89.8
2020-07-01 09:13:00,90.2,90.0,90.0,991.0,11,90.2
2020-07-01 09:14:00,90.2,90.1,90.1,360.6,4,90.2
2020-07-01 09:15:00,90.1,89.9,90.1,630.2,7,89.9
2020-07-01 09:16:00,90.0,90.0,90.0,90.0,1,90.0
2020-07-01 09:17:00,89.8,89.8,89.8,269.4,3,89.8
2020-07-01 09:18:00,89.7,89.7,89.7,179.4,2,89.7
2020-07-01 09:23:00,89.7,89.7,89.7,89.7,1,89.7
2020-07-01 09:25:00,89.9,89.8,89.8,179.7,2,89.9
2020-07-01 09:26:00,90.0,90.0,90.0,270.0,3,90.0
2020-07-01 09:27:00,90.3,90.1,90.1,451.2,5,90.3
2020-07-01 09:28:00,90.3,90.3,90.3,90.3,1,90.3
2020-07-01 09:29:00,90.3,90.3,90.3,90.3,1,90.3
2020-07-01 09:31:00,90.5,90.4,90.4,180.9,2,90.5
2020-07-01 09:35:00,90.4,90.2,90.2,180.6,2,90.4
2020-07-01 09:36:00,90.3,90.3,90.3,180.6,2,90.3
2020-07-01 09:42:00,90.6,90.5,90.5,724.1,8,90.6
2020-07-01 09:43:00,90.7,90.7,90.7,90.7,1,90.7
2020-07-01 09:44:00,90.6,90.6,90.6,90.6,1,90.6
2020-07-01 09:45:00,90.7,90.5,90.7,181.2,2,90.5
2020-07-01 09:47:00,90.6,90.5,90.5,271.7,3,90.6
2020-07-01 09:48:00,90.7,90.6,90.7,634.3,7,90.6
2020-07-01 09:49:00,90.6,90.6,90.6,90.6,1,90.6
2020-07-01 09:52:00,90.6,90.6,90.6,181.2,2,90.6
2020-07-01 09:55:00,90.7,90.6,90.6,1269.7,14,90.7
2020-07-01 09:56:00,90.7,90.7,90.7,181.4,2,90.7
2020-07-01 09:57:00,91.0,90.8,90.8,1363.6,15,91.0
2020-07-01 09:58:00,91.3,91.1,91.1,547.2,6,91.3
2020-07-01 09:59:00,91.3,91.2,91.2,182.5,2,91.3
2020-07-01 10:01:00,91.4,91.2,91.2,547.8,6,91.4
2020-07-01 10:02:00,91.2,91.0,91.2,273.3,3,91.0
2020-07-01 10:03:00,91.2,91.1,91.1,182.3,2,91.2
2020-07-01 10:06:00,91.2,91.2,91.2,182.4,2,91.2
2020-07-01 10:07:00,91.2,91.1,91.1,273.5,3,91.2
2020-07-01 10:09:00,91.1,91.1,91.1,91.1,1,91.1
2020-07-01 10:10:00,91.0,91.0,91.0,91.0,1,91.0
2020-07-01 10:11:00,91.0,91.0,91.0,91.0,1,91.0
2020-07-01 10:16:00,91.1,91.1,91.1,91.1,1,91.1
2020-07-01 10:22:00,91.3,91.2,91.2,1095.5,12,91.3
2020-07-01 10:23:00,91.3,91.1,91.3,1094.1,12,91.1
2020-07-01 10:24:00,91.1,91.0,91.1,455.3,5,91.1
2020-07-01 10:25:00,91.2,91.1,91.2,1003.1,11,91.1
2020-07-01 10:26:00,91.2,91.2,91.2,182.4,2,91.2
2020-07-01 10:27:00,91.2,91.2,91.2,182.4,2,91.2
2020-07-01 10:28:00,91.7,91.4,91.4,824.3,9,91.7
2020-07-01 10:29:00,91.9,91.7,91.8,642.4,7,91.7
2020-07-01 10:30:00,92.0,91.8,91.8,1103.8,12,92.0
2020-07-01 10:31:00,92.0,92.0,92.0,276.0,3,92.0
2020-07-01 10:32:00,91.9,91.9,91.9,275.7,3,91.9
2020-07-01 10:33:00,91.9,91.9,91.9,183.8,2,91.9
2020-07-01 10:34:00,91.8,91.8,91.8,91.8,1,91.8
2020-07-01 10:35:00,91.9,91.9,91.9,183.8,2,91.9
2020-07-01 10:36:00,92.4,92.1,92.1,1014.8,11,92.4
2020-07-01 10:37:00,92.5,92.3,92.3,461.9,5,92.5
2020-07-01 10:38:00,92.7,92.5,92.5,833.5,9,92.6
2020-07-01 10:39:00,92.6,92.6,92.6,92.6,1,92.6
2020-07-01 10:40:00,92.8,92.5,92.7,926.7,10,92.5
2020-07-01 10:41:00,92.4,92.4,92.4,92.4,1,92.4
2020-07-01 10:42:00,92.3,92.3,92.3,92.3,1,92.3
2020-07-01 10:43:00,92.3,92.3,92.3,92.3,1,92.3
2020-07-01 10:44:00,92.3,92.3,92.3,184.6,2,92.3
2020-07-01 10:48:00,92.3,92.3,92.3,92.3,1,92.3
2020-07-01 10:49:00,92.5,92.5,92.5,92.5,1,92.5
2020-07-01 10:51:00,92.4,92.4,92.4,92.4,1,92.4
2020-07-01 10:58:00,92.5,92.5,92.5,92.5,1,92.5
2020-07-01 10:59:00,92.5,92.5,92.5,92.5,1,92.5
2020-07-01 11:01:00,92.5,92.5,92.5,92.5,1,92.5
2020-07-01 11:04:00,92.6,92.6,92.6,648.2,7,92.6
2020-07-01 11:05:00,92.7,92.7,92.7,92.7,1,92.7
2020-07-01 11:06:00,93.1,92.8,92.8,1207.2,13,93.1
2020-07-01 11:07:00,93.4,93.2,93.2,466.2,5,93.4
2020-07-01 11:08:00,93.7,93.4,93.6,748.5,8,93.4
2020-07-01 11:09:00,93.5,93.4,93.4,280.3,3,93.5
2020-07-01 11:10:00,93.5,93.4,93.5,186.9,2,93.4
2020-07-01 11:11:00,93.6,93.4,93.4,187.0,2,93.6
2020-07-01 11:12:00,94.0,93.7,93.7,469.0,5,94.0
2020-07-01 11:13:00,94.1,93.9,93.9,751.9,8,94.1
2020-07-01 11:14:00,94.2,94.1,94.1,753.2,8,94.2
2020-07-01 11:15:00,94.2,94.0,94.2,282.4,3,94.0
2020-07-01 11:16:00,94.0,93.9,93.9,187.9,2,94.0
2020-07-01 11:17:00,93.9,93.9,93.9,93.9,1,93.9
2020-07-01 11:18:00,94.1,94.1,94.1,94.1,1,94.1
2020-07-01 11:20:00,94.3,94.0,94.2,282.5,3,94.0
2020-07-01 11:21:00,93.9,93.7,93.9,1031.6,11,93.7
2020-07-01 11:22:00,93.7,93.7,93.7,93.7,1,93.7
2020-07-01 11:23:00,93.9,93.9,93.9,1971.9,21,93.9
2020-07-01 11:24:00,93.9,93.7,93.9,2343.4,25,93.8
2020-07-01 11:27:00,94.0,93.8,93.8,1973.7,21,93.9
2020-07-01 11:28:00,94.2,93.8,94.1,1127.9,12,93.8
