ts,High,Low,Open,Amount,Volume,Close
2020-07-01 08:50:00,70.5,70.5,70.5,70.5,1,70.5
2020-07-01 09:01:00,70.8,70.7,70.7,212.2,3,70.7
2020-07-01 09:02:00,70.5,70.5,70.5,70.5,1,70.5
2020-07-01 09:05:00,70.5,70.5,70.5,493.5,7,70.5
2020-07-01 09:07:00,70.6,70.6,70.6,70.6,1,70.6
2020-07-01 09:08:00,70.6,70.6,70.6,70.6,1,70.6
2020-07-01 09:18:00,70.6,70.4,70.6,423.0,6,70.4
2020-07-01 09:21:00,70.3,70.3,70.3,70.3,1,70.3
2020-07-01 09:22:00,70.4,70.3,70.3,140.7,2,70.4
2020-07-01 09:25:00,70.5,70.5,70.5,141.0,2,70.5
2020-07-01 09:26:00,70.5,70.4,70.4,281.9,4,70.5
2020-07-01 09:27:00,70.7,70.7,70.7,70.7,1,70.7
2020-07-01 09:28:00,70.8,70.8,70.8,70.8,1,70.8
2020-07-01 09:29:00,70.7,70.7,70.7,141.4,2,70.7
2020-07-01 09:30:00,70.7,70.7,70.7,70.7,1,70.7
2020-07-01 09:31:00,70.7,70.7,70.7,141.4,2,70.7
2020-07-01 09:35:00,70.5,70.5,70.5,70.5,1,70.5
2020-07-01 09:36:00,70.5,70.5,70.5,70.5,1,70.5
2020-07-01 09:43:00,70.6,70.6,70.6,211.8,3,70.6
2020-07-01 09:46:00,70.9,70.8,70.8,212.6,3,70.9
2020-07-01 09:48:00,70.9,70.8,70.8,212.6,3,70.9
2020-07-01 09:53:00,70.8,70.8,70.8,70.8,1,70.8
2020-07-01 09:54:00,70.8,70.8,70.8,70.8,1,70.8
2020-07-01 09:58:00,70.8,70.8,70.8,70.8,1,70.8
2020-07-01 10:01:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-01 10:06:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-01 10:09:00,71.0,71.0,71.0,142.0,2,71.0
2020-07-01 10:16:00,71.0,71.0,71.0,71.0,1,71.0
2020-07-01 10:17:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-01 10:20:00,71.1,70.9,70.9,567.6,8,71.1
2020-07-01 10:31:00,71.2,71.1,71.2,2989.7,42,71.1
2020-07-01 10:33:00,71.0,71.0,71.0,1562.0,22,71.0
2020-07-01 10:34:00,71.3,71.0,71.0,1920.8,27,71.3
2020-07-01 10:35:00,71.2,71.2,71.2,71.2,1,71.2
2020-07-01 10:36:00,71.2,71.2,71.2,213.6,3,71.2
