ts,High,Low,Open,Amount,Volume,Close
2020-07-01 09:08:00,51.7,51.7,51.7,51.7,1,51.7
2020-07-01 09:12:00,51.6,51.6,51.6,206.4,4,51.6
2020-07-01 09:26:00,51.6,51.6,51.6,206.4,4,51.6
2020-07-01 09:32:00,51.6,51.6,51.6,103.2,2,51.6
2020-07-01 09:54:00,51.6,51.6,51.6,51.6,1,51.6
2020-07-01 09:55:00,51.5,51.5,51.5,51.5,1,51.5
2020-07-01 11:12:00,51.7,51.7,51.7,51.7,1,51.7
2020-07-01 11:22:00,51.7,51.7,51.7,51.7,1,51.7
2020-07-01 11:28:00,51.7,51.7,51.7,51.7,1,51.7
2020-07-01 11:39:00,51.7,51.7,51.7,51.7,1,51.7
2020-07-01 12:33:00,51.9,51.9,51.9,51.9,1,51.9
2020-07-01 13:10:00,52.0,52.0,52.0,52.0,1,52.0
2020-07-01 13:16:00,51.9,51.9,51.9,51.9,1,51.9
2020-07-01 13:19:00,51.8,51.8,51.8,155.4,3,51.8
2020-07-02 09:25:00,52.9,52.9,52.9,52.9,1,52.9
2020-07-02 09:27:00,52.7,52.7,52.7,52.7,1,52.7
2020-07-02 09:42:00,53.0,53.0,53.0,53.0,1,53.0
2020-07-02 09:51:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-02 09:54:00,54.3,54.3,54.3,54.3,1,54.3
2020-07-02 10:04:00,54.1,54.1,54.1,54.1,1,54.1
2020-07-02 10:10:00,54.2,54.2,54.2,216.8,4,54.2
2020-07-02 10:15:00,54.3,54.3,54.3,54.3,1,54.3
2020-07-02 10:16:00,54.2,54.2,54.2,54.2,1,54.2
2020-07-02 10:20:00,54.1,54.1,54.1,54.1,1,54.1
2020-07-02 10:50:00,53.9,53.9,53.9,53.9,1,53.9
2020-07-02 10:52:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-02 11:06:00,54.1,54.1,54.1,54.1,1,54.1
2020-07-02 11:45:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-02 12:18:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-02 13:16:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-02 13:21:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-03 09:01:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-03 09:07:00,54.2,54.1,54.1,108.3,2,54.2
2020-07-03 09:13:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-03 09:21:00,54.0,54.0,54.0,54.0,1,54.0
2020-07-03 09:38:00,53.9,53.9,53.9,431.2,8,53.9
2020-07-03 09:51:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-03 09:52:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-03 09:58:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-03 10:01:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-03 10:07:00,53.8,53.8,53.8,161.4,3,53.8
2020-07-03 10:23:00,53.7,53.7,53.7,268.5,5,53.7
2020-07-03 10:27:00,53.7,53.7,53.7,53.7,1,53.7
2020-07-03 10:31:00,53.7,53.7,53.7,53.7,1,53.7
2020-07-03 11:46:00,53.8,53.8,53.8,53.8,1,53.8
2020-07-03 12:13:00,53.7,53.7,53.7,107.4,2,53.7
2020-07-03 12:24:00,53.6,53.6,53.6,53.6,1,53.6
2020-07-03 12:46:00,53.5,53.5,53.5,160.5,3,53.5
