ts,High,Low,Open,Amount,Volume,Close
2020-07-01 09:12:00,6.56,6.56,6.56,65.6,10,6.56
2020-07-01 09:29:00,6.54,6.54,6.54,6.54,1,6.54
2020-07-01 10:19:00,6.53,6.53,6.53,6.53,1,6.53
2020-07-01 12:07:00,6.51,6.51,6.51,13.02,2,6.51
2020-07-01 12:08:00,6.51,6.51,6.51,6.51,1,6.51
2020-07-01 12:39:00,6.5,6.5,6.5,136.5,21,6.5
2020-07-01 13:05:00,6.49,6.49,6.49,6.49,1,6.49
2020-07-01 13:07:00,6.49,6.49,6.49,32.45,5,6.49
2020-07-01 13:09:00,6.48,6.48,6.48,25.92,4,6.48
2020-07-01 13:14:00,6.48,6.48,6.48,6.48,1,6.48
2020-07-01 13:16:00,6.49,6.49,6.49,32.45,5,6.49
2020-07-02 09:44:00,6.49,6.49,6.49,12.98,2,6.49
2020-07-02 10:10:00,6.5,6.5,6.5,39.0,6,6.5
2020-07-02 10:11:00,6.52,6.52,6.52,19.56,3,6.52
2020-07-02 10:15:00,6.54,6.54,6.54,6.54,1,6.54
2020-07-02 10:27:00,6.57,6.57,6.57,45.99,7,6.57
2020-07-02 10:29:00,6.58,6.58,6.58,6.58,1,6.58
2020-07-02 10:35:00,6.58,6.58,6.58,59.22,9,6.58
2020-07-02 10:53:00,6.56,6.56,6.56,6.56,1,6.56
2020-07-02 10:58:00,6.56,6.56,6.56,164.0,25,6.56
2020-07-02 11:05:00,6.56,6.55,6.56,13.11,2,6.55
2020-07-02 11:15:00,6.58,6.58,6.58,46.06,7,6.58
2020-07-02 11:17:00,6.61,6.61,6.61,33.05,5,6.61
2020-07-02 11:18:00,6.6,6.6,6.6,13.2,2,6.6
2020-07-02 11:28:00,6.59,6.59,6.59,32.95,5,6.59
2020-07-02 11:34:00,6.59,6.59,6.59,59.31,9,6.59
2020-07-02 11:41:00,6.58,6.58,6.58,131.6,20,6.58
2020-07-02 11:56:00,6.58,6.58,6.58,65.8,10,6.58
2020-07-02 12:03:00,6.57,6.57,6.57,13.14,2,6.57
2020-07-02 12:10:00,6.6,6.6,6.6,39.6,6,6.6
2020-07-02 12:33:00,6.6,6.6,6.6,33.0,5,6.6
2020-07-02 12:52:00,6.6,6.6,6.6,6.6,1,6.6
2020-07-02 12:54:00,6.6,6.6,6.6,6.6,1,6.6
2020-07-02 13:11:00,6.58,6.58,6.58,6.58,1,6.58
2020-07-02 13:15:00,6.58,6.58,6.58,6.58,1,6.58
2020-07-02 13:19:00,6.57,6.57,6.57,65.7,10,6.57
2020-07-02 13:21:00,6.58,6.58,6.58,19.74,3,6.58
2020-07-02 13:23:00,6.57,6.57,6.57,65.7,10,6.57
2020-07-03 09:04:00,6.57,6.57,6.57,32.85,5,6.57
2020-07-03 09:05:00,6.56,6.53,6.56,176.7,27,6.54
2020-07-03 09:10:00,6.54,6.54,6.54,6.54,1,6.54
2020-07-03 09:18:00,6.59,6.55,6.55,26.32,4,6.59
2020-07-03 09:19:00,6.57,6.56,6.57,26.27,4,6.56
2020-07-03 09:38:00,6.56,6.52,6.56,137.13,21,6.52
2020-07-03 09:42:00,6.51,6.51,6.51,6.51,1,6.51
2020-07-03 09:58:00,6.49,6.49,6.49,32.45,5,6.49
2020-07-03 10:00:00,6.48,6.48,6.48,38.88,6,6.48
2020-07-03 10:09:00,6.5,6.5,6.5,195.0,30,6.5
2020-07-03 10:40:00,6.5,6.5,6.5,13.0,2,6.5
2020-07-03 10:45:00,6.48,6.48,6.48,6.48,1,6.48
2020-07-03 10:49:00,6.47,6.47,6.47,6.47,1,6.47
2020-07-03 11:21:00,6.46,6.46,6.46,12.92,2,6.46
2020-07-03 13:15:00,6.49,6.49,6.49,6.49,1,6.49
2020-07-03 13:16:00,6.49,6.48,6.49,32.43,5,6.48
2020-07-03 13:18:00,6.48,6.48,6.48,12.96,2,6.48
2020-07-03 13:42:00,6.5,6.5,6.5,13.0,2,6.5
2020-07-06 09:08:00,6.59,6.59,6.59,6.59,1,6.59
2020-07-06 09:10:00,6.64,6.63,6.63,59.73,9,6.64
