ts,High,Low,Open,Amount,Volume,Close
2020-07-01 10:19:00,53.4,53.4,53.4,53.4,1,53.4
2020-07-02 09:12:00,54.7,54.7,54.7,54.7,1,54.7
2020-07-02 09:13:00,54.7,54.6,54.7,109.3,2,54.6
2020-07-02 09:15:00,54.7,54.6,54.7,327.7,6,54.6
2020-07-02 09:18:00,54.4,54.4,54.4,54.4,1,54.4
2020-07-02 09:33:00,54.6,54.6,54.6,273.0,5,54.6
2020-07-02 11:12:00,54.6,54.6,54.6,54.6,1,54.6
2020-07-02 12:48:00,54.2,54.2,54.2,54.2,1,54.2
2020-07-02 13:18:00,54.1,54.1,54.1,108.2,2,54.1
2020-07-03 09:05:00,54.8,54.8,54.8,54.8,1,54.8
2020-07-03 09:12:00,54.8,54.8,54.8,54.8,1,54.8
2020-07-06 09:16:00,55.0,55.0,55.0,55.0,1,55.0
2020-07-06 09:18:00,54.9,54.9,54.9,54.9,1,54.9
2020-07-06 11:02:00,54.5,54.5,54.5,54.5,1,54.5
2020-07-06 11:43:00,54.5,54.5,54.5,54.5,1,54.5
2020-07-06 12:08:00,54.5,54.5,54.5,54.5,1,54.5
2020-07-06 13:13:00,54.5,54.5,54.5,109.0,2,54.5
2020-07-07 09:06:00,55.0,55.0,55.0,55.0,1,55.0
2020-07-07 09:08:00,56.2,56.2,56.2,56.2,1,56.2
2020-07-07 09:23:00,55.0,55.0,55.0,55.0,1,55.0
2020-07-07 09:25:00,55.2,55.2,55.2,276.0,5,55.2
2020-07-07 09:29:00,55.1,55.1,55.1,55.1,1,55.1
2020-07-07 09:31:00,55.2,55.2,55.2,55.2,1,55.2
2020-07-07 09:34:00,55.7,55.4,55.4,111.1,2,55.7
2020-07-07 09:36:00,56.2,56.2,56.2,56.2,1,56.2
2020-07-07 09:44:00,56.9,56.6,56.6,113.5,2,56.9
2020-07-07 09:47:00,56.6,56.6,56.6,283.0,5,56.6
2020-07-07 09:52:00,55.9,55.9,55.9,55.9,1,55.9
2020-07-07 09:53:00,55.9,55.9,55.9,55.9,1,55.9
2020-07-07 09:54:00,56.0,55.9,55.9,111.9,2,56.0
2020-07-07 10:10:00,55.9,55.9,55.9,55.9,1,55.9
2020-07-07 10:11:00,55.8,55.8,55.8,55.8,1,55.8
2020-07-07 10:12:00,55.8,55.8,55.8,55.8,1,55.8
2020-07-07 10:35:00,55.8,55.8,55.8,55.8,1,55.8
2020-07-07 10:40:00,56.0,56.0,56.0,56.0,1,56.0
2020-07-07 11:28:00,56.5,56.0,56.5,280.5,5,56.0
2020-07-07 11:37:00,56.5,56.5,56.5,56.5,1,56.5
2020-07-07 11:54:00,57.4,57.4,57.4,57.4,1,57.4
2020-07-07 12:04:00,57.0,57.0,57.0,57.0,1,57.0
2020-07-07 12:17:00,56.5,56.5,56.5,56.5,1,56.5
2020-07-07 12:33:00,56.5,56.5,56.5,56.5,1,56.5
2020-07-07 12:35:00,56.4,56.4,56.4,56.4,1,56.4
2020-07-07 12:57:00,57.3,57.3,57.3,171.9,3,57.3
2020-07-07 12:58:00,57.2,57.2,57.2,57.2,1,57.2
2020-07-08 09:01:00,56.0,56.0,56.0,56.0,1,56.0
2020-07-08 09:08:00,56.0,56.0,56.0,56.0,1,56.0
2020-07-08 09:19:00,56.0,56.0,56.0,56.0,1,56.0
2020-07-08 09:23:00,56.0,56.0,56.0,56.0,1,56.0
2020-07-08 09:29:00,56.1,56.1,56.1,56.1,1,56.1
2020-07-08 09:31:00,55.8,55.8,55.8,111.6,2,55.8
2020-07-08 09:39:00,56.0,56.0,56.0,56.0,1,56.0
2020-07-08 09:44:00,56.4,56.4,56.4,56.4,1,56.4
2020-07-08 09:53:00,59.1,59.0,59.1,118.1,2,59.0
2020-07-08 09:56:00,59.3,59.3,59.3,59.3,1,59.3
2020-07-08 09:57:00,60.4,60.0,60.2,240.8,4,60.4
2020-07-08 09:58:00,60.2,60.1,60.1,120.3,2,60.2
2020-07-08 10:00:00,60.2,60.2,60.2,60.2,1,60.2
2020-07-08 10:02:00,60.8,60.5,60.5,242.3,4,60.8
2020-07-08 10:03:00,60.5,60.5,60.5,121.0,2,60.5
2020-07-08 10:05:00,59.8,59.8,59.8,59.8,1,59.8
2020-07-08 10:07:00,60.0,59.9,60.0,239.9,4,59.9
2020-07-08 10:13:00,61.8,61.3,61.3,246.2,4,61.8
2020-07-08 10:14:00,61.2,61.2,61.2,61.2,1,61.2
2020-07-08 10:16:00,61.2,61.2,61.2,61.2,1,61.2
2020-07-08 10:17:00,61.8,61.7,61.7,123.5,2,61.8
2020-07-08 10:18:00,61.9,61.9,61.9,61.9,1,61.9
2020-07-08 10:22:00,62.2,62.2,62.2,62.2,1,62.2
2020-07-08 10:35:00,62.2,62.2,62.2,62.2,1,62.2
2020-07-08 10:50:00,62.9,62.9,62.9,62.9,1,62.9
2020-07-08 12:13:00,62.4,62.4,62.4,62.4,1,62.4
2020-07-09 08:46:00,66.0,66.0,66.0,66.0,1,66.0
2020-07-09 08:49:00,65.7,65.7,65.7,65.7,1,65.7
2020-07-09 08:50:00,65.7,65.7,65.7,65.7,1,65.7
2020-07-09 08:51:00,65.7,65.7,65.7,65.7,1,65.7
2020-07-09 08:52:00,66.0,65.7,65.7,329.4,5,66.0
2020-07-09 08:55:00,66.0,66.0,66.0,66.0,1,66.0
2020-07-09 08:56:00,66.9,66.4,66.4,266.7,4,66.9
2020-07-09 08:58:00,66.9,66.9,66.9,66.9,1,66.9
2020-07-09 08:59:00,66.9,66.9,66.9,66.9,1,66.9
2020-07-09 09:00:00,66.7,66.7,66.7,66.7,1,66.7
2020-07-09 09:01:00,63.8,63.2,63.8,127.0,2,63.2
2020-07-09 09:02:00,64.7,64.6,64.7,129.3,2,64.6
2020-07-09 09:03:00,65.2,65.2,65.2,65.2,1,65.2
2020-07-09 09:05:00,65.2,65.2,65.2,130.4,2,65.2
2020-07-09 09:06:00,65.2,65.2,65.2,65.2,1,65.2
2020-07-09 09:07:00,65.2,65.2,65.2,65.2,1,65.2
2020-07-09 09:10:00,66.3,66.1,66.3,198.7,3,66.1
2020-07-09 09:11:00,65.6,65.3,65.6,196.2,3,65.3
2020-07-09 09:12:00,65.2,65.2,65.2,195.6,3,65.2
2020-07-09 09:13:00,65.1,64.7,64.8,324.6,5,65.1
2020-07-09 09:15:00,64.7,64.7,64.7,64.7,1,64.7
2020-07-09 09:16:00,65.3,65.3,65.3,65.3,1,65.3
2020-07-09 09:17:00,65.6,65.6,65.6,65.6,1,65.6
2020-07-09 09:19:00,65.0,65.0,65.0,65.0,1,65.0
2020-07-09 09:20:00,64.2,64.2,64.2,64.2,1,64.2
2020-07-09 09:31:00,64.5,64.5,64.5,129.0,2,64.5
2020-07-09 09:32:00,64.7,64.7,64.7,64.7,1,64.7
2020-07-09 09:34:00,64.6,64.6,64.6,64.6,1,64.6
2020-07-09 09:37:00,64.5,64.5,64.5,64.5,1,64.5
2020-07-09 09:46:00,64.3,64.3,64.3,64.3,1,64.3
2020-07-09 09:50:00,64.1,64.1,64.1,64.1,1,64.1
2020-07-09 09:58:00,64.6,64.6,64.6,64.6,1,64.6
2020-07-09 10:07:00,64.5,64.5,64.5,64.5,1,64.5
2020-07-09 10:14:00,65.3,65.3,65.3,130.6,2,65.3
2020-07-09 10:15:00,65.3,65.3,65.3,65.3,1,65.3
2020-07-09 10:18:00,65.1,65.1,65.1,65.1,1,65.1
2020-07-09 10:19:00,65.0,65.0,65.0,65.0,1,65.0
2020-07-09 10:22:00,65.1,65.1,65.1,65.1,1,65.1
2020-07-09 10:33:00,66.0,66.0,66.0,66.0,1,66.0
2020-07-09 10:35:00,66.0,66.0,66.0,66.0,1,66.0
2020-07-09 10:40:00,67.0,65.6,65.6,198.6,3,67.0
2020-07-09 10:41:00,67.5,67.4,67.4,202.4,3,67.5
2020-07-09 10:42:00,67.8,67.5,67.8,202.8,3,67.5
2020-07-09 10:46:00,67.0,67.0,67.0,67.0,1,67.0
2020-07-09 10:47:00,67.1,67.1,67.1,67.1,1,67.1
2020-07-09 10:50:00,67.8,67.8,67.8,67.8,1,67.8
2020-07-09 10:53:00,67.6,67.6,67.6,67.6,1,67.6
2020-07-09 10:57:00,67.5,67.5,67.5,67.5,1,67.5
2020-07-09 11:24:00,65.1,65.1,65.1,65.1,1,65.1
2020-07-09 11:45:00,67.0,67.0,67.0,67.0,1,67.0
2020-07-09 11:48:00,66.6,66.6,66.6,66.6,1,66.6
2020-07-09 11:51:00,66.5,66.5,66.5,66.5,1,66.5
2020-07-09 12:02:00,67.3,67.3,67.3,201.9,3,67.3
2020-07-09 12:08:00,66.8,66.8,66.8,66.8,1,66.8
2020-07-09 12:19:00,67.3,67.3,67.3,336.5,5,67.3
2020-07-09 12:28:00,67.1,67.1,67.1,67.1,1,67.1
2020-07-09 12:31:00,66.5,66.5,66.5,66.5,1,66.5
2020-07-09 12:48:00,66.4,66.4,66.4,66.4,1,66.4
2020-07-09 12:59:00,66.8,66.8,66.8,133.6,2,66.8
2020-07-09 13:00:00,66.9,66.9,66.9,200.7,3,66.9
2020-07-09 13:03:00,66.7,66.7,66.7,133.4,2,66.7
2020-07-09 13:04:00,66.7,66.7,66.7,66.7,1,66.7
2020-07-09 13:08:00,66.7,66.6,66.7,466.3,7,66.6
2020-07-09 13:09:00,66.5,66.5,66.5,66.5,1,66.5
2020-07-09 13:14:00,66.0,65.8,66.0,131.8,2,65.8
2020-07-09 13:18:00,65.8,65.8,65.8,131.6,2,65.8
2020-07-09 13:24:00,65.4,65.4,65.4,65.4,1,65.4
2020-07-09 13:29:00,65.4,65.4,65.4,65.4,1,65.4
2020-07-10 09:06:00,65.8,65.8,65.8,65.8,1,65.8
2020-07-10 09:07:00,65.5,65.5,65.5,327.5,5,65.5
2020-07-10 09:12:00,64.4,64.4,64.4,64.4,1,64.4
2020-07-10 09:13:00,64.0,64.0,64.0,128.0,2,64.0
2020-07-10 09:15:00,63.7,63.7,63.7,63.7,1,63.7
2020-07-10 09:16:00,63.2,62.2,63.2,251.2,4,62.2
2020-07-10 09:17:00,62.5,62.5,62.5,62.5,1,62.5
2020-07-10 09:18:00,63.0,62.4,63.0,125.4,2,62.4
2020-07-10 09:19:00,62.0,62.0,62.0,62.0,1,62.0
2020-07-10 09:23:00,61.5,61.5,61.5,61.5,1,61.5
2020-07-10 09:24:00,61.0,61.0,61.0,122.0,2,61.0
2020-07-10 09:25:00,61.2,61.0,61.2,183.2,3,61.0
2020-07-10 09:27:00,60.1,59.5,60.1,239.2,4,59.5
2020-07-10 09:33:00,59.8,59.8,59.8,59.8,1,59.8
2020-07-10 09:34:00,60.3,60.3,60.3,723.6,12,60.3
2020-07-10 09:35:00,61.2,61.2,61.2,61.2,1,61.2
2020-07-10 09:40:00,61.2,61.2,61.2,61.2,1,61.2
2020-07-10 09:48:00,60.8,60.8,60.8,121.6,2,60.8
2020-07-10 09:52:00,61.0,61.0,61.0,122.0,2,61.0
2020-07-10 10:29:00,61.4,61.4,61.4,61.4,1,61.4
2020-07-10 10:42:00,60.9,60.9,60.9,60.9,1,60.9
2020-07-10 10:45:00,60.8,60.8,60.8,60.8,1,60.8
2020-07-10 12:24:00,60.0,60.0,60.0,120.0,2,60.0
2020-07-10 12:34:00,59.9,59.9,59.9,299.5,5,59.9
2020-07-10 12:36:00,59.6,59.6,59.6,59.6,1,59.6
2020-07-10 12:39:00,59.7,59.7,59.7,59.7,1,59.7
2020-07-10 12:49:00,60.0,60.0,60.0,60.0,1,60.0
2020-07-10 13:17:00,59.4,59.4,59.4,59.4,1,59.4
2020-07-10 13:24:00,60.1,60.0,60.0,120.1,2,60.1
2020-07-10 13:27:00,60.2,60.2,60.2,60.2,1,60.2
2020-07-13 09:03:00,62.0,62.0,62.0,62.0,1,62.0
2020-07-13 09:04:00,61.8,61.8,61.8,61.8,1,61.8
2020-07-13 09:08:00,62.0,61.8,61.8,247.8,4,62.0
2020-07-13 09:11:00,63.6,62.3,62.3,125.9,2,63.6
2020-07-13 09:12:00,64.0,64.0,64.0,64.0,1,64.0
2020-07-13 09:14:00,63.7,63.4,63.4,127.1,2,63.7
2020-07-13 09:20:00,64.7,64.7,64.7,64.7,1,64.7
2020-07-13 09:21:00,65.5,65.2,65.2,261.3,4,65.3
2020-07-13 09:23:00,64.4,64.4,64.4,64.4,1,64.4
2020-07-13 09:24:00,64.4,64.4,64.4,64.4,1,64.4
2020-07-13 09:27:00,64.5,64.5,64.5,64.5,1,64.5
2020-07-13 09:37:00,63.8,63.8,63.8,63.8,1,63.8
2020-07-13 09:45:00,63.9,63.9,63.9,63.9,1,63.9
2020-07-13 09:52:00,63.5,63.5,63.5,63.5,1,63.5
2020-07-13 10:03:00,63.0,63.0,63.0,63.0,1,63.0
2020-07-13 10:10:00,63.8,63.8,63.8,63.8,1,63.8
2020-07-13 10:29:00,63.8,63.8,63.8,510.4,8,63.8
2020-07-13 10:31:00,64.3,64.3,64.3,64.3,1,64.3
2020-07-13 10:42:00,64.0,64.0,64.0,64.0,1,64.0
2020-07-13 13:01:00,64.3,64.2,64.3,128.5,2,64.2
2020-07-13 13:09:00,64.7,64.5,64.5,129.2,2,64.7
2020-07-13 13:13:00,65.0,64.9,64.9,129.9,2,65.0
2020-07-13 13:14:00,65.1,65.0,65.1,130.1,2,65.0
2020-07-13 13:15:00,65.6,65.5,65.5,131.1,2,65.6
2020-07-13 13:16:00,66.2,65.9,65.9,198.1,3,66.2
2020-07-13 13:25:00,66.2,66.2,66.2,66.2,1,66.2
2020-07-14 08:55:00,67.9,67.9,67.9,67.9,1,67.9
2020-07-14 09:00:00,67.8,59.6,67.8,195.0,3,59.6
2020-07-14 09:04:00,65.5,65.5,65.5,65.5,1,65.5
2020-07-14 09:06:00,67.6,66.4,66.4,200.8,3,67.6
2020-07-14 09:08:00,67.8,67.8,67.8,67.8,1,67.8
2020-07-14 09:09:00,66.5,66.5,66.5,399.0,6,66.5
2020-07-14 09:10:00,69.6,66.9,67.0,337.5,5,69.6
2020-07-14 09:11:00,70.1,70.1,70.1,70.1,1,70.1
2020-07-14 09:14:00,71.0,71.0,71.0,142.0,2,71.0
2020-07-14 09:15:00,71.2,70.9,71.1,213.2,3,70.9
2020-07-14 09:16:00,71.0,71.0,71.0,71.0,1,71.0
2020-07-14 09:17:00,71.4,71.3,71.4,214.1,3,71.3
2020-07-14 09:19:00,71.4,71.3,71.4,142.7,2,71.3
2020-07-14 09:20:00,71.3,70.9,71.3,142.2,2,70.9
2020-07-14 09:21:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-14 09:22:00,70.5,70.4,70.4,211.3,3,70.4
2020-07-14 09:23:00,70.3,70.3,70.3,70.3,1,70.3
2020-07-14 09:24:00,70.0,70.0,70.0,70.0,1,70.0
2020-07-14 09:27:00,70.5,70.5,70.5,70.5,1,70.5
2020-07-14 09:34:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-14 09:37:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-14 09:48:00,71.1,70.9,71.1,142.0,2,70.9
2020-07-14 10:00:00,70.9,70.9,70.9,70.9,1,70.9
2020-07-14 10:34:00,70.0,70.0,70.0,70.0,1,70.0
2020-07-14 11:04:00,69.5,69.5,69.5,69.5,1,69.5
2020-07-14 11:11:00,68.7,68.7,68.7,68.7,1,68.7
2020-07-14 11:41:00,69.9,69.9,69.9,69.9,1,69.9
2020-07-14 12:20:00,69.2,69.1,69.2,138.3,2,69.1
2020-07-14 12:23:00,69.3,69.3,69.3,69.3,1,69.3
2020-07-14 12:24:00,68.9,68.7,68.9,137.6,2,68.7
2020-07-14 12:27:00,69.3,69.3,69.3,69.3,1,69.3
2020-07-14 12:34:00,69.8,69.8,69.8,69.8,1,69.8
2020-07-14 13:09:00,70.7,70.4,70.7,211.8,3,70.4
2020-07-14 13:10:00,70.4,70.4,70.4,140.8,2,70.4
2020-07-14 13:20:00,72.6,72.2,72.2,144.8,2,72.6
2020-07-14 13:21:00,72.6,72.6,72.6,72.6,1,72.6
2020-07-14 13:22:00,72.8,72.8,72.8,72.8,1,72.8
2020-07-15 09:04:00,75.2,74.6,74.6,149.8,2,75.2
2020-07-15 09:05:00,76.2,75.2,75.4,455.0,6,75.2
2020-07-15 09:06:00,74.9,74.9,74.9,149.8,2,74.9
2020-07-15 09:09:00,74.9,74.0,74.9,148.9,2,74.0
2020-07-15 09:12:00,74.3,74.3,74.3,148.6,2,74.3
2020-07-15 09:16:00,74.3,74.3,74.3,74.3,1,74.3
2020-07-15 09:26:00,74.3,74.3,74.3,74.3,1,74.3
2020-07-15 09:27:00,73.8,73.7,73.8,147.5,2,73.7
2020-07-15 09:29:00,73.4,73.4,73.4,73.4,1,73.4
2020-07-15 09:31:00,72.8,72.8,72.8,145.6,2,72.8
2020-07-15 09:32:00,73.0,73.0,73.0,146.0,2,73.0
2020-07-15 09:37:00,74.0,74.0,74.0,74.0,1,74.0
2020-07-15 10:00:00,73.0,73.0,73.0,73.0,1,73.0
2020-07-15 10:21:00,71.8,71.8,71.8,215.4,3,71.8
2020-07-15 11:13:00,71.0,71.0,71.0,71.0,1,71.0
2020-07-15 11:15:00,70.8,70.8,70.8,70.8,1,70.8
2020-07-15 11:17:00,70.2,70.2,70.2,70.2,1,70.2
2020-07-15 11:33:00,68.2,68.1,68.2,136.3,2,68.1
2020-07-15 11:38:00,68.3,68.3,68.3,273.2,4,68.3
2020-07-15 11:41:00,68.1,68.1,68.1,68.1,1,68.1
2020-07-15 11:43:00,68.0,67.9,68.0,135.9,2,67.9
2020-07-15 11:46:00,67.6,67.6,67.6,67.6,1,67.6
2020-07-15 11:50:00,67.1,67.1,67.1,134.2,2,67.1
2020-07-15 11:51:00,66.6,66.6,66.6,66.6,1,66.6
2020-07-15 11:53:00,66.4,66.4,66.4,66.4,1,66.4
2020-07-15 11:55:00,66.5,66.3,66.5,132.8,2,66.3
2020-07-15 11:56:00,66.3,66.3,66.3,66.3,1,66.3
2020-07-15 12:17:00,66.6,66.6,66.6,133.2,2,66.6
2020-07-15 12:18:00,66.3,66.3,66.3,66.3,1,66.3
2020-07-15 12:20:00,66.4,66.4,66.4,132.8,2,66.4
2020-07-15 12:22:00,66.4,66.4,66.4,66.4,1,66.4
2020-07-15 12:24:00,66.2,66.2,66.2,66.2,1,66.2
2020-07-15 12:53:00,66.7,66.7,66.7,66.7,1,66.7
2020-07-15 12:55:00,66.9,66.9,66.9,66.9,1,66.9
2020-07-15 12:57:00,67.0,67.0,67.0,67.0,1,67.0
2020-07-15 13:13:00,66.3,66.2,66.2,132.5,2,66.3
2020-07-15 13:14:00,66.2,66.2,66.2,132.4,2,66.2
2020-07-15 13:20:00,66.2,66.1,66.2,198.5,3,66.2
2020-07-15 13:21:00,66.1,66.1,66.1,198.3,3,66.1
2020-07-15 13:27:00,66.4,66.4,66.4,66.4,1,66.4
2020-07-16 08:59:00,67.5,67.5,67.5,135.0,2,67.5
2020-07-16 09:02:00,68.2,67.4,67.4,338.7,5,68.2
2020-07-16 09:03:00,68.5,68.3,68.4,273.5,4,68.3
2020-07-16 09:04:00,68.3,68.2,68.3,136.5,2,68.2
2020-07-16 09:07:00,67.1,67.1,67.1,67.1,1,67.1
2020-07-16 09:15:00,68.2,68.1,68.1,136.3,2,68.2
2020-07-16 09:16:00,68.9,68.8,68.8,206.6,3,68.9
2020-07-16 09:17:00,68.9,68.9,68.9,68.9,1,68.9
