ts,High,Low,Open,Amount,Volume,Close
2021-01-20 13:37:00,85.5,85.5,85.5,85.5,1,85.5
2021-01-20 13:42:00,85.3,85.3,85.3,85.3,1,85.3
2021-01-20 13:45:00,85.4,85.4,85.4,85.4,1,85.4
2021-01-21 08:58:00,86.7,86.7,86.7,86.7,1,86.7
2021-01-21 08:59:00,86.8,86.8,86.8,173.6,2,86.8
2021-01-21 09:00:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-21 09:01:00,86.7,86.6,86.7,173.3,2,86.6
2021-01-21 09:02:00,86.6,86.6,86.6,173.2,2,86.6
2021-01-21 09:03:00,87.2,86.3,86.7,608.1,7,87.2
2021-01-21 09:04:00,86.9,86.9,86.9,86.9,1,86.9
2021-01-21 09:06:00,86.6,86.6,86.6,86.6,1,86.6
2021-01-21 09:07:00,86.6,86.6,86.6,86.6,1,86.6
2021-01-21 09:08:00,86.6,86.6,86.6,173.2,2,86.6
2021-01-21 09:09:00,86.7,86.7,86.7,86.7,1,86.7
2021-01-21 09:10:00,86.5,86.3,86.5,259.3,3,86.3
2021-01-21 09:11:00,86.1,86.1,86.1,86.1,1,86.1
2021-01-21 09:12:00,86.3,86.3,86.3,86.3,1,86.3
2021-01-21 09:13:00,86.4,86.4,86.4,86.4,1,86.4
2021-01-21 09:16:00,86.2,86.2,86.2,86.2,1,86.2
2021-01-21 09:17:00,86.0,86.0,86.0,86.0,1,86.0
2021-01-21 09:24:00,86.5,86.5,86.5,173.0,2,86.5
2021-01-21 09:25:00,86.9,86.8,86.8,347.3,4,86.9
2021-01-21 09:26:00,87.3,87.0,87.0,958.2,11,87.3
2021-01-21 09:27:00,87.3,87.1,87.3,261.5,3,87.1
2021-01-21 09:30:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-21 09:42:00,86.9,86.7,86.9,260.5,3,86.7
2021-01-21 09:43:00,86.6,86.5,86.6,173.1,2,86.5
2021-01-21 09:44:00,86.5,86.5,86.5,605.5,7,86.5
2021-01-21 09:45:00,86.4,86.4,86.4,86.4,1,86.4
2021-01-21 09:46:00,86.4,86.4,86.4,86.4,1,86.4
2021-01-21 09:47:00,86.5,86.5,86.5,173.0,2,86.5
2021-01-21 09:52:00,86.6,86.3,86.6,259.4,3,86.3
2021-01-21 09:56:00,86.3,86.3,86.3,86.3,1,86.3
2021-01-21 09:57:00,86.4,86.4,86.4,86.4,1,86.4
2021-01-21 09:58:00,86.5,86.5,86.5,86.5,1,86.5
2021-01-21 09:59:00,86.5,86.5,86.5,86.5,1,86.5
2021-01-21 10:00:00,86.5,86.5,86.5,173.0,2,86.5
2021-01-21 10:01:00,86.6,86.6,86.6,86.6,1,86.6
2021-01-21 10:03:00,86.3,86.3,86.3,86.3,1,86.3
2021-01-21 10:08:00,86.3,86.3,86.3,86.3,1,86.3
2021-01-21 10:10:00,86.3,86.2,86.3,258.7,3,86.2
2021-01-21 10:11:00,86.1,86.1,86.1,344.4,4,86.1
2021-01-21 10:15:00,86.1,86.1,86.1,344.4,4,86.1
2021-01-21 10:22:00,86.2,86.2,86.2,172.4,2,86.2
2021-01-21 10:23:00,86.1,86.1,86.1,344.4,4,86.1
2021-01-21 10:25:00,86.2,86.2,86.2,86.2,1,86.2
2021-01-21 10:26:00,86.4,86.1,86.3,258.8,3,86.1
2021-01-21 10:27:00,86.5,86.5,86.5,346.0,4,86.5
2021-01-21 10:31:00,86.1,86.1,86.1,86.1,1,86.1
2021-01-21 10:38:00,86.2,86.2,86.2,86.2,1,86.2
2021-01-21 10:39:00,86.3,86.3,86.3,431.5,5,86.3
2021-01-21 10:40:00,86.3,86.3,86.3,86.3,1,86.3
2021-01-21 10:46:00,86.3,86.2,86.2,172.5,2,86.3
2021-01-21 10:48:00,86.1,86.1,86.1,172.2,2,86.1
2021-01-21 10:53:00,86.3,86.3,86.3,172.6,2,86.3
2021-01-21 10:54:00,86.6,86.6,86.6,173.2,2,86.6
2021-01-21 10:55:00,87.0,87.0,87.0,261.0,3,87.0
2021-01-21 10:56:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-21 10:57:00,87.1,87.1,87.1,174.2,2,87.1
2021-01-21 10:58:00,87.0,86.6,87.0,260.6,3,86.6
2021-01-21 10:59:00,86.7,86.7,86.7,260.1,3,86.7
2021-01-21 11:00:00,86.9,86.6,86.7,260.2,3,86.9
2021-01-21 11:01:00,86.9,86.9,86.9,347.6,4,86.9
2021-01-21 11:02:00,86.9,86.9,86.9,86.9,1,86.9
2021-01-21 11:03:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-21 11:06:00,86.9,86.9,86.9,86.9,1,86.9
2021-01-21 11:07:00,86.9,86.7,86.9,347.1,4,86.7
2021-01-21 11:08:00,86.6,86.6,86.6,259.8,3,86.6
2021-01-21 11:10:00,86.4,86.4,86.4,86.4,1,86.4
2021-01-21 11:16:00,86.6,86.6,86.6,86.6,1,86.6
2021-01-21 11:20:00,86.4,86.3,86.4,172.7,2,86.3
2021-01-21 11:21:00,86.3,86.3,86.3,86.3,1,86.3
2021-01-21 11:22:00,86.2,86.2,86.2,258.6,3,86.2
2021-01-21 11:24:00,86.1,86.0,86.1,602.1,7,86.0
2021-01-21 11:25:00,86.0,86.0,86.0,86.0,1,86.0
2021-01-21 11:26:00,85.9,85.9,85.9,171.8,2,85.9
2021-01-21 11:28:00,85.9,85.9,85.9,85.9,1,85.9
2021-01-21 11:31:00,85.8,85.8,85.8,85.8,1,85.8
2021-01-21 11:32:00,85.8,85.8,85.8,171.6,2,85.8
2021-01-21 11:34:00,85.8,85.8,85.8,85.8,1,85.8
2021-01-21 11:35:00,85.8,85.8,85.8,343.2,4,85.8
2021-01-21 11:36:00,85.6,85.6,85.6,256.8,3,85.6
2021-01-21 11:37:00,85.3,85.3,85.3,85.3,1,85.3
2021-01-21 11:38:00,85.2,85.0,85.2,425.5,5,85.0
2021-01-21 11:39:00,85.3,85.3,85.3,85.3,1,85.3
2021-01-21 11:40:00,85.6,85.6,85.6,85.6,1,85.6
2021-01-21 11:43:00,85.6,85.6,85.6,171.2,2,85.6
2021-01-21 11:44:00,85.4,85.4,85.4,170.8,2,85.4
2021-01-21 11:52:00,85.5,85.5,85.5,85.5,1,85.5
2021-01-21 11:57:00,85.6,85.6,85.6,85.6,1,85.6
2021-01-21 11:59:00,85.6,85.6,85.6,171.2,2,85.6
2021-01-21 12:03:00,85.5,85.5,85.5,85.5,1,85.5
2021-01-21 12:15:00,85.4,85.4,85.4,85.4,1,85.4
2021-01-21 12:18:00,85.4,85.4,85.4,85.4,1,85.4
2021-01-21 12:49:00,85.9,85.9,85.9,85.9,1,85.9
2021-01-21 12:57:00,85.8,85.6,85.8,257.1,3,85.6
2021-01-21 13:05:00,85.5,85.5,85.5,85.5,1,85.5
2021-01-21 13:07:00,85.4,85.4,85.4,170.8,2,85.4
2021-01-21 13:13:00,85.6,85.6,85.6,85.6,1,85.6
2021-01-21 13:27:00,85.8,85.7,85.7,257.3,3,85.8
2021-01-21 13:28:00,85.9,85.9,85.9,171.8,2,85.9
2021-01-21 13:29:00,86.0,86.0,86.0,86.0,1,86.0
2021-01-21 13:30:00,85.9,85.9,85.9,171.8,2,85.9
2021-01-21 13:31:00,85.7,85.5,85.7,171.2,2,85.5
2021-01-21 13:32:00,85.5,85.5,85.5,85.5,1,85.5
2021-01-22 08:48:00,86.2,86.2,86.2,172.4,2,86.2
2021-01-22 08:53:00,86.0,86.0,86.0,86.0,1,86.0
2021-01-22 08:59:00,85.8,85.8,85.8,85.8,1,85.8
2021-01-22 09:00:00,86.0,86.0,86.0,344.0,4,86.0
2021-01-22 09:01:00,86.1,86.0,86.0,1376.1,16,86.1
2021-01-22 09:02:00,87.2,86.6,86.6,435.1,5,87.2
2021-01-22 09:03:00,87.4,87.4,87.4,87.4,1,87.4
2021-01-22 09:05:00,86.9,86.6,86.9,173.5,2,86.6
2021-01-22 09:06:00,86.5,86.5,86.5,173.0,2,86.5
2021-01-22 09:08:00,87.2,87.2,87.2,87.2,1,87.2
2021-01-22 09:09:00,87.5,87.3,87.3,174.8,2,87.5
2021-01-22 09:10:00,87.5,87.5,87.5,87.5,1,87.5
2021-01-22 09:12:00,87.9,87.6,87.9,350.7,4,87.6
2021-01-22 09:13:00,87.7,87.6,87.7,613.4,7,87.6
2021-01-22 09:14:00,87.5,87.5,87.5,175.0,2,87.5
2021-01-22 09:16:00,87.2,87.2,87.2,87.2,1,87.2
2021-01-22 09:25:00,87.1,87.1,87.1,87.1,1,87.1
2021-01-22 09:27:00,87.0,86.9,87.0,173.9,2,86.9
2021-01-22 09:31:00,86.9,86.8,86.9,260.5,3,86.8
2021-01-22 09:33:00,86.8,86.8,86.8,173.6,2,86.8
2021-01-22 09:34:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-22 09:36:00,86.9,86.9,86.9,86.9,1,86.9
2021-01-22 09:39:00,87.3,87.2,87.2,174.5,2,87.3
2021-01-22 09:42:00,87.3,87.3,87.3,87.3,1,87.3
2021-01-22 09:43:00,87.3,87.3,87.3,87.3,1,87.3
2021-01-22 09:46:00,87.3,87.3,87.3,261.9,3,87.3
2021-01-22 09:48:00,87.4,87.4,87.4,87.4,1,87.4
2021-01-22 09:50:00,87.3,87.1,87.3,436.0,5,87.1
2021-01-22 09:55:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-22 10:00:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-22 10:01:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-22 10:03:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-22 10:05:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-22 10:11:00,87.0,87.0,87.0,87.0,1,87.0
2021-01-22 10:14:00,86.9,86.9,86.9,86.9,1,86.9
2021-01-22 10:15:00,86.8,86.8,86.8,173.6,2,86.8
2021-01-22 10:16:00,86.8,86.8,86.8,173.6,2,86.8
2021-01-22 10:17:00,86.6,86.6,86.6,173.2,2,86.6
2021-01-22 10:18:00,86.6,86.5,86.6,173.1,2,86.5
2021-01-22 10:19:00,86.7,86.7,86.7,86.7,1,86.7
2021-01-22 10:24:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-22 10:27:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-22 10:35:00,86.8,86.8,86.8,86.8,1,86.8
2021-01-22 10:37:00,87.1,87.1,87.1,87.1,1,87.1
2021-01-22 10:38:00,87.4,87.4,87.4,87.4,1,87.4
2021-01-22 10:39:00,87.7,87.7,87.7,175.4,2,87.7
2021-01-22 10:40:00,87.7,87.6,87.7,263.0,3,87.6
2021-01-22 10:41:00,87.7,87.7,87.7,87.7,1,87.7
2021-01-22 10:42:00,87.6,87.6,87.6,87.6,1,87.6
2021-01-22 10:49:00,87.6,87.6,87.6,87.6,1,87.6
