ts,High,Low,Open,Amount,Volume,Close
2023-02-10 09:05:00,38.35,38.35,38.35,38.35,1,38.35
2023-02-10 09:06:00,38.45,38.45,38.45,76.9,2,38.45
2023-02-10 09:07:00,38.4,38.4,38.4,384.0,10,38.4
2023-02-10 09:08:00,38.5,38.5,38.5,38.5,1,38.5
2023-02-10 09:09:00,38.55,38.55,38.55,38.55,1,38.55
2023-02-10 09:10:00,38.3,38.3,38.3,38.3,1,38.3
2023-02-10 09:13:00,38.25,38.25,38.25,114.75,3,38.25
2023-02-10 09:17:00,38.05,38.05,38.05,38.05,1,38.05
2023-02-10 09:21:00,38.7,38.5,38.5,308.55,8,38.7
2023-02-10 09:22:00,38.8,38.75,38.75,193.95,5,38.8
2023-02-10 09:24:00,39.05,38.95,39.05,273.1,7,38.95
2023-02-10 09:25:00,38.85,38.8,38.8,116.45,3,38.85
2023-02-10 09:26:00,38.9,38.8,38.8,77.7,2,38.9
2023-02-10 09:27:00,39.0,39.0,39.0,78.0,2,39.0
2023-02-10 09:28:00,39.05,39.05,39.05,976.25,25,39.05
2023-02-10 09:29:00,38.95,38.9,38.95,77.85,2,38.9
2023-02-10 09:31:00,39.25,39.1,39.1,274.6,7,39.25
2023-02-10 09:32:00,39.35,39.2,39.2,825.25,21,39.25
2023-02-10 09:33:00,39.8,39.5,39.5,1625.8,41,39.8
2023-02-10 09:34:00,39.85,39.45,39.85,714.2,18,39.45
2023-02-10 09:35:00,39.3,39.3,39.3,78.6,2,39.3
2023-02-10 09:36:00,39.3,39.3,39.3,39.3,1,39.3
2023-02-10 09:38:00,39.75,39.65,39.65,158.8,4,39.7
2023-02-10 09:40:00,39.9,39.8,39.85,278.9,7,39.8
2023-02-10 09:41:00,39.75,39.7,39.75,79.45,2,39.7
2023-02-10 09:42:00,39.65,39.65,39.65,39.65,1,39.65
2023-02-10 09:43:00,39.65,39.6,39.6,118.85,3,39.65
2023-02-10 09:44:00,39.75,39.75,39.75,39.75,1,39.75
2023-02-10 09:45:00,39.95,39.8,39.8,159.55,4,39.95
2023-02-10 09:46:00,40.05,39.9,39.9,239.9,6,40.0
2023-02-10 09:47:00,40.0,40.0,40.0,920.0,23,40.0
2023-02-10 09:48:00,40.0,39.95,40.0,599.95,15,39.95
2023-02-10 09:49:00,39.9,39.9,39.9,39.9,1,39.9
2023-02-10 09:50:00,40.0,40.0,40.0,40.0,1,40.0
2023-02-10 09:52:00,39.9,39.8,39.9,1035.45,26,39.8
2023-02-10 09:53:00,39.75,39.7,39.7,119.15,3,39.7
2023-02-10 09:54:00,39.65,39.65,39.65,39.65,1,39.65
2023-02-10 09:58:00,39.8,39.8,39.8,39.8,1,39.8
2023-02-10 09:59:00,40.15,39.9,39.9,280.45,7,40.15
2023-02-10 10:00:00,40.25,40.1,40.1,160.6,4,40.25
2023-02-10 10:01:00,40.35,40.1,40.35,361.8,9,40.1
2023-02-10 10:02:00,40.1,40.0,40.1,200.15,5,40.0
2023-02-10 10:03:00,39.95,39.9,39.95,79.85,2,39.9
2023-02-10 10:05:00,39.95,39.95,39.95,39.95,1,39.95
2023-02-10 10:06:00,39.9,39.8,39.9,119.5,3,39.8
2023-02-10 10:07:00,39.75,39.45,39.7,751.1,19,39.5
2023-02-10 10:08:00,39.6,39.6,39.6,79.2,2,39.6
2023-02-10 10:09:00,39.55,39.55,39.55,79.1,2,39.55
2023-02-10 10:10:00,39.55,39.55,39.55,158.2,4,39.55
2023-02-10 10:12:00,39.5,39.5,39.5,158.0,4,39.5
2023-02-10 10:13:00,39.4,39.05,39.4,860.3,22,39.1
2023-02-10 10:14:00,39.2,39.1,39.15,626.45,16,39.2
2023-02-10 10:15:00,39.3,39.3,39.3,39.3,1,39.3
2023-02-10 10:16:00,39.3,39.3,39.3,39.3,1,39.3
2023-02-10 10:17:00,39.3,39.3,39.3,39.3,1,39.3
2023-02-10 10:19:00,39.2,39.0,39.2,351.75,9,39.0
2023-02-10 10:20:00,39.05,38.95,39.0,428.75,11,39.0
2023-02-10 10:21:00,39.0,38.95,39.0,194.9,5,38.95
2023-02-10 10:22:00,38.95,38.75,38.95,932.0,24,38.8
2023-02-10 10:23:00,38.8,38.75,38.75,77.55,2,38.8
2023-02-10 10:24:00,38.7,38.7,38.7,38.7,1,38.7
2023-02-10 10:25:00,38.75,38.75,38.75,38.75,1,38.75
2023-02-10 10:26:00,38.7,38.65,38.7,116.05,3,38.65
2023-02-10 10:27:00,38.65,38.6,38.65,231.8,6,38.6
2023-02-10 10:28:00,38.7,38.65,38.65,77.35,2,38.7
2023-02-10 10:29:00,38.75,38.75,38.75,38.75,1,38.75
2023-02-10 10:31:00,38.75,38.7,38.75,348.65,9,38.7
2023-02-10 10:32:00,38.65,38.45,38.65,347.0,9,38.45
2023-02-10 10:33:00,38.4,38.3,38.4,76.7,2,38.3
2023-02-10 10:34:00,38.3,38.05,38.3,114.6,3,38.05
