ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/07/21,42.10,67.99,42.10,53.40,0.00,0.00,,,,,,0.0000,,0,,,,,,,,232,,,,,0,,,,,,0,,,
2017/07/24,51.31,53.00,47.51,48.00,-5.40,-10.1124,,,,,,-123.0000,,0,,,,,,,,123,,,,,0,,,,,,0,,,
2017/07/25,50.00,50.00,45.61,46.00,-2.00,-4.1667,,,,,,-183.0000,,0,,,,,,,,60,,,,,0,,,,,,0,,,
2017/07/26,45.51,47.35,45.50,46.50,0.50,1.087,,,,,,-127.0000,,0,,,,,,,,56,,,,,0,,,,,,0,,,
2017/07/27,46.00,47.20,46.00,47.10,0.60,1.2903,48.2000,,,,,-6.0000,,0,0,,,,,,,121,118,,,,0,0,,,,,0,0,,
2017/07/28,46.71,58.93,46.70,55.10,8.00,16.9851,48.5400,,,,,188.0000,,0,0,,,,,,,194,110,,,,0,0,,,,,0,0,,
2017/07/31,56.70,56.70,50.01,50.90,-4.20,-7.6225,49.1200,,,,,73.0000,,0,0,,43.9614,,,,,115,109,,,,0,0,,,,,0,0,,
2017/08/01,52.00,52.49,50.00,52.00,1.10,2.1611,50.3200,,,,,115.0000,,0,0,,47.3206,,,,,42,105,,,,0,0,,,,,0,0,,
2017/08/02,51.00,52.49,50.51,52.48,0.48,0.9231,51.5160,,,,,175.0000,,0,0,,48.9239,,40.0927,46.6976,48.8992,60,106,46.6976,48.8992,42.2943,0,0,,,,,0,0,,
2017/08/03,52.00,52.49,51.51,51.90,-0.58,-1.1052,52.4760,50.3380,,,,137.0000,24.9000,0,0,0,46.8561,,47.6545,47.0165,48.2716,38,89,47.0165,48.2716,44.5064,0,0,0,,,,0,0,0,
2017/08/04,51.51,52.49,51.50,52.00,0.10,0.1927,51.8560,50.1980,,,,170.0000,41.9000,0,0,0,47.3168,,48.3991,47.4774,48.0069,33,57,47.4774,48.0069,46.4184,0,0,0,,,,0,0,0,
2017/08/07,51.61,52.54,51.60,52.54,0.54,1.0385,52.1840,50.6520,,,,196.0000,73.8000,0,0,0,50.1188,,52.4200,49.1249,48.3796,26,39,49.1249,48.3796,50.6156,0,0,0,,,,0,0,0,
2017/08/08,51.50,52.00,51.00,51.00,-1.54,-2.9311,51.9840,51.1520,,,,184.0000,110.5000,0,0,0,42.4013,45.2077,38.6698,45.6399,47.4663,12,33,45.6399,47.4663,41.9869,0,0,0,,,,0,0,0,
2017/08/09,51.47,51.47,50.50,50.50,-0.50,-0.9804,51.5880,51.5520,,,,173.0000,140.5000,0,0,0,40.0014,44.2439,31.0711,40.7836,45.2388,11,24,40.7836,45.2388,31.8733,0,0,0,,,,0,0,0,
2017/08/10,49.80,49.80,47.80,48.00,-2.50,-4.9505,50.8080,51.6420,,,,121.0000,153.2000,0,0,0,29.8610,39.6349,2.2472,27.9381,39.4719,52,26,27.9381,39.4719,4.8707,0,0,0,,,,0,0,0,
2017/08/11,47.00,50.00,46.55,50.00,2.00,4.1667,50.4080,51.1320,,,,156.0000,150.0000,0,0,0,43.5892,44.6656,57.5960,37.8241,38.9226,35,27,37.8241,38.9226,35.6270,0,0,0,,,,0,0,0,
2017/08/14,49.50,50.50,48.61,50.00,0.00,0.00,49.9000,51.0420,,,,156.0000,158.3000,0,0,0,43.5892,44.6656,57.5960,44.4147,40.7533,29,27,44.4147,40.7533,51.7375,0,0,0,,,,0,0,0,
2017/08/15,51.00,51.00,50.00,50.20,0.20,0.40,49.7400,50.8620,,,,201.0000,166.9000,0,0,0,45.1356,45.2090,60.9349,49.9214,43.8094,45,34,49.9214,43.8094,62.1456,0,0,0,,,,0,0,0,
2017/08/16,48.45,49.15,48.45,49.00,-1.20,-2.3904,49.4400,50.5140,,,,162.0000,165.6000,0,0,0,37.6956,42.4785,40.9015,46.9148,44.8445,39,40,46.9148,44.8445,51.0554,0,0,0,,,,0,0,0,
2017/08/17,47.81,47.81,47.81,47.81,-1.19,-2.4286,49.4020,50.1050,50.2215,,,160.0000,167.9000,0,0,0,31.5140,39.8733,21.0351,38.2882,42.6591,2,30,38.2882,42.6591,29.5465,0,0,0,,,,0,0,0,
2017/08/18,47.81,48.00,47.81,48.00,0.19,0.3974,49.0020,49.7050,49.9515,,,163.0000,167.2000,0,0,0,33.6003,40.5088,26.6055,34.3940,39.9040,3,23,34.3940,39.9040,23.3738,0,0,0,,,,0,0,0,
2017/08/21,47.86,48.01,47.01,48.01,0.01,0.0208,48.6040,49.2520,49.9520,,,186.0000,166.2000,0,0,0,33.7278,40.5449,29.6748,32.8209,37.5430,23,22,32.8209,37.5430,23.3767,0,0,0,,,,0,0,0,
2017/08/22,48.00,48.00,48.00,48.00,-0.01,-0.0208,48.1640,48.9520,50.0520,,,183.0000,166.1000,0,0,0,33.6502,40.5181,32.5843,32.7420,35.9427,3,14,32.7420,35.9427,26.3407,0,0,0,,,,0,0,0,
2017/08/23,47.50,48.00,47.00,47.00,-1.00,-2.0833,47.7640,48.6020,50.0770,,,178.0000,166.6000,0,0,0,26.3741,37.7921,10.1124,25.1988,32.3614,5,7,25.1988,32.3614,10.8736,0,0,0,,,,0,0,0,
