ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,62.20,62.40,60.90,60.90,0.00,0.00,,,,,,0.0000,,1039,,,,,,,,531,,,,,101,,,,,,14136,,,
2012/06/29,60.90,61.40,59.80,60.60,-0.30,-0.4926,,,,,,-573.0000,,1044,,,,,,,,573,,,,,142,,,,,,13892,,,
2012/07/02,60.80,62.50,60.60,61.80,1.20,1.9802,,,,,,-33.0000,,1068,,,,,,,,540,,,,,144,,,,,,16001,,,
2012/07/03,62.00,62.70,61.70,62.70,0.90,1.4563,,,,,,437.0000,,1088,,,,,,,,470,,,,,147,,,,,,16024,,,
2012/07/04,62.10,63.60,62.10,63.10,0.40,0.638,61.8200,,,,,881.0000,,1087,1066,,,,,,,444,511,,,,134,134,,,,,16010,15213,,
2012/07/05,62.90,63.00,61.00,61.90,-1.20,-1.9017,62.0200,,,,,260.0000,,1081,1075,,,,,,,621,529,,,,147,144,,,,,15862,15558,,
2012/07/06,62.00,62.50,61.30,61.30,-0.60,-0.9693,62.1600,,,,,39.0000,,1060,1078,,54.3478,,,,,221,459,,,,150,145,,,,,15872,15954,,
2012/07/09,60.50,60.80,59.20,59.40,-1.90,-3.0995,61.6800,,,,,-383.0000,,1061,1076,,36.3372,,,,,422,435,,,,141,144,,,,,15903,15934,,
2012/07/10,59.40,59.40,55.30,55.30,-4.10,-6.9024,60.2000,,,,,-1877.0000,,730,1005,,19.5557,,0.0000,33.3333,44.4444,1494,640,33.3333,44.4444,11.1111,109,137,,,,,15084,15747,,
2012/07/11,55.30,55.30,51.50,53.60,-1.70,-3.0741,58.3000,60.0600,,,,-3767.0000,-501.6000,624,912,989,15.9017,,17.3554,28.0073,38.9654,1890,929,28.0073,38.9654,6.0912,81,126,130,,,,14499,15445,15329,
2012/07/12,53.00,53.00,50.00,51.70,-1.90,-3.5448,56.2600,59.1400,,,,-5302.0000,-1031.8000,605,817,946,12.7152,,12.5000,22.8382,33.5897,1535,1112,22.8382,33.5897,1.3353,100,117,130,,,,14095,15091,15325,
2012/07/13,51.50,51.70,50.30,50.50,-1.20,-2.3211,54.1000,58.1300,,,,-6472.0000,-1621.7000,605,726,902,11.0388,,3.6765,16.4510,27.8768,1170,1302,16.4510,27.8768,-6.4006,86,104,125,,,,14116,14740,15347,
2012/07/16,51.50,51.80,50.70,50.70,0.20,0.396,52.3600,57.0200,,,,-5757.0000,-2194.1000,690,652,864,13.3244,17.3077,5.1471,12.6830,22.8122,715,1360,12.6830,22.8122,-7.5754,0,76,110,,,,14036,14367,15151,
2012/07/17,50.70,51.50,49.20,49.70,-1.00,-1.9724,51.2400,55.7200,,,,-6729.0000,-2910.7000,692,644,824,11.5447,16.1765,3.6232,9.6631,18.4291,972,1256,9.6631,18.4291,-7.8691,88,71,104,,,,14229,14196,14971,
2012/07/18,51.00,52.30,50.20,51.10,1.40,2.8169,50.7400,54.5200,,,,-5863.0000,-3585.1000,700,659,786,27.7553,23.7844,14.2857,11.2039,16.0207,866,1051,11.2039,16.0207,1.5703,95,74,100,,,,14444,14185,14815,
2012/07/19,52.40,52.90,51.70,52.50,1.40,2.7397,50.9000,53.5800,,,,-5082.0000,-4119.3000,703,679,748,40.7790,30.6509,28.4483,16.9521,16.3312,781,900,16.9521,16.3312,18.1938,111,76,97,,,,14605,14287,14689,
