ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/14,18.35,18.45,18.05,18.20,0.00,0.00,,,,,,0.0000,,5,,,,,,,,395,,,,,0,,,,,,11,,,
2012/06/15,18.20,18.50,18.00,18.50,0.30,1.6484,,,,,,1487.0000,,6,,,,,,,,1487,,,,,0,,,,,,6,,,
2012/06/18,18.50,19.20,18.50,18.90,0.40,2.1622,,,,,,2257.0000,,12,,,,,,,,770,,,,,0,,,,,,12,,,
2012/06/19,18.70,19.25,18.65,19.10,0.20,1.0582,,,,,,3489.0000,,5,,,,,,,,1232,,,,,0,,,,,,5,,,
2012/06/20,19.20,19.40,18.75,19.30,0.20,1.0471,18.8000,,,,,4516.0000,,5,7,,,,,,,1027,982,,,,0,0,,,,,5,8,,
2012/06/21,19.30,19.30,18.85,18.90,-0.40,-2.0725,18.9400,,,,,4103.0000,,5,7,,,,,,,413,985,,,,0,0,,,,,5,7,,
2012/06/22,18.70,18.80,18.10,18.80,-0.10,-0.5291,19.0000,,,,,3390.0000,,5,7,,68.7500,,,,,713,831,,,,0,0,,,,,5,7,,
2012/06/25,18.65,18.80,18.40,18.50,-0.30,-1.5957,18.9200,,,,,2745.0000,,5,5,,56.1224,,,,,645,806,,,,0,0,,,,,5,5,,
2012/06/26,18.25,18.40,18.00,18.10,-0.40,-2.1622,18.7200,,,,,2051.0000,,5,5,,43.3754,,7.1429,35.7143,45.2381,694,698,35.7143,45.2381,16.6667,0,0,,,,,5,5,,
2012/06/27,18.10,18.70,18.00,18.70,0.60,3.3149,18.6000,18.7000,,,,3819.0000,2785.7000,6,5,6,59.8074,,50.0000,40.4762,43.6508,1768,846,40.4762,43.6508,34.1270,0,0,0,,,,6,5,7,
2012/06/28,18.70,18.75,18.40,18.60,-0.10,-0.5348,18.5400,18.7400,,,,2901.0000,3075.8000,10,6,7,56.5267,,42.8571,41.2698,42.8571,918,947,41.2698,42.8571,38.0952,0,0,0,,,,10,6,7,
2012/06/29,18.30,18.65,18.30,18.60,0.00,0.00,18.5000,18.7500,,,,2901.0000,3217.2000,6,7,7,56.5267,,42.8571,41.7989,42.5044,382,881,41.7989,42.5044,40.3880,0,0,0,,,,6,7,7,
2012/07/02,18.90,19.40,18.70,19.25,0.65,3.4946,18.6500,18.7850,,,,4625.0000,3454.0000,67,19,12,71.2752,64.3836,89.2857,57.6279,47.5456,1724,1097,57.6279,47.5456,77.7925,0,0,0,,,,67,19,12,
2012/07/03,19.20,19.20,18.90,19.15,-0.10,-0.5195,18.8600,18.7900,,,,3989.0000,3504.0000,47,27,16,67.0742,62.5151,82.1429,65.7995,53.6302,636,1085,65.7995,53.6302,90.1382,0,0,0,,,,47,28,16,
2012/07/04,19.15,20.40,19.00,20.30,1.15,6.0052,19.1800,18.8900,,,,6687.0000,3721.1000,124,51,28,81.8428,72.5199,95.8333,75.8108,61.0237,2698,1271,75.8108,61.0237,105.3849,0,0,0,,,,124,51,28,
2012/07/05,20.50,20.90,20.25,20.60,0.30,1.4778,19.5800,19.0600,,,,8718.0000,4182.6000,111,71,39,84.0784,74.4599,89.6552,80.4256,67.4910,2031,1494,80.4256,67.4910,106.2947,0,0,0,,,,111,71,39,
2012/07/06,20.55,20.55,20.00,20.05,-0.55,-2.6699,19.8700,19.1850,,,,8171.0000,4660.7000,101,90,48,66.1579,65.2476,70.6897,77.1803,70.7208,547,1527,77.1803,70.7208,90.0993,0,0,0,,,,101,91,49,
2012/07/09,19.90,20.05,19.55,19.65,-0.40,-1.995,19.9500,19.3000,,,,7896.0000,5175.8000,74,92,55,55.7818,59.4155,56.8966,70.4190,70.6202,275,1237,70.4190,70.6202,70.0167,0,0,0,,,,74,92,55,
2012/07/10,19.85,20.05,19.60,19.85,0.20,1.0178,20.0900,19.4750,,,,8750.0000,5845.7000,55,93,60,59.5850,61.3022,59.6154,66.8178,69.3527,854,1281,66.8178,69.3527,61.7480,0,0,0,,,,55,94,61,
2012/07/11,19.80,20.00,19.20,19.85,0.00,0.00,20.0000,19.5900,19.1450,,,8750.0000,6338.8000,50,78,65,59.5850,61.3022,59.6154,64.4170,67.7075,1103,962,64.4170,67.7075,57.8360,0,0,0,,,,50,79,65,
2012/07/12,19.85,20.00,19.40,19.80,-0.05,-0.2519,19.8400,19.7100,19.2250,,,8106.0000,6859.3000,24,61,66,57.7954,60.4659,50.0000,59.6113,65.0088,644,684,59.6113,65.0088,48.8165,0,0,0,,,,24,61,66,
2012/07/13,19.60,20.10,19.50,19.90,0.10,0.5051,19.8100,19.8400,19.2950,,,8786.0000,7447.8000,26,46,68,60.6330,61.6086,50.0000,56.4076,62.1417,680,711,56.4076,62.1417,44.9393,0,0,0,,,,26,46,68,
2012/07/16,19.80,20.10,19.70,20.00,0.10,0.5025,19.8800,19.9150,19.3500,,,9822.0000,7967.5000,33,38,65,63.5721,62.7822,52.6316,55.1489,59.8108,1036,863,55.1489,59.8108,45.8252,0,0,0,,,,33,38,65,
2012/07/17,19.90,20.30,19.55,19.90,-0.10,-0.50,19.8900,19.9900,19.3900,,,8636.0000,8432.2000,39,35,64,58.3450,60.7561,41.1765,50.4914,56.7043,1186,929,50.4914,56.7043,38.0656,0,0,0,,,,39,35,64,
2012/07/18,19.75,20.50,19.40,19.40,-0.50,-2.5126,19.8000,19.9000,19.3950,,,7038.0000,8467.3000,5,26,52,39.0702,51.6621,14.8148,38.5992,50.6693,1598,1028,38.5992,50.6693,14.4591,0,0,0,,,,5,26,52,
2012/07/19,19.50,19.70,19.40,19.45,0.05,0.2577,19.7300,19.7850,19.4225,,,7326.0000,8328.1000,13,23,42,41.3935,52.4387,19.2308,32.1431,44.4939,288,957,32.1431,44.4939,7.4414,0,0,0,,0.3866,,13,24,43,
2012/07/20,19.45,19.55,19.00,19.45,0.00,0.00,19.6400,19.7250,19.4550,,,7326.0000,8243.6000,13,21,33,41.3935,52.4387,30.0000,31.4287,40.1388,1152,1052,31.4287,40.1388,14.0085,0,0,0,,0.3429,,13,21,34,
2012/07/23,19.05,19.45,18.75,18.95,-0.50,-2.5707,19.4300,19.6550,19.4775,,,6275.0000,8081.5000,15,17,27,26.7212,44.0216,11.4286,24.7620,35.0132,1051,1055,24.7620,35.0132,4.2596,0,0,0,,0.2648,,15,17,28,
2012/07/24,18.70,18.90,18.50,18.90,-0.05,-0.2639,19.2300,19.5600,19.5175,,,5410.0000,7747.5000,17,13,24,25.6309,43.2640,20.0000,23.1747,31.0670,865,990,23.1747,31.0670,7.3899,0,0,0,,0.1966,,17,13,24,
2012/07/25,18.70,18.95,18.50,18.90,0.00,0.00,19.1300,19.4650,19.5275,,,5410.0000,7413.5000,15,15,20,25.6309,43.2640,20.0000,22.1164,28.0835,1182,907,22.1164,28.0835,10.1823,0,0,0,,0.1410,,15,15,20,
2012/07/26,18.90,20.10,18.90,19.80,0.90,4.7619,19.2000,19.4650,19.5875,,,9389.0000,7541.8000,45,21,22,63.8552,58.5459,65.0000,36.4110,30.8593,3979,1645,36.4110,30.8593,47.5142,0,0,0,,0.1675,,45,21,23,
2012/07/27,19.90,20.20,19.65,19.85,0.05,0.2525,19.2800,19.4600,19.6500,,,10955.0000,7758.7000,40,27,24,65.0527,59.2118,67.5000,46.7740,36.1642,1566,1728,46.7740,36.1642,67.9935,0,0,0,,0.1904,,40,27,24,
