ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/21,19.90,19.90,19.80,19.90,0.00,0.00,,,,,,0.0000,,271,,,,,,,,6,,,,,0,,,,,,271,,,
2012/06/25,19.90,20.10,19.90,20.00,0.10,0.5025,,,,,,40.0000,,271,,,,,,,,40,,,,,0,,,,,,271,,,
2012/06/26,20.00,20.00,19.90,19.90,-0.10,-0.50,,,,,,28.0000,,271,,,,,,,,12,,,,,0,,,,,,271,,,
2012/06/27,19.90,20.00,19.90,20.00,0.10,0.5025,,,,,,31.0000,,271,,,,,,,,3,,,,,0,,,,,,271,,,
2012/06/28,20.00,21.15,20.00,21.00,1.00,5.00,20.1600,,,,,61.0000,,271,272,,,,,,,30,18,,,,14,3,,,,,285,275,,
2012/06/29,20.80,22.40,20.80,22.40,1.40,6.6667,20.6600,,,,,105.0000,,271,272,,,,,,,44,25,,,,57,14,,,,,328,286,,
2012/07/02,22.40,22.40,20.90,21.10,-1.30,-5.8036,20.8800,,,,,93.0000,,271,272,,65.0000,,,,,12,20,,,,0,14,,,,,271,286,,
2012/07/03,20.50,20.50,20.00,20.10,-1.00,-4.7393,20.9200,,,,,82.0000,,271,272,,50.0000,,,,,11,20,,,,0,14,,,,,271,286,,
2012/07/04,21.50,21.50,21.00,21.20,1.10,5.4726,21.1600,,,,,103.0000,,271,272,,61.6745,,53.8462,51.2821,50.4274,21,23,51.2821,50.4274,52.9915,0,14,,,,,271,286,,
2012/07/05,20.00,21.80,20.00,21.50,0.30,1.4151,21.2600,20.7100,,,,126.0000,66.9000,271,272,272,64.3953,,64.0000,55.5214,52.1254,23,22,55.5214,52.1254,62.3134,0,11,7,,,,271,283,279,
2012/07/06,22.00,22.00,20.35,20.40,-1.10,-5.1163,20.8600,20.7600,,,,116.0000,78.5000,271,272,272,49.0684,,20.0000,43.6809,49.3105,10,15,43.6809,49.3105,32.4217,0,0,7,,,,271,272,279,
2012/07/09,20.20,21.20,20.20,20.60,0.20,0.9804,20.7600,20.8200,,,,263.0000,100.8000,271,272,272,51.5827,,28.0000,38.4539,45.6917,147,42,38.4539,45.6917,23.9785,0,0,7,,,,271,272,279,
2012/07/10,20.50,20.50,20.20,20.20,-0.40,-1.9417,20.7800,20.8500,,,,246.0000,122.6000,271,272,272,46.1186,51.8519,8.3333,28.4137,39.9324,17,43,28.4137,39.9324,5.3765,0,0,7,,,,271,272,279,
2012/07/11,20.05,20.05,19.05,19.70,-0.50,-2.4752,20.4800,20.8200,,,,195.0000,139.0000,271,272,272,39.7954,48.5804,19.4030,25.4102,35.0916,51,49,25.4102,35.0916,6.0472,0,0,7,,,,271,272,279,
2012/07/12,19.90,20.20,19.60,19.60,-0.10,-0.5076,20.1000,20.6800,,,,-29.0000,130.0000,271,272,272,38.5276,47.9208,16.4179,22.4127,30.8653,224,89,22.4127,30.8653,5.5076,0,0,6,,,,271,272,278,
2012/07/13,19.10,20.20,19.10,20.00,0.40,2.0408,20.0200,20.4400,,,,84.0000,127.9000,271,272,272,46.6809,50.8340,32.2034,25.6763,29.1357,113,110,25.6763,29.1357,18.7576,0,0,0,,,,271,272,272,
2012/07/16,19.80,20.20,19.70,20.00,0.00,0.00,19.9000,20.3300,,,,84.0000,127.0000,271,272,272,46.6809,50.8340,32.2034,27.8520,28.7078,204,121,27.8520,28.7078,26.1404,0,0,0,,,,271,272,272,
2012/07/17,19.45,19.90,19.45,19.45,-0.55,-2.75,19.7500,20.2650,,,,73.0000,126.1000,271,272,272,36.9716,46.5711,13.5593,23.0878,26.8344,11,120,23.0878,26.8344,15.5944,0,0,0,,,,271,272,272,
2012/07/18,19.65,19.80,19.30,19.30,-0.15,-0.7712,19.6700,20.0750,,,,44.0000,120.2000,271,272,272,34.6153,45.4375,8.4746,18.2167,23.9619,29,116,18.2167,23.9619,6.7264,0,0,0,,,,271,272,272,
2012/07/19,19.65,19.65,19.00,19.00,-0.30,-1.5544,19.5500,19.8250,20.2675,,,15.0000,109.1000,271,272,272,30.0231,43.1460,0.0000,12.1445,20.0227,29,77,12.1445,20.0227,-3.6120,0,0,0,,,,271,272,272,
2012/07/20,19.00,19.50,19.00,19.00,0.00,0.00,19.3500,19.6850,20.2225,,,15.0000,99.0000,271,272,272,30.0231,43.1460,0.0000,8.0963,16.0473,46,63,8.0963,16.0473,-7.8056,0,0,0,,,,271,272,272,
2012/07/23,18.60,18.60,18.40,18.40,-0.60,-3.1579,19.0300,19.4650,20.1425,,,9.0000,73.6000,271,272,272,21.7231,38.5220,0.0000,5.3975,12.4974,6,24,5.3975,12.4974,-8.8021,0,0,0,,,,271,272,272,
2012/07/24,18.10,19.10,18.10,19.10,0.70,3.8043,18.9600,19.3550,20.1025,,,36.0000,52.6000,271,272,272,43.5652,45.9011,47.6190,19.4714,14.8220,27,27,19.4714,14.8220,28.7701,0,0,0,,,,271,272,272,
2012/07/25,18.60,18.65,18.60,18.65,-0.45,-2.356,18.8300,19.2500,20.0350,,,30.0000,36.1000,271,272,272,35.8486,42.3373,26.1905,21.7111,17.1184,6,22,21.7111,17.1184,30.8965,0,0,0,,,,271,272,272,
