ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,30.00,31.50,30.00,30.50,0.00,0.00,,,,,,0.0000,,102,,,,,,,,649,,,,,0,,,,,,102,,,
2012/06/20,30.85,30.85,30.00,30.05,-0.45,-1.4754,,,,,,-410.0000,,102,,,,,,,,410,,,,,0,,,,,,102,,,
2012/06/21,30.10,32.15,30.10,32.15,2.10,6.9884,,,,,,829.0000,,102,,,,,,,,1239,,,,,0,,,,,,102,,,
2012/06/22,32.15,34.40,32.15,34.40,2.25,6.9984,,,,,,2061.0000,,105,,,,,,,,1232,,,,,0,,,,,,105,,,
2012/06/25,34.10,34.10,32.60,33.05,-1.35,-3.9244,32.0300,,,,,1249.0000,,106,104,,,,,,,812,868,,,,0,0,,,,,106,104,,
2012/06/26,33.10,33.90,32.70,33.40,0.35,1.059,32.6100,,,,,1772.0000,,107,105,,,,,,,523,843,,,,0,0,,,,,107,105,,
2012/06/27,33.05,33.80,32.85,33.00,-0.40,-1.1976,33.2000,,,,,1434.0000,,107,106,,68.1159,,,,,338,828,,,,0,0,,,,,107,106,,
2012/06/28,33.35,33.35,31.00,31.30,-1.70,-5.1515,33.0300,,,,,969.0000,,108,107,,52.5727,,,,,465,674,,,,0,0,,,,,108,107,,
2012/06/29,31.30,32.90,31.30,32.35,1.05,3.3546,32.6200,,,,,1335.0000,,107,108,,59.4336,,53.4091,51.1364,50.3788,366,500,51.1364,50.3788,52.6515,0,0,,,,,107,108,,
2012/07/02,33.00,33.60,32.05,33.60,1.25,3.864,32.7300,32.3800,,,,1745.0000,1098.4000,113,109,107,66.3812,,81.8182,61.3636,54.0404,410,420,61.3636,54.0404,76.0101,0,0,0,,,,113,109,107,
2012/07/03,31.45,32.40,31.20,31.25,-2.35,-6.994,32.3000,32.4550,,,,1252.0000,1223.6000,113,110,108,47.8812,,26.7442,49.8238,52.6349,493,414,49.8238,52.6349,44.2017,0,0,0,,,,113,110,108,
2012/07/04,31.40,31.50,30.00,30.45,-0.80,-2.56,31.7900,32.4950,,,,968.0000,1361.4000,110,111,109,42.9871,,10.2273,36.6250,47.2982,284,403,36.6250,47.2982,15.2784,0,0,0,,,,110,111,109,
2012/07/05,30.45,30.95,30.10,30.30,-0.15,-0.4926,31.5900,32.3100,,,,819.0000,1360.4000,110,111,109,42.0207,49.2958,7.3171,26.8557,40.4841,149,340,26.8557,40.4841,-0.4011,0,0,0,,,,110,111,109,
2012/07/06,30.70,30.70,29.50,29.65,-0.65,-2.1452,31.0500,31.8350,,,,673.0000,1221.6000,110,112,110,37.6226,46.9512,3.4091,19.0401,33.3361,146,296,19.0401,33.3361,-9.5517,0,0,0,,,,110,112,110,
2012/07/09,29.65,30.80,29.65,30.00,0.35,1.1804,30.3300,31.5300,,,,752.0000,1171.9000,108,111,110,41.5739,48.3930,11.6279,16.5694,27.7472,79,230,16.5694,27.7472,-5.7862,0,0,0,,,,108,111,110,
2012/07/10,30.35,30.40,28.60,29.00,-1.00,-3.3333,29.8800,31.0900,,,,632.0000,1057.9000,106,110,110,34.1558,44.6137,8.0000,13.7129,23.0691,120,155,13.7129,23.0691,-4.9994,0,0,0,,,,106,110,110,
2012/07/11,29.00,29.40,28.60,28.90,-0.10,-0.3448,29.5700,30.6800,,,,573.0000,971.8000,106,109,110,33.4398,44.2368,6.0000,11.1420,19.0934,59,110,11.1420,19.0934,-4.7609,0,0,0,,,,106,109,110,
2012/07/12,28.90,28.90,28.15,28.15,-0.75,-2.5952,29.1400,30.3650,,,,494.0000,924.3000,104,108,109,28.1322,41.3769,0.0000,7.4280,15.2049,79,96,7.4280,15.2049,-8.1259,0,0,0,,,,104,108,109,
2012/07/13,28.20,28.20,27.00,27.00,-1.15,-4.0853,28.6100,29.8300,,,,313.0000,822.1000,104,106,109,21.7733,37.3391,0.0000,4.9520,11.7873,181,103,4.9520,11.7873,-8.7186,0,0,0,,,,104,106,109,
2012/07/16,27.20,27.50,27.15,27.40,0.40,1.4815,28.0900,29.2100,30.7950,,,382.0000,685.8000,103,105,108,28.5174,39.5765,8.8889,6.2643,9.9463,69,101,6.2643,9.9463,-1.0997,0,0,0,,,,103,105,108,
2012/07/17,28.00,28.00,27.30,27.60,0.20,0.7299,27.8100,28.8450,30.6500,,,425.0000,603.1000,103,105,107,32.0331,40.7309,15.1899,9.2395,9.7107,43,86,9.2395,9.7107,8.2971,0,0,0,,,,103,105,107,
2012/07/18,27.65,27.70,27.10,27.10,-0.50,-1.8116,27.4500,28.5100,30.5025,,,355.0000,541.8000,103,104,106,27.9144,38.7138,2.6316,7.0368,8.8194,70,88,7.0368,8.8194,3.4717,0,0,0,,,,103,104,106,
2012/07/19,27.50,27.80,27.30,27.60,0.50,1.845,27.3400,28.2400,30.2750,,,469.0000,506.8000,103,104,106,37.5499,41.8550,15.7895,9.9544,9.1977,114,95,9.9544,9.1977,11.4677,0,0,0,,,,103,104,106,
2012/07/20,27.60,27.60,27.00,27.45,-0.15,-0.5435,27.4300,28.0200,29.9275,,,428.0000,482.3000,103,104,105,35.8260,41.1645,13.2353,11.0480,9.8145,41,67,11.0480,9.8145,13.5151,0,0,0,,,,103,104,105,
2012/07/23,27.00,27.40,27.00,27.30,-0.15,-0.5464,27.4100,27.7500,29.6400,,,394.0000,446.5000,103,104,105,33.9552,40.4367,12.5000,11.5320,10.3870,34,60,11.5320,10.3870,13.8220,0,0,0,,,,103,104,105,
2012/07/24,27.10,27.15,27.00,27.00,-0.30,-1.0989,27.2900,27.5500,29.3200,,,331.0000,416.4000,102,104,104,30.1738,38.9349,0.0000,7.6880,9.4873,63,64,7.6880,9.4873,4.0894,0,0,0,,-1.9771,,102,104,104,
2012/07/25,27.20,27.80,27.20,27.80,0.80,2.963,27.4300,27.4400,29.0600,,,380.0000,397.1000,102,103,104,48.5196,44.8894,66.6667,27.3476,15.4407,49,60,27.3476,15.4407,51.1612,0,0,0,,-1.8517,,102,103,104,
2012/07/26,27.80,27.80,27.00,27.20,-0.60,-2.1583,27.3500,27.3450,28.8550,,,341.0000,381.8000,102,103,104,39.2407,41.5726,20.0000,24.8984,18.5933,39,45,24.8984,18.5933,37.5085,0,0,0,,-1.7802,,102,103,104,
2012/07/27,27.00,27.35,27.00,27.35,0.15,0.5515,27.3300,27.3800,28.6050,,,407.0000,391.2000,102,103,103,42.5375,42.7268,35.0000,28.2656,21.8174,66,50,28.2656,21.8174,41.1620,0,0,0,,-1.6919,,102,103,103,
2012/07/30,27.50,27.70,27.10,27.40,0.05,0.1828,27.3500,27.3800,28.2950,,,436.0000,396.6000,102,103,103,43.7581,43.1352,50.0000,35.5104,26.3817,29,49,35.5104,26.3817,53.7677,0,0,0,,-1.5995,,102,103,103,
2012/07/31,27.40,27.40,27.10,27.30,-0.10,-0.365,27.4100,27.3500,28.0975,,,423.0000,396.4000,102,103,103,41.6354,42.4743,37.5000,36.1736,29.6457,13,39,36.1736,29.6457,49.2294,0,0,0,,-1.5168,,102,103,103,
2012/08/01,27.50,27.50,27.05,27.05,-0.25,-0.9158,27.2600,27.3450,27.9275,,,367.0000,397.6000,102,103,103,36.3461,40.7707,6.2500,26.1991,28.4968,56,40,26.1991,28.4968,21.6036,0,0,0,,-1.4547,,102,103,103,
2012/08/03,27.00,27.10,26.15,26.50,-0.55,-2.0333,27.1200,27.2350,27.7375,,,268.0000,377.5000,102,103,103,27.2177,37.1906,21.2121,24.5367,27.1768,99,52,24.5367,27.1768,19.2567,0,0,0,,-1.4334,,102,103,103,
2012/08/06,26.20,26.75,26.20,26.30,-0.20,-0.7547,26.9100,27.1200,27.5700,,,183.0000,353.0000,101,103,103,24.5294,35.9387,9.0909,19.3881,24.5806,85,56,19.3881,24.5806,9.0033,0,0,0,0.4390,-1.4162,-1.6357,101,103,103,
2012/08/07,26.20,26.70,26.20,26.25,-0.05,-0.1901,26.6800,27.0150,27.3825,,,109.0000,324.5000,101,102,103,23.8235,35.6118,6.0606,14.9456,21.3689,74,65,14.9456,21.3689,2.0990,0,0,0,0.3921,-1.3907,-1.5867,101,102,103,
2012/08/08,26.45,27.80,26.45,27.35,1.10,4.1905,26.6900,27.0500,27.3000,,,281.0000,319.5000,101,102,102,56.7115,47.1502,72.7273,34.2062,25.6480,172,97,34.2062,25.6480,51.3225,0,0,0,0.5115,-1.2671,-1.5228,101,102,102,
2012/08/09,27.90,28.20,27.45,27.80,0.45,1.6453,26.8400,27.0500,27.2450,,,481.0000,329.6000,101,102,102,64.2817,51.0638,80.4878,49.6334,33.6431,200,126,49.6334,33.6431,81.6139,0,0,0,0.6447,-1.1199,-1.4422,101,102,102,
2012/08/10,28.00,28.80,28.00,28.70,0.90,3.2374,27.2800,27.2000,27.2725,,,728.0000,368.3000,101,102,102,74.8411,57.8705,96.2264,65.1644,44.1502,247,155,65.1644,44.1502,107.1927,0,0,0,0.8355,-0.9200,-1.3378,101,102,102,
2012/08/13,29.20,29.85,28.20,28.20,-0.50,-1.7422,27.6600,27.2850,27.3325,,,523.0000,379.9000,101,102,102,62.5194,53.3714,55.4054,61.9114,50.0706,205,179,61.9114,50.0706,85.5930,0,0,0,0.8720,-0.7928,-1.2288,101,102,102,
2012/08/14,28.20,28.45,27.70,27.95,-0.25,-0.8865,28.0000,27.3400,27.3600,,,456.0000,381.9000,101,102,102,56.8988,51.2001,48.6486,57.4905,52.5439,67,178,57.4905,52.5439,67.3836,0,0,0,0.8396,-0.7040,-1.1238,101,102,102,
2012/08/15,27.90,28.60,27.90,28.05,0.10,0.3578,28.1400,27.4150,27.3825,,,564.0000,396.0000,101,102,102,58.6818,52.0513,51.3514,55.4441,53.5106,108,165,55.4441,53.5106,59.3110,0,0,0,0.8085,-0.6185,-1.0228,101,102,102,
2012/08/16,28.20,28.65,28.15,28.20,0.15,0.5348,28.2200,27.5300,27.4375,,,682.0000,427.5000,101,102,102,61.5452,53.3819,54.7945,55.2276,54.0829,118,149,55.2276,54.0829,57.5168,0,0,0,0.7844,-0.5325,-0.9247,101,102,102,
2012/08/17,28.30,29.40,27.70,29.30,1.10,3.9007,28.3400,27.8100,27.5225,,,1093.0000,510.0000,101,102,102,76.1129,61.8509,84.9315,65.1289,57.7649,411,181,65.1289,57.7649,79.8568,0,0,0,0.8855,-0.3713,-0.8140,101,102,102,
2012/08/20,29.30,29.30,28.60,29.30,0.00,0.00,28.5600,28.1100,27.6150,,,1093.0000,601.0000,101,102,102,76.1129,61.8509,83.8235,71.3604,62.2968,260,192,71.3604,62.2968,89.4878,0,0,0,0.9173,-0.2407,-0.6994,101,102,102,
2012/08/21,29.30,29.70,28.85,28.95,-0.35,-1.1945,28.7600,28.3800,27.6975,,,915.0000,681.6000,101,102,102,64.8558,57.8700,62.5000,68.4070,64.3335,178,215,68.4070,64.3335,76.5539,0,0,0,0.8572,-0.1636,-0.5922,101,102,102,
2012/08/22,28.90,30.95,28.90,30.95,2.00,6.9085,29.3400,28.7400,27.8950,,,2034.0000,856.9000,101,102,102,82.5515,69.9335,100.0000,78.9380,69.2017,1119,417,78.9380,69.2017,98.4106,0,0,0,1.0406,0.0582,-0.4621,101,102,102,
2012/08/23,31.20,31.65,30.15,30.15,-0.80,-2.5848,29.7300,28.9750,28.0125,,,1322.0000,941.0000,101,102,102,66.4833,62.1660,62.0253,73.3004,70.5679,712,536,73.3004,70.5679,78.7654,0,0,0,1.0074,0.1675,-0.3362,101,102,102,
2012/08/24,29.80,30.60,29.80,29.85,-0.30,-0.995,29.8400,29.0900,28.1450,,,960.0000,964.2000,101,102,102,61.1290,59.4640,54.4304,67.0104,69.3821,362,526,67.0104,69.3821,62.2671,0,0,0,0.9016,0.2273,-0.2235,101,102,102,
2012/08/27,29.90,30.30,29.50,29.50,-0.35,-1.1725,29.8800,29.2200,28.2525,,,647.0000,976.6000,101,102,102,54.9350,56.3471,45.5696,59.8635,66.2092,313,536,59.8635,66.2092,47.1720,0,0,0,0.7474,0.2436,-0.1301,101,102,102,
2012/08/28,29.70,29.80,28.65,28.65,-0.85,-2.8814,29.8200,29.2900,28.3150,,,399.0000,970.9000,101,102,102,42.4113,49.4763,24.0506,47.9259,60.1148,248,550,47.9259,60.1148,23.5481,0,0,0,0.5055,0.1859,-0.0669,101,102,102,
2012/08/29,28.70,29.50,28.70,29.20,0.55,1.9197,29.4700,29.4050,28.4100,,,607.0000,975.2000,102,102,102,51.0722,53.4804,37.9747,44.6088,54.9461,208,368,44.6088,54.9461,23.9342,0,0,0,0.3988,0.1823,-0.0170,102,102,102,
2012/08/30,29.20,29.75,28.80,28.80,-0.40,-1.3699,29.2000,29.4650,28.4975,,,452.0000,952.2000,101,102,102,45.1466,50.3166,6.5574,31.9250,47.2724,155,257,31.9250,47.2724,1.2302,0,0,0,0.2602,0.1456,0.0155,101,102,102,
2012/08/31,29.10,29.85,29.00,29.25,0.45,1.5625,29.0800,29.4600,28.6350,,,611.0000,904.0000,101,102,102,52.5749,53.6796,20.0000,27.9500,40.8316,159,216,27.9500,40.8316,2.1868,0,0,0,0.2169,0.1511,0.0426,101,102,102,
2012/09/03,29.40,30.00,29.35,29.55,0.30,1.0256,29.0900,29.4850,28.7975,,,767.0000,871.4000,101,102,102,57.2106,55.8529,30.0000,28.6333,36.7655,156,185,28.6333,36.7655,12.3690,0,0,0,0.2159,0.1775,0.0696,101,102,102,
2012/09/04,29.80,30.30,29.70,29.80,0.25,0.846,29.3200,29.5700,28.9750,,,886.0000,868.5000,101,102,102,61.0207,57.6589,38.3333,31.8667,35.1326,119,159,31.8667,35.1326,25.3349,0,0,0,0.2346,0.2162,0.0989,101,102,102,
2012/09/05,29.80,29.90,29.35,29.50,-0.30,-1.0067,29.3800,29.4250,29.0825,,,759.0000,741.0000,101,102,102,54.0857,54.7280,43.5897,35.7744,35.3465,127,143,35.7744,35.3465,36.6301,0,0,0,0.1939,0.2201,0.1232,101,102,102,
2012/09/06,29.50,30.40,29.50,29.65,0.15,0.5085,29.5500,29.3750,29.1750,,,972.0000,706.0000,101,102,102,57.0167,55.9494,57.1429,42.8972,37.8634,213,154,42.8972,37.8634,52.9648,0,0,0,0.1752,0.2326,0.1450,101,102,102,
2012/09/07,30.30,30.50,29.10,29.10,-0.55,-1.855,29.5200,29.3000,29.1950,,,634.0000,673.4000,101,102,102,44.5136,50.4999,24.3243,36.7062,37.4777,338,190,36.7062,37.4777,35.1634,0,0,0,0.0814,0.1959,0.1552,101,102,102,
2012/09/10,29.20,29.75,29.20,29.20,0.10,0.3436,29.4500,29.2700,29.2450,,,802.0000,688.9000,101,102,102,47.0471,51.4381,27.7778,33.7301,36.2285,168,193,33.7301,36.2285,28.7333,0,0,0,0.0283,0.1729,0.1587,101,102,102,
2012/09/11,29.45,29.45,28.65,28.65,-0.55,-1.8836,29.2200,29.2700,29.2800,29.1450,,695.0000,718.5000,101,102,102,36.1524,46.1859,0.0000,22.4867,31.6479,107,190,22.4867,31.6479,4.1644,0,0,0,-0.0796,0.1090,0.1488,101,102,102,
2012/09/12,28.65,29.00,28.55,28.60,-0.05,-0.1745,29.0400,29.2100,29.3075,29.1133,,531.0000,710.9000,101,102,102,35.2616,45.7229,2.5641,15.8458,26.3805,164,198,15.8458,26.3805,-5.2235,0,0,0,-0.1521,0.0537,0.1298,101,102,102,
2012/09/13,28.60,28.95,28.25,28.25,-0.35,-1.2238,28.7600,29.1550,29.3100,29.0833,,438.0000,709.5000,101,102,102,29.2148,42.4716,0.0000,10.5639,21.1083,93,174,10.5639,21.1083,-10.5250,0,0,0,-0.2367,-0.0181,0.1002,101,102,102,
2012/09/14,28.30,28.40,28.00,28.00,-0.25,-0.885,28.5400,29.0300,29.2450,29.0142,,268.0000,675.2000,101,102,102,25.4710,40.2418,0.0000,7.0426,16.4198,170,140,7.0426,16.4198,-11.7117,0,0,0,-0.3110,-0.0942,0.0613,101,102,102,
2012/09/17,28.30,28.45,28.10,28.10,0.10,0.3571,28.3200,28.8850,29.1850,28.9092,,383.0000,636.8000,101,102,102,29.7897,41.5802,4.0000,6.0284,12.9560,115,129,6.0284,12.9560,-7.8267,0,0,0,-0.3296,-0.1447,0.0201,101,102,102,
2012/09/18,28.30,28.30,27.85,27.90,-0.20,-0.7117,28.1700,28.6950,29.1325,28.8233,,200.0000,568.2000,101,102,102,26.1526,39.6430,1.8868,4.6479,10.1866,183,145,4.6479,10.1866,-6.4296,0,0,0,-0.3499,-0.1986,-0.0236,101,102,102,
2012/09/19,28.10,28.70,28.00,28.50,0.60,2.1505,28.1500,28.5950,29.0100,28.7417,,326.0000,524.9000,101,102,102,48.7005,47.6282,24.5283,11.2747,10.5493,126,137,11.2747,10.5493,12.7254,0,0,0,-0.2673,-0.1906,-0.0570,101,102,102,
2012/09/20,28.60,28.90,28.00,28.10,-0.40,-1.4035,28.1200,28.4400,28.9075,28.6600,,233.0000,451.0000,101,102,102,39.1400,43.4478,13.1579,11.9024,11.0003,93,137,11.9024,11.0003,13.7066,0,0,0,-0.2515,-0.2142,-0.0885,101,102,102,
2012/09/21,28.10,28.45,28.10,28.20,0.10,0.3559,28.1600,28.3500,28.8250,28.6083,,344.0000,422.0000,101,102,102,42.5249,44.7698,21.8750,15.2266,12.4091,111,125,15.2266,12.4091,20.8616,0,0,0,-0.2140,-0.2222,-0.1152,101,102,102,
2012/09/24,28.30,28.75,28.10,28.45,0.25,0.8865,28.2300,28.2750,28.7725,28.5433,,440.0000,385.8000,101,102,102,50.7436,48.0802,52.1739,27.5424,17.4535,96,121,27.5424,17.4535,47.7201,0,0,0,-0.1453,-0.2060,-0.1334,101,102,102,
2012/09/25,28.45,28.70,28.20,28.35,-0.10,-0.3515,28.3200,28.2450,28.7575,28.4558,,352.0000,351.5000,101,102,102,47.4844,46.8547,45.4545,33.5131,22.8067,88,102,33.5131,22.8067,54.9259,0,0,0,-0.1050,-0.1990,-0.1465,101,102,102,
2012/09/26,28.35,28.45,28.15,28.15,-0.20,-0.7055,28.2500,28.2000,28.7050,28.4042,,269.0000,325.3000,101,102,102,41.1423,44.3864,28.5714,31.8659,25.8264,83,94,31.8659,25.8264,43.9448,0,0,0,-0.0970,-0.2071,-0.1586,101,102,102,
2012/09/27,28.45,29.40,28.45,29.00,0.85,3.0195,28.4300,28.2750,28.7150,28.3800,,508.0000,332.3000,101,102,102,64.9899,55.3033,74.1935,45.9751,32.5427,239,123,45.9751,32.5427,72.8400,0,0,0,0.0244,-0.1434,-0.1556,101,102,102,
2012/09/28,28.85,29.30,28.60,28.80,-0.20,-0.6897,28.5500,28.3550,28.6925,28.3550,,415.0000,347.0000,101,102,102,58.3182,52.6504,61.2903,51.0802,38.7218,93,119,51.0802,38.7218,75.7969,0,0,0,0.0766,-0.1077,-0.1460,101,102,102,
2012/10/01,28.80,30.80,28.80,30.80,2.00,6.9444,29.0200,28.6250,28.7550,28.3742,,947.0000,403.4000,101,102,102,81.3245,68.9166,100.0000,67.3868,48.2768,532,207,67.3868,48.2768,105.6067,0,0,0,0.3632,0.0810,-0.1006,101,102,102,
2012/10/02,30.75,30.75,29.50,29.80,-1.00,-3.2468,29.3100,28.8150,28.7550,28.3708,,539.0000,437.3000,101,102,102,61.0925,58.0408,64.2857,66.3531,54.3022,408,271,66.3531,54.3022,90.4548,0,0,0,0.3980,0.1481,-0.0509,101,102,102,
2012/10/03,29.75,29.75,29.10,29.20,-0.60,-2.0134,29.5200,28.8850,28.7400,28.3742,,452.0000,449.9000,101,102,102,51.8118,52.6068,40.7407,57.8156,55.4734,87,271,57.8156,55.4734,62.5002,0,0,0,0.3233,0.1512,-0.0104,101,102,102,
2012/10/04,28.95,29.25,28.80,29.00,-0.20,-0.6849,29.5200,28.9750,28.7075,28.3758,,375.0000,464.1000,101,102,102,48.8438,50.8748,33.3333,49.6549,53.5339,77,239,49.6549,53.5339,41.8969,0,0,0,0.2342,0.1359,0.0188,101,102,102,
2012/10/05,29.00,29.80,29.00,29.70,0.70,2.4138,29.7000,29.1250,28.7375,28.4017,,583.0000,488.0000,101,102,102,58.7647,56.3607,58.4906,52.6001,53.2226,208,262,52.6001,53.2226,51.3551,0,0,0,0.2550,0.1782,0.0507,101,102,102,
2012/10/08,30.20,31.45,29.05,29.05,-0.65,-2.1886,29.3500,29.1850,28.7300,28.4358,,41.0000,448.1000,101,102,102,48.3224,50.6330,27.2727,44.1576,50.2010,542,264,44.1576,50.2010,32.0710,0,0,0,0.1709,0.1575,0.0721,101,102,102,
2012/10/09,29.05,29.10,28.45,28.45,-0.60,-2.0654,29.0800,29.1950,28.7200,28.4533,,-127.0000,400.2000,101,102,102,40.3752,45.9324,0.0000,29.4384,43.2801,168,216,29.4384,43.2801,1.7551,0,0,0,0.0313,0.0916,0.0760,101,102,102,
2012/10/11,28.20,28.20,27.50,27.60,-0.85,-2.9877,28.7600,29.1400,28.6700,28.4533,,-262.0000,347.1000,101,102,102,31.5533,40.1692,2.5316,20.4695,35.6766,135,226,20.4695,35.6766,-9.9447,0,0,0,-0.1678,-0.0289,0.0550,101,102,102,
2012/10/12,27.40,27.80,26.80,27.00,-0.60,-2.1739,28.3600,28.9400,28.6075,28.4517,,-382.0000,258.1000,101,102,102,26.6255,36.6300,4.3011,15.0800,28.8111,120,234,15.0800,28.8111,-12.3820,0,0,0,-0.3613,-0.1708,0.0098,101,102,102,
2012/10/15,27.00,27.10,26.30,26.30,-0.70,-2.5926,27.6800,28.6900,28.5225,28.4300,,-558.0000,160.8000,101,102,102,21.8484,32.9366,0.0000,10.0534,22.5585,176,228,10.0534,22.5585,-14.9569,0,0,0,-0.5532,-0.3359,-0.0593,101,102,102,
