ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/26,64.20,65.90,64.20,64.60,0.00,0.00,,,,,,0.0000,,46,,,,,,,,14,,,,,0,,,,,,46,,,
2012/06/27,65.00,65.30,64.80,64.80,0.20,0.3096,,,,,,53.0000,,46,,,,,,,,53,,,,,0,,,,,,46,,,
2012/06/28,65.80,66.10,65.50,66.00,1.20,1.8519,,,,,,115.0000,,46,,,,,,,,62,,,,,0,,,,,,46,,,
2012/06/29,66.30,66.70,66.20,66.50,0.50,0.7576,,,,,,147.0000,,46,,,,,,,,32,,,,,0,,,,,,46,,,
2012/07/02,68.00,68.60,67.40,68.60,2.10,3.1579,66.1000,,,,,240.0000,,46,46,,,,,,,93,50,,,,0,0,,,,,46,46,,
2012/07/03,69.50,72.90,69.50,72.30,3.70,5.3936,67.6400,,,,,489.0000,,46,46,,,,,,,249,97,,,,0,0,,,,,46,46,,
2012/07/04,72.80,72.80,70.50,71.00,-1.30,-1.7981,68.8800,,,,,382.0000,,45,46,,85.5556,,,,,107,108,,,,0,0,,,,,45,46,,
2012/07/05,72.10,72.60,71.00,71.50,0.50,0.7042,69.9800,,,,,454.0000,,45,46,,86.4583,,,,,72,110,,,,0,0,,,,,45,46,,
2012/07/06,72.50,72.50,71.00,71.30,-0.20,-0.2797,70.9400,,,,,392.0000,,45,45,,83.9401,,81.6092,60.5364,53.5121,62,116,60.5364,53.5121,74.5849,0,0,,,,,45,45,,
2012/07/09,71.70,72.30,70.30,70.50,-0.80,-1.122,71.3200,68.7100,,,,312.0000,258.4000,45,45,46,73.6442,,70.3704,63.8144,56.9462,80,114,63.8144,56.9462,77.5507,0,0,0,,,,45,45,46,
