ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/26,22.90,22.90,21.30,21.80,0.00,0.00,,,,,,0.0000,,3,,,,,,,,250,,,,,0,,,,,,3,,,
2012/06/27,21.60,23.30,21.30,23.30,1.50,6.8807,,,,,,313.0000,,3,,,,,,,,313,,,,,0,,,,,,3,,,
2012/06/28,24.55,24.75,23.70,24.20,0.90,3.8627,,,,,,589.0000,,3,,,,,,,,276,,,,,0,,,,,,3,,,
2012/06/29,24.50,24.90,23.60,24.20,0.00,0.00,,,,,,589.0000,,3,,,,,,,,207,,,,,0,,,,,,3,,,
2012/07/02,24.80,25.15,23.80,23.90,-0.30,-1.2397,23.4800,,,,,359.0000,,3,4,,,,,,,230,255,,,,0,0,,,,,3,4,,
2012/07/03,24.50,24.60,24.00,24.15,0.25,1.046,23.9500,,,,,486.0000,,3,4,,,,,,,127,230,,,,0,0,,,,,3,4,,
2012/07/04,24.00,24.40,23.20,24.20,0.05,0.207,24.1300,,,,,587.0000,,3,4,,90.0000,,,,,101,188,,,,0,0,,,,,3,4,,
2012/07/05,23.50,24.00,23.50,23.90,-0.30,-1.2397,24.0700,,,,,497.0000,,3,4,,80.3571,,,,,90,151,,,,0,0,,,,,3,4,,
2012/07/06,24.00,25.50,23.90,24.90,1.00,4.1841,24.2100,,,,,698.0000,,3,4,,86.2500,,85.7143,61.9048,53.9683,201,149,61.9048,53.9683,77.7778,0,0,,,,,3,4,,
2012/07/09,25.35,26.30,25.10,25.70,0.80,3.2129,24.5700,24.0250,,,,939.0000,505.7000,3,4,4,89.3245,,88.0000,70.6032,59.5132,241,152,70.6032,59.5132,92.7831,0,0,0,,,,3,4,4,
