ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/10/25,40.20,40.60,40.05,40.20,0.00,0.00,,,,,,0.0000,,11117,,,,,,,,1132,,,,,381,,,,,,12068,,,
2011/10/26,40.00,40.25,39.75,40.15,-0.05,-0.1244,,,,,,-705.0000,,11616,,,,,,,,705,,,,,386,,,,,,12572,,,
2011/10/27,40.35,40.70,40.10,40.25,0.10,0.2491,,,,,,512.0000,,11491,,,,,,,,1217,,,,,394,,,,,,12455,,,
2011/10/28,40.90,40.90,39.85,39.85,-0.40,-0.9938,,,,,,-1104.0000,,11512,,,,,,,,1616,,,,,374,,,,,,12456,,,
2011/10/31,37.10,37.40,37.10,37.10,-2.75,-6.9009,39.5100,,,,,-3558.0000,,12073,11562,,,,,,,2454,1424,,,,363,381,,,,,13006,12512,,
2011/11/01,35.00,36.60,35.00,36.10,-1.00,-2.6954,38.6900,,,,,-6588.0000,,12098,11759,,,,,,,3030,1804,,,,409,386,,,,,13077,12714,,
2011/11/02,35.60,37.20,35.15,37.20,1.10,3.0471,38.1000,,,,,-4649.0000,,12019,11839,,22.2222,,,,,1939,2051,,,,417,392,,,,,13006,12800,,
2011/11/03,37.20,37.40,36.65,37.00,-0.20,-0.5376,37.4500,,,,,-5867.0000,,11985,11938,,21.2766,,,,,1218,2051,,,,438,401,,,,,12993,12908,,
2011/11/04,37.10,37.70,37.10,37.60,0.60,1.6216,37.0000,,,,,-4452.0000,,12004,12036,,31.7343,,44.0678,48.0226,49.3409,1415,2011,48.0226,49.3409,45.3861,495,425,,,,,13069,13031,,
2011/11/07,37.50,38.55,37.50,38.50,0.90,2.3936,37.2800,38.3950,,,,-3498.0000,-2990.9000,12005,12023,11793,44.9077,,59.3220,51.7891,50.1569,954,1711,51.7891,50.1569,55.0534,472,447,414,,,,13047,13039,12775,
2011/11/08,38.60,39.00,38.50,38.65,0.15,0.3896,37.7900,38.2400,,,,-2205.0000,-3211.4000,12007,12005,11882,46.9549,,61.8644,55.1475,51.8205,1293,1363,55.1475,51.8205,61.8016,466,459,422,,,,13043,13032,12873,
2011/11/09,38.80,39.00,37.30,37.30,-1.35,-3.4929,37.8100,37.9550,,,,-3360.0000,-3476.9000,11919,11985,11912,33.5074,,38.9831,49.7594,51.1334,1155,1207,49.7594,51.1334,47.0112,421,459,426,,,,12910,13013,12907,
2011/11/10,36.70,37.30,36.35,36.80,-0.50,-1.3405,37.7700,37.6100,,,,-4586.0000,-3986.7000,11863,11960,11949,29.7240,31.3187,45.0000,48.1729,50.1466,1226,1208,48.1729,50.1466,44.2255,426,457,429,,,,12859,12986,12947,
2011/11/11,36.80,37.00,35.80,36.15,-0.65,-1.7663,37.4800,37.2400,,,,-5258.0000,-4402.1000,11815,11922,11979,25.2724,29.0547,28.7500,41.6986,47.3306,672,1060,41.6986,47.3306,30.4346,447,447,436,,,,12831,12938,12984,
2011/11/14,36.40,37.15,36.40,36.55,0.40,1.1065,37.0900,37.1850,,,,-4603.0000,-4506.6000,11773,11876,11949,32.7139,32.3383,36.3636,39.9203,44.8605,655,1000,39.9203,44.8605,30.0399,478,448,448,,,,12820,12893,12966,
2011/11/15,36.40,36.55,35.95,36.00,-0.55,-1.5048,36.5600,37.1750,,,,-5271.0000,-4374.9000,11740,11823,11914,28.0972,30.2389,6.2500,28.6969,39.4726,668,875,28.6969,39.4726,7.1453,469,449,454,,,,12778,12840,12936,
2011/11/16,36.20,36.95,35.85,36.40,0.40,1.1111,36.3800,37.0950,,,,-4423.0000,-4352.3000,11737,11786,11885,35.9818,33.6560,18.7500,25.3812,34.7755,848,813,25.3812,34.7755,6.5927,486,462,461,,,,12792,12817,12915,
2011/11/17,35.80,36.45,35.55,36.40,0.00,0.00,36.3000,37.0350,,,,-4423.0000,-4207.9000,11732,11760,11860,35.9818,33.6560,24.6377,25.1334,31.5615,854,739,25.1334,31.5615,12.2772,496,476,466,,,,12797,12804,12895,
2011/11/18,36.10,36.10,35.55,35.65,-0.75,-2.0604,36.2000,36.8400,,,,-4887.0000,-4251.4000,11711,11739,11831,27.7622,30.3399,2.8986,17.7218,26.9482,464,697,17.7218,26.9482,-0.7311,461,478,463,,,,12741,12786,12862,
2011/11/21,35.50,35.60,33.20,33.20,-2.45,-6.8724,35.5300,36.3100,37.3525,,,-6314.0000,-4533.0000,11912,11767,11821,14.6466,22.4552,0.0000,11.8145,21.9037,1427,852,11.8145,21.9037,-8.3638,412,465,457,,,,12893,12801,12847,
2011/11/22,33.00,33.20,30.90,31.30,-1.90,-5.7229,34.5900,35.5750,36.9075,,,-9293.0000,-5241.8000,12153,11850,11836,10.1737,18.4080,6.2500,9.9597,17.9223,2979,1314,9.9597,17.9223,-5.9656,401,452,450,,,,13123,12870,12855,
2011/11/23,30.60,31.25,30.20,30.35,-0.95,-3.0351,33.3800,34.8800,36.4175,,,-10824.0000,-5988.2000,12763,12055,11920,8.5983,16.7603,2.1583,7.3592,14.4013,1531,1451,7.3592,14.4013,-6.7250,400,434,448,,,,13732,13058,12937,
2011/11/24,30.20,31.30,29.60,31.05,0.70,2.3064,32.3100,34.3050,35.9575,,,-9563.0000,-6485.9000,12925,12293,12027,19.6062,22.3475,19.2053,11.3079,13.3702,1261,1532,11.3079,13.3702,7.1834,415,418,447,,,,13909,13280,13042,
2011/11/25,31.85,32.45,31.55,31.55,0.50,1.6103,31.4900,33.8450,35.5425,,,-8293.0000,-6789.4000,12879,12527,12133,27.1287,26.2070,26.5306,16.3821,14.3742,1270,1693,16.3821,14.3742,20.3981,448,416,447,,,,13896,13511,13149,
2011/11/28,32.00,32.10,31.40,31.55,0.00,0.00,31.1600,33.3450,35.2650,,,-8293.0000,-7158.4000,11882,12521,12144,27.1287,26.2070,26.5306,19.7650,16.1711,505,1509,19.7650,16.1711,26.9527,452,424,444,,,,12903,13513,13157,
2011/11/29,31.80,32.10,31.75,32.00,0.45,1.4263,31.3000,32.9450,35.0600,,,-7729.0000,-7404.2000,11860,12462,12156,35.0099,29.9368,35.0365,24.8555,19.0659,564,1026,24.8555,19.0659,36.4347,463,436,444,,-2.8022,,12892,13467,13169,
2011/11/30,32.35,32.35,31.65,31.65,-0.35,-1.0938,31.5600,32.4700,34.7825,,,-8495.0000,-7811.4000,11951,12300,12177,31.8000,28.7057,31.5385,27.0831,21.7383,766,873,27.0831,21.7383,37.7728,594,475,455,,-2.7186,,13114,13344,13201,
2011/12/01,32.60,32.90,32.30,32.55,0.90,2.8436,31.8600,32.0850,34.5600,,,-7511.0000,-8120.2000,11935,12102,12198,46.8400,36.0794,49.1667,34.4443,25.9736,984,817,34.4443,25.9736,51.3857,599,511,465,,-2.5503,,13103,13182,13231,
2011/12/02,32.55,32.55,31.85,31.85,-0.70,-2.1505,31.9200,31.7050,34.2725,,,-7912.0000,-8422.7000,11897,11905,12216,38.8447,33.1687,62.5000,43.7962,31.9145,401,644,43.7962,31.9145,67.5596,0,422,419,,-2.4452,,12466,12896,13204,
2011/12/05,32.00,32.00,31.25,31.30,-0.55,-1.7268,31.8700,31.5150,33.9125,,,-8323.0000,-8623.6000,11901,11909,12215,33.4598,31.0234,51.5152,46.3692,36.7327,411,625,46.3692,36.7327,65.6421,591,450,437,,-2.3789,,13061,12928,13221,
2011/12/06,31.50,31.55,31.00,31.00,-0.30,-0.9585,31.6700,31.4850,33.5300,,,-8900.0000,-8584.3000,11870,11911,12187,30.6762,29.8737,42.4242,45.0542,39.5066,577,627,45.0542,39.5066,56.1495,582,473,455,,-2.3237,,13021,12953,13210,
2011/12/07,31.00,31.45,30.75,30.75,-0.25,-0.8065,31.4900,31.5250,33.2025,,,-9437.0000,-8445.6000,11850,11891,12095,28.3203,28.9000,0.0000,30.0361,36.3497,537,582,30.0361,36.3497,17.4089,0,354,415,,-2.2740,,12419,12814,13079,
2011/12/08,30.50,31.00,30.45,30.50,-0.25,-0.813,31.0800,31.4700,32.8875,,,-10154.0000,-8504.7000,12069,11918,12010,25.9305,27.9077,2.0408,20.7044,31.1346,717,528,20.7044,31.1346,-0.1561,591,353,432,,-2.2290,,13229,12840,13011,
2011/12/09,30.20,30.65,29.90,30.25,-0.25,-0.8197,30.7600,31.3400,32.5925,,,-10502.0000,-8725.6000,12066,11952,11929,23.5462,26.9002,11.6667,17.6918,26.6537,348,518,17.6918,26.6537,-0.2320,589,471,446,0.4922,-2.1884,-2.4345,13224,12991,12944,
2011/12/12,30.25,30.80,30.25,30.30,0.05,0.1653,30.5600,31.2150,32.2800,,,-10130.0000,-8909.3000,12071,11986,11947,25.1969,27.4715,13.3333,16.2390,23.1821,372,510,16.2390,23.1821,2.3527,585,470,460,0.4910,-2.1276,-2.3731,13225,13024,12976,
2011/12/13,30.25,30.30,29.80,30.20,-0.10,-0.33,30.4000,31.0350,31.9900,,,-10698.0000,-9206.2000,12064,12024,11968,23.9556,27.0109,12.9032,15.1271,20.4971,568,508,15.1271,20.4971,4.3870,636,480,477,0.4951,-2.0637,-2.3112,13269,13074,13014,
2011/12/14,30.10,30.45,29.90,30.30,0.10,0.3311,30.3100,30.9000,31.6850,,,-10467.0000,-9403.4000,12092,12073,11982,28.2004,28.3219,18.1818,16.1453,19.0465,231,447,16.1453,19.0465,10.3429,626,606,480,0.5265,-1.9821,-2.2454,13287,13247,13031,
2011/12/15,30.00,30.20,29.75,29.75,-0.55,-1.8152,30.1600,30.6200,31.3525,,,-11066.0000,-9758.9000,11980,12055,11986,20.6081,25.5665,0.0000,10.7635,16.2855,599,423,10.7635,16.2855,-0.2804,624,612,483,0.4894,-1.9395,-2.1842,13173,13236,13038,
2011/12/16,29.80,30.00,29.75,29.80,0.05,0.1681,30.0700,30.4150,31.0600,,,-10624.0000,-10030.1000,11956,12033,11992,22.8733,26.2778,2.7778,8.1016,13.5575,442,442,8.1016,13.5575,-2.8102,621,619,545,0.4867,-1.8800,-2.1234,13143,13220,13106,
2011/12/19,29.75,29.85,27.80,27.90,-1.90,-6.3758,29.5900,30.0750,30.7950,,,-11553.0000,-10353.1000,11933,12005,11996,9.9403,18.8217,2.7397,6.3143,11.1431,929,553,6.3143,11.1431,-3.3433,619,625,547,0.2557,-1.9636,-2.0914,13103,13195,13110,
2011/12/20,28.00,28.40,27.90,28.00,0.10,0.3584,29.1500,29.7750,30.6300,,,-10980.0000,-10561.1000,11940,11981,12003,13.0455,20.1230,6.2500,6.2929,9.5264,573,554,6.2929,9.5264,-0.1741,0,498,489,0.1484,-1.9987,-2.0729,12491,13040,13057,
2011/12/21,29.15,29.70,29.00,29.60,1.60,5.7143,29.0100,29.6600,30.5925,,,-10356.0000,-10653.0000,11918,11946,12009,47.6809,37.5864,60.0000,24.1953,14.4160,624,633,24.1953,14.4160,43.7537,623,498,552,0.3154,-1.8758,-2.0335,13092,13001,13124,
