ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,76.00,76.60,74.60,75.40,0.00,0.00,,,,,,0.0000,,1459,,,,,,,,204,,,,,0,,,,,,2111,,,
2012/06/21,75.60,76.70,75.00,75.40,0.00,0.00,,,,,,0.0000,,1457,,,,,,,,172,,,,,0,,,,,,2109,,,
2012/06/22,74.70,76.30,74.70,75.90,0.50,0.6631,,,,,,92.0000,,1464,,,,,,,,92,,,,,0,,,,,,2116,,,
2012/06/25,76.00,80.00,76.00,77.90,2.00,2.635,,,,,,309.0000,,1462,,,,,,,,217,,,,,0,,,,,,2114,,,
2012/06/26,77.10,77.20,75.00,75.00,-2.90,-3.7227,75.9200,,,,,68.0000,,1454,1460,,,,,,,241,185,,,,0,0,,,,,2106,2111,,
2012/06/27,75.00,77.20,75.00,76.00,1.00,1.3333,76.0400,,,,,183.0000,,1454,1459,,,,,,,115,167,,,,0,0,,,,,2106,2110,,
2012/06/28,76.60,76.60,75.50,75.80,-0.20,-0.2632,76.1200,,,,,75.0000,,1455,1458,,53.0303,,,,,108,154,,,,0,0,,,,,2107,2110,,
2012/06/29,76.50,78.50,75.80,77.20,1.40,1.847,76.3800,,,,,222.0000,,1461,1458,,62.5604,,,,,147,165,,,,0,0,,,,,2113,2109,,
2012/07/02,78.90,79.80,78.00,79.50,2.30,2.9793,76.7000,,,,,489.0000,,1473,1460,,73.2574,,90.7407,63.5802,54.5267,267,175,63.5802,54.5267,81.6872,0,0,,,,,2123,2111,,
2012/07/03,80.00,80.00,79.00,79.00,-0.50,-0.6289,77.5000,76.7100,,,,291.0000,172.9000,1473,1464,1462,68.1760,,81.1321,69.4309,59.4948,198,167,69.4309,59.4948,89.3030,0,0,0,,,,2123,2115,2113,
2012/07/04,80.00,80.00,79.00,79.00,0.00,0.00,78.1000,77.0700,,,,291.0000,202.0000,1479,1469,1464,68.1760,,81.1321,73.3313,64.1069,116,167,73.3313,64.1069,91.7799,0,0,0,,,,2129,2119,2115,
2012/07/05,79.50,81.50,79.50,80.20,1.20,1.519,78.9800,77.5500,,,,759.0000,277.9000,1485,1475,1467,74.3297,,80.0000,75.5542,67.9227,468,239,75.5542,67.9227,90.8171,0,0,0,,,,2135,2125,2118,
2012/07/06,80.80,80.80,77.20,78.20,-2.00,-2.4938,79.1800,77.7800,,,,223.0000,291.0000,1463,1475,1466,53.6005,60.0000,49.2308,66.7797,67.5417,536,317,66.7797,67.5417,65.2557,0,0,0,,,,2113,2125,2117,
2012/07/09,74.10,74.20,73.00,73.00,-5.20,-6.6496,77.8800,77.2900,,,,-138.0000,246.3000,1432,1467,1463,28.6616,42.6987,0.0000,44.5198,59.8677,361,335,44.5198,59.8677,13.8240,0,0,0,,,,2082,2117,2114,
2012/07/10,73.90,74.10,72.90,73.10,0.10,0.137,76.7000,77.1000,,,,70.0000,246.5000,1417,1456,1460,29.4195,43.0433,2.3256,30.4551,50.0635,208,337,30.4551,50.0635,-8.7618,0,0,0,,,,2067,2106,2110,
2012/07/11,73.20,73.90,73.20,73.30,0.20,0.2736,75.5600,76.8300,,,,147.0000,242.9000,1410,1442,1455,31.1742,43.7808,4.6512,21.8538,40.6603,77,330,21.8538,40.6603,-15.7592,0,0,0,,,,2060,2092,2106,
2012/07/12,73.90,73.90,71.90,72.80,-0.50,-0.6821,74.0800,76.5300,,,,78.0000,243.2000,1410,1427,1451,29.0105,42.2874,9.3750,17.6942,33.0049,69,250,17.6942,33.0049,-12.9273,0,0,0,,,,2060,2077,2101,
2012/07/13,72.00,72.90,72.00,72.10,-0.70,-0.9615,72.8600,76.0200,,,,-7.0000,220.3000,1407,1416,1445,25.9810,40.1934,2.0833,12.4906,26.1668,85,160,12.4906,26.1668,-14.8619,0,0,0,,,,2057,2066,2096,
2012/07/16,72.60,72.60,71.00,71.20,-0.90,-1.2483,72.5000,75.1900,,,,-85.0000,162.9000,1407,1411,1439,22.3759,37.5831,1.9048,8.9620,20.4318,78,103,8.9620,20.4318,-13.9778,0,0,0,,,,2057,2061,2089,
2012/07/17,71.00,73.00,70.40,73.00,1.80,2.5281,72.4800,74.5900,75.6500,,,17.0000,135.5000,1407,1409,1432,41.7684,45.3296,23.4234,13.7824,18.2154,102,82,13.7824,18.2154,4.9166,0,0,0,,,,1407,1929,2017,
2012/07/18,73.20,73.20,72.10,72.20,-0.80,-1.0959,72.2600,73.9100,75.4900,,,-49.0000,101.5000,1407,1408,1425,36.8575,42.7567,17.3077,14.9575,17.1294,66,80,14.9575,17.1294,10.6137,0,0,0,,,,1407,1798,1945,
2012/07/19,72.90,72.90,72.50,72.90,0.70,0.9695,72.2800,73.1800,75.3650,,,-7.0000,24.9000,1407,1408,1417,43.7961,45.6987,65.7895,31.9015,22.0535,42,74,31.9015,22.0535,51.5976,0,0,0,,,,1407,1668,1872,
2012/07/20,73.00,73.00,72.50,72.50,-0.40,-0.5487,72.3600,72.6100,75.1950,,,-52.0000,-2.6000,1407,1408,1412,40.7272,44.2801,56.7568,40.1866,28.0978,45,66,40.1866,28.0978,64.3641,0,0,0,,,,1407,1538,1802,
