ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/07/26,96.00,144.00,90.41,90.41,0.00,0.00,,,,,,0.0000,,0,,,,,,,,288,,,,,0,,,,,,0,,,
2016/07/27,90.02,90.98,82.00,82.00,-8.41,-9.3021,,,,,,-166.0000,,0,,,,,,,,166,,,,,0,,,,,,0,,,
2016/07/28,82.99,82.99,69.01,72.00,-10.00,-12.1951,,,,,,-368.0000,,0,,,,,,,,202,,,,,0,,,,,,0,,,
2016/07/29,73.68,88.40,70.11,85.00,13.00,18.0556,,,,,,-23.0000,,0,,,,,,,,345,,,,,0,,,,,,0,,,
2016/08/01,86.90,88.10,82.60,83.50,-1.50,-1.7647,82.5820,,,,,-188.0000,,0,0,,,,,,,165,233,,,,0,0,,,,,0,0,,
2016/08/02,84.50,84.50,82.00,83.00,-0.50,-0.5988,81.1000,,,,,-217.0000,,0,0,,,,,,,29,181,,,,0,0,,,,,0,0,,
2016/08/03,81.00,84.30,81.00,84.00,1.00,1.2048,81.5000,,,,,-175.0000,,0,0,,40.6858,,,,,42,156,,,,0,0,,,,,0,0,,
2016/08/04,84.49,86.31,82.01,86.31,2.31,2.75,84.3620,,,,,-57.0000,,0,0,,45.1078,,,,,118,139,,,,0,0,,,,,0,0,,
2016/08/05,86.99,87.00,84.67,86.00,-0.31,-0.3592,84.5620,,,,,-172.0000,,0,0,,44.5727,,22.6564,40.8855,46.9618,115,93,40.8855,46.9618,28.7327,0,0,,,,,0,0,,
2016/08/08,85.00,87.60,84.00,85.50,-0.50,-0.5814,84.9620,83.7720,,,,-245.0000,-161.1000,0,0,0,43.5722,,75.0569,52.2759,48.7332,73,75,52.2759,48.7332,59.3614,0,0,0,,,,0,0,0,
2016/08/09,87.00,87.00,86.00,86.50,1.00,1.1696,85.6620,83.3810,,,,-219.0000,-183.0000,0,0,0,46.4566,,90.2011,64.9177,54.1280,26,74,64.9177,54.1280,86.4970,0,0,0,,,,0,0,0,
2016/08/10,86.39,87.00,84.00,87.00,0.50,0.578,86.2620,83.8810,,,,-128.0000,-179.2000,0,0,0,48.0499,,92.3455,74.0603,60.7721,91,84,74.0603,60.7721,100.6367,0,0,0,,,,0,0,0,
