ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/04/25,27.95,27.95,27.95,27.95,0.00,0.00,,,,,,0.0000,,51,,,,,,,,2,,,,,0,,,,,,51,,,
2012/04/27,27.50,27.90,27.50,27.90,-0.05,-0.1789,,,,,,-4.0000,,51,,,,,,,,4,,,,,0,,,,,,51,,,
2012/05/02,27.20,27.30,27.20,27.30,-0.60,-2.1505,,,,,,-7.0000,,51,,,,,,,,3,,,,,0,,,,,,51,,,
2012/05/03,27.30,27.30,27.30,27.30,0.00,0.00,,,,,,-7.0000,,51,,,,,,,,3,,,,,0,,,,,,51,,,
2012/05/04,27.30,27.30,27.00,27.00,-0.30,-1.0989,27.4900,,,,,-12.0000,,51,51,,,,,,,5,3,,,,0,0,,,,,51,51,,
2012/05/07,27.10,27.50,27.00,27.50,0.50,1.8519,27.4000,,,,,20.0000,,51,51,,,,,,,32,9,,,,0,0,,,,,51,51,,
2012/05/08,27.50,27.90,27.05,27.45,-0.05,-0.1818,27.3100,,,,,-59.0000,,51,51,,33.3333,,,,,79,24,,,,0,0,,,,,51,51,,
2012/05/09,27.40,27.50,27.00,27.40,-0.05,-0.1821,27.3300,,,,,-109.0000,,47,50,,32.0513,,,,,50,33,,,,0,0,,,,,47,50,,
2012/05/10,27.20,28.10,27.20,28.10,0.70,2.5547,27.4900,,,,,23.0000,,46,49,,58.7227,,100.0000,66.6667,55.5556,132,59,66.6667,55.5556,88.8889,0,0,,,,,46,49,,
2012/05/11,28.10,28.55,28.05,28.40,0.30,1.0676,27.7700,27.6300,,,,86.0000,-6.9000,46,48,50,65.6558,,90.3226,74.5520,61.8877,63,71,74.5520,61.8877,99.8805,0,0,0,,,,46,48,50,
2012/05/14,28.40,28.70,27.70,27.70,-0.70,-2.4648,27.8100,27.6050,,,,43.0000,-2.6000,40,46,49,44.6548,,41.1765,63.4268,62.4007,43,73,63.4268,62.4007,65.4790,0,0,0,,,,40,46,49,
2012/05/15,27.60,27.90,27.55,27.90,0.20,0.722,27.9000,27.6050,,,,62.0000,4.0000,37,43,47,50.1246,,52.9412,59.9316,61.5777,19,61,59.9316,61.5777,56.6394,0,0,0,,,,37,43,47,
2012/05/16,27.90,28.10,27.40,27.90,0.00,0.00,28.0000,27.6650,,,,62.0000,10.9000,33,40,45,50.1246,49.2754,52.9412,57.6015,60.2523,25,56,57.6015,60.2523,52.2998,0,0,0,,,,33,40,45,
2012/05/17,27.00,28.10,27.00,28.10,0.20,0.7168,28.0000,27.7450,,,,111.0000,22.7000,28,37,43,56.3382,52.2924,64.7059,59.9696,60.1580,49,39,59.9696,60.1580,59.5927,0,0,0,,,,28,37,43,
2012/05/18,28.10,28.20,27.45,27.80,-0.30,-1.0676,27.8800,27.8250,,,,91.0000,33.0000,23,32,40,46.0185,47.6542,47.0588,55.6660,58.6607,20,31,55.6660,58.6607,49.6766,0,0,0,,,,23,32,40,
2012/05/21,27.80,28.45,27.80,28.00,0.20,0.7194,27.9400,27.8750,,,,113.0000,42.3000,21,28,37,52.9179,50.8263,58.8235,56.7185,58.0133,22,27,56.7185,58.0133,54.1289,0,0,0,,,,21,28,37,
2012/05/22,28.10,28.20,28.00,28.00,0.00,0.00,27.9600,27.9300,,,,113.0000,59.5000,20,25,34,52.9179,50.8263,58.8235,57.4202,57.8156,21,27,57.4202,57.8156,56.6294,0,0,0,,,,20,25,34,
2012/05/23,28.00,28.00,27.90,27.95,-0.05,-0.1786,27.9700,27.9850,,,,98.0000,80.2000,18,22,31,50.5902,49.9262,55.8824,56.9076,57.5129,15,25,56.9076,57.5129,55.6969,0,0,0,,,,18,22,31,
2012/05/24,27.95,28.00,27.90,28.00,0.05,0.1789,27.9500,27.9750,,,,129.0000,90.8000,14,19,28,53.0675,50.8753,58.8235,57.5462,57.5240,31,21,57.5462,57.5240,57.5906,0,0,0,,,,14,19,28,
2012/05/25,27.90,28.00,27.60,27.85,-0.15,-0.5357,27.9600,27.9200,27.7750,,,83.0000,90.5000,8,16,24,44.9534,47.9038,58.6207,57.9044,57.6508,46,27,57.9044,57.6508,58.4115,0,0,0,,,,8,16,24,
