ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/10/21,21.00,21.47,20.00,21.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,67001,,,,,0,,,,,,0,,,
2011/10/24,21.00,21.89,20.90,21.89,0.89,4.2381,,,,,,123000.0000,,0,,,,,,,,123000,,,,,0,,,,,,0,,,
2011/10/25,21.50,21.60,21.30,21.60,-0.29,-1.3248,,,,,,84000.0000,,0,,,,,,,,39000,,,,,0,,,,,,0,,,
2011/10/26,21.30,21.80,21.30,21.60,0.00,0.00,,,,,,84000.0000,,0,,,,,,,,48000,,,,,0,,,,,,0,,,
2011/10/27,21.40,21.40,21.40,21.40,-0.20,-0.9259,21.4980,,,,,49000.0000,,0,0,,,,,,,35000,62400,,,,0,0,,,,,0,0,,
2011/10/28,21.40,21.40,21.40,21.40,0.00,0.00,21.5780,,,,,49000.0000,,0,0,,,,,,,30000,55000,,,,0,0,,,,,0,0,,
2011/10/31,21.40,21.40,21.40,21.40,0.00,0.00,21.4800,,,,,49000.0000,,0,0,,64.4928,,,,,9000,32200,,,,0,0,,,,,0,0,,
2011/11/01,22.10,22.10,22.10,22.10,0.70,3.271,21.5800,,,,,56000.0000,,0,0,,77.9279,,,,,7000,25800,,,,0,0,,,,,0,0,,
2011/11/02,22.10,22.10,22.10,22.10,0.00,0.00,21.6800,,,,,56000.0000,,0,0,,77.9279,,100.0000,66.6667,55.5556,4000,17000,66.6667,55.5556,88.8889,0,0,,,,,0,0,,
2011/11/03,22.00,22.21,22.00,22.21,0.11,0.4977,21.8420,21.6700,,,,59020.0000,60902.0000,0,0,0,79.6687,,100.0000,77.7778,62.9630,3020,10604,77.7778,62.9630,107.4074,0,0,0,,,,0,0,0,
2011/11/04,22.00,22.21,22.00,22.21,0.00,0.00,22.0040,21.7910,,,,59020.0000,66804.0000,0,0,0,79.6687,,100.0000,85.1852,70.3704,18000,8204,85.1852,70.3704,114.8148,0,0,0,,,,0,0,0,
2011/11/07,22.20,22.20,22.00,22.00,-0.21,-0.9455,22.1240,21.8020,,,,7020.0000,55206.0000,0,0,0,65.4730,,76.9231,82.4311,74.3906,52000,16804,82.4311,74.3906,98.5122,0,0,0,,,,0,0,0,
2011/11/08,22.00,22.00,22.00,22.00,0.00,0.00,22.1040,21.8420,,,,7020.0000,47508.0000,0,0,0,65.4730,70.8333,74.0741,79.6455,76.1422,27000,20804,79.6455,76.1422,86.6519,0,0,0,,,,0,0,0,
2011/11/14,21.80,21.80,21.80,21.80,-0.20,-0.9091,22.0440,21.8620,,,,6020.0000,39710.0000,0,0,0,52.6156,64.9306,49.3827,69.5579,73.9475,1000,20204,69.5579,73.9475,60.7787,0,0,0,,,,0,0,0,
2011/11/15,21.80,21.80,21.80,21.80,0.00,0.00,21.9620,21.9020,,,,6020.0000,35412.0000,0,0,0,52.6156,64.9306,49.3827,62.8328,70.2426,12000,22000,62.8328,70.2426,48.0133,0,0,0,,,,0,0,0,
