ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/04/06,77.70,79.00,68.41,77.25,0.00,0.00,,,,,,0.0000,,0,,,,,,,,392,,,,,0,,,,,,0,,,
2016/04/07,76.00,90.34,75.01,89.99,12.74,16.4919,,,,,,471.0000,,0,,,,,,,,471,,,,,0,,,,,,0,,,
2016/04/08,87.60,92.10,87.00,87.20,-2.79,-3.1003,,,,,,139.0000,,0,,,,,,,,332,,,,,0,,,,,,0,,,
2016/04/11,88.99,89.00,81.01,84.24,-2.96,-3.3945,,,,,,-55.0000,,0,,,,,,,,194,,,,,0,,,,,,0,,,
2016/04/12,82.51,83.99,81.71,82.29,-1.95,-2.3148,84.1940,,,,,-136.0000,,0,0,,,,,,,81,294,,,,0,0,,,,,0,0,,
2016/04/13,83.99,83.99,82.51,83.00,0.71,0.8628,85.3440,,,,,-106.0000,,0,0,,,,,,,30,221,,,,0,0,,,,,0,0,,
2016/04/14,83.40,84.99,82.51,83.60,0.60,0.7229,84.0660,,,,,-55.0000,,0,0,,64.5977,,,,,51,137,,,,0,0,,,,,0,0,,
2016/04/15,82.00,84.00,80.70,81.00,-2.60,-3.11,82.8260,,,,,-139.0000,,0,0,,56.4938,,,,,84,88,,,,0,0,,,,,0,0,,
2016/04/18,80.72,81.00,79.71,80.50,-0.50,-0.6173,82.0780,,,,,-201.0000,,0,0,,54.9043,,51.0342,50.3447,50.1149,62,61,50.3447,50.1149,50.8044,0,0,,,,,0,0,,
2016/04/19,79.70,80.49,78.51,79.24,-1.26,-1.5652,81.4680,82.8310,,,,-260.0000,-34.2000,0,0,0,50.5991,,24.7513,41.8136,47.3478,59,57,41.8136,47.3478,30.7452,0,0,0,,,,0,0,0,
2016/04/20,79.24,79.24,75.54,77.05,-2.19,-2.7638,80.2780,82.8110,,,,-320.0000,-66.2000,0,0,0,43.4871,,9.1184,30.9152,41.8703,60,63,30.9152,41.8703,9.0050,0,0,0,,,,0,0,0,
2016/04/21,77.29,77.29,73.80,74.50,-2.55,-3.3095,78.4580,81.2620,,,,-449.0000,-158.2000,0,0,0,36.3484,,4.6053,22.1452,35.2952,129,78,22.1452,35.2952,-4.1549,0,0,0,,,,0,0,0,
2016/04/22,73.70,74.00,71.61,73.99,-0.51,-0.6846,77.0560,79.9410,,,,-544.0000,-226.5000,0,0,0,34.9707,44.8023,17.7877,20.6927,30.4277,95,81,20.6927,30.4277,1.2227,0,0,0,,,,0,0,0,
2016/04/25,74.00,76.83,74.00,76.83,2.84,3.8384,76.3220,79.2000,,,,-509.0000,-271.9000,0,0,0,48.1130,49.7652,39.0135,26.7996,29.2184,35,75,26.7996,29.2184,21.9622,0,0,0,,,,0,0,0,
2016/04/26,74.51,78.00,74.51,77.49,0.66,0.859,75.9720,78.7200,,,,-455.0000,-303.8000,0,0,0,50.8813,50.8848,43.9462,32.5152,30.3173,54,74,32.5152,30.3173,36.9109,0,0,0,,,,0,0,0,
2016/04/27,77.00,77.49,76.01,76.01,-1.48,-1.9099,75.7640,78.0210,,,,-490.0000,-342.2000,0,0,0,44.4935,48.2540,35.5125,33.5143,31.3830,35,69,33.5143,31.3830,37.7769,0,0,0,,,,0,0,0,
