ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/14,16.00,16.35,16.00,16.35,0.00,0.00,,,,,,0.0000,,193,,,,,,,,18,,,,,0,,,,,,193,,,
2012/06/15,16.05,16.30,16.05,16.30,-0.05,-0.3058,,,,,,-2.0000,,193,,,,,,,,2,,,,,0,,,,,,193,,,
2012/06/18,16.75,16.75,16.75,16.75,0.45,2.7607,,,,,,-1.0000,,193,,,,,,,,1,,,,,0,,,,,,193,,,
2012/06/19,16.50,16.50,15.80,16.35,-0.40,-2.3881,,,,,,-19.0000,,193,,,,,,,,18,,,,,0,,,,,,193,,,
2012/06/20,16.45,16.45,16.10,16.10,-0.25,-1.5291,16.3700,,,,,-26.0000,,193,193,,,,,,,7,9,,,,0,0,,,,,193,193,,
2012/06/21,16.05,16.30,15.90,16.30,0.20,1.2422,16.3600,,,,,-1.0000,,193,193,,,,,,,25,10,,,,0,0,,,,,193,193,,
2012/06/22,16.00,16.35,16.00,16.35,0.05,0.3067,16.3700,,,,,34.0000,,193,193,,50.0000,,,,,35,17,,,,0,0,,,,,193,193,,
2012/06/25,16.35,16.40,16.10,16.10,-0.25,-1.5291,16.2400,,,,,9.0000,,193,193,,41.1765,,,,,25,22,,,,0,0,,,,,193,193,,
2012/06/26,16.10,16.30,16.00,16.15,0.05,0.3106,16.2000,,,,,33.0000,,193,193,,43.5666,,36.8421,45.6140,48.5380,24,23,45.6140,48.5380,39.7661,0,0,,,,,193,193,,
2012/06/27,16.15,16.25,16.15,16.20,0.05,0.3096,16.2200,16.2950,,,,58.0000,8.5000,193,193,193,46.1903,,42.1053,44.4444,47.1735,25,26,44.4444,47.1735,38.9864,0,0,0,,,,193,193,193,
2012/06/28,16.20,16.25,16.20,16.25,0.05,0.3086,16.2100,16.2850,,,,69.0000,15.4000,193,193,193,49.0337,,47.3684,45.4191,46.5887,11,24,45.4191,46.5887,43.0799,0,0,0,,,,193,193,193,
2012/06/29,16.20,16.30,16.10,16.30,0.05,0.3077,16.2000,16.2850,,,,99.0000,25.5000,193,193,193,52.0728,,71.4286,54.0889,49.0888,30,23,54.0889,49.0888,64.0892,0,0,0,,,,193,193,193,
2012/07/02,16.30,16.40,16.15,16.35,0.05,0.3067,16.2500,16.2450,,,,116.0000,37.2000,193,193,193,55.2732,50.0000,81.8182,63.3320,53.8365,17,21,63.3320,53.8365,82.3230,0,0,0,,,,193,193,193,
2012/07/03,16.15,16.40,16.10,16.40,0.05,0.3058,16.3000,16.2500,,,,142.0000,53.3000,193,193,193,58.5913,51.3953,100.0000,75.5547,61.0759,26,21,75.5547,61.0759,104.5122,0,0,0,,,,193,193,193,
2012/07/04,16.00,16.45,16.00,16.45,0.05,0.3049,16.3500,16.2850,,,,147.0000,70.6000,193,193,193,61.9764,52.8314,100.0000,83.7031,68.6183,5,17,83.7031,68.6183,113.8727,0,0,0,,,,193,193,193,
2012/07/05,16.30,16.50,16.30,16.50,0.05,0.304,16.4000,16.3050,,,,181.0000,88.8000,193,193,193,65.3732,54.3041,100.0000,89.1354,75.4573,34,22,89.1354,75.4573,116.4915,0,0,0,,,,193,193,193,
2012/07/06,16.50,16.50,16.25,16.25,-0.25,-1.5152,16.3900,16.2950,,,,147.0000,100.1000,193,193,193,42.5606,46.4014,50.0000,76.0903,75.6683,34,23,76.0903,75.6683,76.9342,0,0,0,,,,193,193,193,
2012/07/09,16.10,16.45,16.10,16.45,0.20,1.2308,16.4100,16.3300,,,,170.0000,116.2000,193,193,193,56.9743,52.4416,90.0000,80.7268,77.3545,23,24,80.7268,77.3545,87.4716,0,0,0,,,,193,193,193,
