ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/11/26,23.00,23.00,23.00,23.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,27,,,,,0,,,,,,0,,,
2014/11/27,23.49,23.49,23.00,23.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2014/11/28,23.10,23.10,22.80,23.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2014/12/04,24.00,24.00,24.00,24.00,1.00,4.3478,,,,,,0.0000,,0,,,,,,,,0,,,,,0,,,,,,0,,,
2014/12/10,24.00,24.10,24.00,24.00,0.00,0.00,23.4000,,,,,0.0000,,0,0,,,,,,,8,10,,,,0,0,,,,,0,0,,
2014/12/15,25.15,25.15,25.15,25.15,1.15,4.7917,23.8300,,,,,0.0000,,0,0,,,,,,,0,5,,,,0,0,,,,,0,0,,
2014/12/19,25.26,25.26,25.26,25.26,0.11,0.4374,24.2820,,,,,1.0000,,0,0,,100.0000,,,,,1,3,,,,0,0,,,,,0,0,,
2014/12/31,25.26,25.26,25.26,25.26,0.00,0.00,24.7340,,,,,1.0000,,0,0,,100.0000,,,,,6,3,,,,0,0,,,,,0,0,,
2015/01/05,25.90,26.00,25.90,26.00,0.74,2.9295,25.1340,,,,,5.0000,,0,0,,100.0000,,100.0000,66.6667,55.5556,4,3,66.6667,55.5556,88.8889,0,0,,,,,0,0,,
2015/01/06,26.00,26.00,26.00,26.00,0.00,0.00,25.5340,24.4670,,,,5.0000,1.2000,0,0,0,100.0000,,100.0000,77.7778,62.9630,1,2,77.7778,62.9630,107.4074,0,0,0,,,,0,0,0,
2015/01/07,26.41,26.41,26.41,26.41,0.41,1.5769,25.7860,24.8080,,,,6.0000,1.8000,0,0,0,100.0000,,100.0000,85.1852,70.3704,1,2,85.1852,70.3704,114.8148,0,0,0,,,,0,0,0,
2015/01/08,26.41,26.41,26.41,26.41,0.00,0.00,26.0160,25.1490,,,,6.0000,2.4000,0,0,0,100.0000,,100.0000,90.1235,76.9547,1,2,90.1235,76.9547,116.4609,0,0,0,,,,0,0,0,
2015/01/12,26.41,28.20,26.41,28.20,1.79,6.7777,26.6040,25.6690,,,,25.0000,4.9000,0,0,0,100.0000,100.0000,100.0000,93.4156,82.4417,19,5,93.4156,82.4417,115.3635,0,0,0,,,,0,0,0,
2015/01/13,28.20,28.21,28.00,28.00,-0.20,-0.7092,27.0040,26.0690,,,,6.0000,5.5000,0,0,0,92.9998,95.9732,93.1373,93.3228,86.0687,19,8,93.3228,86.0687,107.8310,0,0,0,,,,0,0,0,
2015/01/14,28.14,28.14,28.00,28.00,0.00,0.00,27.4040,26.4690,,,,6.0000,6.1000,0,0,0,92.9998,95.9732,92.8814,93.1757,88.4377,5,9,93.1757,88.4377,102.6516,0,0,0,,,,0,0,0,
