ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/10/14,25.47,25.47,24.70,24.70,0.00,0.00,,,,,,0.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2011/10/18,25.50,25.80,25.50,25.80,1.10,4.4534,,,,,,10.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2011/10/19,25.78,26.60,25.78,26.60,0.80,3.1008,,,,,,24.0000,,0,,,,,,,,14,,,,,0,,,,,,0,,,
2011/10/20,26.30,26.30,26.30,26.30,-0.30,-1.1278,,,,,,22.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2011/10/21,26.30,26.30,26.00,26.00,-0.30,-1.1407,25.8800,,,,,17.0000,,0,0,,,,,,,5,8,,,,0,0,,,,,0,0,,
2011/10/24,26.00,26.00,26.00,26.00,0.00,0.00,26.1400,,,,,17.0000,,0,0,,,,,,,2,6,,,,0,0,,,,,0,0,,
2011/10/27,26.50,26.50,26.50,26.50,0.50,1.9231,26.2800,,,,,18.0000,,0,0,,80.0000,,,,,1,4,,,,0,0,,,,,0,0,,
2011/11/02,26.50,26.50,26.50,26.50,0.00,0.00,26.2600,,,,,18.0000,,0,0,,80.0000,,,,,1,2,,,,0,0,,,,,0,0,,
2011/11/03,26.50,26.50,25.70,26.00,-0.50,-1.8868,26.2000,,,,,13.0000,,0,0,,64.5161,,68.4211,56.1404,52.0468,5,2,56.1404,52.0468,64.3275,0,0,,,,,0,0,,
2011/11/04,26.50,26.70,26.50,26.70,0.70,2.6923,26.3400,26.1100,,,,20.0000,15.9000,0,0,0,73.2230,,100.0000,70.7602,58.2846,7,3,70.7602,58.2846,95.7115,0,0,0,,,,0,0,0,
