ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/22,289.00,293.00,265.00,265.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2012/06/27,268.00,273.00,268.00,273.00,8.00,3.0189,,,,,,2.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2012/06/28,268.00,268.00,268.00,268.00,-5.00,-1.8315,,,,,,1.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2012/06/29,268.00,268.00,268.00,268.00,0.00,0.00,,,,,,1.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2012/07/02,289.00,289.00,289.00,289.00,21.00,7.8358,272.6000,,,,,2.0000,,0,0,,,,,,,1,3,,,,0,0,,,,,0,0,,
2012/07/03,295.00,299.00,265.00,299.00,10.00,3.4602,279.4000,,,,,7.0000,,0,0,,,,,,,5,2,,,,0,0,,,,,0,0,,
2012/07/04,298.00,298.00,272.00,272.00,-27.00,-9.0301,279.2000,,,,,5.0000,,0,0,,54.9296,,,,,2,2,,,,0,0,,,,,0,0,,
2012/07/05,292.00,300.00,269.00,269.00,-3.00,-1.1029,279.4000,,,,,-1.0000,,0,0,,52.2788,,,,,6,3,,,,0,0,,,,,0,0,,
2012/07/06,293.00,300.00,270.00,270.00,1.00,0.3717,279.8000,,,,,3.0000,,0,0,,53.1825,,14.2857,38.0952,46.0317,4,3,38.0952,46.0317,22.2222,0,0,,,,,0,0,,
2012/07/09,303.00,303.00,261.00,262.15,-7.85,-2.9074,274.4300,273.5150,,,,-958.0000,-93.8000,0,0,0,45.1315,,2.7381,26.3095,39.4577,961,195,26.3095,39.4577,0.0132,0,0,0,,,,0,0,0,
2012/07/10,293.00,335.00,262.10,335.00,72.85,27.7894,281.6300,280.5150,,,,-62.0000,-100.0000,0,0,0,79.5714,,100.0000,50.8730,43.2628,896,373,50.8730,43.2628,66.0935,0,0,0,,,,0,0,0,
2012/07/11,298.00,298.00,263.00,275.00,-60.00,-17.9104,282.2300,280.7150,,,,-1053.0000,-205.5000,0,0,0,49.1073,,18.9189,40.2217,42.2491,991,571,40.2217,42.2491,36.1668,0,0,0,,,,0,0,0,
