ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2013/02/27,36.68,44.40,36.68,43.80,0.00,0.00,,,,,,0.0000,,0,,,,,,,,47100,,,,,0,,,,,,0,,,
2013/03/01,44.50,45.00,44.00,44.00,0.20,0.4566,,,,,,35001.0000,,0,,,,,,,,35001,,,,,0,,,,,,0,,,
2013/03/04,44.50,44.50,42.50,42.60,-1.40,-3.1818,,,,,,23991.0000,,0,,,,,,,,11010,,,,,0,,,,,,0,,,
2013/03/06,42.00,42.00,42.00,42.00,-0.60,-1.4085,,,,,,20991.0000,,0,,,,,,,,3000,,,,,0,,,,,,0,,,
2013/03/07,42.50,42.60,42.50,42.50,0.50,1.1905,42.9800,,,,,23091.0000,,0,0,,,,,,,2100,19642,,,,0,0,,,,,0,0,,
2013/03/08,41.80,42.00,41.80,42.00,-0.50,-1.1765,42.6200,,,,,13091.0000,,0,0,,,,,,,10000,12222,,,,0,0,,,,,0,0,,
2013/03/11,41.80,41.80,41.70,41.70,-0.30,-0.7143,42.1600,,,,,8091.0000,,0,0,,20.0000,,,,,5000,6222,,,,0,0,,,,,0,0,,
2013/03/12,42.00,42.00,42.00,42.00,0.30,0.7194,42.0400,,,,,8093.0000,,0,0,,27.4611,,,,,2,4020,,,,0,0,,,,,0,0,,
2013/03/13,41.30,41.30,41.30,41.30,-0.70,-1.6667,41.9000,,,,,7093.0000,,0,0,,21.7749,,55.5288,51.8429,50.6143,1000,3620,51.8429,50.6143,54.3002,0,0,,,,,0,0,,
2013/03/15,40.95,40.95,40.95,40.95,-0.35,-0.8475,41.5900,42.2850,,,,4093.0000,14353.5000,0,0,0,19.3685,,0.0000,34.5620,45.2635,3000,3800,34.5620,45.2635,13.1588,0,0,0,,,,0,0,0,
2013/03/18,40.85,40.85,40.85,40.85,-0.10,-0.2442,41.3600,41.9900,,,,1093.0000,14462.8000,0,0,0,18.6614,,0.0000,23.0413,37.8561,3000,2400,23.0413,37.8561,-6.5883,0,0,0,,,,0,0,0,
2013/03/19,41.00,41.00,41.00,41.00,0.15,0.3672,41.2200,41.6900,,,,3093.0000,11272.0000,0,0,0,23.6767,,8.5714,18.2180,31.3101,2000,1800,18.2180,31.3101,-7.9661,0,0,0,,,,0,0,0,
