ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/03/25,48.42,66.00,48.42,51.78,0.00,0.00,,,,,,0.0000,,0,,,,,,,,38,,,,,0,,,,,,0,,,
2015/03/26,49.00,49.20,46.65,47.50,-4.28,-8.2657,,,,,,-25.0000,,0,,,,,,,,25,,,,,0,,,,,,0,,,
2015/03/30,48.40,48.84,48.00,48.70,1.20,2.5263,,,,,,-10.0000,,0,,,,,,,,15,,,,,0,,,,,,0,,,
2015/03/31,48.79,48.79,48.79,48.79,0.09,0.1848,,,,,,-8.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2015/04/01,47.54,48.92,47.54,48.00,-0.79,-1.6192,48.9540,,,,,-20.0000,,0,0,,,,,,,12,18,,,,0,0,,,,,0,0,,
2015/04/02,49.92,50.17,49.00,50.00,2.00,4.1667,48.5980,,,,,88.0000,,0,0,,,,,,,108,32,,,,0,0,,,,,0,0,,
2015/04/07,49.39,50.47,48.00,48.00,-2.00,-4.00,48.6980,,,,,69.0000,,0,0,,31.7568,,,,,19,31,,,,0,0,,,,,0,0,,
2015/04/08,47.98,49.99,46.55,46.55,-1.45,-3.0208,48.2680,,,,,60.0000,,0,0,,27.1901,,,,,9,30,,,,0,0,,,,,0,0,,
2015/04/09,45.60,46.00,44.65,44.65,-1.90,-4.0816,47.4400,,,,,53.0000,,0,0,,22.1758,,0.0000,33.3333,44.4444,7,31,33.3333,44.4444,11.1111,0,0,,,,,0,0,,
2015/04/10,46.18,46.18,45.00,45.24,0.59,1.3214,46.8880,47.9210,,,,58.0000,26.5000,0,0,0,27.1799,,10.1375,25.6014,38.1634,5,29,25.6014,38.1634,0.4773,0,0,0,,,,0,0,0,
2015/04/13,43.70,44.00,43.70,44.00,-1.24,-2.7409,45.6880,47.1430,,,,56.0000,32.1000,0,0,0,23.3873,,4.4313,18.5447,31.6238,2,8,18.5447,31.6238,-7.6136,0,0,0,,,,0,0,0,
2015/04/14,43.85,44.00,42.99,43.50,-0.50,-1.1364,44.7880,46.7430,,,,51.0000,39.7000,0,0,0,21.9080,,6.8182,14.6359,25.9612,5,5,14.6359,25.9612,-8.0148,0,0,0,,,,0,0,0,
2015/04/15,43.04,43.50,43.04,43.50,0.00,0.00,44.1780,46.2230,,,,51.0000,45.8000,0,0,0,21.9080,24.1895,6.8182,12.0300,21.3174,4,4,12.0300,21.3174,-6.5450,0,0,0,,,,0,0,0,
2015/04/16,43.30,43.50,43.00,43.00,-0.50,-1.1494,43.8480,45.6440,,,,44.0000,51.0000,0,0,0,20.0793,23.3940,0.1337,8.0645,16.8998,7,4,8.0645,16.8998,-9.6060,0,0,0,,,,0,0,0,
2015/04/17,43.27,43.50,42.29,43.00,0.00,0.00,43.4000,45.1440,,,,44.0000,57.4000,0,0,0,20.0793,23.3940,8.6797,8.2696,14.0231,12,6,8.2696,14.0231,-3.2374,0,0,0,,,,0,0,0,
2015/04/20,41.81,42.00,41.81,42.00,-1.00,-2.3256,43.0000,44.3440,,,,39.0000,52.5000,0,0,0,16.1876,21.6957,2.3227,6.2873,11.4445,5,6,6.2873,11.4445,-4.0270,0,0,0,,,,0,0,0,
2015/04/21,41.80,43.20,41.80,42.00,0.00,0.00,42.7000,43.7440,,,,39.0000,49.5000,0,0,0,16.1876,21.6957,4.5662,5.7136,9.5342,17,9,5.7136,9.5342,-1.9276,0,0,0,,,,0,0,0,
2015/04/22,42.62,42.80,42.62,42.80,0.80,1.9048,42.5600,43.3690,,,,43.0000,47.8000,0,0,0,31.4852,26.7579,22.8311,11.4194,10.1626,4,9,11.4194,10.1626,13.9331,0,0,0,,,,0,0,0,
2015/04/23,42.27,42.27,42.27,42.27,-0.53,-1.2383,42.4140,43.1310,,,,42.0000,46.7000,0,0,0,27.4955,25.5635,21.3636,14.7342,11.6865,1,7,14.7342,11.6865,20.8296,0,0,0,,,,0,0,0,
2015/04/24,42.30,43.00,42.30,43.00,0.73,1.727,42.4140,42.9070,45.4140,,,52.0000,46.1000,0,0,0,40.0513,30.2421,54.5455,28.0046,17.1258,10,7,28.0046,17.1258,49.7621,0,0,0,,,,0,0,0,
2015/04/27,42.75,43.00,42.75,43.00,0.00,0.00,42.6140,42.8070,44.9750,,,52.0000,45.7000,0,0,0,40.0513,30.2421,70.5882,42.1991,25.4836,2,6,42.1991,25.4836,75.6302,0,0,0,,,,0,0,0,
2015/04/28,43.00,44.64,43.00,44.64,1.64,3.814,43.1420,42.9210,44.8320,,,57.0000,46.3000,0,0,0,61.5769,40.2783,100.0000,61.4661,37.4778,5,4,61.4661,37.4778,109.4427,0,0,0,,,,0,0,0,
2015/04/29,43.43,43.43,42.63,43.43,-1.21,-2.7106,43.2680,42.9140,44.5685,,,51.0000,46.3000,0,0,0,46.7233,36.0982,57.3944,60.1089,45.0215,6,4,60.1089,45.0215,90.2836,0,0,0,,,,0,0,0,
2015/04/30,43.68,45.00,43.16,45.00,1.57,3.615,43.8140,43.1140,44.3790,,,64.0000,48.3000,0,0,0,61.2698,44.2830,100.0000,73.4059,54.4829,13,7,73.4059,54.4829,111.2518,0,0,0,,,,0,0,0,
2015/05/04,45.00,49.10,45.00,48.42,3.42,7.60,44.8980,43.6560,44.4000,,,108.0000,54.7000,0,0,0,77.4000,57.2845,90.6849,79.1656,62.7105,44,14,79.1656,62.7105,112.0758,0,0,0,,,,0,0,0,
2015/05/05,46.81,48.40,45.22,45.22,-3.20,-6.6088,45.3420,43.9780,44.1610,,,91.0000,59.9000,0,0,0,52.7384,46.2648,43.1918,67.1743,64.1984,17,17,67.1743,64.1984,73.1261,0,0,0,,-0.6588,,0,0,0,
2015/05/06,44.65,45.50,44.00,45.50,0.28,0.6192,45.5140,44.3280,44.0360,,,136.0000,69.6000,0,0,0,54.2684,47.2337,47.2914,60.5467,62.9812,45,25,60.5467,62.9812,55.6776,0,0,0,,-0.5529,,0,0,0,
2015/05/07,44.38,44.96,44.35,44.50,-1.00,-2.1978,45.7280,44.4980,43.9335,,,116.0000,76.9000,0,0,0,47.6565,44.1333,32.3529,51.1488,59.0370,20,27,51.1488,59.0370,35.3722,0,0,0,,-0.5434,,0,0,0,
2015/05/08,44.30,44.68,44.30,44.68,0.18,0.4045,45.6640,44.7390,43.9350,,,119.0000,84.6000,0,0,0,48.9987,44.8442,31.6847,44.6607,54.2449,3,25,44.6607,54.2449,25.4923,0,0,0,,-0.5154,,0,0,0,
2015/05/11,45.96,46.35,45.00,45.45,0.77,1.7234,45.0700,44.9840,43.9455,,,138.0000,93.2000,0,0,0,54.9310,47.9360,43.5858,44.3024,50.9308,19,20,44.3024,50.9308,31.0457,0,0,0,,-0.4262,,0,0,0,
