ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/08/17,100.00,105.97,100.00,103.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,26,,,,,0,,,,,,0,,,
2018/08/20,101.50,102.00,98.00,98.00,-5.00,-4.8544,,,,,,-23.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2018/08/21,99.98,99.98,98.50,98.99,0.99,1.0102,,,,,,-14.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2018/08/22,98.00,98.00,95.76,97.80,-1.19,-1.2021,,,,,,-17.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2018/08/23,95.01,95.13,93.00,95.13,-2.67,-2.7301,98.5840,,,,,-30.0000,,0,0,,,,,,,13,14,,,,0,0,,,,,0,0,,
2018/08/24,95.14,95.14,95.14,95.14,0.01,0.0105,97.0120,,,,,-26.0000,,0,0,,,,,,,4,10,,,,0,0,,,,,0,0,,
2018/08/28,95.14,95.14,95.14,95.14,0.00,0.00,96.4400,,,,,-26.0000,,0,0,,10.1420,,,,,1,6,,,,0,0,,,,,0,0,,
2018/08/29,95.14,95.15,95.14,95.15,0.01,0.0105,95.6720,,,,,-23.0000,,0,0,,10.2512,,,,,3,4,,,,0,0,,,,,0,0,,
2018/09/07,95.25,95.25,95.25,95.25,0.10,0.1051,95.1620,,,,,-22.0000,,0,0,,11.5415,,17.3477,39.1159,46.3720,1,4,39.1159,46.3720,24.6038,0,0,,,,,0,0,,
2018/09/10,95.25,95.25,95.25,95.25,0.00,0.00,95.1860,96.8850,,,,-22.0000,-20.3000,0,0,0,11.5415,,25.0000,34.4106,42.3848,1,2,34.4106,42.3848,18.4621,0,0,0,,,,0,0,0,
2018/09/25,95.25,95.25,95.25,95.25,0.00,0.00,95.2080,96.1100,,,,-22.0000,-22.5000,0,0,0,11.5415,,32.2350,33.6854,39.4850,2,1,33.6854,39.4850,22.0861,0,0,0,,,,0,0,0,
2018/09/27,94.99,95.00,94.99,95.00,-0.25,-0.2625,95.1800,95.8100,,,,-25.0000,-22.7000,0,0,0,10.8666,,40.0000,35.7903,38.2534,3,2,35.7903,38.2534,30.8639,0,0,0,,,,0,0,0,
2018/10/01,95.00,95.00,95.00,95.00,0.00,0.00,95.1500,95.4110,,,,-25.0000,-23.8000,0,0,0,10.8666,10.8611,88.8889,53.4898,43.3322,2,1,53.4898,43.3322,73.8050,0,0,0,,,,0,0,0,
2018/10/02,95.00,95.24,95.00,95.24,0.24,0.2526,95.1480,95.1550,,,,-20.0000,-24.1000,0,0,0,17.5331,13.0876,96.1538,67.7112,51.4585,5,2,67.7112,51.4585,100.2164,0,0,0,,,,0,0,0,
2018/10/04,96.30,96.30,96.30,96.30,1.06,1.113,95.3580,95.2720,,,,-14.0000,-22.5000,0,0,0,40.9431,22.4239,100.0000,78.4741,60.4637,6,3,78.4741,60.4637,114.4949,0,0,0,,,,0,0,0,
2018/10/18,98.00,98.00,98.00,98.00,1.70,1.7653,95.9080,95.5580,,,,-13.0000,-21.2000,0,0,0,61.8081,34.6971,100.0000,85.6494,68.8589,1,3,85.6494,68.8589,119.2303,0,0,0,,,,0,0,0,
2018/10/19,98.80,99.00,98.80,99.00,1.00,1.0204,96.7080,95.9440,,,,-8.0000,-19.4000,0,0,0,69.4316,40.7158,100.0000,90.4329,76.0503,5,3,90.4329,76.0503,119.1982,0,0,0,,,,0,0,0,
2018/11/01,95.00,95.00,95.00,95.00,-4.00,-4.0404,96.7080,95.9290,,,,-9.0000,-18.0000,0,0,0,35.4582,29.0375,0.2494,60.3717,70.8241,1,3,60.3717,70.8241,39.4670,0,0,0,,,,0,0,0,
2018/11/02,95.00,95.00,95.00,95.00,0.00,0.00,96.6600,95.9040,,,,-9.0000,-16.7000,0,0,0,35.4582,29.0375,0.2494,40.3310,60.6597,1,2,40.3310,60.6597,-0.3266,0,0,0,,,,0,0,0,
2018/11/06,95.00,95.00,95.00,95.00,0.00,0.00,96.4000,95.8790,96.3820,,,-9.0000,-15.4000,0,0,0,35.4582,29.0375,0.2494,26.9704,49.4300,1,1,26.9704,49.4300,-17.9486,0,0,0,,,,0,0,0,
2018/11/16,94.50,94.50,94.50,94.50,-0.50,-0.5263,95.7000,95.8040,95.9570,,,-10.0000,-14.2000,0,0,0,32.0688,27.7460,0.0000,17.9803,38.9467,1,1,17.9803,38.9467,-23.9526,0,0,0,,,,0,0,0,
2018/11/27,97.89,97.89,97.89,97.89,3.39,3.5873,95.4780,96.0930,95.9515,,,-9.0000,-12.6000,0,0,0,61.7871,45.6315,75.3333,37.0980,38.3305,1,1,37.0980,38.3305,34.6330,0,0,0,,,,0,0,0,
2018/12/11,97.89,97.89,97.89,97.89,0.00,0.00,96.0560,96.3820,95.8965,,,-9.0000,-11.0000,0,0,0,61.7871,45.6315,75.3333,49.8431,42.1680,1,1,49.8431,42.1680,65.1932,0,0,0,,,,0,0,0,
2018/12/14,95.00,95.00,95.00,95.00,-2.89,-2.9523,96.0560,96.3580,95.7565,,,-11.0000,-10.1000,0,0,0,40.1985,36.4719,11.1111,36.9324,40.4228,2,1,36.9324,40.4228,29.9517,0,0,0,,,,0,0,0,
2018/12/17,95.00,95.00,95.00,95.00,0.00,0.00,96.0560,96.2280,95.7500,,,-11.0000,-9.8000,0,0,0,40.1985,36.4719,11.1111,28.3253,36.3903,1,1,28.3253,36.3903,12.1953,0,0,0,,,,0,0,0,
2018/12/18,95.00,95.00,95.00,95.00,0.00,0.00,96.1560,95.9280,95.7430,,,-11.0000,-9.6000,0,0,0,40.1985,36.4719,14.7493,23.8000,32.1935,3,1,23.8000,32.1935,7.0128,0,0,0,,-0.3877,,0,0,0,
2018/12/20,96.99,97.00,96.99,97.00,2.00,2.1053,95.9780,95.7280,95.8360,,,-5.0000,-9.3000,0,0,0,57.8219,46.1784,73.7463,40.4488,34.9453,6,2,40.4488,34.9453,51.4557,0,0,0,,-0.2695,,0,0,0,
2018/12/26,96.00,96.00,96.00,96.00,-1.00,-1.0309,95.6000,95.8280,95.8785,,,-11.0000,-9.5000,0,0,0,49.1341,42.6260,44.2478,41.7151,37.2019,6,3,41.7151,37.2019,50.7415,0,0,0,,-0.2536,,0,0,0,
2019/01/04,96.99,96.99,96.99,96.99,0.99,1.0312,95.9980,96.0270,95.9655,,,-10.0000,-9.6000,0,0,0,56.8384,47.0271,73.4513,52.2938,42.2325,1,3,52.2938,42.2325,72.4165,0,0,0,,-0.1594,,0,0,0,
2019/01/22,96.99,96.99,96.99,96.99,0.00,0.00,96.3960,96.2260,96.0525,,,-10.0000,-9.7000,0,0,0,56.8384,47.0271,68.8581,57.8153,47.4268,1,3,57.8153,47.4268,78.5923,0,0,0,,-0.0837,,0,0,0,
2019/01/24,96.99,96.99,96.99,96.99,0.00,0.00,96.7940,96.4750,96.1395,,,-10.0000,-9.7000,0,0,0,56.8384,47.0271,68.8581,61.4962,52.1166,1,3,61.4962,52.1166,80.2555,0,0,0,,-0.0234,,0,0,0,
2019/01/25,96.99,97.00,96.99,97.00,0.01,0.0103,96.7940,96.3860,96.2395,,,-7.0000,-9.5000,0,0,0,56.9522,47.0804,100.0000,74.3308,59.5213,3,2,74.3308,59.5213,103.9498,0,0,0,,0.0249,,0,0,0,
2019/01/30,97.00,97.00,97.00,97.00,0.00,0.00,96.9940,96.2970,96.3395,,,-7.0000,-9.3000,0,0,0,56.9522,47.0804,100.0000,82.8872,67.3100,3,1,82.8872,67.3100,114.0417,0,0,0,,0.0624,,0,0,0,
2019/02/12,98.00,98.00,98.00,98.00,1.00,1.0309,97.1960,96.5970,96.4775,,,-4.0000,-8.6000,0,0,0,68.7989,52.7334,100.0000,88.5915,74.4038,3,2,88.5915,74.4038,116.9668,0,0,0,0.5460,0.1709,-0.1021,0,0,0,
2019/02/15,98.50,98.50,98.50,98.50,0.50,0.5102,97.4980,96.9470,96.5875,,,-1.0000,-7.6000,0,0,0,73.2207,55.3358,100.0000,92.3943,80.4006,3,2,92.3943,80.4006,116.3817,0,0,0,0.6335,0.2938,-0.0229,0,0,0,
2019/02/18,98.80,98.80,98.80,98.80,0.30,0.3046,97.8600,97.3270,96.6275,,,1.0000,-6.4000,0,0,0,75.7002,56.8894,100.0000,94.9295,85.2436,2,2,94.9295,85.2436,114.3014,0,0,0,0.6938,0.4107,0.0638,0,0,0,
2019/02/19,98.80,98.80,98.80,98.80,0.00,0.00,98.2200,97.5070,96.6175,,,1.0000,-5.8000,0,0,0,75.7002,56.8894,100.0000,96.6197,89.0356,1,2,96.6197,89.0356,111.7878,0,0,0,0.6941,0.4976,0.1506,0,0,0,
2019/02/27,98.80,98.80,98.80,98.80,0.00,0.00,98.5800,97.7870,96.8075,,,1.0000,-4.6000,0,0,0,75.7002,56.8894,100.0000,97.7465,91.9392,5,2,97.7465,91.9392,109.3609,0,0,0,0.6551,0.5600,0.2325,0,0,0,
2019/03/04,98.80,102.00,98.80,102.00,3.20,3.2389,99.3800,98.2880,97.1575,,,11.0000,-2.5000,0,0,0,91.0221,70.9048,100.0000,98.4976,94.1254,10,4,98.4976,94.1254,107.2422,0,0,0,1.0006,0.8578,0.3575,0,0,0,
2019/03/05,102.99,102.99,102.00,102.40,0.40,0.3922,100.1600,98.8290,97.5275,,,35.0000,2.0000,0,0,0,91.7979,72.1399,90.1667,95.7207,94.6571,24,8,95.7207,94.6571,97.8477,0,0,0,1.2092,1.1133,0.5087,0,0,0,
2019/03/06,101.00,101.50,100.03,101.50,-0.90,-0.8789,100.7000,99.2800,97.8775,,,22.0000,5.2000,0,0,0,74.4326,65.3325,75.1252,88.8555,92.7233,13,10,88.8555,92.7233,81.1200,0,0,0,1.1524,1.2289,0.6527,0,0,0,
2019/03/07,100.00,105.00,100.00,105.00,3.50,3.4483,101.9400,100.0800,98.2330,,,38.0000,9.7000,0,0,0,86.4205,75.2434,100.0000,92.5703,92.6723,16,13,92.5703,92.6723,92.3664,0,0,0,1.4912,1.5847,0.8391,0,0,0,
2019/03/08,104.00,104.00,104.00,104.00,-1.00,-0.9524,102.9800,100.7800,98.5385,,,37.0000,14.1000,0,0,0,74.4519,69.0872,84.6154,89.9187,91.7544,1,12,89.9187,91.7544,86.2472,0,0,0,1.4825,1.7656,1.0244,0,0,0,
2019/03/12,106.66,111.57,106.66,110.00,6.00,5.7692,104.5800,101.9800,99.2885,,,58.0000,20.3000,0,0,0,87.2077,79.8683,87.7056,89.1810,90.8966,21,15,89.1810,90.8966,85.7497,0,0,0,2.1464,2.3659,1.2927,0,0,0,
2019/03/13,114.37,122.48,113.00,119.00,9.00,8.1818,107.9000,104.0300,100.4885,,,89.0000,29.3000,0,0,0,93.2626,87.1829,85.3041,87.8887,89.8940,31,16,87.8887,89.8940,83.8781,0,0,0,3.5752,3.5272,1.7396,0,0,0,
