ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/09,176.00,176.60,176.00,176.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2012/05/10,182.00,182.00,175.00,175.00,-1.00,-0.5682,,,,,,-7.0000,,0,,,,,,,,7,,,,,0,,,,,,0,,,
2012/05/11,176.00,176.00,173.00,173.00,-2.00,-1.1429,,,,,,-13.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2012/05/14,180.00,180.00,171.00,171.00,-2.00,-1.1561,,,,,,-21.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2012/05/15,178.00,178.00,170.00,170.00,-1.00,-0.5848,173.0000,,,,,-38.0000,,0,0,,,,,,,17,9,,,,0,0,,,,,0,0,,
2012/05/16,160.00,172.00,160.00,170.00,0.00,0.00,171.8000,,,,,-38.0000,,0,0,,,,,,,12,10,,,,0,0,,,,,0,0,,
2012/05/18,164.35,171.60,164.35,171.60,1.60,0.9412,171.1200,,,,,-34.0000,,0,0,,21.0526,,,,,4,9,,,,0,0,,,,,0,0,,
2012/05/22,170.00,170.00,168.00,170.00,-1.60,-0.9324,170.5200,,,,,-38.0000,,0,0,,16.8067,,,,,4,9,,,,0,0,,,,,0,0,,
2012/05/24,171.00,171.00,165.00,170.00,0.00,0.00,170.3200,,,,,-38.0000,,0,0,,16.8067,,45.4545,48.4848,49.4949,4,8,48.4848,49.4949,46.4646,0,0,,,,,0,0,,
2012/05/25,163.40,170.00,163.40,170.00,0.00,0.00,170.3200,171.6600,,,,-38.0000,-26.5000,0,0,0,16.8067,,45.4545,47.4747,48.8215,8,6,47.4747,48.8215,44.7811,0,0,0,,,,0,0,0,
2012/05/28,170.00,170.00,170.00,170.00,0.00,0.00,170.3200,171.0600,,,,-38.0000,-30.3000,0,0,0,16.8067,,50.0000,48.3165,48.6532,1,4,48.3165,48.6532,47.6431,0,0,0,,,,0,0,0,
