ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/02/16,7.35,7.83,7.35,7.53,0.00,0.00,,,,,,0.0000,,209,,,,,,,,405,,,,,0,,,,,,209,,,
2012/02/17,7.70,7.80,7.03,7.23,-0.30,-3.9841,,,,,,-307.0000,,209,,,,,,,,307,,,,,0,,,,,,209,,,
2012/02/20,7.23,7.39,7.02,7.15,-0.08,-1.1065,,,,,,-375.0000,,209,,,,,,,,68,,,,,0,,,,,,209,,,
2012/02/21,7.20,7.40,7.10,7.30,0.15,2.0979,,,,,,-308.0000,,209,,,,,,,,67,,,,,0,,,,,,209,,,
2012/02/22,7.30,7.69,7.15,7.49,0.19,2.6027,7.3400,,,,,-147.0000,,209,210,,,,,,,161,201,,,,0,0,,,,,209,210,,
2012/02/23,7.49,7.60,7.20,7.23,-0.26,-3.4713,7.2800,,,,,-271.0000,,209,210,,,,,,,124,145,,,,0,0,,,,,209,210,,
2012/02/24,7.31,7.31,7.03,7.15,-0.08,-1.1065,7.2640,,,,,-340.0000,,209,210,,32.0755,,,,,69,97,,,,0,0,,,,,209,210,,
2012/02/29,7.15,7.15,6.90,6.90,-0.25,-3.4965,7.2140,,,,,-443.0000,,209,210,,25.0000,,,,,103,104,,,,0,0,,,,,209,210,,
2012/03/01,6.90,6.93,6.81,6.93,0.03,0.4348,7.1400,,,,,-381.0000,,209,210,,27.3090,,11.7647,37.2549,45.7516,62,103,37.2549,45.7516,20.2614,0,0,,,,,209,210,,
2012/03/02,7.00,7.15,7.00,7.00,0.07,1.0101,7.0420,7.1910,,,,-337.0000,-290.9000,209,210,210,33.0779,,19.1919,31.2339,40.9124,44,80,31.2339,40.9124,11.8769,0,0,0,,,,209,210,210,
2012/03/03,7.00,7.00,6.71,7.00,0.00,0.00,6.9960,7.1380,,,,-337.0000,-324.6000,209,210,210,33.0779,,29.5918,30.6866,37.5038,54,66,30.6866,37.5038,17.0521,0,0,0,,,,209,210,210,
2012/03/05,7.00,7.00,6.83,7.00,0.00,0.00,6.9660,7.1150,,,,-337.0000,-327.6000,209,210,210,33.0779,,29.5918,30.3216,35.1097,19,56,30.3216,35.1097,20.7455,0,0,0,,,,209,210,210,
2012/03/06,7.00,7.00,6.65,6.89,-0.11,-1.5714,6.9640,7.0890,,,,-419.0000,-332.0000,209,210,210,27.2134,28.9474,23.0769,27.9067,32.7087,82,52,27.9067,32.7087,18.3027,0,0,0,,,,209,210,210,
2012/03/07,6.43,6.88,6.43,6.83,-0.06,-0.8708,6.9440,7.0420,,,,-454.0000,-346.6000,209,210,210,24.3837,27.7523,34.1880,30.0005,31.8060,35,46,30.0005,31.8060,26.3895,0,0,0,,,,209,210,210,
2012/03/08,6.90,6.90,6.62,6.83,0.00,0.00,6.9100,6.9760,,,,-454.0000,-377.3000,209,210,210,24.3837,27.7523,45.4545,35.1519,32.9213,24,42,35.1519,32.9213,39.6130,0,0,0,,,,209,210,210,
2012/03/09,6.89,7.00,6.67,6.71,-0.12,-1.757,6.8520,6.9240,,,,-537.0000,-403.9000,209,210,210,18.7644,25.2692,38.8889,36.3975,34.0800,83,48,36.3975,34.0800,41.0325,0,0,0,,,,209,210,210,
2012/03/12,6.52,6.84,6.52,6.70,-0.01,-0.149,6.7920,6.8790,,,,-566.0000,-426.5000,209,210,210,18.3418,25.0654,37.5000,36.7650,34.9750,29,50,36.7650,34.9750,40.3450,0,0,0,,,,209,210,210,
2012/03/13,6.76,6.76,6.60,6.68,-0.02,-0.2985,6.7500,6.8570,,,,-613.0000,-443.5000,209,210,210,17.4010,24.6318,34.7222,36.0841,35.3447,47,43,36.0841,35.3447,37.5628,0,0,0,,,,209,210,210,
2012/03/14,6.74,6.90,6.61,6.61,-0.07,-1.0479,6.7060,6.8250,,,,-678.0000,-473.2000,209,210,210,14.3169,23.1056,31.5789,34.5824,35.0906,65,49,34.5824,35.0906,33.5659,0,0,0,,,,209,210,210,
2012/03/15,6.75,6.75,6.58,6.66,0.05,0.7564,6.6720,6.7910,6.9910,,,-640.0000,-503.5000,209,210,210,25.6170,26.6470,40.3509,36.5052,35.5621,38,52,36.5052,35.5621,38.3914,0,0,0,,,,209,210,210,
2012/03/16,6.65,6.75,6.60,6.66,0.00,0.00,6.6620,6.7570,6.9475,,,-640.0000,-533.8000,209,210,210,25.6170,26.6470,40.3509,37.7871,36.3038,36,43,37.7871,36.3038,40.7537,0,0,0,,,,209,210,210,
2012/03/19,6.66,6.66,6.50,6.50,-0.16,-2.4024,6.6220,6.7070,6.9110,,,-755.0000,-575.6000,209,210,210,15.9338,22.6708,12.2807,29.2850,33.9642,115,60,29.2850,33.9642,19.9265,0,0,0,,,,209,210,210,
2012/03/20,6.55,6.65,6.50,6.65,0.15,2.3077,6.6160,6.6830,6.8860,,,-702.0000,-603.9000,209,210,210,41.0165,32.9095,30.0000,29.5233,32.4839,53,61,29.5233,32.4839,23.6021,0,0,0,,,,209,210,210,
2012/03/21,6.41,6.64,6.41,6.60,-0.05,-0.7519,6.6140,6.6600,6.8510,,,-723.0000,-630.8000,209,210,210,36.6432,31.3978,32.2034,30.4167,31.7948,21,52,30.4167,31.7948,27.6604,0,0,0,,,,209,210,210,
2012/03/22,6.60,6.60,6.50,6.60,0.00,0.00,6.6020,6.6370,6.8065,,,-723.0000,-657.7000,209,210,210,36.6432,31.3978,38.7755,33.2030,32.2642,36,52,33.2030,32.2642,35.0805,0,0,0,,,,209,210,210,
2012/03/23,6.55,6.55,6.40,6.42,-0.18,-2.7273,6.5540,6.6080,6.7660,,,-769.0000,-680.9000,209,210,210,23.5992,26.2348,4.0000,23.4686,29.3323,46,54,23.4686,29.3323,11.7412,0,0,0,,-0.2403,,209,210,210,
2012/03/26,6.40,6.58,6.40,6.54,0.12,1.8692,6.5620,6.5920,6.7355,,,-712.0000,-695.5000,209,210,210,40.5339,34.1142,28.0000,24.9791,27.8813,57,42,24.9791,27.8813,19.1748,0,0,0,,-0.2318,,209,210,210,
2012/03/27,6.52,6.60,6.52,6.60,0.06,0.9174,6.5520,6.5840,6.7205,,,-670.0000,-701.2000,209,210,210,47.5141,37.7416,57.1429,35.7003,30.4876,42,40,35.7003,30.4876,46.1258,0,0,0,,-0.2178,,209,210,210,
2012/03/28,6.60,6.61,6.50,6.61,0.01,0.1515,6.5540,6.5840,6.7045,,,-623.0000,-695.7000,209,210,210,48.7181,38.3586,60.0000,43.8002,34.9252,47,45,43.8002,34.9252,61.5504,0,0,0,,-0.2035,,209,210,210,
2012/03/29,6.61,6.61,6.40,6.40,-0.21,-3.177,6.5140,6.5580,6.6745,,,-705.0000,-702.2000,209,210,210,30.8726,31.2608,0.0000,29.2002,33.0168,82,54,29.2002,33.0168,21.5668,0,0,0,,-0.2068,,209,210,210,
2012/03/30,6.00,6.39,6.00,6.39,-0.01,-0.1563,6.5080,6.5310,6.6440,,,-764.0000,-714.6000,209,210,210,30.2396,30.9632,60.0000,39.4668,35.1668,59,57,39.4668,35.1668,48.0667,0,0,0,,-0.2077,,209,210,210,
2012/04/02,6.21,6.38,6.18,6.38,-0.01,-0.1565,6.4760,6.5190,6.6130,,,-784.0000,-717.5000,209,210,210,29.5135,30.6449,59.3750,46.1028,38.8122,20,50,46.1028,38.8122,60.6842,0,0,0,,-0.2069,,209,210,210,
2012/04/03,6.21,6.30,6.01,6.25,-0.13,-2.0376,6.4060,6.4790,6.5810,,,-836.0000,-730.9000,209,210,210,21.4708,26.7458,40.9836,44.3964,40.6736,52,52,44.3964,40.6736,51.8421,0,0,0,,-0.2143,,209,210,210,
2012/04/05,6.05,6.10,5.90,6.09,-0.16,-2.56,6.3020,6.4280,6.5440,,,-876.0000,-746.2000,209,210,210,15.3092,22.8434,26.7606,38.5178,39.9550,40,50,38.5178,39.9550,35.6435,0,0,0,-0.0254,-0.2304,-0.2177,209,210,210,
2012/04/06,5.67,6.08,5.67,6.08,-0.01,-0.1642,6.2380,6.3760,6.5065,,,-1022.0000,-776.1000,209,210,210,14.9867,22.6184,43.6170,40.2175,40.0425,146,63,40.2175,40.0425,40.5676,0,0,0,-0.0376,-0.2412,-0.2224,209,210,210,
2012/04/09,5.86,6.05,5.85,6.02,-0.06,-0.9868,6.1640,6.3360,6.4720,,,-1066.0000,-805.8000,209,210,210,13.0126,21.2484,37.2340,39.2230,39.7694,44,60,39.2230,39.7694,38.1304,0,0,0,-0.0469,-0.2517,-0.2283,209,210,210,
2012/04/10,6.02,6.10,5.93,6.03,0.01,0.1661,6.0940,6.2850,6.4385,,,-1012.0000,-835.8000,209,210,210,15.2454,22.1062,38.2979,38.9147,39.4845,54,67,38.9147,39.4845,37.7751,0,0,0,-0.0448,-0.2563,-0.2339,209,210,210,
2012/04/11,6.03,6.03,5.65,5.95,-0.08,-1.3267,6.0340,6.2200,6.4020,,,-1069.0000,-875.7000,209,210,210,12.2314,20.1871,31.2500,36.3598,38.4429,57,68,36.3598,38.4429,32.1935,0,0,0,-0.0471,-0.2633,-0.2398,209,210,210,
2012/04/12,5.95,6.02,5.95,6.02,0.07,1.1765,6.0200,6.1610,6.3725,,,-1035.0000,-916.9000,209,210,210,27.3187,26.2947,50.0000,40.9065,39.2641,34,67,40.9065,39.2641,44.1913,0,0,0,-0.0327,-0.2602,-0.2439,209,210,210,
2012/04/13,6.10,6.20,6.00,6.18,0.16,2.6578,6.0400,6.1390,6.3485,,,-997.0000,-946.1000,209,210,210,50.6070,38.1050,72.6027,51.4719,43.3334,38,45,51.4719,43.3334,67.7490,0,0,0,0.0028,-0.2421,-0.2435,209,210,210,
2012/04/16,6.10,6.17,6.10,6.17,-0.01,-0.1618,6.0700,6.1170,6.3240,,,-1018.0000,-971.5000,209,210,210,49.4194,37.6932,80.0000,60.9813,49.2160,21,40,60.9813,49.2160,84.5118,0,0,0,0.0281,-0.2259,-0.2400,209,210,210,
2012/04/17,6.17,6.17,5.96,6.13,-0.04,-0.6483,6.0900,6.0920,6.3055,,,-1041.0000,-997.2000,209,210,210,44.4162,35.9957,87.2727,69.7451,56.0590,23,34,69.7451,56.0590,97.1172,0,0,0,0.0418,-0.2139,-0.2348,209,210,210,
2012/04/18,6.10,6.13,6.00,6.13,0.00,0.00,6.1260,6.0800,6.2795,,,-1041.0000,-1017.7000,209,210,210,44.4162,35.9957,87.2727,75.5876,62.5686,57,34,75.5876,62.5686,101.6258,0,0,0,0.0525,-0.2020,-0.2282,209,210,210,
2012/04/19,6.10,6.18,6.10,6.16,0.03,0.4894,6.1540,6.0870,6.2575,,,-1017.0000,-1031.8000,209,210,210,49.8947,38.4690,92.7273,81.3009,68.8127,24,32,81.3009,68.8127,106.2772,0,0,0,0.0644,-0.1880,-0.2202,209,210,210,
2012/04/20,6.10,6.12,5.96,6.10,-0.06,-0.974,6.1380,6.0890,6.2325,,,-1049.0000,-1034.5000,209,210,210,40.3499,35.4778,81.8182,81.4733,73.0329,32,31,81.4733,73.0329,98.3541,0,0,0,0.0648,-0.1796,-0.2121,209,210,210,
2012/04/23,6.10,6.10,6.00,6.09,-0.01,-0.1639,6.1220,6.0960,6.2160,,,-1081.0000,-1036.0000,209,210,210,38.8631,34.9832,80.0000,80.9822,75.6826,32,33,80.9822,75.6826,91.5813,0,0,0,0.0643,-0.1719,-0.2040,209,210,210,
2012/04/24,6.09,6.09,5.95,6.00,-0.09,-1.4778,6.0960,6.0930,6.1890,,,-1107.0000,-1045.5000,209,210,210,27.7995,30.7715,20.0000,60.6548,70.6734,26,34,60.6548,70.6734,40.6177,0,0,0,0.0528,-0.1710,-0.1974,209,210,210,
2012/04/25,6.19,6.19,5.95,6.10,0.10,1.6667,6.0900,6.1080,6.1640,,,-1084.0000,-1047.0000,209,210,210,47.6646,39.5875,60.0000,60.4365,67.2611,23,27,60.4365,67.2611,46.7874,0,0,0,0.0592,-0.1604,-0.1900,209,210,210,
2012/04/26,6.00,6.04,5.91,6.04,-0.06,-0.9836,6.0660,6.1100,6.1355,,,-1107.0000,-1054.2000,209,210,210,39.7835,36.5416,46.4286,55.7672,63.4298,23,27,55.7672,63.4298,40.4420,0,0,0,0.0560,-0.1550,-0.1830,209,210,210,
2012/04/27,6.13,6.13,6.04,6.04,0.00,0.00,6.0540,6.0960,6.1175,,,-1107.0000,-1065.2000,209,210,210,39.7835,36.5416,46.4286,52.6543,59.8380,17,24,52.6543,59.8380,38.2870,0,0,0,0.0543,-0.1491,-0.1762,209,210,210,
2012/04/30,6.09,6.09,6.00,6.09,0.05,0.8278,6.0540,6.0880,6.1025,,,-1057.0000,-1069.1000,209,210,210,49.7532,41.0405,64.2857,56.5315,58.7358,50,27,56.5315,58.7358,52.1228,0,0,0,0.0600,-0.1387,-0.1687,209,210,210,
2012/05/02,6.09,6.14,6.09,6.10,0.01,0.1642,6.0740,6.0850,6.0885,,,-1019.0000,-1066.9000,209,210,210,51.6735,41.9386,67.8571,60.3067,59.2594,38,30,60.3067,59.2594,62.4012,0,0,0,0.0648,-0.1282,-0.1606,209,210,210,
2012/05/03,6.12,6.12,5.99,5.99,-0.11,-1.8033,6.0520,6.0710,6.0755,,,-1047.0000,-1067.5000,209,210,210,34.3468,35.4574,28.5714,49.7283,56.0824,28,31,49.7283,56.0824,37.0201,0,0,0,0.0533,-0.1273,-0.1540,209,210,210,
2012/05/04,5.90,6.05,5.90,6.05,0.06,1.0017,6.0540,6.0600,6.0735,,,-1017.0000,-1067.5000,209,210,210,46.1628,40.8927,51.7241,50.3936,54.1861,30,32,50.3936,54.1861,42.8085,0,0,0,0.0537,-0.1204,-0.1472,209,210,210,
