ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/09/08,15.70,15.85,15.40,15.40,0.00,0.00,,,,,,0.0000,,25762,,,,,,,,371,,,,,0,,,,,,25845,,,
2011/09/09,15.50,15.65,15.35,15.50,0.10,0.6494,,,,,,292.0000,,25785,,,,,,,,292,,,,,0,,,,,,25868,,,
2011/09/13,14.90,15.40,14.90,15.00,-0.50,-3.2258,,,,,,-87.0000,,25808,,,,,,,,379,,,,,0,,,,,,25891,,,
2011/09/14,15.30,15.30,14.40,14.40,-0.60,-4.00,,,,,,-579.0000,,25938,,,,,,,,492,,,,,0,,,,,,26021,,,
2011/09/15,14.90,15.00,14.60,14.70,0.30,2.0833,15.0000,,,,,-274.0000,,25948,25848,,,,,,,305,367,,,,0,0,,,,,26031,25932,,
2011/09/16,15.00,15.60,14.90,15.35,0.65,4.4218,14.9900,,,,,275.0000,,26133,25922,,,,,,,549,403,,,,0,0,,,,,26216,26006,,
2011/09/19,15.55,15.60,15.30,15.30,-0.05,-0.3257,14.9500,,,,,-41.0000,,26188,26003,,47.7273,,,,,316,408,,,,0,0,,,,,26271,26087,,
2011/09/20,15.30,15.50,15.20,15.40,0.10,0.6536,15.0300,,,,,302.0000,,26281,26098,,50.4310,,,,,343,401,,,,0,0,,,,,26364,26181,,
2011/09/21,15.50,16.45,15.45,16.00,0.60,3.8961,15.3500,,,,,1103.0000,,26340,26178,,63.8819,,78.0488,59.3496,53.1165,801,462,59.3496,53.1165,71.8157,0,0,,,,,26423,26262,,
2011/09/22,15.80,15.80,15.50,15.50,-0.50,-3.125,15.5100,15.2550,,,,740.0000,173.1000,26355,26259,26054,50.2470,,53.6585,57.4526,54.5619,363,474,57.4526,54.5619,63.2340,0,0,0,,,,26438,26343,26137,
