ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/09/28,18.25,18.30,18.05,18.20,0.00,0.00,,,,,,0.0000,,45,,,,,,,,257,,,,,0,,,,,,45,,,
2011/09/29,18.05,18.40,18.00,18.35,0.15,0.8242,,,,,,223.0000,,53,,,,,,,,223,,,,,0,,,,,,55,,,
2011/09/30,18.35,18.55,18.15,18.40,0.05,0.2725,,,,,,397.0000,,53,,,,,,,,174,,,,,0,,,,,,53,,,
2011/10/03,18.30,18.30,17.95,18.00,-0.40,-2.1739,,,,,,252.0000,,53,,,,,,,,145,,,,,0,,,,,,53,,,
2011/10/04,17.70,18.00,17.60,18.00,0.00,0.00,18.1900,,,,,252.0000,,53,52,,,,,,,187,197,,,,0,0,,,,,53,52,,
2011/10/05,18.20,18.20,17.85,18.00,0.00,0.00,18.1500,,,,,252.0000,,53,53,,,,,,,97,165,,,,0,0,,,,,53,54,,
2011/10/06,18.10,18.65,18.10,18.50,0.50,2.7778,18.1800,,,,,440.0000,,53,53,,63.6364,,,,,188,158,,,,0,0,,,,,55,54,,
2011/10/07,18.95,19.45,18.60,19.00,0.50,2.7027,18.3000,,,,,924.0000,,63,55,,76.4706,,,,,484,220,,,,0,0,,,,,65,56,,
2011/10/11,19.20,19.45,18.70,18.90,-0.10,-0.5263,18.4800,,,,,545.0000,,63,57,,70.4989,,70.2703,56.7568,52.2523,379,267,56.7568,52.2523,65.7658,0,0,,,,,63,58,,
2011/10/12,19.25,19.50,18.90,19.20,0.30,1.5873,18.7200,18.4550,,,,750.0000,403.5000,75,62,57,76.9726,,84.2105,65.9080,56.8042,205,270,65.9080,56.8042,84.1157,0,0,0,,,,77,63,58,
2011/10/13,19.50,19.60,19.25,19.35,0.15,0.7813,18.9900,18.5700,,,,888.0000,492.3000,75,66,60,79.6517,,87.5000,73.1053,62.2379,138,278,73.1053,62.2379,94.8402,0,0,0,,,,75,67,61,
2011/10/14,19.40,19.40,19.05,19.25,-0.10,-0.5168,19.1400,18.6600,,,,744.0000,544.4000,75,71,62,72.8693,,82.5000,76.2369,66.9042,144,270,76.2369,66.9042,94.9022,0,0,0,,,,75,71,63,
2011/10/17,19.35,20.00,19.25,19.70,0.45,2.3377,19.2800,18.7900,,,,1234.0000,628.1000,90,76,66,81.4149,77.7778,87.5000,79.9913,71.2666,490,271,79.9913,71.2666,97.4406,0,0,0,,,,92,77,66,
2011/10/18,19.50,19.50,19.25,19.50,-0.20,-1.0152,19.4000,18.9400,,,,1077.0000,710.6000,90,81,69,69.7052,71.9626,76.7442,78.9089,73.8140,157,226,78.9089,73.8140,89.0987,0,0,0,,,,92,83,70,
2011/10/19,19.80,20.00,19.40,19.60,0.10,0.5128,19.4800,19.1000,,,,1384.0000,823.8000,100,86,74,72.1119,73.0612,78.9474,78.9217,75.5166,307,247,78.9217,75.5166,85.7320,0,0,0,,,,102,88,75,
2011/10/20,19.50,20.25,19.50,20.00,0.40,2.0408,19.6100,19.3000,,,,1892.0000,987.8000,100,91,79,79.8105,76.9947,84.8485,80.8973,77.3102,508,321,80.8973,77.3102,88.0716,0,0,0,,,,100,93,80,
2011/10/21,20.00,20.70,20.00,20.50,0.50,2.50,19.8600,19.5000,,,,2437.0000,1187.5000,91,95,83,85.7225,80.8148,90.0000,83.9315,79.5173,545,401,83.9315,79.5173,92.7600,0,0,0,,,,93,96,84,
2011/10/24,21.00,21.00,20.30,20.40,-0.10,-0.4878,20.0000,19.6400,,,,1947.0000,1289.8000,104,97,87,80.0937,77.9893,71.4286,79.7639,79.5995,490,401,79.7639,79.5995,80.0927,0,0,0,,,,106,99,88,
2011/10/25,20.40,20.50,20.30,20.35,-0.05,-0.2451,20.1700,19.7850,,,,1700.0000,1405.3000,123,104,93,77.0577,76.5298,66.6667,75.3981,78.1990,247,419,75.3981,78.1990,69.7964,0,0,0,,,,125,105,94,
