ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,33.40,33.40,32.10,32.30,0.00,0.00,,,,,,0.0000,,97,,,,,,,,165,,,,,0,,,,,,579,,,
2012/06/20,32.50,33.00,32.40,32.70,0.40,1.2384,,,,,,272.0000,,108,,,,,,,,272,,,,,0,,,,,,590,,,
2012/06/21,32.95,33.20,32.80,33.10,0.40,1.2232,,,,,,669.0000,,102,,,,,,,,397,,,,,9,,,,,,629,,,
2012/06/22,30.90,31.75,30.30,31.70,-1.40,-4.2296,,,,,,51.0000,,103,,,,,,,,618,,,,,0,,,,,,621,,,
2012/06/25,31.50,32.85,31.05,32.35,0.65,2.0505,32.4300,,,,,593.0000,,102,103,,,,,,,542,398,,,,0,2,,,,,620,608,,
2012/06/26,32.35,32.35,31.20,31.25,-1.10,-3.4003,32.2200,,,,,375.0000,,91,102,,,,,,,218,409,,,,0,2,,,,,609,614,,
2012/06/27,31.25,31.70,31.00,31.00,-0.25,-0.80,31.8800,,,,,219.0000,,81,97,,34.5238,,,,,156,386,,,,0,2,,,,,599,616,,
2012/06/28,31.35,31.95,31.20,31.20,0.20,0.6452,31.5000,,,,,345.0000,,79,92,,38.0631,,,,,126,332,,,,0,0,,,,,597,610,,
2012/06/29,31.20,31.55,30.95,31.55,0.35,1.1218,31.4700,,,,,434.0000,,80,87,,44.3770,,40.3226,46.7742,48.9247,89,226,46.7742,48.9247,42.4731,0,0,,,,,598,605,,
2012/07/02,32.10,32.10,31.60,31.80,0.25,0.7924,31.3600,31.8950,,,,595.0000,355.3000,80,83,93,48.8467,,51.7241,48.4242,48.7579,161,150,48.4242,48.7579,47.7568,0,0,1,,,,597,601,604,
2012/07/03,31.80,32.40,31.80,32.00,0.20,0.6289,31.5100,31.8650,,,,860.0000,441.3000,82,81,92,52.5102,,58.6207,51.8230,49.7796,265,159,51.8230,49.7796,55.9099,0,0,1,,,,629,605,609,
2012/07/04,32.45,32.75,32.30,32.50,0.50,1.5625,31.8100,31.8450,,,,1074.0000,521.5000,81,81,89,60.9091,,86.2745,63.3068,54.2887,214,171,63.3068,54.2887,81.3432,0,0,1,,,,628,610,613,
2012/07/05,32.50,32.65,32.05,32.10,-0.40,-1.2308,31.9900,31.7450,,,,892.0000,543.8000,78,81,87,52.0688,48.3607,60.5263,62.3800,56.9858,182,182,62.3800,56.9858,73.1684,0,0,0,,,,625,616,613,
2012/07/06,32.10,32.50,31.90,32.50,0.40,1.2461,32.1800,31.8250,,,,1023.0000,641.0000,75,80,84,59.1785,51.8081,86.1111,70.2904,61.4206,131,190,70.2904,61.4206,88.0298,0,0,0,,,,622,621,613,
2012/07/09,32.40,32.70,32.05,32.20,-0.30,-0.9231,32.2600,31.8100,,,,906.0000,672.3000,63,77,80,52.2087,49.1248,69.4444,70.0084,64.2832,117,181,70.0084,64.2832,81.4587,0,0,0,,,,610,624,612,
2012/07/10,32.20,32.30,31.40,31.40,-0.80,-2.4845,32.1400,31.8250,,,,819.0000,716.7000,55,71,76,37.9180,42.6924,25.0000,55.0056,61.1907,87,146,55.0056,61.1907,42.6354,0,0,0,,,,602,618,611,
2012/07/11,31.50,31.95,31.40,31.75,0.35,1.1146,31.9900,31.9000,,,,862.0000,781.0000,59,67,74,45.7185,46.0631,44.4444,51.4852,57.9555,43,112,51.4852,57.9555,38.5446,0,0,0,,,,606,614,612,
2012/07/12,31.65,31.65,30.90,31.25,-0.50,-1.5748,31.8200,31.9050,,,,795.0000,826.0000,56,62,72,37.6161,42.1953,18.9189,40.6298,52.1803,67,89,40.6298,52.1803,17.5288,0,0,0,,,,603,609,613,
2012/07/13,31.00,31.20,30.70,31.00,-0.25,-0.80,31.5200,31.8500,,,,648.0000,847.4000,54,58,69,34.0007,40.3474,14.6341,31.9646,45.4417,147,92,31.9646,45.4417,5.0103,0,0,0,,,,601,605,613,
2012/07/16,31.25,31.25,29.20,29.20,-1.80,-5.8065,30.9200,31.5900,31.7425,,,513.0000,839.2000,37,53,65,18.5753,30.0206,0.0000,21.3097,37.3977,135,95,21.3097,37.3977,-10.8663,0,0,0,,,,584,600,612,
2012/07/17,29.30,29.95,29.25,29.80,0.60,2.0548,30.6000,31.3700,31.6175,,,669.0000,820.1000,51,52,62,31.0819,35.9791,17.1429,19.9208,31.5721,156,109,19.9208,31.5721,-3.3818,0,0,0,,,,598,599,609,
2012/07/18,29.80,30.95,29.25,30.10,0.30,1.0067,30.2700,31.1300,31.4875,,,896.0000,802.3000,48,50,58,36.8974,38.8205,25.7143,21.8519,28.3320,227,146,21.8519,28.3320,8.8918,0,0,0,,,,595,597,605,
2012/07/19,29.80,30.35,29.80,30.00,-0.10,-0.3322,30.0200,30.9200,31.3325,,,805.0000,793.6000,53,49,56,35.6927,38.2039,22.8571,22.1870,26.2837,91,151,22.1870,26.2837,13.9937,0,0,0,,,,600,596,603,
2012/07/20,30.20,30.50,29.95,30.00,0.00,0.00,29.8200,30.6700,31.2475,,,805.0000,771.8000,56,50,54,35.6927,38.2039,25.8065,23.3935,25.3203,106,143,23.3935,25.3203,19.5399,0,0,0,,,,603,597,601,
2012/07/23,30.00,30.00,29.55,29.55,-0.45,-1.50,29.8900,30.4050,31.1075,,,752.0000,756.4000,56,54,53,29.4597,35.2091,12.7273,19.8381,23.4929,53,126,19.8381,23.4929,12.5285,0,0,0,,,,603,601,600,
2012/07/24,29.50,29.80,29.20,29.80,0.25,0.846,29.8900,30.2450,31.0350,,,848.0000,759.3000,50,53,53,36.8156,38.1477,24.4898,21.3887,22.7915,96,114,21.3887,22.7915,18.5830,0,0,0,,-0.9572,,597,600,600,
2012/07/25,29.70,30.40,29.30,29.70,-0.10,-0.3356,29.8100,30.0400,30.9700,,,747.0000,747.8000,53,54,52,35.0607,37.4074,24.3902,22.3892,22.6574,101,89,22.3892,22.6574,21.8528,0,0,0,,-0.9415,,600,601,599,
2012/07/26,29.70,30.10,29.70,30.00,0.30,1.0101,29.8100,29.9150,30.9100,,,780.0000,746.3000,49,54,52,44.5723,41.1454,39.0244,27.9343,24.4163,33,77,27.9343,24.4163,34.9701,0,0,0,,-0.8945,,596,601,599,
2012/07/27,30.60,30.70,30.35,30.55,0.55,1.8333,29.9200,29.8700,30.8600,,,879.0000,769.4000,53,53,51,58.0803,47.4250,77.1429,44.3371,31.0566,99,76,44.3371,31.0566,70.8982,0,0,0,,-0.8036,,600,600,598,
2012/07/30,30.75,30.75,30.25,30.25,-0.30,-0.982,30.0600,29.9750,30.7825,,,784.0000,796.5000,55,53,53,50.0902,44.5938,60.0000,49.5581,37.2238,95,84,49.5581,37.2238,74.2267,0,0,0,,-0.7471,,602,600,600,
2012/07/31,30.50,30.90,30.50,30.75,0.50,1.6529,30.2500,30.0700,30.7200,,,856.0000,815.2000,59,55,54,60.8594,50.0189,91.1765,63.4309,45.9595,72,80,63.4309,45.9595,98.3737,0,0,0,,-0.6545,,606,602,601,
2012/08/01,30.90,31.40,30.75,31.10,0.35,1.1382,30.5300,30.1700,30.6500,,,1034.0000,829.0000,63,57,56,66.8651,53.4961,86.3636,71.0751,54.3314,178,95,71.0751,54.3314,104.5627,0,0,0,,-0.5466,,610,604,603,
2012/08/03,31.30,31.30,30.70,30.75,-0.35,-1.1254,30.6800,30.2450,30.5825,,,904.0000,838.9000,63,59,57,56.4678,49.7224,70.4545,70.8683,59.8437,130,114,70.8683,59.8437,92.9175,0,0,0,,-0.4837,,610,606,604,
2012/08/06,31.20,31.35,30.90,31.15,0.40,1.3008,30.8000,30.3600,30.5150,,,1010.0000,859.4000,64,62,57,64.1194,53.7868,88.6364,76.7910,65.4928,106,116,76.7910,65.4928,99.3874,0,0,0,0.6339,-0.3970,-0.7140,611,609,604,
2012/08/07,31.15,31.25,30.65,30.80,-0.35,-1.1236,30.9100,30.4850,30.4450,,,925.0000,876.7000,59,62,58,54.1295,49.9337,71.4286,75.0035,68.6630,85,114,75.0035,68.6630,87.6845,0,0,0,0.5784,-0.3525,-0.6417,606,609,605,
2012/08/08,31.00,32.95,31.00,32.95,2.15,6.9805,31.3500,30.8000,30.5225,,,1650.0000,956.9000,64,63,59,78.6498,66.1726,100.0000,83.3357,73.5539,725,244,83.3357,73.5539,102.8992,0,0,0,0.7994,-0.1421,-0.5417,611,610,606,
2012/08/09,33.60,35.10,33.60,35.05,2.10,6.3733,32.1400,31.3350,30.6875,,,3270.0000,1209.2000,57,62,59,86.8740,74.8608,98.9691,88.5468,78.5515,1620,533,88.5468,78.5515,108.5373,0,0,0,1.1739,0.1919,-0.3950,604,609,606,
2012/08/10,35.10,36.80,35.10,35.85,0.80,2.2825,33.1600,31.9200,30.9175,,,4756.0000,1606.8000,57,61,60,88.8393,77.2854,85.4962,87.5299,81.5443,1486,804,87.5299,81.5443,99.5011,0,0,0,1.4564,0.5152,-0.2130,604,608,607,
2012/08/13,36.30,37.00,35.30,35.40,-0.45,-1.2552,34.0100,32.4050,31.1375,,,4208.0000,1939.7000,40,56,59,80.6848,72.9670,75.3846,83.4815,82.1901,548,892,83.4815,82.1901,86.0644,0,0,0,1.5036,0.7268,-0.0250,587,603,606,
2012/08/14,35.40,36.30,34.80,35.80,0.40,1.1299,35.0100,32.9600,31.4675,,,4791.0000,2340.4000,42,53,58,82.4073,74.3564,81.1024,82.6884,82.3562,583,992,82.6884,82.3562,83.3530,0,0,0,1.5058,0.9161,0.1632,589,600,605,
2012/08/15,35.90,35.90,35.20,35.20,-0.60,-1.676,35.4600,33.4050,31.7375,,,4555.0000,2710.3000,49,50,57,71.0090,68.5879,71.6535,79.0101,81.2408,236,894,79.0101,81.2408,74.5488,0,0,0,1.3487,1.0062,0.3318,596,597,604,
2012/08/16,35.50,37.65,35.25,37.65,2.45,6.9602,35.9800,34.0600,32.1150,,,5762.0000,3183.1000,38,46,54,82.7203,76.6554,100.0000,86.0068,82.8295,1207,812,86.0068,82.8295,92.3613,0,0,0,1.4862,1.2607,0.5176,585,593,601,
2012/08/17,37.85,38.20,37.05,37.30,-0.35,-0.9296,36.2700,34.7150,32.4800,,,5128.0000,3605.5000,18,38,50,77.3629,73.7053,88.0795,86.6977,84.1189,634,641,86.6977,84.1189,91.8552,0,0,0,1.4404,1.4178,0.6976,565,585,597,
2012/08/20,37.20,37.35,36.15,36.30,-1.00,-2.681,36.4500,35.2300,32.7950,,,4524.0000,3956.9000,19,34,45,63.3056,65.8112,73.6111,82.3355,83.5244,604,652,82.3355,83.5244,79.9576,0,0,0,1.1958,1.4450,0.8471,654,599,601,
2012/08/21,36.65,38.80,36.65,38.80,2.50,6.8871,37.0500,36.0300,33.2575,,,6321.0000,4496.5000,28,31,42,76.2514,73.5402,100.0000,88.2237,85.0908,1797,895,88.2237,85.0908,94.4893,0,0,0,1.2835,1.6493,1.0075,663,613,607,
