ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/04,15.80,15.85,15.80,15.80,0.00,0.00,,,,,,0.0000,,13,,,,,,,,34,,,,,0,,,,,,13,,,
2012/06/05,15.90,15.90,15.80,15.80,0.00,0.00,,,,,,0.0000,,13,,,,,,,,6,,,,,0,,,,,,13,,,
2012/06/06,16.35,16.80,16.35,16.80,1.00,6.3291,,,,,,8.0000,,13,,,,,,,,8,,,,,0,,,,,,13,,,
2012/06/07,16.55,16.55,16.10,16.10,-0.70,-4.1667,,,,,,3.0000,,13,,,,,,,,5,,,,,0,,,,,,13,,,
2012/06/08,16.10,16.10,15.80,15.80,-0.30,-1.8634,16.0600,,,,,0.0000,,13,13,,,,,,,3,11,,,,0,0,,,,,13,13,,
2012/06/11,15.80,15.80,15.80,15.80,0.00,0.00,16.0600,,,,,0.0000,,13,13,,,,,,,2,4,,,,0,0,,,,,13,13,,
2012/06/18,16.00,16.00,16.00,16.00,0.20,1.2658,16.1000,,,,,1.0000,,13,13,,54.5455,,,,,1,3,,,,0,0,,,,,13,13,,
2012/06/19,15.55,15.95,15.55,15.95,-0.05,-0.3125,15.9300,,,,,-2.0000,,13,13,,53.0973,,,,,3,2,,,,0,0,,,,,13,13,,
2012/06/20,15.90,15.95,15.90,15.95,0.00,0.00,15.9000,,,,,-2.0000,,13,13,,53.0973,,32.0000,44.0000,48.0000,2,2,44.0000,48.0000,36.0000,0,0,,,,,13,13,,
2012/06/22,16.00,16.30,16.00,16.30,0.35,2.1944,16.0000,16.0300,,,,5.0000,1.3000,13,13,13,62.9992,,60.0000,49.3333,48.4444,7,3,49.3333,48.4444,51.1111,0,0,0,,,,13,13,13,
