ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,162.00,162.00,158.50,159.00,0.00,0.00,,,,,,0.0000,,17780,,,,,,,,1357,,,,,2112,,,,,,50417,,,
2012/06/29,160.00,162.50,160.00,162.00,3.00,1.8868,,,,,,2670.0000,,17960,,,,,,,,2670,,,,,2155,,,,,,50847,,,
2012/07/02,163.50,165.50,162.50,164.00,2.00,1.2346,,,,,,5501.0000,,17989,,,,,,,,2831,,,,,2281,,,,,,51520,,,
2012/07/03,166.00,166.00,162.50,163.00,-1.00,-0.6098,,,,,,3523.0000,,18036,,,,,,,,1978,,,,,2413,,,,,,51733,,,
2012/07/04,163.00,165.50,162.00,164.00,1.00,0.6135,162.4000,,,,,6558.0000,,18072,17968,,,,,,,3035,2374,,,,2633,2319,,,,,51944,51293,,
2012/07/05,165.00,165.00,162.00,162.00,-2.00,-1.2195,163.0000,,,,,4864.0000,,17831,17978,,,,,,,1694,2441,,,,2621,2421,,,,,52175,51645,,
2012/07/06,162.00,163.00,158.00,159.50,-2.50,-1.5432,162.5000,,,,,2086.0000,,17947,17975,,52.1739,,,,,2778,2463,,,,2576,2505,,,,,52538,51983,,
2012/07/09,158.00,159.50,157.00,159.50,0.00,0.00,161.6000,,,,,2086.0000,,18027,17983,,52.1739,,,,,1366,2170,,,,2502,2549,,,,,52167,52112,,
2012/07/10,159.00,159.50,156.00,157.00,-2.50,-1.5674,160.4000,,,,,313.0000,,17946,17965,,39.7351,,10.0000,36.6667,45.5556,1773,2129,36.6667,45.5556,18.8889,2423,2551,,,,,51662,52098,,
2012/07/11,156.00,159.50,153.50,159.50,2.50,1.5924,159.5000,160.9500,,,,1955.0000,2955.6000,17806,17912,17940,53.1411,,48.0000,40.4444,43.8519,1642,1850,40.4444,43.8519,33.6296,2401,2505,2412,,,,51262,51962,51627,
2012/07/12,157.50,158.50,156.00,156.50,-3.00,-1.8809,158.4000,160.7000,,,,448.0000,3000.4000,17948,17935,17957,40.2484,,24.0000,34.9630,40.8889,1507,1813,34.9630,40.8889,23.1111,2302,2441,2431,,,,51115,51750,51697,
2012/07/13,156.00,158.00,154.50,155.50,-1.00,-0.639,157.6000,160.0500,,,,-719.0000,2661.5000,17926,17931,17953,36.6880,,16.0000,28.6420,36.8066,1167,1491,28.6420,36.8066,12.3128,2377,2401,2453,,,,51219,51486,51734,
2012/07/16,157.00,157.00,155.00,156.00,0.50,0.3215,156.9000,159.2500,,,,136.0000,2125.0000,17919,17909,17946,39.8790,42.8571,20.8333,26.0391,33.2174,855,1388,26.0391,33.2174,11.6824,2347,2370,2460,,,,51101,51273,51693,
2012/07/17,155.00,155.50,151.00,154.50,-1.50,-0.9615,156.4000,158.4000,,,,-2117.0000,1561.0000,17959,17912,17938,33.7544,39.7590,25.0000,25.6927,30.7092,2253,1484,25.6927,30.7092,15.6598,2261,2338,2444,,,,50653,51071,51584,
2012/07/18,154.50,154.50,152.00,152.00,-2.50,-1.6181,154.9000,157.2000,,,,-2822.0000,623.0000,18236,17998,17955,25.8228,35.1404,8.3333,19.9063,27.1082,705,1297,19.9063,27.1082,5.5024,2243,2306,2405,,,,50691,50957,51459,
2012/07/19,152.50,155.50,152.50,154.00,2.00,1.3158,154.4000,156.4000,,,,-1762.0000,-39.6000,18227,18054,17994,39.4759,41.1107,35.2941,25.0355,26.4173,1060,1208,25.0355,26.4173,22.2720,2537,2353,2397,,,,50776,50889,51319,
2012/07/20,155.50,157.00,154.00,157.00,3.00,1.9481,154.7000,156.1500,,,,-582.0000,-306.4000,18307,18130,18030,54.5379,48.8198,70.5882,40.2198,31.0181,1180,1210,40.2198,31.0181,58.6230,2652,2408,2405,,,,50972,50839,51163,
2012/07/23,154.50,154.50,148.50,149.50,-7.50,-4.7771,153.4000,155.1500,,,,-3734.0000,-888.4000,18287,18204,18056,31.2256,35.9756,9.0909,29.8435,30.6266,3152,1670,29.8435,30.6266,28.2773,2742,2487,2429,,,,50116,50642,50957,
2012/07/24,143.00,143.50,139.50,143.00,-6.50,-4.3478,151.1000,153.7500,,,,-6194.0000,-1539.1000,18108,18234,18073,21.6161,28.8095,18.4211,26.0360,29.0964,2460,1711,26.0360,29.0964,19.9152,2502,2535,2436,,,,49061,50324,50697,
2012/07/25,139.50,142.50,139.00,141.00,-2.00,-1.3986,148.9000,151.9000,156.4250,,,-7486.0000,-2483.2000,18091,18205,18101,19.4105,27.0040,10.5263,20.8661,26.3530,1292,1828,20.8661,26.3530,9.8924,2506,2588,2447,,,,48989,49983,50470,
2012/07/26,143.00,143.00,140.00,141.00,0.00,0.00,146.3000,150.3500,155.5250,,,-7486.0000,-3276.6000,18006,18160,18107,19.4105,27.0040,11.1111,17.6144,23.4401,978,1812,17.6144,23.4401,5.9631,2413,2563,2458,,,,48602,49548,50219,
2012/07/27,143.00,144.50,141.50,143.50,2.50,1.773,143.6000,149.1500,154.6000,,,-5645.0000,-3769.2000,17986,18096,18113,31.9151,33.2291,25.0000,20.0763,22.3189,1841,1944,20.0763,22.3189,15.5912,2401,2513,2460,,,,48548,49063,49951,
2012/07/30,144.50,146.00,143.00,144.00,0.50,0.3484,142.5000,147.9500,153.6000,,,-4507.0000,-4233.5000,18200,18079,18141,34.3595,34.4488,27.7778,22.6435,22.4271,1138,1541,22.6435,22.4271,23.0763,2330,2430,2459,,,,48679,48776,49709,
2012/07/31,144.00,144.00,134.50,137.50,-6.50,-4.5139,141.4000,146.2500,152.3250,,,-8159.0000,-4837.7000,17668,17991,18112,22.0242,27.3608,13.3333,19.5401,21.4647,3652,1780,19.5401,21.4647,15.6908,1992,2328,2432,,,,46455,48255,49289,
2012/08/01,135.00,141.50,135.00,140.00,2.50,1.8182,141.2000,145.0500,151.1250,,,-3318.0000,-4887.3000,16982,17769,17987,33.1079,33.1334,24.4444,21.1749,21.3681,4841,2490,21.1749,21.3681,20.7884,2055,2238,2413,,,,44151,47287,48635,
2012/08/03,137.00,139.50,135.50,139.50,-0.50,-0.3571,140.9000,143.6000,150.0000,,,-5197.0000,-5230.8000,17079,17584,17872,32.0157,32.5687,25.0000,22.4499,21.7287,1879,2670,22.4499,21.7287,23.8923,1820,2120,2341,,-8.0738,,43451,46257,47903,
2012/08/06,141.50,142.00,138.50,139.50,0.00,0.00,140.1000,141.8500,149.0000,,,-5197.0000,-5692.3000,17705,17527,17812,32.0157,32.5687,43.4783,29.4594,24.3056,1957,2693,29.4594,24.3056,39.7669,1800,1999,2256,,-7.8952,,44077,45363,47213,
2012/08/07,142.00,144.00,141.00,142.00,2.50,1.7921,139.7000,141.1000,148.1250,,,-2095.0000,-5528.4000,17694,17426,17753,45.0641,38.7776,65.2174,41.3787,29.9966,3102,3086,41.3787,29.9966,64.1429,1786,1891,2161,,-7.4658,,43993,44426,46601,
2012/08/08,143.00,145.50,141.50,144.00,2.00,1.4085,141.0000,141.2000,147.4750,,,421.0000,-4866.9000,17808,17454,17722,53.6114,43.3313,82.6087,55.1220,38.3718,2516,2859,55.1220,38.3718,88.6226,1551,1802,2065,,-6.8848,,43852,43906,46080,
2012/08/09,144.00,151.50,144.00,150.50,6.50,4.5139,143.1000,142.1500,147.0250,,,4714.0000,-3646.9000,18360,17730,17749,71.1297,55.1571,94.1176,68.1206,48.2880,4293,2749,68.1206,48.2880,107.7856,1589,1709,1974,,-5.8326,,45058,44087,45687,
2012/08/10,152.00,153.50,150.00,150.50,0.00,0.00,145.3000,143.1000,146.7250,,,4714.0000,-2426.9000,18412,17996,17790,71.1297,55.1571,84.2105,73.4839,56.6867,3010,2975,73.4839,56.6867,107.0784,1524,1650,1885,,-4.9418,,45362,44469,45363,
2012/08/13,152.00,152.00,148.50,148.50,-2.00,-1.3289,147.1000,143.6000,146.3750,,,3432.0000,-1519.2000,18567,18169,17848,60.9339,51.2414,73.6842,73.5507,62.3080,1282,2840,73.5507,62.3080,96.0360,1538,1598,1799,,-4.3471,,45426,44739,45051,
2012/08/14,149.50,154.00,148.00,151.50,3.00,2.0202,149.0000,144.3500,146.1500,,,6634.0000,-405.1000,18560,18342,17884,68.9462,56.3160,86.8421,77.9811,67.5324,3202,2860,77.9811,67.5324,98.8787,1587,1558,1724,,-3.5923,,44669,44874,44650,
2012/08/15,151.50,152.00,149.50,150.00,-1.50,-0.9901,150.2000,145.6000,145.9250,,,5172.0000,928.0000,18425,18465,17960,61.3915,53.2908,78.3784,78.1136,71.0594,1462,2649,78.1136,71.0594,92.2218,1486,1545,1674,5.4214,-3.0796,-5.7903,44546,45013,44459,
2012/08/16,150.50,152.50,150.50,151.00,1.00,0.6667,150.3000,146.7000,145.8750,,,6258.0000,1885.6000,18621,18517,18124,64.5031,55.0470,80.6452,78.9574,73.6921,1086,2008,78.9574,73.6921,89.4881,1474,1523,1616,5.1635,-2.5631,-5.1449,44971,44996,44541,
2012/08/17,152.50,153.50,151.50,151.50,0.50,0.3311,150.5000,147.9000,145.7500,,,7415.0000,3146.8000,17967,18428,18212,66.1405,55.9504,80.7692,79.5614,75.6485,1157,1637,79.5614,75.6485,87.3870,1400,1498,1574,4.8889,-2.0893,-4.5338,44249,44773,44621,
2012/08/20,152.00,152.00,148.00,148.50,-3.00,-1.9802,150.5000,148.8000,145.3250,,,6246.0000,4291.1000,17992,18313,18241,49.6511,49.4462,56.0000,71.7076,74.3349,1169,1615,71.7076,74.3349,66.4530,1414,1473,1535,4.1602,-1.9337,-4.0138,44283,44544,44642,
2012/08/21,148.50,150.50,148.50,149.00,0.50,0.3367,150.0000,149.5000,145.3000,,,7583.0000,5258.9000,17777,18157,18249,52.0423,50.4926,50.0000,64.4717,71.0472,1337,1242,64.4717,71.0472,51.3208,1552,1466,1512,3.6224,-1.7498,-3.5610,44206,44452,44663,
2012/08/22,149.00,149.50,146.50,147.00,-2.00,-1.3423,149.4000,149.8000,145.5000,,,6671.0000,5883.9000,17605,17993,18229,42.3808,46.3098,6.6667,45.2034,62.4326,912,1132,45.2034,62.4326,10.7450,1539,1477,1511,2.9051,-1.7453,-3.1978,43994,44341,44677,
2012/08/23,149.00,151.00,149.00,149.50,2.50,1.7007,149.1000,149.7000,145.9250,,,9216.0000,6334.1000,17574,17783,18150,54.9312,51.7592,40.0000,43.4689,56.1113,2545,1424,43.4689,56.1113,18.1840,1745,1531,1527,2.6806,-1.5225,-2.8628,44062,44159,44577,
2012/08/24,148.50,149.50,146.00,148.00,-1.50,-1.0033,148.4000,149.4500,146.2750,,,7249.0000,6587.6000,17422,17674,18051,47.4843,48.5348,25.0000,37.3126,49.8451,1967,1586,37.3126,49.8451,12.2476,1739,1599,1548,2.2601,-1.4502,-2.5802,43280,43966,44369,
2012/08/27,149.00,149.50,145.50,146.00,-2.00,-1.3514,147.9000,149.2000,146.4000,,,5104.0000,6754.8000,17433,17563,17938,39.0205,44.5023,6.2500,26.9584,42.2162,2145,1781,26.9584,42.2162,-3.5572,1711,1658,1565,1.6698,-1.5366,-2.3715,42263,43562,44053,
2012/08/28,145.50,146.00,144.00,144.50,-1.50,-1.0274,147.0000,148.5000,146.4250,,,4036.0000,6495.0000,17437,17495,17826,33.6262,41.6697,5.2632,19.7267,34.7197,1068,1727,19.7267,34.7197,-10.2594,1648,1677,1572,1.0641,-1.7064,-2.2385,42134,43147,43799,
2012/08/29,144.50,146.00,143.00,143.50,-1.00,-0.692,146.3000,147.8500,146.7250,,,3007.0000,6278.5000,17074,17388,17691,30.2776,39.8261,4.7619,14.7384,28.0593,1029,1750,14.7384,28.0593,-11.9033,1654,1700,1588,0.5419,-1.8998,-2.1708,41663,42681,43511,
2012/08/30,143.50,146.00,143.00,145.00,1.50,1.0453,145.4000,147.2500,146.9750,,,4473.0000,6100.0000,16518,17177,17480,40.8755,43.8885,22.2222,17.2330,24.4505,1466,1535,17.2330,24.4505,2.7980,1662,1684,1607,0.4172,-1.9100,-2.1186,40961,42061,43110,
2012/08/31,144.50,145.50,143.50,144.50,-0.50,-0.3448,144.7000,146.5500,147.2250,,,3322.0000,5690.7000,16741,17041,17358,38.5327,42.8369,18.7500,17.7387,22.2132,1151,1371,17.7387,22.2132,8.7896,1657,1667,1633,0.2920,-1.9361,-2.0821,40498,41505,42735,
