ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/26,10.45,10.45,10.35,10.35,0.00,0.00,,,,,,0.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2012/06/27,10.45,10.60,10.45,10.50,0.15,1.4493,,,,,,36.0000,,0,,,,,,,,36,,,,,0,,,,,,0,,,
2012/06/28,10.60,10.70,10.50,10.50,0.00,0.00,,,,,,36.0000,,0,,,,,,,,127,,,,,0,,,,,,0,,,
2012/06/29,10.50,10.60,10.50,10.50,0.00,0.00,,,,,,36.0000,,0,,,,,,,,7,,,,,0,,,,,,0,,,
2012/07/02,10.60,10.80,10.60,10.75,0.25,2.381,10.5200,,,,,84.0000,,0,1,,,,,,,48,45,,,,0,0,,,,,0,1,,
2012/07/03,10.75,10.85,10.75,10.85,0.10,0.9302,10.6200,,,,,100.0000,,0,1,,,,,,,16,46,,,,0,0,,,,,0,1,,
2012/07/04,10.95,10.95,10.80,10.90,0.05,0.4608,10.7000,,,,,148.0000,,0,1,,100.0000,,,,,48,49,,,,0,0,,,,,0,1,,
2012/07/05,10.90,11.00,10.80,10.80,-0.10,-0.9174,10.7600,,,,,105.0000,,0,1,,82.0896,,,,,43,32,,,,0,0,,,,,0,1,,
2012/07/06,11.00,11.00,10.70,10.85,0.05,0.463,10.8300,,,,,149.0000,,0,1,,83.8275,,76.9231,58.9744,52.9915,44,39,58.9744,52.9915,70.9402,0,0,,,,,0,1,,
2012/07/09,10.75,10.75,10.60,10.70,-0.15,-1.3825,10.8200,10.6700,,,,127.0000,82.1000,0,1,1,62.1254,,45.4545,54.4678,53.4836,22,34,54.4678,53.4836,56.4362,0,0,0,,,,0,1,1,
2012/07/10,10.70,10.70,10.65,10.65,-0.05,-0.4673,10.7800,10.7000,,,,101.0000,92.2000,0,1,1,56.2957,,30.0000,46.3118,51.0930,26,36,46.3118,51.0930,36.7495,0,0,0,,,,0,1,1,
2012/07/11,10.65,10.70,10.55,10.55,-0.10,-0.939,10.7100,10.7050,,,,66.0000,95.2000,0,1,1,45.9477,,10.0000,34.2079,45.4646,35,34,34.2079,45.4646,11.6944,0,0,0,,,,0,1,1,
2012/07/12,10.55,10.60,10.45,10.45,-0.10,-0.9479,10.6400,10.7000,,,,2.0000,91.8000,0,1,1,37.6443,54.5455,0.0000,22.8053,37.9115,64,38,22.8053,37.9115,-7.4072,0,0,0,,,,0,1,1,
2012/07/13,10.45,10.50,10.30,10.35,-0.10,-0.9569,10.5400,10.6850,,,,-59.0000,82.3000,0,1,1,30.9356,49.6241,7.1429,17.5845,31.1358,61,41,17.5845,31.1358,-9.5183,0,0,0,,,,0,1,1,
2012/07/16,10.45,10.45,10.40,10.40,0.05,0.4831,10.4800,10.6500,,,,-12.0000,72.7000,0,1,1,37.6071,51.9870,14.2857,16.4849,26.2522,47,46,16.4849,26.2522,-3.0497,0,0,0,,,,0,1,1,
2012/07/17,10.45,10.55,10.30,10.50,0.10,0.9615,10.4500,10.6150,,,,33.0000,66.0000,0,1,1,49.3497,56.4444,28.5714,20.5137,24.3394,45,50,20.5137,24.3394,12.8625,0,0,0,,,,0,1,1,
2012/07/18,10.50,10.60,10.50,10.55,0.05,0.4762,10.4500,10.5800,,,,57.0000,56.9000,0,1,1,54.4889,58.5437,35.7143,25.5806,24.7531,24,48,25.5806,24.7531,27.2355,0,0,0,,,,0,1,1,
2012/07/19,10.60,10.70,10.50,10.70,0.15,1.4218,10.5000,10.5700,,,,179.0000,64.3000,0,1,1,66.6652,64.1921,88.8889,46.6834,32.0632,122,59,46.6834,32.0632,75.9237,0,0,0,,,,0,1,1,
2012/07/20,10.70,10.70,10.70,10.70,0.00,0.00,10.5700,10.5550,,,,179.0000,67.3000,0,1,1,66.6652,64.1921,100.0000,64.4556,42.8606,11,49,64.4556,42.8606,107.6454,0,0,0,,,,0,1,1,
2012/07/23,10.65,10.65,10.45,10.50,-0.20,-1.8692,10.5900,10.5350,10.6025,,,100.0000,64.6000,0,1,1,44.0416,52.7810,50.0000,59.6370,48.4528,79,56,59.6370,48.4528,82.0056,0,0,0,,,,0,1,1,
2012/07/24,10.50,10.55,10.35,10.55,0.05,0.4762,10.6000,10.5250,10.6125,,,340.0000,88.5000,0,1,1,49.2122,54.9644,62.5000,60.5914,52.4990,240,95,60.5914,52.4990,76.7761,0,0,0,,,,0,1,1,
2012/07/25,9.90,9.90,9.60,9.60,-0.95,-9.0047,10.4100,10.4300,10.5675,,,161.0000,98.0000,0,1,1,15.8404,28.0658,0.0000,40.3942,48.4641,179,126,40.3942,48.4641,24.2546,0,0,0,,,,0,1,1,
2012/07/26,9.75,9.80,9.56,9.56,-0.04,-0.4167,10.1820,10.3410,10.5205,,,98.0000,107.6000,0,1,1,15.3157,27.4487,0.0000,26.9295,41.2859,63,114,26.9295,41.2859,-1.7833,0,0,0,,,,0,1,1,
2012/07/27,9.89,9.89,9.60,9.64,0.08,0.8368,9.9700,10.2700,10.4775,,,159.0000,129.4000,0,1,1,21.5528,30.7695,7.0175,20.2922,34.2880,61,124,20.2922,34.2880,-7.6994,0,0,0,,,,0,1,1,
2012/07/30,9.70,9.80,9.70,9.75,0.11,1.1411,9.8200,10.2050,10.4275,,,181.0000,148.7000,0,1,1,30.0530,35.2173,16.6667,19.0837,29.2199,22,113,19.0837,29.2199,-1.1887,0,0,0,,,,0,1,1,
2012/07/31,9.75,9.80,9.70,9.71,-0.04,-0.4103,9.6520,10.1260,10.3705,,,134.0000,158.8000,0,1,1,28.6962,34.3420,13.1579,17.1084,25.1827,47,74,17.1084,25.1827,0.9598,0,0,0,,-0.3694,,0,1,1,
2012/08/01,9.71,9.80,9.71,9.80,0.09,0.9269,9.6920,10.0510,10.3155,,,160.0000,169.1000,0,1,1,36.4437,38.1170,21.0526,18.4232,22.9295,26,43,18.4232,22.9295,9.4104,0,0,0,,-0.3628,,0,1,1,
2012/08/03,9.93,9.93,9.71,9.71,-0.09,-0.9184,9.7220,9.9520,10.2610,,,109.0000,162.1000,0,1,1,32.2400,35.8673,13.7615,16.8693,20.9094,51,41,16.8693,20.9094,8.7889,0,0,0,,-0.3606,,0,1,1,
2012/08/06,9.71,9.81,9.71,9.71,0.00,0.00,9.7360,9.8530,10.2040,,,109.0000,155.1000,0,1,1,32.2400,35.8673,15.1515,16.2967,19.3719,30,35,16.2967,19.3719,10.1463,0,0,0,,-0.3549,,0,1,1,
2012/08/07,9.64,9.75,9.64,9.71,0.00,0.00,9.7280,9.7740,10.1545,,,109.0000,156.0000,0,1,1,32.2400,35.8673,40.5405,24.3780,21.0406,68,44,24.3780,21.0406,31.0528,0,0,0,,-0.3463,,0,1,1,
2012/08/08,9.71,9.71,9.68,9.68,-0.03,-0.309,9.7220,9.6870,10.1060,,,79.0000,129.9000,0,1,1,30.2315,34.9741,32.4324,27.0628,23.0480,30,41,27.0628,23.0480,35.0924,0,0,0,,-0.3380,,0,1,1,
2012/08/09,9.70,9.79,9.61,9.78,0.10,1.0331,9.7180,9.7050,10.0675,,,154.0000,129.2000,0,1,1,44.1495,40.3740,54.5455,36.2237,27.4399,75,50,36.2237,27.4399,53.7913,0,0,0,,-0.3197,,0,1,1,
