ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,23.75,23.75,23.00,23.00,0.00,0.00,,,,,,0.0000,,32,,,,,,,,357,,,,,0,,,,,,32,,,
2012/06/29,23.00,23.45,22.90,22.90,-0.10,-0.4348,,,,,,-208.0000,,35,,,,,,,,208,,,,,0,,,,,,35,,,
2012/07/02,23.20,23.60,23.10,23.10,0.20,0.8734,,,,,,144.0000,,54,,,,,,,,352,,,,,0,,,,,,54,,,
2012/07/03,23.00,24.70,23.00,24.70,1.60,6.9264,,,,,,2433.0000,,70,,,,,,,,2289,,,,,0,,,,,,70,,,
2012/07/04,24.70,25.00,24.30,24.75,0.05,0.2024,23.6900,,,,,3677.0000,,33,45,,,,,,,1244,890,,,,0,0,,,,,33,45,,
2012/07/05,24.80,25.05,23.90,24.10,-0.65,-2.6263,23.9100,,,,,2933.0000,,10,40,,,,,,,744,967,,,,0,0,,,,,10,40,,
2012/07/06,24.10,24.40,23.60,23.75,-0.35,-1.4523,24.0800,,,,,2542.0000,,5,34,,62.7119,,,,,391,1004,,,,0,0,,,,,5,34,,
2012/07/09,23.35,23.90,23.35,23.40,-0.35,-1.4737,24.1400,,,,,2326.0000,,5,25,,54.8961,,,,,216,976,,,,0,0,,,,,5,25,,
2012/07/10,23.45,23.75,23.00,23.30,-0.10,-0.4274,23.8600,,,,,2105.0000,,5,12,,52.6466,,18.6047,39.5349,46.5116,221,563,39.5349,46.5116,25.5814,0,0,,,,,5,12,,
2012/07/11,23.30,23.70,23.05,23.40,0.10,0.4292,23.5900,23.6400,,,,2320.0000,1827.2000,5,6,25,54.8660,,23.2558,34.1085,42.3773,215,357,34.1085,42.3773,17.5711,0,0,0,,,,5,6,25,
2012/07/12,23.55,23.70,22.80,22.85,-0.55,-2.3504,23.3400,23.6250,,,,2021.0000,2029.3000,5,5,23,41.9035,,2.2222,23.4798,36.0781,299,268,23.4798,36.0781,-1.7169,0,0,0,,,,5,5,23,
2012/07/13,22.80,23.15,21.80,21.85,-1.00,-4.3764,22.9600,23.5200,,,,1683.0000,2218.4000,5,5,20,27.6505,,1.5385,16.1660,29.4407,338,257,16.1660,29.4407,-10.3835,0,0,0,,,,5,5,20,
2012/07/16,22.10,22.30,20.85,21.15,-0.70,-3.2037,22.5100,23.3250,,,,1367.0000,2340.7000,9,6,15,21.5059,33.9130,7.1429,13.1583,24.0132,316,277,13.1583,24.0132,-8.5516,0,0,0,,,,9,6,15,
2012/07/17,21.15,22.20,20.80,22.00,0.85,4.0189,22.2500,23.0550,,,,1729.0000,2270.3000,17,8,10,40.7060,43.0905,28.2353,18.1840,22.0701,362,306,18.1840,22.0701,10.4116,0,0,0,,,,17,8,10,
2012/07/18,21.80,22.00,21.30,21.55,-0.45,-2.0455,21.8800,22.7350,,,,1594.0000,2062.0000,16,10,8,35.2312,39.8911,20.8333,19.0671,21.0691,135,290,19.0671,21.0691,15.0630,0,0,0,,,,16,10,8,
2012/07/19,21.90,22.20,21.70,22.05,0.50,2.3202,21.7200,22.5300,,,,1755.0000,1944.2000,26,15,10,45.0799,44.8541,40.3226,26.1522,22.7635,161,262,26.1522,22.7635,32.9297,0,0,0,,,,26,15,10,
2012/07/20,22.10,22.30,21.60,21.60,-0.45,-2.0408,21.6700,22.3150,,,,1523.0000,1842.3000,13,16,11,38.7210,41.4907,27.1186,26.4744,24.0005,232,241,26.4744,24.0005,31.4222,0,0,0,,,,13,16,11,
2012/07/23,21.60,21.60,20.85,20.85,-0.75,-3.4722,21.6100,22.0600,,,,1342.0000,1743.9000,7,16,11,30.2008,36.5126,1.7241,18.2243,22.0751,181,214,18.2243,22.0751,10.5228,0,0,0,,,,7,16,11,
2012/07/24,20.85,20.85,19.80,20.30,-0.55,-2.6379,21.2700,21.7600,,,,1131.0000,1646.5000,9,14,11,25.3015,33.3148,12.8205,16.4230,20.1911,211,184,16.4230,20.1911,8.8870,0,0,0,,,,9,14,11,
2012/07/25,20.10,20.90,20.00,20.50,0.20,0.9852,21.0600,21.4700,22.5550,,,1384.0000,1552.9000,8,13,12,30.2397,35.5538,20.8955,17.9139,19.4320,253,207,17.9139,19.4320,14.8776,0,0,0,,,,8,13,12,
2012/07/26,21.40,21.40,20.60,20.85,0.35,1.7073,20.8200,21.2700,22.4475,,,1508.0000,1501.6000,5,8,12,38.7438,39.4359,42.0000,25.9426,21.6022,124,200,25.9426,21.6022,34.6234,0,0,0,,,,5,8,12,
2012/07/27,21.00,21.30,20.90,21.10,0.25,1.199,20.7200,21.1950,22.3575,,,1691.0000,1502.4000,7,7,12,44.5389,42.1512,52.0000,34.6284,25.9443,183,190,34.6284,25.9443,51.9966,0,0,0,,,,7,7,12,
2012/07/30,21.30,21.30,21.00,21.15,0.05,0.237,20.7800,21.1950,22.2600,,,1820.0000,1547.7000,5,7,11,45.7702,42.7116,54.0000,41.0856,30.9914,129,180,41.0856,30.9914,61.2740,0,0,0,,,,5,7,11,
2012/07/31,21.30,22.10,20.55,21.70,0.55,2.6005,21.0600,21.1650,22.1100,,,2134.0000,1588.2000,8,7,10,58.0607,48.6777,76.0000,52.7237,38.2355,314,200,52.7237,38.2355,81.7002,0,0,0,,,,8,7,10,
2012/08/01,21.70,22.00,21.40,22.00,0.30,1.3825,21.3600,21.2100,21.9725,,,2340.0000,1662.8000,5,6,9,63.4784,51.6724,88.0000,64.4825,46.9845,206,191,64.4825,46.9845,99.4785,0,0,0,,,,5,6,9,
2012/08/03,22.00,22.20,21.55,21.55,-0.45,-2.0455,21.5000,21.1600,21.8450,,,2231.0000,1710.4000,5,6,7,51.5027,47.1685,72.9167,67.2939,53.7543,109,188,67.2939,53.7543,94.3731,0,0,0,,-0.7656,,5,6,7,
2012/08/06,22.00,22.20,21.65,21.80,0.25,1.1601,21.6400,21.1800,21.7475,,,2543.0000,1812.4000,5,6,6,56.9209,49.8194,83.3333,72.6404,60.0496,312,214,72.6404,60.0496,97.8218,0,0,0,,-0.6901,,5,6,6,
2012/08/07,22.20,22.20,21.60,22.00,0.20,0.9174,21.8100,21.2950,21.6775,,,2760.0000,1954.2000,5,6,6,61.0936,51.9245,90.9091,78.7299,66.2764,217,231,78.7299,66.2764,103.6370,0,0,0,,-0.6072,,5,6,6,
2012/08/08,22.15,22.60,21.70,22.25,0.25,1.1364,21.9200,21.4900,21.6250,,,3349.0000,2176.0000,5,5,6,66.0294,54.5260,82.9268,80.1289,70.8939,589,286,80.1289,70.8939,98.5989,0,0,0,,-0.5154,,5,5,6,
2012/08/09,22.35,22.50,22.05,22.40,0.15,0.6742,22.0000,21.6800,21.5750,,,3666.0000,2404.2000,6,5,6,68.8726,56.0815,90.2439,83.5006,75.0961,317,308,83.5006,75.0961,100.3095,0,0,0,,-0.4256,,6,5,6,
2012/08/10,22.20,23.00,22.20,23.00,0.60,2.6786,22.2900,21.8950,21.5825,,,4384.0000,2691.8000,5,5,6,77.7937,61.7857,100.0000,89.0004,79.7309,718,430,89.0004,79.7309,107.5394,0,0,0,,-0.3025,,5,5,6,
2012/08/13,23.20,23.70,23.00,23.50,0.50,2.1739,22.6300,22.1350,21.6650,,,4946.0000,3017.3000,5,5,5,82.7404,65.8213,93.6508,90.5505,83.3374,562,480,90.5505,83.3374,104.9767,0,0,0,,-0.1628,,5,5,5,
2012/08/14,23.60,24.15,22.80,23.20,-0.30,-1.2766,22.8700,22.3400,21.7675,,,3659.0000,3201.2000,11,6,6,71.3042,61.5657,65.4545,82.1852,82.9533,1287,694,82.1852,82.9533,80.6489,0,0,0,,-0.0754,,11,6,6,
2012/08/15,23.40,23.80,22.80,22.90,-0.30,-1.2931,23.0000,22.4600,21.8125,,,3107.0000,3298.5000,5,6,6,61.1601,57.5095,51.9231,72.0978,79.3348,552,687,72.0978,79.3348,57.6238,0,0,0,0.7344,-0.0300,-0.3972,5,6,6,
2012/08/16,23.00,23.20,22.60,22.95,0.05,0.2183,23.1100,22.5550,21.8825,,,3446.0000,3409.1000,10,7,6,62.2346,58.0124,52.9412,65.7123,74.7940,339,691,65.7123,74.7940,47.5489,0,0,0,0.6514,0.0099,-0.3158,10,7,6,
2012/08/17,23.30,23.70,23.00,23.25,0.30,1.3072,23.1600,22.7250,21.9425,,,4136.0000,3599.6000,11,8,7,68.5077,61.0317,64.7059,65.3768,71.6549,690,686,65.3768,71.6549,52.8206,0,0,0,0.6093,0.0650,-0.2396,11,8,7,
2012/08/20,23.40,23.65,22.85,23.20,-0.05,-0.2151,23.1000,22.8650,22.0225,,,3575.0000,3702.8000,5,8,7,66.3050,60.2440,61.2245,63.9927,69.1009,561,685,63.9927,69.1009,53.7764,0,0,0,0.5489,0.1035,-0.1710,5,8,7,
2012/08/21,23.20,23.90,23.20,23.90,0.70,3.0172,23.2400,23.0550,22.1750,,,4631.0000,3889.9000,19,10,8,78.1226,66.7898,88.0952,72.0269,70.0762,1056,639,72.0269,70.0762,75.9283,0,0,0,0.5748,0.1882,-0.0991,19,10,8,
2012/08/22,24.40,25.55,24.20,24.75,0.85,3.5565,23.6100,23.3050,22.3975,,,7990.0000,4354.0000,27,14,10,85.5217,72.7362,76.1194,73.3911,71.1811,3359,1201,73.3911,71.1811,77.8109,0,0,0,0.6711,0.3203,-0.0152,27,14,10,
2012/08/23,24.75,25.00,24.00,24.20,-0.55,-2.2222,23.8600,23.4850,22.5825,,,7154.0000,4702.8000,12,15,11,67.7341,64.5746,54.2373,67.0065,69.7896,836,1300,67.0065,69.7896,61.4402,0,0,0,0.6264,0.3763,0.0631,12,15,11,
2012/08/24,23.80,24.85,23.80,24.35,0.15,0.6198,24.0800,23.6200,22.7575,,,8132.0000,5077.6000,10,15,12,69.7904,65.7190,59.3220,64.4450,68.0081,978,1358,64.4450,68.0081,57.3189,0,0,0,0.5836,0.4278,0.1360,10,15,12,
2012/08/27,24.80,24.80,24.05,24.15,-0.20,-0.8214,24.2700,23.6850,22.9100,,,7715.0000,5354.5000,8,15,12,63.3324,62.7695,52.5424,60.4775,65.4979,417,1329,60.4775,65.4979,50.4366,0,0,0,0.4981,0.4473,0.1983,8,15,12,
2012/08/28,24.15,24.15,23.00,23.00,-1.15,-4.7619,24.0900,23.6650,23.0025,,,7009.0000,5689.5000,16,15,12,38.6530,48.9801,13.5593,44.8381,58.6113,706,1259,44.8381,58.6113,17.2917,0,0,0,0.2680,0.3658,0.2318,16,15,12,
2012/08/29,23.20,23.55,23.05,23.20,0.20,0.8696,23.7800,23.6950,23.0775,,,7425.0000,6121.3000,34,16,15,43.2668,51.0215,12.9630,34.2130,50.4785,416,670,34.2130,50.4785,1.6821,0,0,0,0.1311,0.3137,0.2482,34,16,15,
2012/08/30,23.20,23.45,23.10,23.15,-0.05,-0.2155,23.5700,23.7150,23.1350,,,7129.0000,6489.6000,23,18,17,42.3122,50.4708,11.1111,26.5124,42.4898,296,562,26.5124,42.4898,-5.4424,0,0,0,0.0275,0.2653,0.2516,23,18,17,
2012/08/31,23.00,23.35,22.65,22.70,-0.45,-1.9438,23.2400,23.6600,23.1925,,,6840.0000,6760.0000,29,22,18,34.1696,45.6344,1.7241,18.2496,34.4098,289,424,18.2496,34.4098,-14.0706,0,0,0,-0.1009,0.1885,0.2390,29,22,18,
2012/09/03,22.70,23.50,22.70,23.40,0.70,3.0837,23.0900,23.6800,23.2725,,,7211.0000,7123.6000,24,25,20,51.5676,53.2384,25.8621,20.7871,29.8689,371,415,20.7871,29.8689,2.6236,8,2,1,-0.0912,0.1820,0.2276,32,27,21,
2012/09/04,23.40,23.95,23.10,23.40,0.00,0.00,23.1700,23.6300,23.3425,,,7211.0000,7381.6000,5,23,19,51.5676,53.2384,31.9149,24.4964,28.0780,554,385,24.4964,28.0780,17.3330,8,3,2,-0.0844,0.1748,0.2170,13,26,20,
2012/09/05,23.40,23.40,22.85,22.85,-0.55,-2.3504,23.1000,23.4400,23.3725,,,6977.0000,7280.3000,5,17,17,39.6973,47.0809,9.0909,19.3612,25.1724,234,348,19.3612,25.1724,7.7388,8,5,2,-0.1499,0.1234,0.1983,13,22,19,
2012/09/06,23.40,23.60,22.70,22.80,-0.05,-0.2188,23.0300,23.3000,23.3925,,,6582.0000,7223.1000,5,14,16,38.7249,46.5470,6.9767,15.2331,21.8593,395,368,15.2331,21.8593,1.9806,8,6,3,-0.1931,0.0776,0.1742,13,20,19,
2012/09/07,23.35,23.35,22.80,22.90,0.10,0.4386,23.0700,23.1550,23.3875,,,6769.0000,7086.8000,5,9,15,42.1273,47.8376,16.6667,15.7109,19.8099,187,348,15.7109,19.8099,7.5131,8,8,4,-0.2004,0.0489,0.1491,13,17,19,
2012/09/10,22.80,23.05,22.70,22.70,-0.20,-0.8734,22.9300,23.0100,23.3475,,,6460.0000,6961.3000,5,5,15,37.1734,45.4436,3.8462,11.7560,17.1252,309,335,11.7560,17.1252,1.0175,8,8,5,-0.2228,0.0099,0.1213,13,13,20,
2012/09/11,22.70,22.70,22.20,22.25,-0.45,-1.9824,22.7000,22.9350,23.3000,,,6177.0000,6878.1000,5,5,14,28.2151,40.4722,2.8571,8.7897,14.3467,283,281,8.7897,14.3467,-2.3243,8,8,6,-0.2848,-0.0567,0.0857,13,13,20,
2012/09/12,22.25,22.60,22.25,22.40,0.15,0.6742,22.6100,22.8550,23.2750,,,6560.0000,6791.6000,20,8,13,34.5264,42.7497,11.4286,9.6693,12.7876,383,311,9.6693,12.7876,3.4328,4,7,6,-0.2911,-0.0963,0.0493,24,15,19,
2012/09/13,22.45,22.95,22.45,22.65,0.25,1.1161,22.5800,22.8050,23.2600,,,7121.0000,6790.8000,19,11,12,44.3176,46.4731,25.7143,15.0177,13.5309,561,344,15.0177,13.5309,17.9911,21,10,8,-0.2488,-0.1062,0.0182,40,21,20,
2012/09/14,22.50,23.00,22.45,22.45,-0.20,-0.883,22.4900,22.7800,23.2200,,,6057.0000,6712.5000,19,14,11,38.7540,43.9770,14.2857,14.7737,13.9452,1064,520,14.7737,13.9452,16.4306,3,9,8,-0.2351,-0.1288,-0.0112,22,22,20,
2012/09/17,22.60,23.10,22.45,23.10,0.65,2.8953,22.5700,22.7500,23.2150,,,6797.0000,6671.1000,15,16,10,58.8844,52.9388,64.2857,31.2777,19.7227,740,606,31.2777,19.7227,54.3877,3,8,8,-0.1310,-0.0931,-0.0276,18,23,18,
2012/09/18,23.15,24.10,23.10,23.70,0.60,2.5974,22.8600,22.7800,23.2050,,,10259.0000,6975.9000,11,17,11,69.8583,59.4680,78.9474,47.1676,28.8710,3462,1242,47.1676,28.8710,83.7608,3,7,7,0.0182,-0.0162,-0.0253,14,24,18,
2012/09/19,23.80,23.80,23.15,23.20,-0.50,-2.1097,23.0200,22.8150,23.1275,,,9607.0000,7238.9000,11,15,12,55.1410,52.8076,52.6316,48.9889,35.5770,652,1295,48.9889,35.5770,75.8128,3,7,7,0.0474,0.0043,-0.0194,14,22,18,
2012/09/20,23.20,23.35,22.80,22.80,-0.40,-1.7241,23.0500,22.8150,23.0575,22.7317,,9296.0000,7510.3000,8,13,12,45.8649,48.1056,31.5789,43.1856,38.1132,311,1245,43.1856,38.1132,53.3304,3,3,6,0.0125,-0.0116,-0.0178,11,16,18,
2012/09/21,22.90,23.40,22.90,22.90,0.10,0.4386,23.1400,22.8150,22.9850,22.7300,,9671.0000,7800.5000,8,11,12,48.4657,49.3359,36.8421,41.0711,39.0991,375,1108,41.0711,39.0991,45.0150,3,3,6,0.0031,-0.0159,-0.0175,11,14,18,
