ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2009/04/07,17.35,17.35,17.15,17.25,0.00,0.00,,,,,,0.0000,,0,,,,,,,,45,,,,,0,,,,,,0,,,
2009/04/08,17.25,17.45,16.40,17.45,0.20,1.1594,,,,,,143.0000,,0,,,,,,,,143,,,,,0,,,,,,0,,,
2009/04/09,17.60,17.60,16.90,17.55,0.10,0.5731,,,,,,185.0000,,0,,,,,,,,42,,,,,0,,,,,,0,,,
2009/04/10,17.60,17.80,17.25,17.45,-0.10,-0.5698,,,,,,131.0000,,0,,,,,,,,54,,,,,0,,,,,,0,,,
2009/04/13,17.30,17.45,17.05,17.45,0.00,0.00,17.4300,,,,,131.0000,,0,0,,,,,,,18,60,,,,0,0,,,,,0,0,,
2009/04/14,17.50,17.55,16.80,17.20,-0.25,-1.4327,17.4200,,,,,59.0000,,0,0,,,,,,,72,65,,,,0,0,,,,,0,0,,
2009/04/15,17.40,17.90,17.25,17.90,0.70,4.0698,17.5100,,,,,124.0000,,1,0,,74.0741,,,,,65,50,,,,0,0,,,,,1,0,,
2009/04/16,17.90,17.90,17.50,17.55,-0.35,-1.9553,17.5100,,,,,71.0000,,1,0,,56.4972,,,,,53,52,,,,0,0,,,,,1,0,,
2009/04/17,17.55,18.75,17.10,18.75,1.20,6.8376,17.7700,,,,,507.0000,,0,0,,77.9874,,100.0000,66.6667,55.5556,436,128,66.6667,55.5556,88.8889,0,0,,,,,0,0,,
2009/04/20,20.05,20.05,19.90,20.05,1.30,6.9333,18.2900,17.8600,,,,723.0000,207.4000,0,0,0,86.5956,,100.0000,77.7778,62.9630,216,168,77.7778,62.9630,107.4074,0,0,0,,,,0,0,0,
2009/04/21,20.90,21.45,20.65,21.45,1.40,6.9825,19.1400,18.2800,,,,1011.0000,308.5000,0,0,0,91.0956,,100.0000,85.1852,70.3704,288,211,85.1852,70.3704,114.8148,0,0,0,,,,0,0,0,
2009/04/22,22.95,22.95,21.40,21.55,0.10,0.4662,19.8700,18.6900,,,,1550.0000,449.2000,2,1,0,91.3447,,77.2358,82.5354,74.4254,539,306,82.5354,74.4254,98.7554,0,0,0,,,,2,1,0,
2009/04/23,20.40,21.55,20.40,20.40,-1.15,-5.3364,20.4400,18.9750,,,,1401.0000,570.8000,0,0,0,65.9057,72.9927,58.5366,74.5358,74.4622,149,325,74.5358,74.4622,74.6830,0,0,0,,,,0,0,0,
2009/04/24,20.00,21.00,19.60,19.80,-0.60,-2.9412,20.6500,19.2100,,,,1254.0000,683.1000,0,0,0,56.1204,66.6263,48.7805,65.9507,71.6250,147,267,65.9507,71.6250,54.6020,0,0,0,,,,0,0,0,
2009/04/27,20.00,20.00,18.50,18.80,-1.00,-5.0505,20.4000,19.3450,,,,1162.0000,786.2000,0,0,0,43.2712,57.5068,29.0598,53.6537,65.6346,92,243,53.6537,65.6346,29.6920,0,0,0,,,,0,0,0,
2009/04/28,18.50,20.10,18.50,18.80,0.00,0.00,19.8700,19.5050,,,,1162.0000,896.5000,0,0,0,43.2712,57.5068,29.0598,45.4558,58.9083,536,292,45.4558,58.9083,18.5507,0,0,0,,,,0,0,0,
2009/04/29,18.80,18.90,17.50,17.50,-1.30,-6.9149,19.0600,19.4650,,,,972.0000,981.3000,0,0,0,30.2890,47.4572,6.8376,32.5830,50.1332,190,222,32.5830,50.1332,-2.5173,0,0,0,,,,0,0,0,
2009/04/30,17.65,18.70,17.65,17.70,0.20,1.1429,18.5200,19.4800,,,,1502.0000,1124.4000,0,0,0,33.9475,48.9543,3.6697,22.9453,41.0706,530,299,22.9453,41.0706,-13.3053,0,0,0,,,,0,0,0,
2009/05/04,17.80,18.70,17.30,18.65,0.95,5.3672,18.2900,19.4700,,,,1840.0000,1257.7000,0,0,0,49.1569,55.5216,23.8938,23.2614,35.1342,338,337,23.2614,35.1342,-0.4840,0,0,0,,,,0,0,0,
2009/05/05,19.00,19.00,17.65,18.30,-0.35,-1.8767,18.1900,19.2950,18.5775,,,1679.0000,1353.3000,0,0,0,44.6151,52.7918,17.6991,21.4073,30.5586,161,351,21.4073,30.5586,3.1049,0,0,0,,,,0,0,0,
2009/05/06,18.10,18.30,17.60,17.70,-0.60,-3.2787,17.9700,18.9200,18.6000,,,1563.0000,1408.5000,0,0,0,37.4895,48.3465,9.4118,17.4088,26.1753,116,267,17.4088,26.1753,-0.1242,0,0,0,,,,0,0,0,
2009/05/07,17.55,18.20,17.50,17.85,0.15,0.8475,18.0400,18.5500,18.6200,,,1777.0000,1431.2000,0,0,0,40.3477,49.5061,14.8649,16.5608,22.9705,214,271,16.5608,22.9705,3.7415,0,0,0,,,,0,0,0,
2009/05/08,17.80,18.75,17.55,17.90,0.05,0.2801,18.0800,18.3000,18.6375,,,1898.0000,1480.9000,0,0,0,41.4191,49.9150,21.4286,18.1834,21.3748,121,190,18.1834,21.3748,11.8006,0,0,0,,,,0,0,0,
2009/05/11,18.30,19.10,18.05,19.00,1.10,6.1453,18.1500,18.2200,18.7150,,,2089.0000,1564.4000,0,0,0,60.2615,58.0644,60.7143,32.3604,25.0367,191,160,32.3604,25.0367,47.0078,0,0,0,,,,0,0,0,
2009/05/12,18.50,19.80,18.25,18.50,-0.50,-2.6316,18.1900,18.1900,18.7675,,,1894.0000,1637.6000,0,0,0,51.2670,53.7293,48.0000,37.5736,29.2156,195,167,37.5736,29.2156,54.2895,0,0,0,,,,0,0,0,
2009/05/13,18.15,18.70,17.75,17.80,-0.70,-3.7838,18.2100,18.0900,18.7975,,,1755.0000,1696.9000,0,0,0,40.9889,48.2299,20.0000,31.7157,30.0490,139,172,31.7157,30.0490,35.0492,0,0,0,,-0.2253,,0,0,0,
2009/05/14,17.00,17.65,17.00,17.15,-0.65,-3.6517,18.0700,18.0550,18.7600,,,1643.0000,1764.0000,0,0,0,33.5042,43.6990,5.3571,22.9295,27.6758,112,151,22.9295,27.6758,13.4369,0,0,0,,-0.2989,,0,0,0,
2009/05/15,17.60,17.65,17.30,17.60,0.45,2.6239,18.0100,18.0450,18.7625,,,1980.0000,1811.8000,0,0,0,42.2630,47.4289,21.4286,22.4292,25.9270,337,194,22.4292,25.9270,15.4337,0,0,0,,-0.3173,,0,0,0,
2009/05/18,18.15,18.80,17.60,18.80,1.20,6.8182,17.9700,18.0600,18.7650,,,2598.0000,1887.6000,0,0,0,59.3830,55.9237,64.2857,36.3814,29.4118,618,280,36.3814,29.4118,50.3206,0,0,0,,-0.2323,,0,0,0,
2009/05/19,19.80,19.80,18.55,19.05,0.25,1.3298,18.0800,18.1350,18.7150,,,2971.0000,2016.8000,0,0,0,62.1861,57.4850,73.2143,48.6590,35.8275,373,315,48.6590,35.8275,74.3220,0,0,0,,-0.1432,,0,0,0,
2009/05/20,19.30,19.30,17.75,17.75,-1.30,-6.8241,18.0700,18.1400,18.5300,,,2643.0000,2124.8000,0,0,0,43.4672,47.8664,26.7857,41.3679,37.6743,328,353,41.3679,37.6743,48.7551,0,0,0,,-0.1754,,0,0,0,
2009/05/21,17.50,17.90,17.40,17.50,-0.25,-1.4085,18.1400,18.1050,18.3275,,,2321.0000,2179.2000,0,0,0,40.6439,46.2432,17.8571,33.5310,36.2932,322,395,33.5310,36.2932,28.0066,0,0,0,,-0.2186,,0,0,0,
2009/05/22,18.05,18.70,17.70,18.70,1.20,6.8571,18.3600,18.1850,18.2425,,,2876.0000,2277.0000,0,0,0,56.8045,54.3496,60.7143,42.5921,38.3928,555,439,42.5921,38.3928,50.9906,0,0,0,,-0.1542,,0,0,0,
2009/05/25,18.90,19.00,18.15,18.65,-0.05,-0.2674,18.3300,18.1500,18.1850,,,2620.0000,2330.1000,0,0,0,56.0416,53.9796,58.9286,48.0376,41.6078,256,366,48.0376,41.6078,60.8972,0,0,0,0.2038,-0.1060,-0.2079,0,0,0,
2009/05/26,19.00,19.00,18.00,18.55,-0.10,-0.5362,18.2300,18.1550,18.1725,,,2423.0000,2383.0000,5,1,0,54.2916,53.1896,55.3571,50.4774,44.5643,197,331,50.4774,44.5643,62.3037,0,0,0,0.2127,-0.0750,-0.1813,5,1,0,
2009/05/27,18.55,19.00,18.20,18.90,0.35,1.8868,18.4600,18.2650,18.1775,,,2648.0000,2472.3000,11,3,2,59.5913,55.6670,64.0000,54.9850,48.0379,225,311,54.9850,48.0379,68.8792,0,0,0,0.2550,-0.0219,-0.1495,11,3,2,
2009/06/01,18.70,18.70,17.60,17.60,-1.30,-6.8783,18.4800,18.3100,18.1825,,,2365.0000,2544.5000,14,6,3,39.2879,45.8372,8.3333,39.4344,45.1700,283,303,39.4344,45.1700,27.9632,0,0,0,0.1050,-0.0838,-0.1363,14,6,3,
2009/06/02,17.40,17.40,16.45,16.50,-1.10,-6.25,18.0400,18.2000,18.1225,,,2131.0000,2559.6000,14,9,4,29.1897,39.4129,1.4925,26.7871,39.0424,234,239,26.7871,39.0424,2.2766,0,0,0,-0.1324,-0.2191,-0.1529,14,9,4,
2009/06/03,16.55,16.70,16.30,16.30,-0.20,-1.2121,17.5700,17.9500,18.0050,,,2064.0000,2506.2000,14,12,6,27.6397,38.3469,0.0000,17.8581,31.9810,67,201,17.8581,31.9810,-10.3877,0,0,0,-0.2970,-0.3385,-0.1900,14,12,6,
2009/06/04,16.40,16.50,16.30,16.35,0.05,0.3067,17.1300,17.6800,17.9075,,,2100.0000,2419.1000,14,13,7,28.7743,38.7984,1.8519,12.5227,25.4949,36,169,12.5227,25.4949,-13.4217,0,0,0,-0.3748,-0.4243,-0.2369,14,13,7,
2009/06/05,16.40,17.45,16.30,17.45,1.10,6.7278,16.8400,17.6500,17.8950,,,2398.0000,2394.6000,14,14,9,49.6272,47.9463,42.5926,22.5460,24.5119,298,183,22.5460,24.5119,18.6141,0,0,0,-0.2592,-0.3989,-0.2693,14,14,9,
2009/06/06,17.95,17.95,17.30,17.80,0.35,2.0057,16.8800,17.6800,17.8925,,,2558.0000,2418.3000,14,14,10,54.6920,50.5138,55.5556,33.5492,27.5243,160,159,33.5492,27.5243,45.5989,0,0,0,-0.1235,-0.3465,-0.2847,14,14,10,
2009/06/08,18.00,18.00,16.60,16.60,-1.20,-6.7416,16.9000,17.4700,17.8275,,,2287.0000,2359.4000,14,14,11,38.6878,42.6462,11.1111,26.0698,27.0395,271,166,26.0698,27.0395,24.1305,0,0,0,-0.1800,-0.3972,-0.3072,14,14,11,
2009/06/09,16.30,16.30,15.65,15.65,-0.95,-5.7229,16.7700,17.1700,17.6600,,,2166.0000,2314.0000,14,14,13,30.2723,37.5899,0.0000,17.3799,23.8196,121,177,17.3799,23.8196,4.5004,0,0,0,-0.3216,-0.5082,-0.3474,14,14,13,
2009/06/10,15.65,15.90,15.25,15.55,-0.10,-0.639,16.6100,16.8700,17.5125,,,2018.0000,2273.5000,14,14,14,29.4628,37.0850,8.6957,14.4851,20.7081,148,199,14.4851,20.7081,2.0392,0,0,0,-0.4000,-0.5974,-0.3974,14,14,14,
2009/06/11,15.40,15.90,15.30,15.90,0.35,2.2508,16.3000,16.5700,17.4175,,,2043.0000,2213.0000,14,14,14,36.5852,40.1543,23.6364,17.5355,19.6506,25,145,17.5355,19.6506,13.3054,0,0,0,-0.3762,-0.6325,-0.4444,14,14,14,
2009/06/12,15.80,15.80,15.05,15.60,-0.30,-1.8868,15.8600,16.3700,17.3400,,,1979.0000,2174.4000,14,14,14,33.1430,38.4025,18.6441,17.9051,19.0688,64,125,17.9051,19.0688,15.5777,0,0,0,-0.3717,-0.6768,-0.4909,14,14,14,
2009/06/15,15.60,15.60,14.55,14.90,-0.70,-4.4872,15.5200,16.2100,17.2050,,,1824.0000,2143.7000,14,14,14,26.2323,34.5642,10.1449,15.3183,17.8186,155,102,15.3183,17.8186,10.3178,0,0,0,-0.4299,-0.7596,-0.5446,14,14,14,
2009/06/16,14.20,14.90,14.00,14.60,-0.30,-2.0134,15.3100,16.0400,16.9950,,,1742.0000,2111.5000,14,14,14,23.6917,33.0211,15.0000,15.2122,16.9498,82,94,15.2122,16.9498,11.7370,0,0,0,-0.4721,-0.8397,-0.6036,14,14,14,
2009/06/17,14.30,15.50,14.15,15.00,0.40,2.7397,15.2000,15.9050,16.7925,,,1816.0000,2083.1000,14,14,14,33.9299,37.1053,25.0000,18.4748,17.4582,74,80,18.4748,17.4582,20.5082,0,0,0,-0.4118,-0.8610,-0.6551,14,14,14,
2009/06/18,14.50,15.00,14.50,14.95,-0.05,-0.3333,15.0100,15.6550,16.6525,,,1742.0000,2017.5000,14,14,14,33.2605,36.7993,23.7500,20.2332,18.3832,74,89,20.2332,18.3832,23.9333,0,0,0,-0.3468,-0.8719,-0.6985,14,14,14,
2009/06/19,14.80,15.00,14.70,14.95,0.00,0.00,14.8800,15.3700,16.5250,,,1742.0000,1935.9000,14,14,14,33.2605,36.7993,41.3043,27.2569,21.3411,44,85,27.2569,21.3411,39.0886,0,0,0,-0.2752,-0.8705,-0.7329,14,14,14,
2009/06/22,15.95,15.95,15.60,15.90,0.95,6.3545,15.0800,15.3000,16.3850,,,1914.0000,1898.6000,14,14,14,56.6561,46.7319,97.4359,50.6499,31.1107,172,89,50.6499,31.1107,89.7283,0,0,0,-0.0813,-0.7837,-0.7430,14,14,14,
2009/06/23,15.00,15.70,15.00,15.70,-0.20,-1.2579,15.3000,15.3050,16.2375,,,1837.0000,1865.7000,14,14,14,52.0468,45.1039,87.1795,62.8264,41.6826,77,88,62.8264,41.6826,105.1141,0,0,0,0.0326,-0.7227,-0.7390,14,14,14,
2009/06/24,15.90,15.90,15.25,15.70,0.00,0.00,15.4400,15.3200,16.0950,,,1837.0000,1847.6000,14,14,14,52.0468,45.1039,87.1795,70.9441,51.4364,88,91,70.9441,51.4364,109.9595,0,0,0,0.1157,-0.6666,-0.7245,14,14,14,
