ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,38.50,38.70,37.10,37.50,0.00,0.00,,,,,,0.0000,,5463,,,,,,,,2056,,,,,2268,,,,,,16107,,,
2012/06/29,37.95,38.00,37.25,38.00,0.50,1.3333,,,,,,1723.0000,,5585,,,,,,,,1723,,,,,2283,,,,,,16244,,,
2012/07/02,38.30,38.80,38.20,38.80,0.80,2.1053,,,,,,2899.0000,,5747,,,,,,,,1176,,,,,2306,,,,,,19383,,,
2012/07/03,39.30,39.75,38.85,39.00,0.20,0.5155,,,,,,5994.0000,,5760,,,,,,,,3095,,,,,2566,,,,,,19656,,,
2012/07/04,39.00,39.40,38.70,39.20,0.20,0.5128,38.5000,,,,,7593.0000,,5814,5674,,,,,,,1599,1929,,,,2588,2403,,,,,19732,18225,,
2012/07/05,39.40,39.40,38.70,38.80,-0.40,-1.0204,38.7600,,,,,6436.0000,,5932,5768,,,,,,,1157,1750,,,,2617,2473,,,,,19877,18979,,
2012/07/06,39.00,39.90,39.00,39.30,0.50,1.2887,39.0200,,,,,8736.0000,,5986,5848,,84.6154,,,,,2300,1865,,,,2729,2562,,,,,20043,19739,,
2012/07/09,39.00,39.45,38.65,39.00,-0.30,-0.7634,39.0600,,,,,7714.0000,,6026,5904,,74.3243,,,,,1022,1834,,,,2738,2648,,,,,20092,19881,,
2012/07/10,39.40,39.45,37.60,37.85,-1.15,-2.9487,38.8300,,,,,6016.0000,,6179,5987,,47.6603,,26.7857,42.2619,47.4206,1698,1555,42.2619,47.4206,31.9444,2685,2672,,,,,20192,19988,,
2012/07/11,37.70,38.30,37.65,38.00,0.15,0.3963,38.5900,38.5450,,,,6870.0000,5398.1000,6255,6076,5875,50.4431,,28.3019,37.6086,44.1499,854,1406,37.6086,44.1499,24.5258,2612,2677,2540,,,,20195,20080,19153,
2012/07/12,38.00,38.10,37.50,37.55,-0.45,-1.1842,38.3400,38.5500,,,,6076.0000,6005.7000,6339,6157,5962,42.3393,,2.0833,25.7668,38.0222,794,1333,25.7668,38.0222,1.2560,2532,2660,2566,,,,20199,20145,19562,
2012/07/13,37.50,37.80,36.50,37.05,-0.50,-1.3316,37.8900,38.4550,,,,4921.0000,6325.5000,6492,6258,6053,34.8700,,16.1765,22.5700,32.8715,1155,1104,22.5700,32.8715,1.9671,2444,2603,2582,,,,20264,20189,19964,
