ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,19.80,19.95,19.65,19.65,0.00,0.00,,,,,,0.0000,,50042,,,,,,,,1041,,,,,6119,,,,,,76049,,,
2012/06/28,19.90,20.05,19.70,19.70,0.05,0.2545,,,,,,1099.0000,,49730,,,,,,,,1099,,,,,6032,,,,,,75600,,,
2012/06/29,19.70,20.00,19.70,19.85,0.15,0.7614,,,,,,1853.0000,,49518,,,,,,,,754,,,,,6025,,,,,,75381,,,
2012/07/02,19.95,20.25,19.95,20.05,0.20,1.0076,,,,,,3213.0000,,49476,,,,,,,,1360,,,,,5531,,,,,,71465,,,
2012/07/03,20.05,20.95,20.05,20.80,0.75,3.7406,20.0100,,,,,8117.0000,,49758,49705,,,,,,,4904,1831,,,,4570,5656,,,,,70636,73827,,
2012/07/04,20.95,20.95,20.65,20.90,0.10,0.4808,20.2600,,,,,10258.0000,,49905,49678,,,,,,,2141,2051,,,,4211,5274,,,,,70424,72701,,
2012/07/05,21.05,21.35,21.00,21.00,0.10,0.4785,20.5200,,,,,13513.0000,,50036,49739,,100.0000,,,,,3255,2482,,,,4116,4891,,,,,70456,71673,,
2012/07/06,21.10,21.30,21.00,21.15,0.15,0.7143,20.7800,,,,,15339.0000,,49986,49833,,100.0000,,,,,1826,2697,,,,4015,4489,,,,,70280,70652,,
2012/07/09,21.25,21.30,21.05,21.20,0.05,0.2364,21.0100,,,,,16748.0000,,49906,49919,,100.0000,,91.1765,63.7255,54.5752,1409,2707,63.7255,54.5752,82.0261,4013,4185,,,,,70293,70418,,
2012/07/10,21.10,21.30,20.95,21.10,-0.10,-0.4717,21.0700,20.5400,,,,14706.0000,8484.6000,49788,49925,49815,90.2637,,84.8485,70.7665,59.9723,2042,2134,70.7665,59.9723,92.3549,3962,4064,4860,,,,70124,70315,72071,
2012/07/11,21.10,21.40,21.10,21.40,0.30,1.4218,21.1700,20.7150,,,,17258.0000,10210.4000,49825,49909,49793,92.7906,,100.0000,80.5110,66.8185,2552,2216,80.5110,66.8185,107.8960,3750,3971,4623,,,,69949,70220,71461,
2012/07/12,21.40,21.50,21.25,21.40,0.00,0.00,21.2500,20.8850,,,,17258.0000,11826.3000,49675,49837,49788,92.7906,,93.5484,84.8568,72.8313,2202,2006,84.8568,72.8313,108.9078,3600,3868,4380,,,,69649,70059,70866,
2012/07/13,21.30,21.40,20.95,20.95,-0.45,-2.1028,21.2100,20.9950,,,,14938.0000,13134.8000,49670,49773,49803,59.4583,77.0833,62.0690,77.2608,74.3078,2320,2105,77.2608,74.3078,83.1670,3619,3789,4139,,,,69663,69936,70294,
