ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/03/16,4.90,4.90,4.90,4.90,0.00,0.00,,,,,,0.0000,,0,,,,,,,,4000,,,,,0,,,,,,0,,,
2012/03/19,4.75,4.80,4.65,4.65,-0.25,-5.102,,,,,,-8000.0000,,0,,,,,,,,8000,,,,,0,,,,,,0,,,
2012/03/30,4.70,4.70,4.70,4.70,0.05,1.0753,,,,,,-7000.0000,,0,,,,,,,,1000,,,,,0,,,,,,0,,,
2012/04/02,4.48,4.48,4.45,4.45,-0.25,-5.3191,,,,,,-9149.0000,,0,,,,,,,,2149,,,,,0,,,,,,0,,,
2012/04/05,4.45,4.45,4.45,4.45,0.00,0.00,4.6300,,,,,-9149.0000,,0,0,,,,,,,4000,3829,,,,0,0,,,,,0,0,,
2012/04/11,4.30,4.30,4.30,4.30,-0.15,-3.3708,4.5100,,,,,-10149.0000,,0,0,,,,,,,1000,3229,,,,0,0,,,,,0,0,,
2012/04/13,4.20,4.20,4.20,4.20,-0.10,-2.3256,4.4200,,,,,-14149.0000,,0,0,,6.2500,,,,,4000,2429,,,,0,0,,,,,0,0,,
2012/04/20,4.20,4.20,4.20,4.20,0.00,0.00,4.3200,,,,,-14149.0000,,0,0,,6.2500,,,,,2000,2629,,,,0,0,,,,,0,0,,
2012/04/23,4.00,4.00,4.00,4.00,-0.20,-4.7619,4.2300,,,,,-17149.0000,,0,0,,4.5956,,0.0000,33.3333,44.4444,3000,2800,33.3333,44.4444,11.1111,0,0,,,,,0,0,,
2012/05/02,3.80,3.84,3.80,3.84,-0.16,-4.00,4.1080,4.3690,,,,-20149.0000,-10904.3000,0,0,0,3.6644,,4.0000,23.5556,37.4815,3000,2600,23.5556,37.4815,-4.2963,0,0,0,,,,0,0,0,
2012/05/04,3.84,3.84,3.84,3.84,0.00,0.00,4.0160,4.2630,,,,-20149.0000,-12919.2000,0,0,0,3.6644,,4.4444,17.1852,30.7160,4000,3200,17.1852,30.7160,-9.8765,0,0,0,,,,0,0,0,
2012/05/08,3.89,4.00,3.85,4.00,0.16,4.1667,3.9760,4.1980,,,,-10149.0000,-13134.1000,0,0,0,25.4243,,29.4118,21.2607,27.5643,10000,4400,21.2607,27.5643,8.6536,0,0,0,,,,0,0,0,
2012/06/01,3.85,3.85,3.85,3.85,-0.15,-3.75,3.9060,4.1130,,,,-14149.0000,-13849.0000,0,0,0,20.2728,14.2857,7.6923,16.7379,23.9555,4000,4800,16.7379,23.9555,2.3028,0,0,0,,,,0,0,0,
2012/06/07,3.89,3.89,3.89,3.89,0.04,1.039,3.8840,4.0570,,,,-10149.0000,-13949.0000,0,0,0,25.1274,16.7568,18.0000,17.1586,21.6899,4000,5000,17.1586,21.6899,8.0961,0,0,0,,,,0,0,0,
2012/06/08,4.00,4.00,4.00,4.00,0.11,2.8278,3.9160,4.0120,,,,-6149.0000,-13649.0000,0,0,0,37.6550,23.3831,50.0000,28.1057,23.8285,4000,5200,28.1057,23.8285,36.6602,0,0,0,,,,0,0,0,
2012/06/29,4.00,4.05,4.00,4.05,0.05,1.25,3.9580,3.9870,,,,113851.0000,-1249.0000,0,0,0,42.8691,26.2925,62.5000,39.5705,29.0758,120000,28400,39.5705,29.0758,60.5598,0,0,0,,,,0,0,0,
2012/07/02,4.15,4.31,4.05,4.15,0.10,2.4691,3.9880,3.9820,,,,128851.0000,13051.0000,0,0,0,52.4193,31.9319,68.6275,49.2561,35.8026,15000,29400,49.2561,35.8026,76.1632,0,0,0,,,,0,0,0,
2012/07/03,4.31,4.40,4.28,4.40,0.25,6.0241,4.0980,4.0020,,,,142851.0000,28751.0000,0,0,0,68.3111,43.6834,100.0000,66.1708,45.9253,14000,31400,66.1708,45.9253,106.6617,0,0,0,,,,0,0,0,
2012/07/04,4.60,4.60,4.60,4.60,0.20,4.5455,4.2400,4.0620,,,,143851.0000,44851.0000,0,0,0,76.0048,51.0576,100.0000,77.4472,56.4326,1000,30800,77.4472,56.4326,119.4763,0,0,0,,,,0,0,0,
2012/07/05,4.80,4.80,4.80,4.80,0.20,4.3478,4.4000,4.1580,4.2635,,,145851.0000,61451.0000,0,0,0,81.4185,57.1749,100.0000,84.9648,65.9433,2000,30400,84.9648,65.9433,123.0077,0,0,0,,,,0,0,0,
2012/07/06,4.90,4.90,4.90,4.90,0.10,2.0833,4.5700,4.2640,4.2635,,,146851.0000,78151.0000,0,0,0,83.6340,59.9082,100.0000,89.9765,73.9544,1000,6600,89.9765,73.9544,122.0208,0,0,0,,,,0,0,0,
2012/07/09,4.90,4.98,4.90,4.98,0.08,1.6327,4.7360,4.3620,4.2800,,,149230.0000,94088.9000,0,0,0,85.3148,62.0236,100.0000,93.3177,80.4088,2379,4075,93.3177,80.4088,119.1354,0,0,0,,,,0,0,0,
2012/07/10,5.10,5.10,5.10,5.10,0.12,2.4096,4.8760,4.4870,4.3000,,,153230.0000,110826.8000,0,0,0,87.6061,65.0419,100.0000,95.5451,85.4543,4000,2075,95.5451,85.4543,115.7269,0,0,0,,,,0,0,0,
2012/07/12,5.05,5.05,5.05,5.05,-0.05,-0.9804,4.9660,4.6030,4.3300,,,151230.0000,126964.7000,0,0,0,81.2663,62.7741,95.4545,95.5149,88.8078,2000,2275,95.5149,88.8078,108.9292,0,0,0,,,,0,0,0,
2012/07/13,4.95,4.95,4.95,4.95,-0.10,-1.9802,4.9960,4.6980,4.3550,,,147230.0000,142302.6000,0,0,0,69.2406,58.3363,85.7143,92.2480,89.9546,4000,2675,92.2480,89.9546,96.8350,0,0,0,,,,0,0,0,
2012/07/18,4.90,5.10,4.90,5.10,0.15,3.0303,5.0360,4.8030,4.3950,,,166230.0000,147540.5000,0,0,0,75.7104,62.6563,100.0000,94.8320,91.5804,19000,6275,94.8320,91.5804,101.3353,0,0,0,,0.3358,,0,0,0,
2012/07/19,5.15,5.81,5.15,5.68,0.58,11.3725,5.1760,4.9560,4.4690,,,186230.0000,153278.4000,0,0,0,87.7075,74.0195,89.2562,92.9734,92.0447,20000,9800,92.9734,92.0447,94.8308,0,0,0,,0.3836,,0,0,0,
2012/07/20,5.75,5.75,5.57,5.73,0.05,0.8803,5.3020,5.0890,4.5455,,,196230.0000,158616.3000,0,0,0,88.3050,74.7422,92.0792,92.6753,92.2549,10000,11000,92.6753,92.2549,93.5162,0,0,0,,0.4207,,0,0,0,
2012/07/23,6.05,6.05,6.00,6.00,0.27,4.712,5.4920,5.2290,4.6455,,,198600.0000,164091.2000,0,0,0,91.1065,78.2988,95.6522,93.6676,92.7258,2370,11074,93.6676,92.7258,95.5512,0,0,0,,0.4665,,0,0,0,
2012/07/24,6.32,6.32,6.31,6.31,0.31,5.1667,5.7640,5.3800,4.7690,,,201600.0000,169666.1000,0,0,0,93.3133,81.5523,99.2958,95.5437,93.6651,3000,10874,95.5437,93.6651,99.3008,0,0,0,,0.5218,,0,0,0,
2012/07/25,6.60,6.60,5.70,5.70,-0.61,-9.6672,5.8840,5.4600,4.8620,,,180724.0000,173053.4000,0,0,0,58.8381,61.6964,47.0588,79.3821,88.9041,20876,11249,79.3821,88.9041,60.3380,0,0,0,,0.5106,,0,0,0,
2012/07/27,5.65,5.65,5.65,5.65,-0.05,-0.8772,5.8780,5.5270,4.9445,,,178724.0000,176002.8000,0,0,0,56.7749,60.3818,44.1176,67.6273,81.8118,2000,7649,67.6273,81.8118,39.2581,0,0,0,,0.4919,,0,0,0,
2012/07/31,5.35,5.35,5.15,5.18,-0.47,-8.3186,5.7680,5.5350,5.0110,,,170524.0000,177732.2000,0,0,0,40.6830,49.5543,16.4706,50.5750,71.3996,8200,7289,50.5750,71.3996,8.9260,0,0,0,,0.4342,,0,0,0,
2012/08/01,4.82,5.05,4.82,5.05,-0.13,-2.5097,5.5780,5.5350,5.0690,,,167524.0000,179361.6000,0,0,0,37.1849,47.0107,12.9213,38.0238,60.2743,3000,7415,38.0238,60.2743,-6.4772,0,0,0,-0.1279,0.3737,0.4376,0,0,0,
2012/08/03,4.90,4.90,4.65,4.84,-0.21,-4.1584,5.2840,5.5240,5.1110,,,157145.0000,180353.1000,0,0,0,31.8723,43.1111,9.7436,28.5971,49.7152,10379,8891,28.5971,49.7152,-13.6393,0,0,0,-0.2118,0.3052,0.4112,0,0,0,
2012/08/06,4.60,4.65,4.60,4.65,-0.19,-3.9256,5.0740,5.4790,5.1410,,,154745.0000,179204.6000,0,0,0,27.5924,39.8485,2.5000,19.8980,39.7762,2400,5195,19.8980,39.7762,-19.8582,0,0,0,-0.2851,0.2330,0.3755,0,0,0,
2012/08/07,4.66,4.66,4.66,4.66,0.01,0.2151,4.8760,5.3770,5.1665,,,157245.0000,176306.1000,0,0,0,28.2013,40.1087,3.0000,14.2654,31.2726,2500,5295,14.2654,31.2726,-19.7490,0,0,0,-0.3216,0.1745,0.3353,0,0,0,
2012/08/08,4.73,4.73,4.50,4.60,-0.06,-1.2876,4.7600,5.2640,5.1765,,,143245.0000,171007.6000,0,0,0,26.5912,39.0042,4.7619,11.0975,24.5476,14000,6455,11.0975,24.5476,-15.8025,0,0,0,-0.3414,0.1219,0.2927,0,0,0,
2012/08/09,4.63,5.10,4.60,5.05,0.45,9.7826,4.7600,5.1690,5.1990,,,194012.0000,170548.8000,0,0,0,51.5082,50.2202,26.1905,16.1285,21.7412,50767,16009,16.1285,21.7412,4.9031,0,0,0,-0.2838,0.1153,0.2572,0,0,0,
2012/08/10,4.80,4.94,4.80,4.80,-0.25,-4.9505,4.7520,5.0180,5.1990,,,111766.0000,161565.4000,0,0,0,42.0035,45.1847,26.0870,19.4480,20.9768,82246,30382,19.4480,20.9768,16.3904,0,0,0,-0.2695,0.0888,0.2235,0,0,0,
2012/08/13,4.94,5.25,4.94,5.25,0.45,9.375,4.8720,4.9730,5.2165,,,119766.0000,155469.6000,0,0,0,58.5319,54.2020,88.2353,42.3771,28.1102,8000,31502,42.3771,28.1102,70.9108,0,0,0,-0.1930,0.1029,0.1994,0,0,0,
2012/08/14,5.23,5.26,4.13,4.53,-0.72,-13.7143,4.8460,4.8610,5.1940,,,93250.0000,146922.2000,0,0,0,37.8313,42.1106,35.3982,40.0508,32.0904,26516,36305,40.0508,32.0904,55.9716,0,0,0,-0.2304,0.0553,0.1706,0,0,0,
2012/08/15,4.55,4.57,4.55,4.57,0.04,0.883,4.8400,4.8000,5.1675,,,97250.0000,139594.8000,0,0,0,39.2633,42.8829,38.9381,39.6799,34.6202,4000,34305,39.6799,34.6202,49.7992,0,0,0,-0.2398,0.0207,0.1406,0,0,0,
2012/08/16,4.55,4.55,4.55,4.55,-0.02,-0.4376,4.7400,4.7500,5.1425,,,95250.0000,132367.4000,0,0,0,38.7281,42.5731,37.1681,38.8426,36.0277,2000,24552,38.8426,36.0277,44.4725,0,0,0,-0.2383,-0.0083,0.1108,0,0,0,
2012/08/21,4.75,4.94,4.75,4.94,0.39,8.5714,4.7680,4.7600,5.1420,,,101250.0000,126777.9000,0,0,0,53.5465,50.2222,71.6814,49.7889,40.6148,6000,9303,49.7889,40.6148,68.1371,0,0,0,-0.1771,0.0001,0.0887,0,0,0,
2012/08/23,5.21,6.21,5.21,5.80,0.86,17.4089,4.8780,4.8750,5.1770,,,189650.0000,130268.4000,0,0,0,71.6741,62.3015,80.2885,59.9554,47.0617,88400,25383,59.9554,47.0617,85.7429,0,0,0,-0.0213,0.0754,0.0860,0,0,0,
