ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/25,16.10,16.10,16.10,16.10,0.00,0.00,,,,,,0.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2012/06/29,16.00,16.00,16.00,16.00,-0.10,-0.6211,,,,,,-1.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2012/07/02,16.00,16.70,16.00,16.70,0.70,4.375,,,,,,19.0000,,0,,,,,,,,20,,,,,0,,,,,,0,,,
2012/07/03,16.15,16.35,16.10,16.20,-0.50,-2.994,,,,,,-1.0000,,0,,,,,,,,20,,,,,0,,,,,,0,,,
2012/07/04,16.40,16.40,16.30,16.30,0.10,0.6173,16.2600,,,,,4.0000,,0,0,,,,,,,5,9,,,,0,0,,,,,0,0,,
2012/07/05,16.50,16.50,16.50,16.50,0.20,1.227,16.3400,,,,,10.0000,,0,0,,,,,,,6,10,,,,0,0,,,,,0,0,,
2012/07/06,17.00,17.00,16.20,16.20,-0.30,-1.8182,16.3800,,,,,5.0000,,0,0,,52.6316,,,,,5,11,,,,0,0,,,,,0,0,,
2012/07/09,16.60,16.70,16.60,16.60,0.40,2.4691,16.3600,,,,,32.0000,,0,0,,62.1849,,,,,27,12,,,,0,0,,,,,0,0,,
2012/07/10,16.70,16.84,16.30,16.50,-0.10,-0.6024,16.4200,,,,,-10.0000,,0,0,,58.6371,,50.0000,50.0000,50.0000,42,17,50.0000,50.0000,50.0000,0,0,,,,,0,0,,
2012/07/11,16.30,16.60,16.30,16.30,-0.20,-1.2121,16.4200,16.3400,,,,-52.0000,0.6000,0,0,0,51.5751,,30.0000,43.3333,47.7778,42,24,43.3333,47.7778,34.4444,0,0,0,,,,0,0,0,
