ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/03,9.05,9.47,9.05,9.25,0.00,0.00,,,,,,0.0000,,0,,,,,,,,46,,,,,0,,,,,,0,,,
2012/05/04,9.44,9.50,9.44,9.50,0.25,2.7027,,,,,,17.0000,,0,,,,,,,,17,,,,,0,,,,,,0,,,
2012/05/07,9.25,9.25,9.22,9.22,-0.28,-2.9474,,,,,,15.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2012/05/08,9.41,9.50,9.20,9.50,0.28,3.0369,,,,,,34.0000,,0,,,,,,,,19,,,,,0,,,,,,0,,,
2012/05/09,9.31,9.32,9.30,9.30,-0.20,-2.1053,9.3540,,,,,28.0000,,0,0,,,,,,,6,18,,,,0,0,,,,,0,0,,
2012/05/10,9.30,9.60,9.15,9.60,0.30,3.2258,9.4240,,,,,57.0000,,0,0,,,,,,,29,14,,,,0,0,,,,,0,0,,
2012/05/11,9.31,9.60,9.31,9.60,0.00,0.00,9.4440,,,,,57.0000,,0,0,,63.3588,,,,,4,12,,,,0,0,,,,,0,0,,
2012/05/15,9.50,9.50,9.27,9.50,-0.10,-1.0417,9.5000,,,,,41.0000,,0,0,,58.0420,,,,,16,14,,,,0,0,,,,,0,0,,
2012/05/16,9.40,9.40,9.25,9.25,-0.25,-2.6316,9.4500,,,,,27.0000,,0,0,,46.3687,,36.3636,45.4545,48.4848,14,13,45.4545,48.4848,39.3939,0,0,,,,,0,0,,
2012/05/17,9.08,9.50,9.08,9.50,0.25,2.7027,9.4900,9.4220,,,,33.0000,30.9000,0,0,0,56.7957,,80.7692,57.2261,51.3986,6,13,57.2261,51.3986,68.8811,0,0,0,,,,0,0,0,
2012/05/18,9.40,9.50,9.21,9.49,-0.01,-0.1053,9.4680,9.4460,,,,11.0000,32.0000,0,0,0,56.2706,,78.8462,64.4328,55.7433,22,12,64.4328,55.7433,81.8117,0,0,0,,,,0,0,0,
2012/05/21,9.49,9.49,9.49,9.49,0.00,0.00,9.4460,9.4450,,,,11.0000,31.4000,0,0,0,56.2706,,78.8462,69.2372,60.2413,1,11,69.2372,60.2413,87.2291,0,0,0,,,,0,0,0,
2012/05/23,9.48,9.48,9.16,9.16,-0.33,-3.4773,9.3780,9.4390,,,,-1.0000,29.8000,0,0,0,39.0941,48.0000,15.3846,51.2864,57.2563,12,11,51.2864,57.2563,39.3465,0,0,0,,,,0,0,0,
2012/05/24,9.20,9.20,9.20,9.20,0.04,0.4367,9.3680,9.4090,,,,1.0000,26.5000,0,0,0,41.6833,48.9893,23.0769,41.8832,52.1320,2,8,41.8832,52.1320,21.3857,0,0,0,,,,0,0,0,
2012/05/25,9.06,9.44,9.06,9.44,0.24,2.6087,9.3560,9.4230,,,,9.0000,24.6000,0,0,0,55.3501,54.6381,70.3704,51.3789,51.8809,8,9,51.3789,51.8809,50.3749,0,0,0,,,,0,0,0,
2012/05/28,9.40,9.44,9.40,9.44,0.00,0.00,9.3460,9.4070,,,,9.0000,19.8000,0,0,0,55.3501,54.6381,86.3636,63.0405,55.6008,8,6,63.0405,55.6008,77.9199,0,0,0,,,,0,0,0,
2012/05/29,9.55,9.55,9.53,9.54,0.10,1.0593,9.3560,9.4010,,,,14.0000,15.5000,0,0,0,60.8545,56.9993,97.9592,74.6801,61.9606,5,7,74.6801,61.9606,100.1191,0,0,0,,,,0,0,0,
