ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/16,6.30,6.49,6.30,6.30,0.00,0.00,,,,,,0.0000,,2,,,,,,,,4,,,,,0,,,,,,2,,,
2012/05/17,6.68,6.68,6.33,6.33,0.03,0.4762,,,,,,37.0000,,2,,,,,,,,37,,,,,0,,,,,,2,,,
2012/05/18,6.30,6.30,6.01,6.28,-0.05,-0.7899,,,,,,-9.0000,,2,,,,,,,,46,,,,,0,,,,,,2,,,
2012/05/21,6.25,6.25,6.00,6.00,-0.28,-4.4586,,,,,,-31.0000,,2,,,,,,,,22,,,,,0,,,,,,2,,,
2012/05/22,6.03,6.10,6.00,6.10,0.10,1.6667,6.2020,,,,,4.0000,,2,2,,,,,,,35,28,,,,0,0,,,,,2,2,,
2012/05/23,6.10,6.10,5.70,6.10,0.00,0.00,6.1620,,,,,4.0000,,2,2,,,,,,,20,32,,,,0,0,,,,,2,2,,
2012/05/25,5.75,6.09,5.68,5.69,-0.41,-6.7213,6.0340,,,,,-36.0000,,2,2,,14.9425,,,,,40,32,,,,0,0,,,,,2,2,,
2012/05/28,5.50,5.60,5.32,5.40,-0.29,-5.0967,5.8580,,,,,-87.0000,,2,2,,10.6732,,,,,51,33,,,,0,0,,,,,2,2,,
2012/05/29,5.57,5.77,5.43,5.62,0.22,4.0741,5.7820,,,,,17.0000,,2,2,,29.1113,,22.0588,40.6863,46.8954,104,50,40.6863,46.8954,28.2680,0,0,,,,,2,2,,
2012/05/30,5.63,5.70,5.63,5.65,0.03,0.5338,5.6920,5.9470,,,,64.0000,-3.7000,2,2,2,31.4274,,24.2647,35.2124,43.0011,47,52,35.2124,43.0011,19.6351,0,0,0,,,,2,2,2,
2012/05/31,5.64,5.64,5.45,5.45,-0.20,-3.5398,5.5620,5.8620,,,,57.0000,2.0000,2,2,2,24.9151,,13.2653,27.8967,37.9663,7,49,27.8967,37.9663,7.7575,0,0,0,,,,2,2,2,
2012/06/01,5.51,5.60,5.36,5.36,-0.09,-1.6514,5.4960,5.7650,,,,7.0000,-1.0000,2,2,2,22.4077,,4.3011,20.0315,31.9880,50,51,20.0315,31.9880,-3.8816,0,0,0,,,,2,2,2,
2012/06/04,5.10,5.36,5.10,5.36,0.00,0.00,5.4880,5.6730,,,,7.0000,0.6000,2,2,2,22.4077,22.3529,26.0000,22.0210,28.6657,41,49,22.0210,28.6657,8.7316,0,0,0,,,,2,2,2,
2012/06/05,5.36,5.36,5.23,5.23,-0.13,-2.4254,5.4100,5.5960,,,,3.0000,4.0000,2,2,2,18.5291,20.6318,13.0000,19.0140,25.4485,4,29,19.0140,25.4485,6.1451,0,0,0,,,,2,2,2,
2012/06/06,5.23,5.39,5.20,5.39,0.16,3.0593,5.3580,5.5250,,,,20.0000,5.6000,2,2,2,35.1162,28.0683,29.2929,22.4403,24.4457,17,23,22.4403,24.4457,18.4294,0,0,0,,,,2,2,2,
2012/06/07,5.27,5.58,5.02,5.30,-0.09,-1.6698,5.3280,5.4450,,,,-54.0000,-0.2000,2,2,2,30.8734,26.5423,37.3333,27.4047,25.4320,74,37,27.4047,25.4320,31.3499,0,0,0,,,,2,2,2,
2012/06/08,5.10,5.37,5.10,5.34,0.04,0.7547,5.3240,5.4100,,,,-36.0000,-0.2000,2,2,2,35.0582,28.4289,42.6667,32.4920,27.7854,18,30,32.4920,27.7854,41.9052,0,0,0,,,,2,2,2,
2012/06/11,5.15,5.42,5.12,5.12,-0.22,-4.1199,5.2760,5.3820,,,,-51.0000,3.4000,2,2,2,25.0496,24.6329,14.7059,26.5633,27.3780,15,25,26.5633,27.3780,24.9339,0,0,0,,,,2,2,2,
2012/06/12,5.13,5.38,5.13,5.24,0.12,2.3438,5.2780,5.3440,,,,-41.0000,-2.4000,2,2,2,36.8500,30.1804,35.4839,29.5368,28.0976,10,26,29.5368,28.0976,32.4152,0,0,0,,,,2,2,2,
2012/06/13,5.20,5.25,5.20,5.24,0.00,0.00,5.2480,5.3030,5.6250,,,-41.0000,-12.9000,2,2,2,36.8500,30.1804,37.9310,32.3349,29.5100,38,31,32.3349,29.5100,37.9846,0,0,0,,,,2,2,2,
2012/06/14,5.20,5.20,5.20,5.20,-0.04,-0.7634,5.2280,5.2780,5.5700,,,-48.0000,-23.4000,2,2,2,34.2608,29.3241,32.1429,32.2709,30.4303,7,17,32.2709,30.4303,35.9520,0,0,0,,,,2,2,2,
2012/06/15,5.10,5.22,5.10,5.22,0.02,0.3846,5.2040,5.2640,5.5145,,,-40.0000,-28.1000,2,2,2,36.9201,30.4012,35.7143,33.4187,31.4264,8,15,33.4187,31.4264,37.4032,0,0,0,,,,2,2,2,
2012/06/18,5.25,5.28,5.08,5.28,0.06,1.1494,5.2360,5.2560,5.4645,,,43.0000,-24.5000,2,2,2,44.9386,33.7074,46.4286,37.7553,33.5361,83,29,37.7553,33.5361,46.1938,0,0,0,,,,2,2,2,
2012/06/19,5.30,5.30,5.10,5.25,-0.03,-0.5682,5.2380,5.2580,5.4270,,,2.0000,-24.6000,2,2,2,41.7540,32.8560,41.0714,38.8607,35.3109,41,35,38.8607,35.3109,45.9602,0,0,0,,,,2,2,2,
2012/06/20,5.12,5.24,5.11,5.11,-0.14,-2.6667,5.2120,5.2300,5.3775,,,-4.0000,-27.0000,2,2,2,29.8917,29.1127,8.8235,28.8483,33.1567,6,29,28.8483,33.1567,20.2314,0,0,0,,,,2,2,2,
2012/06/21,5.26,5.26,5.20,5.20,0.09,1.7613,5.2120,5.2200,5.3325,,,5.0000,-21.1000,2,2,2,42.4947,34.3575,35.2941,30.9969,32.4368,9,29,30.9969,32.4368,28.1171,0,0,0,,-0.2493,,2,2,2,
2012/06/22,5.20,5.25,5.20,5.25,0.05,0.9615,5.2180,5.2110,5.3105,,,13.0000,-16.2000,2,2,2,48.6488,37.1747,56.6667,39.5535,34.8090,8,29,39.5535,34.8090,49.0424,0,0,0,,-0.2336,,2,2,2,
