ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,13.30,13.40,13.20,13.20,0.00,0.00,,,,,,0.0000,,3883,,,,,,,,120,,,,,0,,,,,,3883,,,
2012/06/29,13.20,13.45,13.15,13.35,0.15,1.1364,,,,,,190.0000,,3898,,,,,,,,190,,,,,0,,,,,,3898,,,
2012/07/02,13.45,13.50,13.35,13.35,0.00,0.00,,,,,,190.0000,,3911,,,,,,,,160,,,,,0,,,,,,3911,,,
2012/07/03,13.45,13.85,13.40,13.50,0.15,1.1236,,,,,,429.0000,,3918,,,,,,,,239,,,,,0,,,,,,3918,,,
2012/07/04,13.60,13.85,13.55,13.65,0.15,1.1111,13.4100,,,,,609.0000,,3924,3907,,,,,,,180,177,,,,0,0,,,,,3924,3907,,
2012/07/05,13.80,13.90,13.60,13.70,0.05,0.3663,13.5100,,,,,823.0000,,3927,3916,,,,,,,214,196,,,,0,0,,,,,3927,3916,,
2012/07/06,13.70,13.80,13.55,13.55,-0.15,-1.0949,13.5500,,,,,706.0000,,3924,3921,,76.9231,,,,,117,182,,,,0,0,,,,,3924,3921,,
2012/07/09,13.55,13.60,13.30,13.45,-0.10,-0.738,13.5700,,,,,610.0000,,3927,3924,,64.9351,,,,,96,169,,,,0,0,,,,,3927,3924,,
2012/07/10,13.30,13.30,12.55,12.55,-0.90,-6.6914,13.3800,,,,,169.0000,,3924,3925,,24.2014,,0.0000,33.3333,44.4444,441,209,33.3333,44.4444,11.1111,0,0,,,,,3924,3925,,
2012/07/11,12.50,12.60,12.30,12.50,-0.05,-0.3984,13.1500,13.2800,,,,-15.0000,371.1000,3925,3926,3916,23.2299,,12.5000,26.3889,38.4259,184,210,26.3889,38.4259,2.3148,0,0,0,,,,3925,3926,3916,
