ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/26,8.05,8.08,8.00,8.01,0.00,0.00,,,,,,0.0000,,4,,,,,,,,50,,,,,0,,,,,,4,,,
2012/06/27,8.08,8.09,8.00,8.08,0.07,0.8739,,,,,,27.0000,,4,,,,,,,,27,,,,,0,,,,,,4,,,
2012/06/28,8.09,8.17,8.09,8.15,0.07,0.8663,,,,,,52.0000,,4,,,,,,,,25,,,,,0,,,,,,4,,,
2012/06/29,8.12,8.22,8.12,8.22,0.07,0.8589,,,,,,56.0000,,4,,,,,,,,4,,,,,0,,,,,,4,,,
2012/07/02,8.21,8.70,8.21,8.56,0.34,4.1363,8.2040,,,,,99.0000,,4,5,,,,,,,43,29,,,,0,0,,,,,4,5,,
2012/07/03,8.30,8.88,8.30,8.64,0.08,0.9346,8.3300,,,,,149.0000,,4,5,,,,,,,50,29,,,,0,0,,,,,4,5,,
2012/07/04,8.75,8.85,8.45,8.63,-0.01,-0.1157,8.4400,,,,,99.0000,,4,5,,98.4375,,,,,50,34,,,,0,0,,,,,4,5,,
2012/07/05,8.68,8.70,8.36,8.50,-0.13,-1.5064,8.5100,,,,,14.0000,,4,5,,79.1457,,,,,85,46,,,,0,0,,,,,4,5,,
2012/07/06,8.52,8.60,8.45,8.50,0.00,0.00,8.5660,,,,,14.0000,,4,5,,79.1457,,56.8182,52.2727,50.7576,24,50,52.2727,50.7576,55.3030,0,0,,,,,4,5,,
2012/07/09,8.49,8.68,8.49,8.62,0.12,1.4118,8.5780,8.3910,,,,88.0000,59.8000,4,5,5,83.4556,,70.4545,58.3333,53.2828,74,56,58.3333,53.2828,68.4343,0,0,0,,,,4,5,5,
2012/07/10,8.50,8.65,8.49,8.64,0.02,0.232,8.5780,8.4540,,,,175.0000,77.3000,4,5,5,84.1123,,69.6203,62.0956,56.2204,87,64,62.0956,56.2204,73.8461,0,0,0,,,,4,5,5,
2012/07/11,8.55,8.64,8.46,8.59,-0.05,-0.5787,8.5700,8.5050,,,,153.0000,89.9000,4,5,5,75.1622,,61.8421,62.0111,58.1507,22,58,62.0111,58.1507,69.7321,0,0,0,,,,4,5,5,
