ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,13.10,13.30,13.00,13.05,0.00,0.00,,,,,,0.0000,,128,,,,,,,,265,,,,,0,,,,,,128,,,
2012/06/29,13.20,13.40,13.05,13.10,0.05,0.3831,,,,,,102.0000,,134,,,,,,,,102,,,,,0,,,,,,134,,,
2012/07/02,12.90,13.05,12.90,12.95,-0.15,-1.145,,,,,,38.0000,,134,,,,,,,,64,,,,,0,,,,,,134,,,
2012/07/03,12.95,13.05,12.80,12.80,-0.15,-1.1583,,,,,,-55.0000,,132,,,,,,,,93,,,,,0,,,,,,132,,,
2012/07/04,12.90,13.00,12.80,12.85,0.05,0.3906,12.9500,,,,,16.0000,,130,132,,,,,,,71,119,,,,0,0,,,,,130,132,,
2012/07/05,12.90,13.00,12.80,12.80,-0.05,-0.3891,12.9000,,,,,-63.0000,,130,133,,,,,,,79,81,,,,0,0,,,,,130,133,,
2012/07/06,12.80,12.80,12.55,12.60,-0.20,-1.5625,12.8000,,,,,-167.0000,,122,130,,15.3846,,,,,104,82,,,,0,0,,,,,122,130,,
2012/07/09,12.60,12.80,12.60,12.65,0.05,0.3968,12.7400,,,,,-96.0000,,121,128,,22.5352,,,,,71,83,,,,0,0,,,,,121,128,,
2012/07/10,12.65,12.65,11.85,11.90,-0.75,-5.9289,12.5600,,,,,-330.0000,,113,124,,8.9385,,3.2258,34.4086,44.8029,234,111,34.4086,44.8029,13.6201,0,0,,,,,113,124,,
2012/07/11,11.80,12.15,11.80,12.00,0.10,0.8403,12.3900,12.6700,,,,-284.0000,-83.9000,111,120,126,16.9554,,12.5000,27.1057,38.9038,46,106,27.1057,38.9038,3.5096,0,0,0,,,,111,120,126,
2012/07/12,12.00,12.10,11.90,11.90,-0.10,-0.8333,12.2100,12.5550,,,,-377.0000,-121.6000,96,113,123,15.3353,,8.0000,20.7372,32.8483,93,109,20.7372,32.8483,-3.4851,0,0,0,,,,96,113,123,
2012/07/13,11.90,12.70,11.90,12.70,0.80,6.7227,12.2300,12.5150,,,,-46.0000,-136.4000,92,107,119,55.8414,,72.0000,37.8248,34.5071,331,155,37.8248,34.5071,44.4601,0,0,0,,,,92,107,119,
2012/07/16,12.95,13.45,12.55,13.10,0.40,3.1496,12.3200,12.5300,,,,582.0000,-82.0000,101,103,116,65.6902,50.8772,78.7879,51.4791,40.1644,628,266,51.4791,40.1644,74.1085,0,0,0,,,,101,103,116,
2012/07/17,13.10,13.50,12.95,13.20,0.10,0.7634,12.5800,12.5700,,,,783.0000,1.8000,113,103,114,67.8419,52.6882,82.3529,61.7704,47.3664,201,259,61.7704,47.3664,90.5784,0,0,0,,,,113,103,114,
2012/07/18,13.10,13.10,12.80,12.90,-0.30,-2.2727,12.7600,12.5750,,,,679.0000,68.1000,113,104,112,55.3464,47.0156,64.7059,62.7489,52.4939,104,271,62.7489,52.4939,83.2589,0,0,0,,,,113,104,112,
2012/07/19,13.15,13.15,12.85,12.95,0.05,0.3876,12.9700,12.5900,,,,740.0000,148.4000,121,109,111,56.9328,48.0328,67.6471,64.3816,56.4565,61,265,64.3816,56.4565,80.2319,0,0,0,,,,121,109,111,
2012/07/20,13.00,13.00,12.80,12.80,-0.15,-1.1583,12.9900,12.6100,,,,689.0000,234.0000,120,114,111,50.4767,45.1932,58.8235,62.5289,58.4806,51,209,62.5289,58.4806,70.6255,0,0,0,,,,120,114,111,
2012/07/23,12.60,12.85,12.20,12.25,-0.55,-4.2969,12.8200,12.5700,,,,498.0000,293.4000,95,113,108,33.6746,36.5499,26.4706,50.5095,55.8236,191,121,50.5095,55.8236,39.8813,0,0,0,,,,95,113,108,
2012/07/24,12.00,12.40,12.00,12.35,0.10,0.8163,12.6500,12.6150,,,,576.0000,384.0000,84,107,105,38.1654,38.8689,28.1250,43.0480,51.5650,78,97,43.0480,51.5650,26.0139,0,0,0,,,,84,107,105,
2012/07/25,12.35,12.35,12.20,12.30,-0.05,-0.4049,12.5300,12.6450,12.6575,,,528.0000,465.2000,79,101,102,36.6755,38.1092,25.0000,37.0320,46.7207,48,85,37.0320,46.7207,17.6546,0,0,0,,,,79,101,102,
2012/07/26,12.30,12.35,12.30,12.30,0.00,0.00,12.4000,12.6850,12.6200,,,528.0000,555.7000,68,90,99,36.6755,38.1092,20.0000,31.3547,41.5987,87,91,31.3547,41.5987,10.8666,0,0,0,,,,68,90,99,
2012/07/27,12.30,12.50,12.05,12.35,0.05,0.4065,12.3100,12.6500,12.5825,,,667.0000,627.0000,42,74,94,40.0459,39.5161,23.3333,28.6809,37.2928,139,108,28.6809,37.2928,11.4572,0,0,0,,,,42,74,94,
2012/07/30,12.30,12.40,12.20,12.20,-0.15,-1.2146,12.3000,12.5600,12.5450,,,506.0000,619.4000,17,59,86,33.6066,36.7798,17.3913,24.9177,33.1677,161,102,24.9177,33.1677,8.4176,0,0,0,,,,17,59,86,
