ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2010/03/03,33.30,33.95,32.85,33.90,0.00,0.00,,,,,,0.0000,,60,,,,,,,,81,,,,,0,,,,,,60,,,
2010/03/04,33.90,33.90,33.55,33.85,-0.05,-0.1475,,,,,,-10.0000,,60,,,,,,,,10,,,,,0,,,,,,60,,,
2010/03/05,34.00,34.75,33.40,34.75,0.90,2.6588,,,,,,158.0000,,60,,,,,,,,168,,,,,0,,,,,,60,,,
2010/03/08,35.00,35.00,34.50,34.55,-0.20,-0.5755,,,,,,115.0000,,60,,,,,,,,43,,,,,0,,,,,,60,,,
2010/03/09,34.60,34.90,33.80,34.40,-0.15,-0.4342,34.2900,,,,,40.0000,,60,61,,,,,,,75,75,,,,0,0,,,,,60,61,,
2010/03/10,34.40,35.30,34.40,34.60,0.20,0.5814,34.4300,,,,,186.0000,,60,61,,,,,,,146,88,,,,0,0,,,,,60,61,,
2010/03/11,34.60,35.00,34.40,34.40,-0.20,-0.578,34.5400,,,,,122.0000,,60,61,,64.7059,,,,,64,99,,,,0,0,,,,,60,61,,
2010/03/12,34.20,34.80,34.20,34.40,0.00,0.00,34.4700,,,,,122.0000,,60,61,,64.7059,,,,,70,79,,,,0,0,,,,,60,61,,
2010/03/15,34.20,34.30,33.60,33.60,-0.80,-2.3256,34.2800,,,,,82.0000,,60,61,,38.5694,,30.6122,43.5374,47.8458,40,79,43.5374,47.8458,34.9206,0,0,,,,,60,61,,
2010/03/16,33.50,34.00,33.50,33.50,-0.10,-0.2976,34.1000,34.1950,,,,35.0000,85.0000,60,61,61,36.3660,,5.2632,30.7793,42.1570,47,73,30.7793,42.1570,8.0240,0,0,0,,,,60,61,61,
2010/03/17,33.60,34.45,33.60,34.30,0.80,2.3881,34.0400,34.2350,,,,86.0000,93.6000,60,61,61,58.9041,,47.3684,36.3090,40.2077,51,54,36.3090,40.2077,28.5118,0,0,0,,,,60,61,61,
2010/03/18,34.50,35.10,34.50,34.75,0.45,1.312,34.1100,34.3250,,,,271.0000,121.7000,60,61,61,66.8334,,69.4444,47.3542,42.5898,185,78,47.3542,42.5898,56.8828,0,0,0,,,,60,61,61,
2010/03/19,35.05,35.75,34.70,35.50,0.75,2.1583,34.3300,34.4000,,,,422.0000,148.1000,60,61,61,76.0684,67.3913,88.8889,61.1991,48.7929,151,94,61.1991,48.7929,86.0114,0,0,0,,,,60,61,61,
2010/03/22,35.10,35.40,34.60,34.75,-0.75,-2.1127,34.5600,34.4200,,,,335.0000,170.1000,60,61,61,57.0172,57.2148,55.5556,59.3179,52.3012,87,104,59.3179,52.3012,73.3512,0,0,0,,,,60,61,61,
2010/03/23,34.85,36.50,34.85,35.10,0.35,1.0072,34.8800,34.4900,,,,636.0000,229.7000,60,61,61,62.3041,60.2691,53.3333,57.3230,53.9752,301,155,57.3230,53.9752,64.0188,0,0,0,,,,60,61,61,
2010/03/24,35.30,36.45,35.30,35.90,0.80,2.2792,35.2000,34.6200,,,,866.0000,297.7000,60,61,61,71.8134,66.2728,80.0000,64.8820,57.6108,230,190,64.8820,57.6108,79.4245,0,0,0,,,,60,61,61,
2010/03/25,35.90,35.90,35.00,35.10,-0.80,-2.2284,35.2700,34.6900,,,,775.0000,363.0000,60,61,61,55.1258,56.8941,53.3333,61.0325,58.7514,91,172,61.0325,58.7514,65.5947,0,0,0,,,,60,61,61,
2010/03/26,35.55,35.90,35.30,35.70,0.60,1.7094,35.3100,34.8200,,,,980.0000,448.8000,60,61,61,62.8874,61.3672,73.3333,65.1328,60.8785,205,182,65.1328,60.8785,73.6413,0,0,0,,,,60,61,61,
2010/03/29,36.30,36.30,35.10,35.50,-0.20,-0.5602,35.4600,35.0100,,,,810.0000,521.6000,60,61,61,58.8181,59.1357,65.5172,65.2609,62.3393,170,199,65.2609,62.3393,71.1042,0,0,0,,,,60,61,61,
2010/03/30,35.50,35.80,35.15,35.80,0.30,0.8451,35.6000,35.2400,34.7175,,,921.0000,610.2000,60,61,61,63.1144,61.4307,65.0000,65.1739,63.2842,111,161,65.1739,63.2842,68.9535,0,0,0,,,,60,61,61,
2010/03/31,35.60,35.75,35.20,35.30,-0.50,-1.3966,35.4800,35.3400,34.7875,,,828.0000,684.4000,60,61,61,52.2190,55.7391,36.8421,55.7300,60.7661,93,134,55.7300,60.7661,45.6578,0,0,0,,,,60,61,61,
