ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,24.15,24.50,24.10,24.10,0.00,0.00,,,,,,0.0000,,9589,,,,,,,,184,,,,,0,,,,,,9743,,,
2012/06/29,24.30,24.80,24.15,24.30,0.20,0.8299,,,,,,339.0000,,9598,,,,,,,,339,,,,,0,,,,,,9752,,,
2012/07/02,24.60,25.20,24.60,24.85,0.55,2.2634,,,,,,553.0000,,9605,,,,,,,,214,,,,,0,,,,,,10139,,,
2012/07/03,25.50,25.50,24.95,25.10,0.25,1.006,,,,,,653.0000,,9607,,,,,,,,100,,,,,0,,,,,,10141,,,
2012/07/04,25.50,25.50,25.15,25.15,0.05,0.1992,24.7000,,,,,788.0000,,9608,9602,,,,,,,135,194,,,,0,0,,,,,10142,9984,,
2012/07/05,25.50,26.00,25.30,25.30,0.15,0.5964,24.9400,,,,,1207.0000,,9615,9607,,,,,,,419,241,,,,0,0,,,,,10149,10065,,
2012/07/06,25.50,25.60,24.80,24.90,-0.40,-1.581,25.0600,,,,,913.0000,,9612,9610,,75.0000,,,,,294,232,,,,0,0,,,,,10146,10144,,
2012/07/09,24.70,25.40,24.30,24.85,-0.05,-0.2008,25.0600,,,,,696.0000,,9576,9604,,72.2892,,,,,217,233,,,,0,0,,,,,10110,10138,,
2012/07/10,24.85,26.55,24.70,26.55,1.70,6.841,25.3500,,,,,1466.0000,,9575,9598,,88.8023,,100.0000,66.6667,55.5556,770,367,66.6667,55.5556,88.8889,0,0,,,,,10109,10132,,
2012/07/11,26.55,26.80,26.05,26.60,0.05,0.1883,25.6400,25.1700,,,,2135.0000,875.0000,9578,9592,9597,89.0330,,92.4528,75.2621,62.1244,669,473,75.2621,62.1244,101.5374,0,0,0,,,,10112,10126,10055,
2012/07/12,26.80,26.85,26.00,26.20,-0.40,-1.5038,25.8200,25.3800,,,,1464.0000,1021.4000,9547,9578,9593,74.3336,,74.5098,75.0113,66.4200,671,524,75.0113,66.4200,92.1939,20,4,2,,,,10101,10116,10091,
