ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,4.26,4.26,4.21,4.22,0.00,0.00,,,,,,0.0000,,29739,,,,,,,,102,,,,,0,,,,,,29739,,,
2012/06/21,4.16,4.22,4.12,4.15,-0.07,-1.6588,,,,,,-100.0000,,29739,,,,,,,,100,,,,,0,,,,,,29739,,,
2012/06/22,4.10,4.32,4.10,4.27,0.12,2.8916,,,,,,211.0000,,29739,,,,,,,,311,,,,,0,,,,,,29739,,,
2012/06/25,4.30,4.56,4.30,4.56,0.29,6.7916,,,,,,1182.0000,,29739,,,,,,,,971,,,,,0,,,,,,29739,,,
2012/06/26,4.60,4.63,4.40,4.43,-0.13,-2.8509,4.3260,,,,,499.0000,,29739,29740,,,,,,,683,433,,,,0,0,,,,,29739,29740,,
2012/06/27,4.30,4.50,4.30,4.38,-0.05,-1.1287,4.3580,,,,,176.0000,,29739,29740,,,,,,,323,477,,,,0,0,,,,,29739,29740,,
2012/06/28,4.37,4.45,4.34,4.34,-0.04,-0.9132,4.3960,,,,,31.0000,,29739,29740,,58.5714,,,,,145,486,,,,0,0,,,,,29739,29740,,
2012/06/29,4.39,4.45,4.30,4.34,0.00,0.00,4.4100,,,,,31.0000,,29739,29740,,58.5714,,,,,299,484,,,,0,0,,,,,29739,29740,,
2012/07/02,4.39,4.48,4.31,4.33,-0.01,-0.2304,4.3640,,,,,-511.0000,,29739,29740,,57.3908,,43.3962,47.7987,49.2662,542,398,47.7987,49.2662,44.8637,0,0,,,,,29739,29740,,
2012/07/03,4.39,4.52,4.34,4.48,0.15,3.4642,4.3740,4.3500,,,,38.0000,155.7000,29739,29740,29740,68.7346,,71.6981,55.7652,51.4326,549,371,55.7652,51.4326,64.4305,0,0,0,,,,29739,29740,29740,
2012/07/04,4.67,4.67,4.51,4.58,0.10,2.2321,4.4140,4.3860,,,,809.0000,236.6000,29739,29740,29740,74.2244,,84.2105,65.2470,56.0374,771,461,65.2470,56.0374,83.6662,0,0,0,,,,29739,29740,29740,
2012/07/05,4.60,4.78,4.60,4.75,0.17,3.7118,4.4960,4.4460,,,,1873.0000,433.9000,29739,29740,29740,81.0221,,93.7500,74.7480,62.2742,1064,645,74.7480,62.2742,99.6955,0,0,0,,,,29739,29740,29740,
2012/07/06,4.78,4.79,4.65,4.73,-0.02,-0.4211,4.5740,4.4920,,,,1467.0000,559.5000,29739,29740,29740,78.1138,72.1739,87.7551,79.0837,67.8774,406,666,79.0837,67.8774,101.4963,0,0,0,,,,29739,29740,29740,
2012/07/09,4.75,4.75,4.68,4.75,0.02,0.4228,4.6580,4.5110,,,,1873.0000,628.6000,29739,29740,29740,79.0176,72.6920,91.8367,83.3347,73.0298,406,639,83.3347,73.0298,103.9445,0,0,0,,,,29739,29740,29740,
2012/07/10,4.83,5.05,4.83,4.93,0.18,3.7895,4.7480,4.5610,,,,2979.0000,876.6000,29739,29740,29740,85.4893,76.9125,84.0000,83.5565,76.5387,1106,750,83.5565,76.5387,97.5920,0,0,0,,,,29739,29740,29740,
2012/07/11,4.96,5.03,4.89,5.00,0.07,1.4199,4.8320,4.6230,,,,3747.0000,1233.7000,29739,29740,29740,87.3152,78.3332,93.3333,86.8154,79.9643,768,750,86.8154,79.9643,100.5177,0,0,0,,,,29739,29740,29740,
2012/07/12,5.00,5.03,4.90,4.93,-0.07,-1.40,4.8680,4.6820,,,,3357.0000,1566.3000,29739,29740,29740,75.8608,73.4057,83.7838,85.8049,81.9111,390,615,85.8049,81.9111,93.5923,0,0,0,,,,29739,29740,29740,
2012/07/13,4.93,5.05,4.81,4.90,-0.03,-0.6085,4.9020,4.7380,,,,2781.0000,1841.3000,29739,29740,29740,71.0663,71.3085,78.8732,83.4943,82.4389,576,649,83.4943,82.4389,85.6052,0,0,0,,,,29739,29740,29740,
2012/07/16,4.98,5.00,4.75,4.87,-0.03,-0.6122,4.9260,4.7920,,,,2522.0000,2144.6000,29739,29740,29740,66.0564,69.1532,66.6667,77.8851,80.9210,259,619,77.8851,80.9210,71.8134,0,0,0,,,,29739,29740,29740,
2012/07/17,4.85,4.94,4.80,4.90,0.03,0.616,4.9200,4.8340,4.5920,,,2721.0000,2412.9000,29739,29740,29740,68.7039,70.1378,66.6667,74.1456,78.6625,199,438,74.1456,78.6625,65.1119,0,0,0,,,,29739,29740,29740,
2012/07/18,4.97,4.99,4.86,4.88,-0.02,-0.4082,4.8960,4.8640,4.6250,,,2510.0000,2583.0000,29739,29740,29740,64.6687,68.5466,57.5000,68.5971,75.3074,211,327,68.5971,75.3074,55.1765,0,0,0,,,,29739,29740,29740,
2012/07/19,4.88,4.93,4.80,4.85,-0.03,-0.6148,4.8800,4.8740,4.6600,,,2047.0000,2600.4000,29739,29740,29740,58.4857,66.0928,45.9459,61.0467,70.5538,463,341,61.0467,70.5538,42.0325,0,0,0,,,,29739,29740,29740,
2012/07/20,4.85,5.09,4.85,5.01,0.16,3.299,4.9020,4.9020,4.6970,,,3285.0000,2782.2000,29739,29740,29740,74.2453,71.9374,76.4706,66.1880,69.0985,1238,474,66.1880,69.0985,60.3669,0,0,0,,,,29739,29740,29740,
