ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/09/11,46.00,46.00,39.10,39.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,26,,,,,0,,,,,,0,,,
2015/09/14,37.81,38.00,36.05,36.05,-3.45,-8.7342,,,,,,-10.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2015/09/15,35.85,36.00,35.50,35.70,-0.35,-0.9709,,,,,,-24.0000,,0,,,,,,,,14,,,,,0,,,,,,0,,,
2015/09/16,36.99,39.00,36.99,39.00,3.30,9.2437,,,,,,2.0000,,0,,,,,,,,26,,,,,0,,,,,,0,,,
2015/09/17,39.00,39.00,37.00,37.50,-1.50,-3.8462,37.5500,,,,,-63.0000,,0,0,,,,,,,65,28,,,,0,0,,,,,0,0,,
2015/09/18,37.00,37.99,37.00,37.99,0.49,1.3067,37.2480,,,,,-61.0000,,0,0,,,,,,,2,23,,,,0,0,,,,,0,0,,
2015/09/21,37.99,37.99,37.99,37.99,0.00,0.00,37.6360,,,,,-61.0000,,0,0,,41.6942,,,,,1,21,,,,0,0,,,,,0,0,,
2015/09/22,37.99,37.99,37.99,37.99,0.00,0.00,38.0940,,,,,-61.0000,,0,0,,41.6942,,,,,1,19,,,,0,0,,,,,0,0,,
2015/09/23,37.99,37.99,37.99,37.99,0.00,0.00,37.8920,,,,,-61.0000,,0,0,,41.6942,,23.7143,41.2381,47.0794,1,14,41.2381,47.0794,29.5556,0,0,,,,,0,0,,
2015/09/24,37.99,37.99,36.50,36.50,-1.49,-3.9221,37.6920,37.6210,,,,-62.0000,-40.1000,0,0,0,32.4911,,28.5714,37.0159,43.7249,1,1,37.0159,43.7249,23.5979,0,0,0,,,,0,0,0,
2015/09/25,37.99,37.99,37.99,37.99,1.49,4.0822,37.6920,37.4700,,,,-61.0000,-46.2000,0,0,0,46.6279,,71.1429,48.3915,45.2804,1,1,48.3915,45.2804,54.6138,0,0,0,,,,0,0,0,
2015/09/30,36.50,37.99,36.50,37.99,0.00,0.00,37.6920,37.6640,,,,-61.0000,-51.3000,0,0,0,46.6279,,59.6000,52.1277,47.5628,4,1,52.1277,47.5628,61.2574,0,0,0,,,,0,0,0,
2015/10/01,37.99,37.99,37.99,37.99,0.00,0.00,37.6920,37.8930,,,,-61.0000,-55.0000,0,0,0,46.6279,43.7448,59.6000,54.6185,49.9147,1,1,54.6185,49.9147,64.0259,0,0,0,,,,0,0,0,
2015/10/02,37.99,37.99,37.99,37.99,0.00,0.00,37.6920,37.7920,,,,-61.0000,-61.3000,0,0,0,46.6279,43.7448,100.0000,69.7456,56.5250,1,1,69.7456,56.5250,96.1869,0,0,0,,,,0,0,0,
2015/10/05,37.99,39.99,37.00,39.49,1.50,3.9484,38.2900,37.9910,,,,1.0000,-54.9000,0,0,0,62.8623,50.9929,85.6734,75.0549,62.7016,62,13,75.0549,62.7016,99.7613,0,0,0,,,,0,0,0,
2015/10/06,39.49,39.49,37.70,38.00,-1.49,-3.7731,38.2920,37.9920,,,,-10.0000,-49.8000,0,0,0,46.1349,44.7456,42.9799,64.3632,63.2555,11,15,64.3632,63.2555,66.5787,0,0,0,,,,0,0,0,
2015/10/07,39.49,39.49,39.49,39.49,1.49,3.9211,38.5920,38.1420,,,,-9.0000,-44.6000,0,0,0,59.1719,51.2597,85.6734,71.4666,65.9925,1,15,71.4666,65.9925,82.4147,0,0,0,,,,0,0,0,
2015/10/08,38.40,39.49,38.40,39.49,0.00,0.00,38.8920,38.2920,,,,-9.0000,-39.4000,0,0,0,59.1719,51.2597,85.6734,76.2022,69.3958,2,15,76.2022,69.3958,89.8151,0,0,0,,,,0,0,0,
2015/10/12,39.49,39.49,39.49,39.49,0.00,0.00,39.1920,38.4420,,,,-9.0000,-34.2000,0,0,0,59.1719,51.2597,85.6734,79.3592,72.7169,1,15,79.3592,72.7169,92.6439,0,0,0,,,,0,0,0,
2015/10/13,38.00,39.49,38.00,39.49,0.00,0.00,39.1920,38.7410,38.1810,,,-9.0000,-28.9000,0,0,0,59.1719,51.2597,85.6734,81.4639,75.6326,2,3,81.4639,75.6326,93.1267,0,0,0,,,,0,0,0,
2015/10/14,38.00,39.00,37.70,39.00,-0.49,-1.2408,39.3920,38.8420,38.1560,,,-30.0000,-25.8000,0,0,0,50.7893,48.5915,66.8896,76.6058,75.9570,21,5,76.6058,75.9570,77.9035,0,0,0,,,,0,0,0,
2015/10/15,38.50,38.50,38.10,38.10,-0.90,-2.3077,39.1140,38.8530,38.2585,,,-33.0000,-23.0000,0,0,0,38.7043,44.0022,36.7893,63.3337,71.7492,3,5,63.3337,71.7492,46.5025,0,0,0,,,,0,0,0,
2015/10/19,39.00,39.00,38.20,38.20,0.10,0.2625,38.8560,38.8740,38.3835,,,-31.0000,-20.0000,0,0,0,40.5892,44.6360,40.1338,55.6004,66.3663,2,5,55.6004,66.3663,34.0686,0,0,0,,,,0,0,0,
2015/10/20,39.00,39.00,37.54,39.00,0.80,2.0942,38.7580,38.9750,38.3835,,,-23.0000,-16.2000,0,0,0,54.1301,49.6132,74.8718,62.0242,64.9189,8,7,62.0242,64.9189,56.2347,0,0,0,,,,0,0,0,
2015/10/21,37.54,38.10,37.54,37.54,-1.46,-3.7436,38.3680,38.7800,38.3855,,,-37.0000,-20.0000,0,0,0,36.1073,42.0814,0.0000,41.3495,57.0624,14,9,41.3495,57.0624,9.9235,0,0,0,,,,0,0,0,
2015/10/22,39.00,39.00,39.00,39.00,1.46,3.8892,38.3680,38.8800,38.4360,,,-36.0000,-22.6000,0,0,0,54.3475,50.3106,74.8718,52.5236,55.5495,1,5,52.5236,55.5495,46.4718,0,0,0,,0.3163,,0,0,0,
2015/10/23,39.00,39.00,37.54,37.54,-1.46,-3.7436,38.2560,38.6850,38.4135,,,-42.0000,-25.9000,0,0,0,40.4800,43.5590,0.0000,35.0157,48.7049,6,6,35.0157,48.7049,7.6374,0,0,0,,0.2097,,0,0,0,
2015/10/27,37.54,37.54,37.54,37.54,0.00,0.00,38.1240,38.4900,38.3910,,,-42.0000,-29.2000,0,0,0,40.4800,43.5590,0.0000,23.3438,40.2512,2,6,23.3438,40.2512,-10.4710,0,0,0,,0.1239,,0,0,0,
2015/10/28,37.54,37.54,37.54,37.54,0.00,0.00,37.8320,38.2950,38.3685,,,-42.0000,-32.5000,0,0,0,40.4800,43.5590,0.0000,15.5625,32.0216,2,5,15.5625,32.0216,-17.3557,0,0,0,,0.0552,,0,0,0,
2015/10/29,37.54,38.10,37.54,38.00,0.46,1.2254,37.9240,38.1460,38.4435,,,-32.0000,-34.8000,0,0,0,47.7400,46.4960,31.5068,20.8773,28.3069,10,4,20.8773,28.3069,6.0182,0,0,0,,0.0375,,0,0,0,
2015/10/30,37.78,38.10,37.78,38.00,0.00,0.00,37.7240,38.0460,38.4440,,,-32.0000,-35.0000,0,0,0,47.7400,46.4960,31.5068,24.4205,27.0114,5,5,24.4205,27.0114,19.2387,0,0,0,,0.0231,,0,0,0,
2015/11/03,37.54,38.00,37.54,38.00,0.00,0.00,37.8160,38.0360,38.4445,,,-32.0000,-34.9000,0,0,0,47.7400,46.4960,31.5068,26.7826,26.9351,9,5,26.7826,26.9351,26.4775,0,0,0,,0.0117,,0,0,0,
2015/11/05,37.80,39.19,37.80,39.19,1.19,3.1316,38.1460,38.1350,38.5045,,,-27.0000,-34.5000,0,0,0,66.1806,54.4557,100.0000,51.1884,35.0196,5,6,51.1884,35.0196,83.5261,0,0,0,,0.0975,,0,0,0,
2015/11/06,39.19,39.19,38.20,38.44,-0.75,-1.9138,38.3260,38.0790,38.5270,,,-31.0000,-35.3000,0,0,0,52.2394,49.4025,54.5455,52.3074,40.7822,4,6,52.3074,40.7822,75.3579,0,0,0,-0.0100,0.1037,0.1087,0,0,0,
2015/11/13,37.54,37.54,37.54,37.54,-0.90,-2.3413,38.2340,38.0790,38.4295,,,-31.0000,-34.7000,0,0,0,40.0812,44.0514,0.0000,34.8716,38.8120,0,4,34.8716,38.8120,26.9909,0,0,0,-0.1169,0.0357,0.0941,0,0,0,
2015/11/16,39.19,39.19,39.19,39.19,1.65,4.3953,38.4720,38.0980,38.4890,,,-28.0000,-33.9000,0,0,0,60.3719,54.0136,100.0000,56.5811,44.7350,3,4,56.5811,44.7350,80.2732,0,0,0,0.0311,0.1136,0.0980,0,0,0,
2015/11/17,39.19,39.99,39.19,39.50,0.31,0.791,38.7720,38.2940,38.4895,,,-2.0000,-29.9000,0,0,0,63.1828,55.6328,80.0000,64.3874,51.2858,26,7,64.3874,51.2858,90.5905,0,0,0,0.1600,0.1980,0.1180,0,0,0,
2015/11/18,40.45,40.45,39.50,39.50,0.00,0.00,38.8340,38.4900,38.4900,,,-2.0000,-25.9000,0,0,0,63.1828,55.6328,67.3540,65.3762,55.9826,3,7,65.3762,55.9826,84.1635,0,0,0,0.2303,0.2620,0.1468,0,0,0,
2015/11/19,39.50,39.85,39.50,39.50,0.00,0.00,39.0460,38.6860,38.4905,,,-2.0000,-21.9000,0,0,0,63.1828,55.6328,67.3540,66.0355,59.3336,15,9,66.0355,59.3336,79.4393,0,0,0,0.2596,0.3090,0.1793,0,0,0,
2015/11/20,39.70,39.70,39.50,39.50,0.00,0.00,39.4380,38.8360,38.4910,,,-2.0000,-18.9000,0,0,0,63.1828,55.6328,67.3540,66.4750,61.7140,6,10,66.4750,61.7140,75.9968,0,0,0,0.2611,0.3424,0.2119,0,0,0,
2015/11/23,39.60,39.60,39.50,39.50,0.00,0.00,39.5000,38.9860,38.5160,,,-2.0000,-15.9000,0,0,0,63.1828,55.6328,67.3540,66.7680,63.3987,2,10,66.7680,63.3987,73.5065,0,0,0,0.2445,0.3647,0.2424,0,0,0,
2015/11/24,39.20,39.20,39.20,39.20,-0.30,-0.7595,39.4400,39.1060,38.5710,,,-4.0000,-13.1000,0,0,0,53.9652,52.8504,57.0447,63.5269,63.4414,2,5,63.5269,63.4414,63.6978,0,0,0,0.1785,0.3540,0.2648,0,0,0,
2015/11/25,39.50,39.50,39.50,39.50,0.30,0.7653,39.4400,39.1370,38.6360,,,-2.0000,-10.6000,0,0,0,60.8236,55.2898,67.3540,64.8026,63.8951,2,5,64.8026,63.8951,66.6174,0,0,0,0.1613,0.3656,0.2849,0,0,0,
2015/11/30,41.00,41.00,40.50,40.50,1.00,2.5316,39.6400,39.3430,38.7110,,,12.0000,-6.3000,0,0,0,75.4524,62.3695,72.3757,67.3269,65.0391,14,5,67.3269,65.0391,71.9027,0,0,0,0.2645,0.4502,0.3180,0,0,0,
2015/12/01,40.50,41.50,40.50,41.00,0.50,1.2346,39.9400,39.6890,38.8840,,,17.0000,-1.5000,0,0,0,79.9455,65.3612,78.3550,71.0030,67.0270,5,5,71.0030,67.0270,78.9548,0,0,0,0.3733,0.5513,0.3646,0,0,0,
2015/12/02,42.51,42.52,41.00,42.00,1.00,2.439,40.4400,39.9700,39.0340,,,33.0000,4.6000,0,0,0,86.0664,70.4816,84.3373,75.4478,69.8339,16,7,75.4478,69.8339,86.6754,0,0,0,0.5429,0.7040,0.4325,0,0,0,
2015/12/03,41.87,42.00,41.00,42.00,0.00,0.00,41.0000,40.2200,39.2570,,,33.0000,8.1000,0,0,0,86.0664,70.4816,84.3373,78.4110,72.6929,108,29,78.4110,72.6929,89.8470,0,0,0,0.6129,0.8156,0.5091,0,0,0,
2015/12/04,41.90,44.60,41.90,44.20,2.20,5.2381,41.9400,40.6900,39.5900,,,69.0000,15.2000,0,0,0,92.9160,78.7181,92.5926,83.1382,76.1747,36,35,83.1382,76.1747,97.0651,0,0,0,0.8962,1.0692,0.6211,0,0,0,
2015/12/07,46.00,46.00,44.01,44.01,-0.19,-0.4299,42.6420,41.1410,39.9135,,,56.0000,21.0000,0,0,0,88.4117,76.7017,70.7353,79.0039,77.1177,13,35,79.0039,77.1177,82.7761,0,0,0,0.9911,1.2406,0.7450,0,0,0,
2015/12/10,45.50,45.50,45.50,45.50,1.49,3.3856,43.5420,41.7410,40.2885,,,57.0000,26.9000,0,0,0,92.0421,80.8896,92.6471,83.5516,79.2624,1,34,83.5516,79.2624,92.1301,0,0,0,1.1753,1.4796,0.8919,0,0,0,
2015/12/14,44.01,44.01,44.01,44.01,-1.49,-3.2747,43.9440,42.1920,40.5890,,,54.0000,32.5000,0,0,0,66.8943,67.6283,69.3846,78.8293,79.1180,3,32,78.8293,79.1180,78.2518,0,0,0,1.0227,1.5311,1.0198,0,0,0,
2015/12/16,44.01,45.00,44.01,45.00,0.99,2.2495,44.5440,42.7720,40.9390,,,64.0000,39.3000,0,0,0,72.8161,71.0665,81.8182,79.8256,79.3539,10,12,79.8256,79.3539,80.7690,0,0,0,0.9812,1.6330,1.1424,0,0,0,
