ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,22.75,23.80,22.65,22.90,0.00,0.00,,,,,,0.0000,,827,,,,,,,,395,,,,,0,,,,,,827,,,
2012/06/28,23.00,23.65,22.80,22.80,-0.10,-0.4367,,,,,,-245.0000,,825,,,,,,,,245,,,,,0,,,,,,825,,,
2012/06/29,22.80,23.10,22.50,22.95,0.15,0.6579,,,,,,-63.0000,,831,,,,,,,,182,,,,,0,,,,,,831,,,
2012/07/02,23.50,23.50,23.00,23.05,0.10,0.4357,,,,,,98.0000,,831,,,,,,,,161,,,,,0,,,,,,831,,,
2012/07/03,23.15,23.35,22.80,22.90,-0.15,-0.6508,22.9200,,,,,-61.0000,,830,829,,,,,,,159,228,,,,0,0,,,,,830,829,,
2012/07/04,22.50,23.20,22.50,22.90,0.00,0.00,22.9200,,,,,-61.0000,,830,830,,,,,,,191,187,,,,0,0,,,,,830,830,,
2012/07/05,22.80,23.10,22.60,22.65,-0.25,-1.0917,22.8900,,,,,-191.0000,,821,829,,33.3333,,,,,130,164,,,,0,0,,,,,821,829,,
2012/07/06,22.65,23.00,22.05,22.10,-0.55,-2.4283,22.7200,,,,,-350.0000,,819,826,,17.7305,,,,,159,160,,,,0,0,,,,,819,826,,
2012/07/09,22.10,22.10,21.35,21.50,-0.60,-2.7149,22.4100,,,,,-546.0000,,806,821,,10.9938,,6.1224,35.3741,45.1247,196,167,35.3741,45.1247,15.8730,0,0,,,,,806,821,,
2012/07/10,21.55,21.80,21.30,21.40,-0.10,-0.4651,22.1100,22.5150,,,,-678.0000,-209.7000,800,815,822,10.2174,,4.2553,25.0012,38.4169,132,161,25.0012,38.4169,-1.8301,0,0,0,,,,800,815,822,
2012/07/11,21.40,21.70,21.20,21.25,-0.15,-0.7009,21.7800,22.3500,,,,-863.0000,-296.0000,805,810,820,9.0651,,2.1739,17.3921,31.4086,185,160,17.3921,31.4086,-10.6409,0,0,0,,,,805,810,820,
2012/07/12,21.25,21.25,20.50,20.80,-0.45,-2.1176,21.4100,22.1500,,,,-1031.0000,-374.6000,787,804,816,6.4473,,10.0000,14.9281,25.9151,168,168,14.9281,25.9151,-7.0460,0,0,0,,,,787,804,816,
2012/07/13,20.80,20.90,20.00,20.30,-0.50,-2.4038,21.0500,21.8850,,,,-1158.0000,-484.1000,780,796,811,4.6550,8.0645,8.9552,12.9371,21.5891,127,161,12.9371,21.5891,-4.3669,0,0,0,,,,780,796,811,
2012/07/16,20.35,20.35,19.60,19.85,-0.45,-2.2167,20.7200,21.5650,,,,-1289.0000,-622.8000,774,789,805,3.5801,6.9620,6.9444,10.9396,18.0393,131,148,10.9396,18.0393,-3.2598,0,0,0,,,,774,789,805,
2012/07/17,19.60,20.40,19.60,20.20,0.35,1.7632,20.4800,21.2950,,,,-1174.0000,-734.1000,774,784,800,20.6756,16.6323,17.1429,13.0073,16.3620,115,145,13.0073,16.3620,6.2981,0,0,0,,,,774,784,800,
2012/07/18,20.30,20.35,19.80,20.05,-0.15,-0.7426,20.2400,21.0100,,,,-1276.0000,-855.6000,756,774,792,18.9479,15.8615,13.2353,13.0833,15.2691,102,128,13.0833,15.2691,8.7118,0,0,0,,,,756,774,792,
2012/07/19,20.00,20.40,20.00,20.05,0.00,0.00,20.0900,20.7500,,,,-1276.0000,-964.1000,764,770,787,18.9479,15.8615,18.0000,14.7222,15.0868,163,127,14.7222,15.0868,13.9931,0,0,0,,,,764,770,787,
