ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,30.95,31.00,30.75,30.85,0.00,0.00,,,,,,0.0000,,276,,,,,,,,209,,,,,0,,,,,,670,,,
2012/06/29,30.10,31.10,30.10,31.10,0.25,0.8104,,,,,,115.0000,,285,,,,,,,,115,,,,,0,,,,,,679,,,
2012/07/02,31.20,31.60,31.20,31.60,0.50,1.6077,,,,,,470.0000,,292,,,,,,,,355,,,,,0,,,,,,685,,,
2012/07/03,29.30,29.75,29.30,29.65,-1.95,-6.1709,,,,,,267.0000,,299,,,,,,,,203,,,,,0,,,,,,692,,,
2012/07/04,29.65,29.80,29.60,29.80,0.15,0.5059,30.6000,,,,,382.0000,,299,290,,,,,,,115,199,,,,0,0,,,,,692,684,,
2012/07/05,29.80,30.20,29.80,30.10,0.30,1.0067,30.4500,,,,,574.0000,,292,294,,,,,,,192,196,,,,0,0,,,,,685,687,,
2012/07/06,30.15,30.30,29.95,30.10,0.00,0.00,30.2500,,,,,574.0000,,277,292,,38.0952,,,,,190,211,,,,0,0,,,,,670,686,,
2012/07/09,30.10,30.30,30.00,30.00,-0.10,-0.3322,29.9300,,,,,491.0000,,271,288,,36.6972,,,,,83,156,,,,0,0,,,,,664,681,,
2012/07/10,30.10,30.50,30.05,30.25,0.25,0.8333,30.0500,,,,,636.0000,,255,279,,42.9752,,41.3043,47.1014,49.0338,145,145,47.1014,49.0338,43.2367,0,0,,,,,648,673,,
2012/07/11,30.45,30.50,30.25,30.40,0.15,0.4959,30.1700,30.3850,,,,824.0000,433.3000,232,266,278,46.7757,,47.8261,47.3430,48.4702,188,159,47.3430,48.4702,45.0886,0,0,0,,,,625,659,672,
2012/07/12,30.45,30.50,30.05,30.40,0.00,0.00,30.2300,30.3400,,,,824.0000,515.7000,217,251,272,46.7757,,47.8261,47.5040,48.1481,92,139,47.5040,48.1481,46.2158,0,0,0,,,,610,644,666,
2012/07/13,30.00,30.60,29.90,30.10,-0.30,-0.9868,30.2300,30.2400,,,,730.0000,577.2000,209,237,265,39.2433,,61.5385,52.1822,49.4928,94,120,52.1822,49.4928,57.5609,0,0,0,,,,602,631,658,
2012/07/16,30.20,30.20,29.50,29.50,-0.60,-1.9934,30.1300,30.0300,,,,672.0000,597.4000,207,224,256,28.3043,35.1648,0.0000,34.7881,44.5913,58,115,34.7881,44.5913,15.1818,0,0,0,,,,600,618,650,
2012/07/17,29.50,30.20,29.50,30.10,0.60,2.0339,30.1000,30.0750,,,,705.0000,641.2000,209,215,247,46.2751,43.3188,54.5455,41.3739,43.5188,33,93,41.3739,43.5188,37.0841,0,0,0,,,,602,609,641,
2012/07/18,30.00,30.00,29.50,30.00,-0.10,-0.3322,30.0200,30.0950,,,,651.0000,668.1000,207,210,238,44.0661,42.3504,45.4545,42.7341,43.2572,54,66,42.7341,43.2572,41.6879,0,0,0,,,,600,604,631,
2012/07/19,30.00,30.85,29.90,30.35,0.35,1.1667,30.0100,30.1200,,,,983.0000,709.0000,212,209,230,53.4077,46.8841,62.9630,49.4771,45.3305,332,114,49.4771,45.3305,57.7702,0,0,0,,,,605,603,623,
2012/07/20,30.55,30.60,30.40,30.45,0.10,0.3295,30.0800,30.1550,,,,1045.0000,756.1000,210,209,223,55.9312,48.1550,70.3704,56.4415,49.0342,62,107,56.4415,49.0342,71.2561,0,0,0,,,,603,603,617,
2012/07/23,30.00,30.10,29.80,30.10,-0.35,-1.1494,30.2000,30.1650,,,,998.0000,806.8000,210,210,217,45.5661,44.1241,44.4444,52.4425,50.1703,47,105,52.4425,50.1703,56.9869,0,0,0,,,,603,603,611,
2012/07/24,30.00,30.00,29.80,30.00,-0.10,-0.3322,30.1800,30.1400,,,,977.0000,840.9000,207,209,212,42.8439,43.0022,37.0370,47.3073,49.2160,21,103,47.3073,49.2160,43.4901,0,0,0,,,,600,603,606,
