ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/06,5.45,5.55,5.45,5.45,0.00,0.00,,,,,,0.0000,,4454,,,,,,,,39,,,,,0,,,,,,4454,,,
2012/06/07,5.55,5.55,5.44,5.47,0.02,0.367,,,,,,127.0000,,4454,,,,,,,,127,,,,,0,,,,,,4454,,,
2012/06/08,5.45,5.47,5.18,5.41,-0.06,-1.0969,,,,,,17.0000,,4454,,,,,,,,110,,,,,0,,,,,,4454,,,
2012/06/11,5.41,5.44,5.33,5.36,-0.05,-0.9242,,,,,,-46.0000,,4454,,,,,,,,63,,,,,0,,,,,,4454,,,
2012/06/12,5.35,5.35,5.23,5.24,-0.12,-2.2388,5.3860,,,,,-56.0000,,4454,4454,,,,,,,10,69,,,,0,0,,,,,4454,4454,,
2012/06/13,5.26,5.35,5.23,5.23,-0.01,-0.1908,5.3420,,,,,-148.0000,,4454,4454,,,,,,,92,80,,,,0,0,,,,,4454,4454,,
2012/06/14,5.23,5.29,5.23,5.28,0.05,0.956,5.3040,,,,,-138.0000,,4454,4454,,22.5806,,,,,10,57,,,,0,0,,,,,4454,4454,,
2012/06/15,5.20,5.33,5.20,5.33,0.05,0.947,5.2880,,,,,-106.0000,,4454,4454,,35.1351,,,,,32,41,,,,0,0,,,,,4454,4454,,
2012/06/18,5.37,5.70,5.37,5.70,0.37,6.9418,5.3560,,,,,152.0000,,4454,4454,,73.4160,,100.0000,66.6667,55.5556,258,80,66.6667,55.5556,88.8889,0,0,,,,,4454,4454,,
2012/06/19,5.85,6.09,5.85,6.09,0.39,6.8421,5.5260,5.4560,,,,1108.0000,91.0000,4454,4454,4454,84.7785,,100.0000,77.7778,62.9630,956,269,77.7778,62.9630,107.4074,0,0,0,,,,4454,4454,4454,
2012/06/20,6.51,6.51,6.32,6.51,0.42,6.8966,5.7820,5.5620,,,,2995.0000,390.5000,4474,4458,4456,90.1946,,100.0000,85.1852,70.3704,1887,628,85.1852,70.3704,114.8148,0,0,0,,,,4474,4458,4456,
2012/06/21,6.79,6.96,6.60,6.96,0.45,6.9124,6.1180,5.7110,,,,3938.0000,771.6000,4475,4463,4458,93.2724,,100.0000,90.1235,76.9547,943,815,90.1235,76.9547,116.4609,0,0,0,,,,4475,4463,4458,
2012/06/22,7.20,7.44,7.13,7.37,0.41,5.8908,6.5260,5.9070,,,,5582.0000,1328.1000,4454,4463,4458,94.9913,90.0000,96.8750,92.3740,82.0945,1644,1137,92.3740,82.0945,112.9330,0,0,0,,,,4454,4463,4458,
2012/06/25,7.38,7.38,7.16,7.25,-0.12,-1.6282,6.8360,6.0960,,,,5117.0000,1844.4000,4454,4463,4458,87.1691,85.3448,91.5179,92.0886,85.4259,465,1179,92.0886,85.4259,105.4141,0,0,0,,,,4454,4463,4458,
2012/06/26,7.20,7.73,7.20,7.60,0.35,4.8276,7.1380,6.3320,,,,6331.0000,2483.1000,4454,4463,4458,90.0397,87.4159,94.8617,93.0130,87.9549,1214,1230,93.0130,87.9549,103.1291,0,0,0,,,,4454,4463,4458,
2012/06/27,7.41,7.58,7.38,7.38,-0.22,-2.8947,7.3120,6.5470,,,,5893.0000,3087.2000,4454,4459,4458,77.0389,79.6933,86.1660,90.7306,88.8801,438,940,90.7306,88.8801,94.4316,0,0,0,,,,4454,4459,4458,
2012/06/28,7.31,7.33,7.21,7.21,-0.17,-2.3035,7.3620,6.7400,,,,5652.0000,3666.2000,4454,4454,4458,67.9422,74.1697,77.9661,86.4758,88.0787,241,800,86.4758,88.0787,83.2700,0,0,0,,,,4454,4454,4458,
2012/06/29,7.15,7.34,7.15,7.34,0.13,1.8031,7.3560,6.9410,,,,5842.0000,4261.0000,4454,4454,4458,71.0762,75.5816,79.2553,84.0690,86.7421,190,509,84.0690,86.7421,78.7227,0,0,0,,,,4454,4454,4458,
2012/07/02,7.24,7.36,7.24,7.28,-0.06,-0.8174,7.3620,7.0990,,,,5495.0000,4795.3000,4454,4454,4458,67.4255,73.5572,68.0851,78.7410,84.0751,347,486,78.7410,84.0751,68.0729,0,0,0,,,,4454,4454,4458,
2012/07/03,7.30,7.57,7.28,7.48,0.20,2.7473,7.3380,7.2380,6.3470,,,5866.0000,5271.1000,4454,4454,4458,72.9774,75.9041,77.8761,78.4527,82.2010,371,317,78.4527,82.2010,70.9562,0,0,0,,,,4454,4454,4458,
2012/07/04,7.59,7.96,7.59,7.63,0.15,2.0053,7.3880,7.3500,6.4560,,,6493.0000,5620.9000,4454,4454,4456,76.5713,77.5353,60.2410,72.3821,78.9280,627,355,72.3821,78.9280,59.2904,0,0,0,,,,4454,4454,4456,
