ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,37.85,37.85,37.00,37.30,0.00,0.00,,,,,,0.0000,,977,,,,,,,,82,,,,,0,,,,,,1307,,,
2012/06/29,37.30,39.90,37.30,39.90,2.60,6.9705,,,,,,413.0000,,977,,,,,,,,413,,,,,0,,,,,,1307,,,
2012/07/02,42.65,42.65,41.30,41.50,1.60,4.01,,,,,,1401.0000,,977,,,,,,,,988,,,,,0,,,,,,1307,,,
2012/07/03,41.80,42.00,40.50,41.45,-0.05,-0.1205,,,,,,1007.0000,,986,,,,,,,,394,,,,,0,,,,,,1316,,,
2012/07/04,41.65,42.50,41.30,41.40,-0.05,-0.1206,40.3100,,,,,700.0000,,990,982,,,,,,,307,436,,,,0,0,,,,,1320,1312,,
2012/07/05,41.60,44.25,41.60,43.00,1.60,3.8647,41.4500,,,,,2654.0000,,968,980,,,,,,,1954,811,,,,0,0,,,,,1498,1350,,
2012/07/06,42.90,45.50,42.00,44.90,1.90,4.4186,42.4500,,,,,4281.0000,,940,973,,98.7179,,,,,1627,1054,,,,0,0,,,,,1870,1463,,
2012/07/09,45.00,46.40,43.50,44.50,-0.40,-0.8909,43.0500,,,,,3285.0000,,933,964,,92.9952,,,,,996,1055,,,,0,0,,,,,1863,1574,,
2012/07/10,44.00,45.40,43.70,44.20,-0.30,-0.6742,43.6000,,,,,2728.0000,,933,953,,88.3838,,76.5957,58.8652,52.9551,557,1088,58.8652,52.9551,70.6856,0,0,,,,,1893,1689,,
2012/07/11,44.20,45.60,43.80,44.00,-0.20,-0.4525,44.1200,42.2150,,,,1802.0000,1827.1000,935,942,962,85.0115,,73.6264,63.7856,56.5653,926,1212,63.7856,56.5653,78.2263,0,0,0,,,,1955,1816,1564,
2012/07/12,44.00,44.50,42.65,43.40,-0.60,-1.3636,44.2000,42.8250,,,,1365.0000,1963.6000,944,937,959,74.7445,,49.1525,58.9079,57.3462,437,908,58.9079,57.3462,62.0315,0,0,0,,,,1994,1916,1633,
2012/07/13,43.95,44.45,42.00,42.60,-0.80,-1.8433,43.7400,43.0950,,,,491.0000,1971.4000,946,939,956,62.6402,,35.5932,51.1364,55.2762,874,758,51.1364,55.2762,42.8566,0,0,0,,,,1996,1941,1702,
2012/07/16,42.90,42.90,40.55,41.00,-1.60,-3.7559,43.0400,43.0450,,,,55.0000,1836.8000,970,946,955,45.1084,65.8120,7.6923,36.6550,49.0692,436,646,36.6550,49.0692,11.8267,0,0,0,,,,1980,1964,1769,
2012/07/17,41.00,41.90,40.90,41.85,0.85,2.0732,42.5700,43.0850,,,,303.0000,1766.4000,979,955,954,53.4195,68.3225,22.2222,31.8441,43.3275,248,584,31.8441,43.3275,8.8773,0,0,0,,,,1949,1975,1832,
2012/07/18,42.90,44.20,42.30,42.30,0.45,1.0753,42.2300,43.1750,,,,1056.0000,1802.0000,950,958,950,57.5069,69.6114,29.9145,31.2009,39.2853,753,549,31.2009,39.2853,15.0321,0,0,0,,,,1885,1961,1889,
2012/07/19,42.50,43.20,41.30,42.60,0.30,0.7092,42.0700,43.1350,,,,1443.0000,1680.9000,975,964,951,60.2942,70.4847,35.0427,32.4815,37.0174,387,539,32.4815,37.0174,23.4098,0,0,0,,,,1894,1941,1929,
2012/07/20,42.70,43.60,42.70,43.00,0.40,0.939,42.1500,42.9450,,,,1734.0000,1426.2000,961,967,953,64.0656,71.6690,48.5149,37.8260,37.2869,291,423,37.8260,37.2869,38.9041,0,0,0,,,,1910,1924,1933,
2012/07/23,44.00,46.00,43.90,46.00,3.00,6.9767,43.1500,43.0950,,,,4294.0000,1527.1000,933,960,953,80.6267,78.6712,100.0000,58.5506,44.3748,2560,847,58.5506,44.3748,86.9023,0,0,0,,,,1912,1911,1937,
2012/07/24,46.00,48.50,45.05,48.00,2.00,4.3478,44.3800,43.4750,,,,7080.0000,1962.3000,933,951,953,85.8454,81.9209,93.7107,70.2707,53.0068,2786,1355,70.2707,53.0068,104.7985,0,0,0,,,,1912,1903,1939,
2012/07/25,46.90,49.00,45.70,45.85,-2.15,-4.4792,45.0900,43.6600,42.9375,,,3688.0000,2150.9000,934,948,953,63.7073,69.5022,62.7219,67.7544,57.9226,3392,1883,67.7544,57.9226,87.4179,0,0,0,,,,1813,1889,1925,
2012/07/26,45.85,47.50,45.20,46.10,0.25,0.5453,45.7900,43.9300,43.3775,,,5613.0000,2575.7000,934,939,952,64.9679,70.0776,65.6805,67.0631,60.9695,1925,2190,67.0631,60.9695,79.2504,0,0,0,,,,1813,1873,1907,
2012/07/27,46.80,47.50,45.95,46.00,-0.10,-0.2169,46.3900,44.2700,43.6825,,,4306.0000,2957.2000,933,934,951,63.9025,69.5054,62.9630,65.6964,62.5451,1307,2394,65.6964,62.5451,71.9990,0,0,0,,,,1812,1853,1889,
2012/07/30,46.50,46.80,45.40,45.60,-0.40,-0.8696,46.3100,44.7300,43.8875,,,3553.0000,3307.0000,933,934,947,59.2395,67.1140,55.8442,62.4123,62.5008,753,2032,62.4123,62.5008,62.2353,0,0,0,,,,1812,1833,1872,
2012/07/31,45.80,48.10,45.70,47.75,2.15,4.7149,46.2600,45.3200,44.2025,,,5845.0000,3861.2000,937,935,943,72.2842,72.6348,83.7662,69.5303,64.8440,2292,1933,69.5303,64.8440,78.9029,0,0,0,,,,1816,1814,1859,
2012/08/01,47.30,48.25,47.20,47.50,-0.25,-0.5236,46.5900,45.8400,44.5075,,,5039.0000,4259.5000,937,935,941,69.1943,71.1203,76.1905,71.7503,67.1461,806,1416,71.7503,67.1461,80.9588,0,0,0,,,,1816,1814,1852,
2012/08/03,47.30,48.00,46.70,47.10,-0.40,-0.8421,46.7900,46.2900,44.7125,,,4271.0000,4542.3000,947,938,939,63.9460,68.6228,62.7451,68.7486,67.6803,768,1185,68.7486,67.6803,70.8853,0,0,0,,1.9597,,1826,1817,1845,
2012/08/06,48.00,48.00,46.65,46.65,-0.45,-0.9554,46.9200,46.6550,44.8000,,,3786.0000,4747.5000,947,941,937,58.0064,65.7875,40.5063,59.3345,64.8983,485,1020,59.3345,64.8983,48.2068,0,0,0,,1.8825,,1826,1820,1836,
2012/08/07,46.80,47.20,45.10,45.35,-1.30,-2.7867,46.8700,46.5900,44.8425,,,3250.0000,4643.1000,947,943,939,43.8777,58.2083,6.4103,41.6931,57.1633,536,977,41.6931,57.1633,10.7527,0,0,0,,1.6968,,947,1647,1740,
2012/08/08,45.40,46.00,45.40,45.65,0.30,0.6615,46.4500,46.3550,44.9150,,,3523.0000,4287.4000,938,944,939,47.4240,59.3862,17.4603,33.6155,49.3140,273,573,33.6155,49.3140,2.2185,0,0,0,,1.5559,,938,1471,1643,
2012/08/09,46.00,46.35,45.80,46.00,0.35,0.7667,46.1500,46.3700,45.0150,,,4050.0000,4323.6000,961,948,942,51.6970,60.7927,28.5714,31.9341,43.5207,527,517,31.9341,43.5207,8.7610,0,0,0,,1.4557,,1840,1476,1645,
2012/08/10,46.00,47.35,45.80,47.10,1.10,2.3913,46.1500,46.4700,45.2000,,,5216.0000,4283.9000,987,956,947,63.0293,64.9539,63.4921,42.4534,43.1650,1166,597,42.4534,43.1650,41.0304,577,116,58,,1.4484,,2444,1600,1708,
2012/08/13,47.00,48.70,46.30,47.95,0.85,1.8047,46.4100,46.6650,45.4675,,,7673.0000,4620.6000,996,966,953,69.6350,67.8319,79.1667,54.6912,47.0070,2457,991,54.6912,47.0070,70.0595,556,227,113,,1.4939,,2432,1721,1770,
2012/08/14,48.15,48.35,47.10,47.30,-0.65,-1.3556,46.8000,46.8350,45.7825,,,6828.0000,4948.1000,958,968,956,59.8259,63.4829,61.1111,56.8312,50.2817,845,1053,56.8312,50.2817,69.9300,0,227,113,,1.4608,,1837,1899,1773,
2012/08/15,47.60,47.90,46.80,46.80,-0.50,-1.0571,47.0300,46.7400,46.0300,,,6224.0000,4986.0000,951,971,957,52.9419,60.2417,47.2222,53.6282,51.3972,604,1119,53.6282,51.3972,58.0901,0,227,113,-0.4284,1.3782,1.5924,1830,2077,1774,
2012/08/16,47.30,48.80,46.80,47.90,1.10,2.3504,47.4100,46.7800,46.3100,,,7733.0000,5255.4000,971,973,961,63.9063,64.5816,75.6757,60.9773,54.5906,1509,1316,60.9773,54.5906,73.7508,520,331,166,-0.3309,1.3856,1.5511,2321,2173,1825,
2012/08/17,48.05,49.20,48.05,49.00,1.10,2.2965,47.7900,46.9700,46.6300,,,9518.0000,5780.1000,957,967,962,71.7929,68.3505,95.1220,72.3589,60.5134,1785,1440,72.3589,60.5134,96.0499,421,300,208,-0.1404,1.4633,1.5335,2208,2126,1863,
2012/08/20,49.50,50.50,48.80,48.90,-0.10,-0.2041,47.9800,47.1950,46.9250,,,7919.0000,6193.4000,947,957,962,70.1215,67.6367,68.6275,71.1151,64.0473,1599,1268,71.1151,64.0473,85.2507,418,272,250,-0.0543,1.4996,1.5267,2195,2079,1900,
2012/08/21,49.20,49.30,47.60,47.80,-1.10,-2.2495,48.0800,47.4400,47.0150,,,6783.0000,6546.7000,954,956,962,53.6376,60.1048,42.5532,61.5944,63.2297,1136,1326,61.5944,63.2297,58.3240,449,362,295,-0.1657,1.4232,1.5060,2233,2158,2028,
2012/08/22,47.80,48.45,47.60,48.00,0.20,0.4184,48.3200,47.6750,47.0150,,,7291.0000,6923.5000,939,954,963,55.8995,60.9669,46.8085,56.6658,61.0417,508,1307,56.6658,61.0417,47.9140,0,362,295,-0.2288,1.3630,1.4774,1768,2146,2111,
2012/08/23,48.30,49.50,47.75,47.75,-0.25,-0.5208,48.2900,47.8500,47.1100,,,5690.0000,7087.5000,949,950,961,52.0877,59.2217,34.5238,49.2851,57.1228,1601,1325,49.2851,57.1228,33.6097,409,340,336,-0.3152,1.2804,1.4380,2188,2119,2146,
2012/08/24,47.75,47.75,46.10,46.75,-1.00,-2.0942,47.8400,47.8150,47.1425,,,4825.0000,7048.4000,940,946,957,39.2429,52.6458,14.7727,37.7810,50.6756,865,1141,37.7810,50.6756,11.9919,425,341,320,-0.5067,1.1213,1.3747,2195,2116,2121,
2012/08/27,46.50,46.90,45.35,45.35,-1.40,-2.9947,47.1300,47.5550,47.1100,,,4088.0000,6689.9000,940,945,951,27.7475,45.0122,0.0000,25.1873,42.1795,737,969,25.1873,42.1795,-8.7970,0,257,265,-0.8039,0.8722,1.2742,1769,2031,2055,
2012/08/28,45.20,46.40,45.20,45.35,0.00,0.00,46.6400,47.3600,47.0975,,,4088.0000,6415.9000,939,942,949,27.7475,45.0122,2.8302,17.7350,34.0313,654,873,17.7350,34.0313,-14.8578,0,167,265,-0.9713,0.6671,1.1528,1768,1938,2048,
2012/08/29,45.75,45.75,43.80,45.30,-0.05,-0.1103,46.1000,47.2100,46.9750,,,3281.0000,6121.6000,930,940,947,27.3357,44.7365,22.3881,19.2860,29.1162,807,932,19.2860,29.1162,-0.3744,427,253,308,-1.0527,0.4949,1.0212,2187,2022,2084,
2012/08/30,44.90,45.45,44.85,45.00,-0.30,-0.6623,45.5500,46.9200,46.8500,,,2966.0000,5644.9000,930,936,943,24.6967,43.0121,17.9104,18.8275,25.6866,315,675,18.8275,25.6866,5.1092,0,171,255,-1.1054,0.3303,0.8830,1759,1936,2028,
2012/08/31,44.45,45.00,44.05,44.05,-0.95,-2.1111,45.0100,46.4250,46.6975,,,2571.0000,4950.2000,930,934,940,18.0682,37.9577,4.3860,14.0136,21.7956,395,581,14.0136,21.7956,-1.5503,430,172,256,-1.2179,0.1218,0.7308,2190,1935,2026,
2012/09/03,44.05,44.75,43.80,44.25,0.20,0.454,44.7900,45.9600,46.5775,,,2941.0000,4452.4000,939,934,939,23.2708,39.5881,7.8947,11.9740,18.5218,370,508,11.9740,18.5218,-1.1215,430,258,258,-1.2123,-0.0269,0.5792,2099,2001,2016,
2012/09/04,44.05,44.65,44.05,44.60,0.35,0.791,44.6400,45.6400,46.5400,,,3450.0000,4119.1000,936,933,938,32.2987,42.4741,14.0351,12.6610,16.5682,509,479,12.6610,16.5682,4.8467,430,344,256,-1.1112,-0.1153,0.4403,1946,2037,1988,
2012/09/05,44.65,44.65,44.15,44.15,-0.45,-1.009,44.4100,45.2550,46.4650,,,3083.0000,3698.3000,930,933,937,27.3363,39.8068,8.8608,11.3943,14.8435,367,391,11.3943,14.8435,4.4957,432,345,299,-1.0550,-0.2190,0.3085,1842,1968,1995,
2012/09/06,44.15,44.45,43.10,43.10,-1.05,-2.3783,44.0300,44.7900,46.3200,,,2564.0000,3385.7000,932,934,935,19.1137,34.3207,0.0000,7.5962,12.4278,519,432,7.5962,12.4278,-2.0670,432,432,301,-1.1041,-0.3816,0.1705,1744,1965,1951,
2012/09/07,43.80,43.80,43.00,43.00,-0.10,-0.232,43.8200,44.4150,46.1150,,,2193.0000,3122.5000,930,934,934,18.4785,33.8362,0.0000,5.0641,9.9732,371,427,5.0641,9.9732,-4.7541,431,432,302,-1.0929,-0.5126,0.0338,1691,1865,1900,
2012/09/10,45.00,46.00,44.35,45.60,2.60,6.0465,44.0900,44.4400,45.9975,,,3536.0000,3067.3000,934,933,933,59.9777,52.7537,86.6667,32.2650,17.4038,1343,621,32.2650,17.4038,61.9873,418,430,344,-0.6974,-0.4020,-0.0533,1682,1782,1891,
2012/09/11,45.30,45.40,44.65,44.80,-0.80,-1.7544,44.1300,44.3850,45.8725,,,3063.0000,2964.8000,939,933,933,50.4880,48.1341,60.0000,41.5100,25.4392,473,614,41.5100,25.4392,73.6516,419,427,386,-0.5140,-0.3746,-0.1176,1688,1730,1883,
2012/09/12,44.80,45.25,44.80,45.20,0.40,0.8929,44.3400,44.3750,45.7925,,,3437.0000,2980.4000,939,935,934,54.7807,50.4985,73.3333,52.1178,34.3320,374,616,52.1178,34.3320,87.6892,419,425,385,-0.3189,-0.3169,-0.1574,1688,1699,1834,
2012/09/13,45.50,47.30,45.40,46.50,1.30,2.8761,45.0200,44.5250,45.7225,,,5074.0000,3191.2000,940,937,935,66.2073,57.3861,81.3953,61.8770,43.5137,1637,839,61.8770,43.5137,98.6035,412,421,426,-0.0112,-0.1644,-0.1588,1682,1687,1826,
2012/09/14,47.35,47.35,45.90,46.00,-0.50,-1.0753,45.6200,44.7200,45.5725,,,4424.0000,3376.5000,940,939,936,59.2922,54.2207,68.9655,64.2398,50.4224,650,895,64.2398,50.4224,91.8746,414,417,425,0.1214,-0.0830,-0.1437,1684,1685,1775,
2012/09/17,46.85,48.50,46.80,47.95,1.95,4.2391,46.0900,45.0900,45.5250,,,6522.0000,3734.6000,943,941,937,72.6574,62.9221,90.0000,72.8265,57.8904,2098,1046,72.8265,57.8904,102.6987,398,413,421,0.4496,0.1374,-0.0875,1671,1683,1732,
2012/09/18,47.95,48.65,47.40,47.85,-0.10,-0.2086,46.7000,45.4150,45.5275,,,5573.0000,3946.9000,937,940,937,71.2185,62.2601,85.8407,77.1646,64.3152,949,1141,77.1646,64.3152,102.8635,398,409,418,0.6206,0.3004,-0.0099,1665,1679,1704,
2012/09/19,48.30,48.30,47.55,47.70,-0.15,-0.3135,47.2000,45.7700,45.5125,,,5195.0000,4158.1000,989,950,943,68.7671,61.2063,83.1858,79.1717,69.2673,378,1142,79.1717,69.2673,98.9804,398,405,415,0.6763,0.4128,0.0747,1717,1684,1692,
2012/09/20,47.80,48.30,47.10,47.45,-0.25,-0.5241,47.3900,46.2050,45.4975,45.1817,,4749.0000,4376.6000,999,962,949,64.3380,59.3790,72.0930,76.8121,71.7823,446,904,76.8121,71.7823,86.8719,398,402,411,0.6425,0.4762,0.1550,1727,1693,1690,
2012/09/21,47.45,47.70,47.20,47.60,0.15,0.3161,47.7100,46.6650,45.5400,45.3533,,5031.0000,4660.4000,999,974,956,65.9185,60.1575,73.7500,75.7914,73.1186,282,830,75.7914,73.1186,81.1370,391,398,407,0.6039,0.5324,0.2305,1720,1701,1693,
2012/09/24,49.50,49.80,48.40,48.55,0.95,1.9958,47.8300,46.9600,45.7000,45.4975,,6834.0000,4990.2000,1016,988,965,74.5055,64.8168,75.0000,75.5276,73.9216,1803,771,75.5276,73.9216,78.7396,386,395,404,0.6651,0.6462,0.3136,1732,1713,1698,
2012/09/25,48.85,49.15,48.00,48.20,-0.35,-0.7209,47.9000,47.3000,45.8425,45.6092,,6239.0000,5307.8000,999,1001,971,67.0381,61.9071,63.6364,71.5639,73.1357,595,700,71.5639,73.1357,68.4202,388,393,401,0.6183,0.7000,0.3909,1717,1723,1701,
