ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,14.10,14.10,14.10,14.10,0.00,0.00,,,,,,0.0000,,6,,,,,,,,1,,,,,0,,,,,,6,,,
2012/06/21,14.00,14.00,13.75,13.75,-0.35,-2.4823,,,,,,-26.0000,,6,,,,,,,,26,,,,,0,,,,,,6,,,
2012/06/22,13.55,13.85,13.40,13.85,0.10,0.7273,,,,,,8.0000,,6,,,,,,,,34,,,,,0,,,,,,6,,,
2012/06/25,13.50,13.70,13.40,13.45,-0.40,-2.8881,,,,,,-14.0000,,6,,,,,,,,22,,,,,0,,,,,,6,,,
2012/06/26,13.45,13.80,13.30,13.80,0.35,2.6022,13.7900,,,,,19.0000,,6,6,,,,,,,33,23,,,,0,0,,,,,6,6,,
2012/06/27,13.50,13.80,13.45,13.80,0.00,0.00,13.7300,,,,,19.0000,,6,6,,,,,,,57,34,,,,0,0,,,,,6,6,,
2012/06/28,14.00,14.00,13.55,13.90,0.10,0.7246,13.7600,,,,,30.0000,,6,6,,42.3077,,,,,11,31,,,,0,0,,,,,6,6,,
2012/06/29,13.90,13.90,13.90,13.90,0.00,0.00,13.7700,,,,,30.0000,,6,6,,42.3077,,,,,1,24,,,,0,0,,,,,6,6,,
2012/07/02,13.60,13.65,13.60,13.60,-0.30,-2.1583,13.8000,,,,,16.0000,,6,6,,31.7552,,37.5000,45.8333,48.6111,14,23,45.8333,48.6111,40.2778,0,0,,,,,6,6,,
2012/07/03,13.70,13.95,13.65,13.75,0.15,1.1029,13.7900,13.7900,,,,67.0000,14.9000,6,6,6,40.6388,,64.2857,51.9841,49.7354,51,26,51.9841,49.7354,56.4815,0,0,0,,,,6,6,6,
2012/07/04,13.95,14.15,13.85,13.90,0.15,1.0909,13.8100,13.7700,,,,137.0000,28.6000,6,6,6,48.6587,,70.5882,58.1855,52.5521,70,29,58.1855,52.5521,69.4522,0,0,0,,,,6,6,6,
2012/07/05,13.95,14.00,13.80,14.00,0.10,0.7194,13.8300,13.7950,,,,223.0000,53.5000,6,6,6,53.6665,,82.3529,66.2413,57.1152,86,44,66.2413,57.1152,84.4936,0,0,0,,,,6,6,6,
2012/07/06,13.80,13.90,13.70,13.80,-0.20,-1.4286,13.8100,13.7900,,,,181.0000,70.8000,6,6,6,43.4865,43.1818,58.8235,63.7687,59.3330,42,52,63.7687,59.3330,72.6401,0,0,0,,,,6,6,6,
2012/07/09,13.95,13.95,13.70,13.70,-0.10,-0.7246,13.8300,13.8150,,,,177.0000,89.9000,6,6,6,39.0429,41.1417,35.7143,54.4172,57.6944,4,50,54.4172,57.6944,47.8628,0,0,0,,,,6,6,6,
2012/07/10,13.70,14.00,13.70,13.70,0.00,0.00,13.8200,13.8050,,,,177.0000,105.7000,6,6,6,39.0429,41.1417,25.0000,44.6115,53.3335,7,41,44.6115,53.3335,27.1676,0,0,0,,,,6,6,6,
2012/07/11,13.85,13.85,13.85,13.85,0.15,1.0949,13.8100,13.8100,,,,179.0000,121.7000,6,6,6,50.0645,45.7196,45.4545,44.8925,50.5198,2,28,44.8925,50.5198,33.6379,0,0,0,,,,6,6,6,
2012/07/12,13.70,13.75,13.50,13.75,-0.10,-0.722,13.7600,13.7950,,,,150.0000,133.7000,6,6,6,43.7379,43.2719,38.4615,42.7489,47.9295,29,16,42.7489,47.9295,32.3876,0,0,0,,,,6,6,6,
2012/07/13,13.50,13.95,13.40,13.90,0.15,1.0909,13.7800,13.7950,,,,181.0000,148.8000,6,6,6,54.1640,47.8413,66.6667,50.7215,48.8601,31,14,50.7215,48.8601,54.4441,0,0,0,,,,6,6,6,
2012/07/16,13.90,13.90,13.50,13.80,-0.10,-0.7194,13.8000,13.8150,,,,165.0000,163.7000,6,6,6,47.1709,45.1938,53.3333,51.5921,49.7708,16,17,51.5921,49.7708,55.2347,0,0,0,,,,6,6,6,
2012/07/17,13.00,13.80,13.00,13.80,0.00,0.00,13.8200,13.8200,13.8050,,,165.0000,173.5000,6,6,6,47.1709,45.1938,80.0000,61.0614,53.5343,43,24,61.0614,53.5343,76.1155,0,0,0,,,,6,6,6,
2012/07/18,13.35,13.70,13.25,13.40,-0.40,-2.8986,13.7300,13.7700,13.7700,,,148.0000,174.6000,6,6,6,27.0527,35.7706,40.0000,54.0409,53.7032,17,27,54.0409,53.7032,54.7164,0,0,0,,,,6,6,6,
2012/07/19,13.35,13.40,13.30,13.40,0.00,0.00,13.6600,13.7100,13.7525,,,148.0000,167.1000,6,6,6,27.0527,35.7706,40.0000,49.3606,52.2557,47,30,49.3606,52.2557,43.5705,0,0,0,,,,6,6,6,
2012/07/20,13.45,13.95,13.45,13.95,0.55,4.1045,13.6700,13.7250,13.7575,,,207.0000,169.7000,6,6,6,60.4507,52.1102,95.0000,64.5737,56.3617,59,36,64.5737,56.3617,80.9978,0,0,0,,,,6,6,6,
2012/07/23,13.60,13.65,13.20,13.20,-0.75,-5.3763,13.5500,13.6750,13.7450,,,197.0000,171.7000,6,6,6,34.5593,37.8038,21.0526,50.0667,54.2634,10,35,50.0667,54.2634,41.6734,0,0,0,,,,6,6,6,
2012/07/24,13.15,13.70,13.15,13.70,0.50,3.7879,13.5300,13.6750,13.7400,,,210.0000,175.0000,6,6,6,51.2598,48.1554,73.6842,57.9392,55.4886,13,29,57.9392,55.4886,62.8403,0,0,0,,,,6,6,6,
2012/07/25,13.20,13.65,13.20,13.65,-0.05,-0.365,13.5800,13.6550,13.7325,,,190.0000,176.1000,6,6,6,49.7367,47.2967,68.4211,61.4332,57.4701,20,29,61.4332,57.4701,69.3592,0,0,0,,-0.0638,,6,6,6,
2012/07/26,13.50,13.50,13.50,13.50,-0.15,-1.0989,13.6000,13.6300,13.7125,,,176.0000,178.7000,6,6,6,44.9304,44.6886,52.6316,58.4993,57.8132,14,23,58.4993,57.8132,59.8715,0,0,0,,-0.0713,,6,6,6,
2012/07/27,13.50,13.50,13.25,13.35,-0.15,-1.1111,13.4800,13.5750,13.6850,,,157.0000,176.3000,6,6,6,40.2617,42.1528,36.8421,51.2802,55.6355,19,15,51.2802,55.6355,42.5696,0,0,0,,-0.0883,,6,6,6,
2012/07/30,13.25,13.30,13.00,13.00,-0.35,-2.6217,13.4400,13.4950,13.6550,,,118.0000,171.6000,6,6,6,31.1876,36.8328,0.0000,34.1868,48.4860,39,21,34.1868,48.4860,5.5885,0,0,0,,-0.1285,,6,6,6,
2012/07/31,13.20,13.20,13.00,13.00,0.00,0.00,13.3000,13.4150,13.6175,,,118.0000,166.9000,6,6,6,31.1876,36.8328,0.0000,22.7912,39.9211,24,23,22.7912,39.9211,-11.4685,0,0,0,,-0.1585,,6,6,6,
2012/08/01,13.10,13.10,13.00,13.10,0.10,0.7692,13.1900,13.3850,13.5775,,,166.0000,168.7000,6,6,6,37.0269,39.4320,10.5263,18.7029,32.8483,48,28,18.7029,32.8483,-9.5879,0,0,0,,-0.1723,,6,6,6,
2012/08/03,13.00,13.10,12.80,13.10,0.00,0.00,13.1100,13.3550,13.5325,,,166.0000,170.5000,6,6,6,37.0269,39.4320,33.3333,23.5797,29.7588,36,33,23.5797,29.7588,11.2216,0,0,0,,-0.1811,,6,6,6,
