ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,12.30,13.00,12.30,13.00,0.00,0.00,,,,,,0.0000,,69,,,,,,,,21,,,,,0,,,,,,69,,,
2012/06/28,13.00,13.00,12.60,12.65,-0.35,-2.6923,,,,,,-44.0000,,69,,,,,,,,44,,,,,0,,,,,,69,,,
2012/06/29,12.65,13.30,12.65,13.10,0.45,3.5573,,,,,,-19.0000,,69,,,,,,,,25,,,,,0,,,,,,69,,,
2012/07/02,12.70,13.10,12.70,12.90,-0.20,-1.5267,,,,,,-29.0000,,69,,,,,,,,10,,,,,0,,,,,,69,,,
2012/07/03,12.80,12.80,12.70,12.75,-0.15,-1.1628,12.8800,,,,,-52.0000,,69,69,,,,,,,23,24,,,,0,0,,,,,69,69,,
2012/07/04,12.60,12.70,12.55,12.65,-0.10,-0.7843,12.8100,,,,,-61.0000,,69,69,,,,,,,9,22,,,,0,0,,,,,69,69,,
2012/07/05,12.60,12.60,12.45,12.45,-0.20,-1.581,12.7700,,,,,-67.0000,,69,69,,31.0345,,,,,6,14,,,,0,0,,,,,69,69,,
2012/07/09,12.45,12.45,12.00,12.05,-0.40,-3.2129,12.5600,,,,,-89.0000,,69,69,,23.3161,,,,,22,14,,,,0,0,,,,,69,69,,
2012/07/10,12.35,12.35,12.05,12.05,0.00,0.00,12.3900,,,,,-89.0000,,69,69,,23.3161,,3.8462,34.6154,44.8718,14,14,34.6154,44.8718,14.1026,0,0,,,,,69,69,,
2012/07/11,12.05,12.80,12.05,12.80,0.75,6.2241,12.4000,12.6400,,,,-67.0000,-51.7000,69,69,69,54.1228,,61.5385,43.5897,44.4444,22,14,43.5897,44.4444,41.8803,0,0,0,,,,69,69,69,
2012/07/12,12.70,12.70,12.00,12.50,-0.30,-2.3438,12.3700,12.5900,,,,-120.0000,-63.7000,69,69,69,45.3733,,38.4615,41.8803,43.5897,53,23,41.8803,43.5897,38.4615,0,0,0,,,,69,69,69,
2012/07/13,12.00,12.20,11.75,12.05,-0.45,-3.60,12.2900,12.5300,,,,-139.0000,-73.2000,69,69,69,35.1462,,22.2222,35.3276,40.8357,19,26,35.3276,40.8357,24.3115,0,0,0,,,,69,69,69,
2012/07/16,12.05,12.05,11.30,11.30,-0.75,-6.2241,12.1400,12.3500,,,,-211.0000,-92.4000,69,69,69,24.2254,29.2683,0.0000,23.5518,35.0744,72,36,23.5518,35.0744,0.5065,0,0,0,,,,69,69,69,
2012/07/17,11.40,11.40,10.90,11.25,-0.05,-0.4425,11.9800,12.1850,,,,-236.0000,-113.1000,69,69,69,23.6378,28.8840,18.4211,21.8415,30.6634,25,38,21.8415,30.6634,4.1977,0,0,0,,,,69,69,69,
2012/07/18,11.20,11.20,10.65,10.65,-0.60,-5.3333,11.5500,11.9750,,,,-280.0000,-135.9000,69,69,69,17.5189,24.6478,0.0000,14.5610,25.2960,44,42,14.5610,25.2960,-6.9089,0,0,0,,,,69,69,69,
2012/07/19,10.70,10.95,10.65,10.90,0.25,2.3474,11.2300,11.8000,,,,-232.0000,-153.0000,69,69,69,26.9711,29.3572,11.6279,13.5833,21.3917,48,41,13.5833,21.3917,-2.0336,0,0,0,,,,69,69,69,
2012/07/20,10.90,10.90,10.50,10.70,-0.20,-1.8349,10.9600,11.6250,,,,-271.0000,-173.4000,69,69,69,24.2980,27.8388,8.6957,11.9541,18.2459,39,45,11.9541,18.2459,-0.6294,0,0,0,,,,69,69,69,
2012/07/23,10.30,10.35,9.97,10.15,-0.55,-5.1402,10.7300,11.4350,,,,-309.0000,-195.4000,69,69,69,18.3096,24.0993,6.3604,10.0895,15.5271,38,38,10.0895,15.5271,-0.7856,0,0,0,,,,69,69,69,
2012/07/24,10.10,10.10,9.50,9.50,-0.65,-6.4039,10.3800,11.1800,,,,-396.0000,-226.1000,69,69,69,13.5675,20.5418,0.0000,6.7264,12.5935,87,51,6.7264,12.5935,-5.0079,0,0,0,,,,69,69,69,
2012/07/25,9.13,9.35,9.05,9.29,-0.21,-2.2105,10.1080,10.8290,11.7345,,,-459.0000,-265.3000,69,69,69,12.3295,19.5259,7.6190,7.0239,10.7370,63,55,7.0239,10.7370,-0.4022,0,0,0,,,,69,69,69,
