ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/25,8.47,8.47,8.22,8.45,0.00,0.00,,,,,,0.0000,,2,,,,,,,,6,,,,,0,,,,,,2,,,
2012/06/26,8.03,8.35,7.91,8.35,-0.10,-1.1834,,,,,,-17.0000,,2,,,,,,,,17,,,,,0,,,,,,2,,,
2012/06/27,7.95,8.33,7.95,8.33,-0.02,-0.2395,,,,,,-27.0000,,2,,,,,,,,10,,,,,0,,,,,,2,,,
2012/06/28,8.09,8.35,8.08,8.35,0.02,0.2401,,,,,,-9.0000,,2,,,,,,,,18,,,,,0,,,,,,2,,,
2012/06/29,8.34,8.57,8.25,8.35,0.00,0.00,8.3660,,,,,-9.0000,,2,2,,,,,,,17,13,,,,0,0,,,,,2,2,,
2012/07/02,8.50,8.93,8.50,8.63,0.28,3.3533,8.4020,,,,,26.0000,,2,2,,,,,,,35,19,,,,0,0,,,,,2,2,,
2012/07/03,8.65,8.65,8.60,8.60,-0.03,-0.3476,8.4520,,,,,16.0000,,2,2,,66.6667,,,,,10,18,,,,0,0,,,,,2,2,,
2012/07/04,8.60,8.80,8.60,8.77,0.17,1.9767,8.5400,,,,,22.0000,,2,2,,77.0642,,,,,6,17,,,,0,0,,,,,2,2,,
2012/07/05,8.16,8.75,8.16,8.75,-0.02,-0.2281,8.6200,,,,,-11.0000,,2,2,,73.8137,,82.3529,60.7843,53.5948,33,20,60.7843,53.5948,75.1634,0,0,,,,,2,2,,
2012/07/06,8.31,8.55,8.31,8.31,-0.44,-5.0286,8.6120,8.4890,,,,-32.0000,-4.1000,2,2,2,34.9243,,39.2157,53.5948,53.5948,21,21,53.5948,53.5948,53.5948,0,0,0,,,,2,2,2,
2012/07/09,8.30,8.30,8.05,8.08,-0.23,-2.7677,8.5020,8.4520,,,,-49.0000,-9.0000,2,2,2,26.2493,,13.2653,40.1516,49.1137,17,17,40.1516,49.1137,22.2274,0,0,0,,,,2,2,2,
2012/07/10,8.19,8.19,7.85,7.85,-0.23,-2.8465,8.3520,8.4020,,,,-61.0000,-13.4000,2,2,2,20.2218,,0.0000,26.7677,41.6651,12,17,26.7677,41.6651,-3.0269,0,0,0,,,,2,2,2,
2012/07/11,7.89,8.04,7.78,8.02,0.17,2.1656,8.2020,8.3710,,,,-52.0000,-15.9000,2,2,2,33.7208,37.4269,20.8696,24.8017,36.0439,9,18,24.8017,36.0439,2.3172,0,0,0,,,,2,2,2,
